Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
augustine.de_doctrina_christiana,1.0,"hic, opus, nos, qui, inscribo, de, doctrina, christiana, in, duo, quidam, sum, primus, distributio, partior, nam, post, proemium, quo, respondeo, is, qui, hic, sum, reprehendo, duo, sum, res, inquam, qui, nitor, omnis, tractatio, scripturaris, modus, inuenio, qui, intellego, sum, et, modus, profero, qui, intellego, sum, de, inuenio, prior, de, profero, postea, dissero, quia, ergo, de, inuenio, multus, iam, dico, et, tres, de, hic, unus, pars, uolumen, absoluo, dominus, adiuuo, de, profero, paucus, dico, ut, si, fio, possum, unus, liber, cunctus, claudo, totus, hic, opus, quattuor, uolumen, termino",87,"NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.052,0.0,"hic, hic, hic, hic",0.046
augustine.de_doctrina_christiana,2.0,"primus, itaque, exspectatio, lego, qui, fors, ego, puto, rhetorica, do, sum, praecipio, qui, in, scolis, saecularis, et, disco, et, doceo, iste, praelocutio, cohibeo, atque, ut, ab, ego, non, exspecto, admoneo, non, qui, nihil, habeo, utilitas, sed, qui, si, quis, habeo, seorsus, disco, sum, si, qui, fortassis, bonus, uir, etiam, hic, uaco, disco, non, autem, ab, ego, uel, in, hic, opus, uel, in, aliquis, alius, requiro",65,"0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.054,0.0,"hic, hic",0.031
augustine.de_doctrina_christiana,3.0,"nam, cum, per, ars, rhetorice, et, uerus, suadeantur, et, fallo, quis, audeo, dico, aduerro, mendacium, in, defensor, suus, inermis, debeo, consisto, ueritas, ut, uidelicet, ille, qui, res, fallo, persuadeo, conor, nosco, auditor, uel, bene, uolum, uel, intentus, uel, docilis, proemio, facio, iste, autem, non, nosco, ille, fallo, breuis, apertus, uerisimiliter, et, iste, uerus, sic, narro, ut, audio, taedet, intellego, non, pateo, credo, postremo, non, libet, ille, fallax, argumentum, ueritas, oppugno, asserant, falsitas, iste, neque, uerus, defendo, neque, fallo, ualeo, refutaris, ille, animus, audio, in, error, moueo, impellentesque, dico, terreo, contristo, exhilarent, exhortor, ardenter, iste, pro, ueritas, lentus, frigidique, dormito, quis, ita, desipiat, ut, hic, sapio, cum, ergo, sum, in, medium, pono, facultas, eloquium, qui, ad, persuadenda, seu, prauus, seu, recta, ualeo, multus, cur, non, bonus, studium, comparo, ut, milito, ueritas, si, is, malus, ad, obtineo, peruerto, uanasque, causa, in, utor, iniquitas, et, error, usurpo",144,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, -1.0, NaN",-0.007,-0.049,"fallo, mendacium, fallo, fallo, fallo, hic, prauus, iniquitas",0.056
augustine.de_doctrina_christiana,4.0,"sed, quicumque, sum, de, hic, res, obseruatio, atque, praecipio, qui, cum, accedo, in, uerbum, multus, ornamentum, uerbum, exercitatioris, lingua, solertissima, consuetudo, fio, ille, qui, facundia, uel, eloquentia, nomino, extra, iste, littera, noster, sepono, ad, hic, congruo, tempus, spatium, apto, et, conuenio, aetas, disco, sum, is, qui, hic, celer, possum, nam, et, ipse, romanus, princeps, eloquentia, non, pigeo, dico, qui, hic, ars, nisi, quis, cito, possum, numquam, omnino, possum, perdisco, qui, utrum, uerus, sum, quis, opus, sum, quaero, non, enim, etiam, si, possum, hic, ab, tardus, tandem, aliquando, perdisco, nos, is, tantus, pendo, ut, is, disco, iam, maturo, uel, etiam, grauis, homo, aetas, uolo, impendo, satis, sum, ut, adulescentulus, iste, sum, cura, neque, ipse, omnis, qui, utilitas, ecclesiasticae, cupio, erudio, sed, is, qui, nondum, magis, urgeo, et, hic, res, sine, dubius, praepono, necessitas, occupo, quoniam, si, acutus, et, ferueo, adsum, in, genius, facilis, adhaereo, eloquentia, lego, et, audio, eloquor, quam, eloquentia, praecipio, sector, neque, desum, ecclesiasticae, littera, etiam, praeter, canon, in, auctoritas, arx, salubris, colloco, qui, lego, homo, capax, etsi, is, non, ago, sed, tantummodo, res, qui, ibi, dico, intendo, sum, etiam, eloquium, quo, dico, dum, in, hic, uerso, imbuitur, accedo, uel, magnus, exercitatio, siue, scribo, siue, dicto, postremo, etiam, dico, qui, secundus, pietas, atque, fides, regula, sentio, si, autem, talis, desum, ingenium, neque, ille, rhetorica, praecipio, capio, neque, si, magnus, labor, inculco, quantuluscumque, ex, pars, capio, aliquis, prosum, quandoquidem, etiam, ipse, qui, is, disco, et, copiosus, orno, dico, non, omnis, ut, secundus, ipse, dico, possum, is, cogito, cum, dico, si, non, de, hic, disputo, immo, uerus, uix, ullus, is, sum, existimo, qui, uterque, possum, et, dico, bene, et, ad, hic, facio, praecipio, ille, dico, cogito, cum, dico, caueo, sum, enim, ne, fugio, ex, animus, qui, dico, sum, dum, attendo, ut, ars, dico, et, tamen, in, sermo, atque, dictio, eloquor, impleo, reperio, praecipio, eloquentia, de, qui, ille, ut, eloquor, uel, cum, eloquor, non, cogito, siue, ille, disco, siue, ne, attingo, quidem, impleo, quippe, ille, quia, eloquor, sum, non, adhibeo, ut, sum, eloquor",331,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.02,-0.011,"hic, hic, hic, hic, hic, hic, hic, hic, hic",0.027
augustine.de_doctrina_christiana,5.0,"quapropter, cum, ex, infer, loquor, non, fio, nisi, locutio, disco, loquor, cur, eloquor, fio, non, possum, nullus, eloquor, ars, trado, sed, elocutio, eloquor, lego, et, audio, et, quantus, assequor, concedo, imito, quis, qui, ita, fio, ipse, quoque, experior, exemplum, nam, sine, praecipio, rhetorica, nosco, multus, eloquens, multus, qui, ille, disco, sine, lectus, uerus, et, audio, eloquor, disputatio, uel, dictio, nemo, nam, neque, ipse, ars, grammatica, qui, disco, locutio, integritas, indigeo, puer, si, is, inter, homo, qui, integer, loquor, cresco, do, et, uiuo, nescio, quippe, ullus, nomen, uitium, quisquis, uitiosus, quisquam, os, loquor, audio, sano, suus, consuetudo, reprehendo, et, caueo, sicut, rusticus, urbanus, reprehendo, etiam, qui, littera, nescio",107,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, NaN, NaN, 0.0, NaN",0.0,-0.019,,0.0
augustine.de_doctrina_christiana,6.0,"debeo, igitur, diuinaris, scripturaris, tractator, et, doctor, defenso, recingo, fides, atque, debellator, error, et, bonus, doceo, et, malus, dedoceo, atque, in, hic, opus, sermo, conciliaris, auerto, remitto, erigo, nescio, quis, ago, quis, exspectaris, debeo, intimaris, ubi, autem, beneuolus, intendo, docilis, aut, inuenio, aut, ipse, facio, ceterus, perago, sum, sicut, postulo, causa, si, doceo, sum, qui, audio, narratio, facio, sum, si, tamen, indigeo, ut, res, de, qui, ago, innotesco, ut, autem, qui, dubius, sum, certus, fio, documentum, adhibeo, ratiocinor, sum, si, uerus, qui, audio, moueo, sum, potis, quam, doceo, ut, in, is, qui, iam, scio, ago, non, torpeo, et, res, assentior, qui, uerus, sum, fateor, accomodent, magnus, dico, uis, opus, sum, ibi, obsecratio, et, increpatio, concitatio, et, coercitio, et, quicumque, alius, ualeo, ad, commoueo, animus, sum, necessarius",126,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, -1.0, NaN, 1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0",0.028,-0.032,hic,0.008
augustine.de_doctrina_christiana,7.0,"et, hic, quidem, cunctus, qui, dico, omnis, fere, homo, in, hic, qui, eloquor, ago, facio, non, quiesco, sed, cum, alius, facio, obtunse, deformis, frigidus, alius, acuo, orno, uehemens, ille, ad, hic, opus, unde, ago, iam, oportet, accedo, qui, possum, disputaris, uel, dico, sapienter, etiamsi, non, possum, eloquens, ut, prosum, audio, etiamsi, paruus, quam, prosum, si, et, eloquens, possum, dico, qui, uerus, affluo, insipiens, eloquentia, tantus, magis, caueo, sum, quantus, magis, ab, is, in, hic, qui, audio, inutilis, sum, delecto, auditor, et, is, quoniam, dissero, dico, audio, etiam, uerus, dico, existimo, hic, autem, sententia, neque, ille, fugio, qui, ars, rhetorice, doceo, puto, fateor, sum, enim, sapientia, sine, eloquentia, parum, prosum, ciuitas, eloquentia, uerus, sine, sapientia, nimium, obsum, plerusque, prosum, numquam, si, hic, ergo, ille, qui, praecipio, eloquentia, trado, in, idem, liber, in, qui, is, egero, ueritas, instigo, cogo, sum, confiteor, uerus, hic, sum, supernam, qui, ab, pater, lumen, descendo, sapientia, nescio, quantus, magis, nos, non, alius, sentio, debeo, qui, hic, sapientia, filius, et, minister, sum, sapienter, autem, dico, homo, tantus, magis, uel, paruus, quantus, in, scribo, sanctus, magis, paruus, proficio, non, dico, in, is, multus, lego, memoria, mando, sed, bene, intellegendis, et, diligenter, is, sensus, indagandis, sum, enim, qui, is, lego, et, neglego, lego, ut, teneo, neglego, ne, intellego, qui, longus, sine, dubius, praefero, sum, qui, uerbum, is, paruus, teneo, et, cor, is, suus, chordus, oculus, uideo, sed, uterque, ille, bonus, qui, et, cum, uolo, is, dico, et, sicut, oportet, intellego",240,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.033,-0.015,"hic, hic, deformis, hic, insipiens, hic, inutilis, hic, hic, hic, hic",0.046
augustine.de_doctrina_christiana,8.0,"hic, ergo, qui, sapienter, debeo, dico, etiam, qui, non, possum, eloquens, uerbum, scripturaris, teneo, magnus, necessarius, sum, quantus, enim, sui, pauperiorem, cerno, in, suus, tantus, is, oportet, in, iste, sum, diues, ut, qui, dico, suus, uerbum, probo, ex, ille, et, qui, proprius, uerbum, paruus, sum, magnus, testimonium, quodammodo, cresco, probo, enim, delecto, qui, paruus, possum, delecto, dico, porro, qui, non, solus, sapienter, uerus, etiam, eloquens, uolo, dico, quoniam, profecto, multus, pro-sum, si, uterque, possum, ad, lego, uel, audio, et, exercitatio, imito, eloquor, is, mitto, libet, quam, magister, ars, rhetorica, uacaris, praecipio, si, tamen, hic, qui, lego, et, audio, non, solus, eloquens, sed, etiam, sapienter, dico, uel, dico, uerax, praedicatio, laudo, qui, enim, eloquens, dico, suauis, qui, sapienter, salubris, audio, propter, qui, non, aio, scribo, multitudo, eloquor, sed, multitudo, sapiens, sanitas, sum, orbis, terra, sicut, autem, saepe, sumo, sum, et, amarus, salubris, ita, semper, uito, sum, perniciosus, dulcedo, sed, salubris, suauitas, uel, suauis, salubritas, quis, bonus, quantus, enim, magis, illic, appeto, suauitas, tantus, facilis, salubritas, prodo, sum, ergo, ecclesiastici, uir, qui, diuino, eloquium, non, solus, sapienter, sed, eloquens, etiam, tracto, qui, lego, magis, non, sufficio, tempus, quam, desum, ipse, studeo, et, uacantibus, possum",192,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 1.0, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 1.0, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, 1.0, NaN, NaN, 0.5, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.047,-0.016,"hic, hic, perniciosus, dulcedo",0.021
augustine.de_doctrina_christiana,9.0,"hic, aliquis, forsitan, quaero, utrum, auctor, noster, qui, scribo, diuinitus, inspiro, canon, nos, saluberrima, auctoritas, facio, sapio, tantummodo, an, eloquor, etiam, nuncupo, sum, qui, quidem, quaestio, apud, ego, ipse, et, apud, is, qui, cum, ego, qui, dico, sentio, facilis, soluo, nam, ubi, is, intellego, non, solus, nihil, is, sapio, uerus, etiam, nihil, eloquens, ego, uideo, possum, et, audeo, dico, omnis, qui, rectus, intellego, qui, ille, loquor, simul, intellego, non, is, aliter, loquor, debeo, sicut, sum, enim, quidam, eloquentia, qui, magis, aetas, iuuenilis, decet, sum, qui, senilis, neque, iam, dico, sum, eloquentia, si, persona, non, congruo, eloquor, ita, sum, quidam, qui, uir, summus, auctoritas, dignus, planus, diuinus, decet, hic, ille, loquor, sum, neque, ipse, decet, alius, neque, alius, ipse, ipse, enim, congruo, alius, autem, quantus, uideo, humilio, tantus, altus, non, uentositas, sed, soliditas, transcendo, ubi, uerus, non, is, intellego, paruus, quidem, ego, appareo, is, eloquentia, sed, is, tamen, non, dubito, sum, talis, qualis, sum, ubi, intellego, ipse, quoque, obscuritas, diuinus, salubriumque, dico, talis, eloquentia, misceo, sum, in, qui, proficio, noster, intellego, non, solus, inuentio, uerus, etiam, exercitatio, debeo",177,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN",0.025,-0.008,"hic, iuuenilis, hic",0.017
augustine.de_doctrina_christiana,10.0,"possum, quidem, si, uaco, omnis, uirtus, et, ornamentum, eloquentia, de, qui, inflo, iste, qui, lingua, suus, noster, auctor, lingua, non, magnitudo, sed, tumor, praepono, ostendo, in, iste, littera, sacrum, qui, nos, erudio, et, ab, hic, saeculum, prauus, in, beatus, saeculis, transfero, prouideo, diuino, prouideo, sed, non, ipse, ego, multus, quam, dico, possum, in, ille, eloquentia, delecto, qui, sum, hic, uis, cum, orator, gentilis, poetisue, commune, ille, magis, admiror, et, stupeo, qui, iste, noster, eloquentia, ita, utor, sum, per, alter, quidam, eloquentia, suus, ut, neque, desum, is, neque, emineo, in, is, quia, is, neque, improbaris, ab, ille, neque, ostentaris, oportet, qui, alter, fio, si, uitaretur, alter, putaris, possum, si, facilis, agnosco, et, in, qui, fors, locus, agnosco, ab, doceo, talis, res, dico, ut, uerbum, qui, dico, non, ab, dico, adhibeo, sed, ipse, res, uelut, sponte, subiungo, uideo, quasi, sapientia, de, domus, suus, is, sum, pectus, sapio, intellego, procedo, et, tamquam, inseparabilis, famula, etiam, non, uoco, sequor, eloquentia",156,"NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.016,-0.016,"hic, prauus, hic",0.019
