Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.Versus Paschales Pro Augusto Dicti,1.1,"sancio, salutiferi, redeo, sollemne, christus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.2,"et, deuoto, pius, celebro, ieiunium, mysta",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.3,"at, nos, aeternus, cohibentes, pectus, cultus",6,"NaN, NaN, 0.5, NaN, NaN, -0.5",0.0,-0.083,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.4,"intemerator, uis, continuamus, honor",4,"NaN, 1.0, NaN, 1.0",0.5,0.0,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.5,"annuus, cura, sacrum, iugum, reuerendus, nos",6,"0.0, -1.0, NaN, NaN, 1.0, NaN",0.0,-0.167,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.6,"magnus, pater, res, qui, terra, et, pontus, et, aer",9,"0.0, 0.0, 0.0, NaN, 0.0, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.7,"tartaraque, et, pingo, seruio, plaga, lacteus, caelum",7,"NaN, NaN, NaN, NaN, 0.0, NaN, 0.5",0.071,0.0,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.8,"noxius, qui, scelus, plebs, tremo, almus, russus",7,"0.5, NaN, -1.0, 0.0, NaN, NaN, NaN",-0.071,-0.143,"noxius, scelus",0.286
ausonius.Versus Paschales Pro Augusto Dicti,1.9,"concelebro, uoueo, anima, turba, piaris",5,"NaN, NaN, 0.5, 0.0, NaN",0.1,0.0,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.1,"tu, breuis, hic, aeuum, cursus, celer, caducus",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"tu, hic",0.286
ausonius.Versus Paschales Pro Augusto Dicti,1.11,"finis, anima, dono, aeternus, munus, uita",6,"0.0, 0.5, NaN, 0.5, 0.5, 0.0",0.25,0.0,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.12,"tu, mitis, lex, moneo, sacer, propheta",6,"NaN, 1.0, 0.5, NaN, 1.0, NaN",0.417,0.0,tu,0.167
ausonius.Versus Paschales Pro Augusto Dicti,1.13,"humanus, impertis, gener, seruasque, nepos",5,"0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.14,"decipio, miseror, adam, qui, capio, uenenum",6,"NaN, NaN, NaN, NaN, NaN, -0.5",-0.083,-0.083,decipio,0.167
ausonius.Versus Paschales Pro Augusto Dicti,1.15,"implico, socius, blandus, error, aeuua",5,"NaN, 1.0, 0.5, -1.0, NaN",0.1,-0.2,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.16,"tu, uerbum, pater, almus, tuus, nascor, deus",7,"NaN, 0.0, 0.0, NaN, 0.0, NaN, 0.0",0.0,0.0,tu,0.143
ausonius.Versus Paschales Pro Augusto Dicti,1.17,"concedo, terra, totus, similis, paro",5,"NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.18,"ex, uerus, uerus, uiuus, ab, origo, uiuus",7,"NaN, 0.5, 0.5, 0.0, NaN, NaN, 0.0",0.143,0.0,"uiuus, uiuus",0.286
ausonius.Versus Paschales Pro Augusto Dicti,1.19,"ille, tuus, doceo, moneo, hic, addo, unus",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,hic,0.143
ausonius.Versus Paschales Pro Augusto Dicti,1.2,"ut, super, aequoreus, no, qui, spiritus, unda",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.21,"piger, inmortal, uegetaret, membrum, lauacrum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.22,"trini, fides, auctor, unus, spes, certus, salus",7,"NaN, 1.0, NaN, NaN, 0.5, 0.5, 1.0",0.429,0.0,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.23,"hic, numerus, iungo, uirtus, amplectenti",5,"NaN, NaN, NaN, 1.0, NaN",0.2,0.0,hic,0.2
ausonius.Versus Paschales Pro Augusto Dicti,1.24,"talis, et, terrenus, specimen, specto, in, ora",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.Versus Paschales Pro Augusto Dicti,1.25,"augustus, genitor, geminus, sator, augustor",5,"1.0, NaN, NaN, 0.0, NaN",0.2,0.0,augustor,0.2
ausonius.Versus Paschales Pro Augusto Dicti,1.26,"qui, frater, nascor, pius, complector, uterque",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
