Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.cento_nuptialis,1.0,"ausonius, paulus, s., perlego, hic, etiam, si, opera, sum, friuolus, et, nullus, pretium, opusculis, qui, neque, labor, excudo, neque, cura, limo, sine, ingenium, acumen, et, mora, maturitas, cento, uoco, qui, primus, hic, concinnatio, ludo, solus, memoria, negotium, spargo, colligo, et, integraris, lacero, qui, rideo, magis, quam, laudo, possum, pro, quo, si, per, sigillaria, in, auctio, uenio, neque, afranius, naucum, do, neque, ciccus, suus, plautus, offertor, pigeo, enim, uergiliani, carmen, dignitas, tam, iocularis, dehonestasse, materia, sed, quis, facio, iubeo, sum, quisque, sum, potens, impero, genus, rogo, qui, iubeo, possum, sancio, imperator, ualentinianus, uir, meus, iudicium, erudio, nuptiae, quondam, eiusmodi, ludo, describo, aptus, equidem, uersus, et, compositio, festiuus, experior, deinde, uolo, quantus, noster, contentio, praecelleret, similis, nos, de, idem, concinnaris, praecipio, quam, scrupulosum, hic, ego, sum, intellego, neque, antefero, uolo, neque, posthaberi, cum, alius, quoque, iudicium, detego, sum, adulatio, ineptus, si, cedo, insolentia, si, ut, aemulus, eminerem, suscipio, igitur, similis, recuso, felicito, et, obnoxius, gratia, tenuis, neque, uictor, offendo, hic, tum, dies, unus, et, addo, lucubratio, propero, modo, inter, liturarios, meus, cum, reperissem, tantus, ego, candor, tuus, et, amor, fiducia, sum, ut, seueritas, tuus, neque, rideo, subtraherem, accipio, igitur, opusculis, de, inconexis, continuus, de, diuerto, unus, de, serius, ludicrum, de, alienus, nos, ne, in, sacrum, et, fabula, aut, thyonianum, miror, aut, uirbium, ille, de, dionyso, hic, de, hippolyto, reformatum, et, si, patera, ut, doceo, doceo, ipse, cento, quis, sum, absoluo, uarius, de, locus, sensus, diuerto, quidam, carmen, structura, solido, in, unus, uerro, ut, coeo, aut, caedo, duo, aut, unus, et, sequor, lt.medius&gt, cum, medium, nam, duo, iunctim, locaris, ineptus, sum, et, tres, unus, series, merus, nugae, diffinduntur, autem, per, caesuras, omnis, qui, recipio, uerro, heroicus, conuenio, ut, possum, aut, penthemimeres, cum, reliquus, anapaesticus, aut, trochaice, cum, posterus, segmentum, aut, septem, semipedes, cum, anapaesticus, choricus, aut, lt.ponatur&gt, post, dactylus, atque, semipedem, quisquis, resto, hexameter, similis, ut, dico, ludicer, qui, graecus, ostomachio, -ne, uoco, ossiculum, is, sum, ad, summa, quattuordecim, figura, geometrice, habeo, sum, enim, aequalis, triquetrus, uel, extendo, linea, uel, idem, frons, uel, rectis, angulis, uel, obliquus, isoscelis, ipse, uel, isopleura, uoco, orthogonia, quoque, et, scalena, haris, uerticularis, ariis, coagmentum, simulantur, species, mille, formaris, helephantus, belua, aut, aper, bestia, anser, uolo, et, mirmillo, in, arma, subsido, uenator, et, latro, canis, quin, et, turris, et, cantharus, et, alius, huiusmodi, innumerabilis, figuraris, qui, alius, alius, scio, uariegant, sed, peritor, concinnatio, miraculis, sum, imperitor, iungo, ridiculus, quo, praedico, scio, qui, ego, posterus, imitor, sum, hic, ergo, centonis, opusculis, ut, ille, ludus, tracto, par, modo, sensus, diuerto, ut, congruo, adoptiuus, qui, sum, ut, cognatus, uideo, alienus, ne, interluceant, arcesso, ne, uis, redarguant, densus, ne, supra, modus, protuberent, hiulcus, ne, pateo, qui, si, omnis, ita, tu, uideo, ut, praeceptum, sum, dico, ego, compono, cento, et, quia, sub, imperator, meus, tum, mereo, procedo, ego, inter, frequens, stipendium, iubeo, sin, aliter, aer, diruo, facies, ut, cumulo, carmen, in, fiscus, suus, redigo, redeo, uerro, unde, uenio, ual",476,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -0.5, NaN, NaN, -1.0, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, 1.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 1.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.008,-0.022,"hic, pretium, hic, lacero, nuptiae, hic, adulatio, ineptus, hic, seueritas, hic, ineptus, bestia, latro, ridiculus, hic, tu",0.036
ausonius.cento_nuptialis,1.1,"accipio, hic, animus, laeto, aduerto, mens",6,"NaN, NaN, 0.5, NaN, NaN, 0.5",0.167,0.0,hic,0.167
ausonius.cento_nuptialis,2.0,"ambo, animus, ambo, insignis, praesto, arma",6,"NaN, 0.5, NaN, 0.0, NaN, 0.0",0.083,0.0,,0.0
ausonius.cento_nuptialis,3.0,"ambo, floreo, genus, insuperabilis, bellum",5,"NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
ausonius.cento_nuptialis,4.0,"tu, prior, nam, tu, magnus, eo, per, altus",8,"NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.5",0.125,0.0,"tu, tu",0.25
ausonius.cento_nuptialis,5.0,"auspicium, manifestus, fides, quo, iustus, alter",6,"0.0, -0.5, 1.0, NaN, 1.0, NaN",0.25,-0.083,,0.0
ausonius.cento_nuptialis,6.0,"neque, pietas, sum, neque, bellum, magnus, et, arma",8,"NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, 0.0",0.125,0.0,,0.0
ausonius.cento_nuptialis,7.0,"tu, puer, tuus, magnus, spes, alter, roma",7,"NaN, 0.0, 0.0, 0.0, 0.5, NaN, NaN",0.071,0.0,tu,0.143
ausonius.cento_nuptialis,8.0,"flos, uetus, uirtus, uir, meus, maximus, cura",7,"0.5, 0.0, 1.0, 0.5, 0.0, NaN, -1.0",0.143,-0.143,,0.0
ausonius.cento_nuptialis,9.0,"nomen, auus, refero, animus, manus, parens",6,"0.0, NaN, NaN, 0.5, 0.0, 0.5",0.167,0.0,,0.0
