Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.cupido_cruciatus,1.1,"aer, in, campus, memoro, qui, musa, maronis",7,"0.0, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.cupido_cruciatus,1.2,"myrteus, amens, ubi, lucus, opaco, amo",6,"NaN, -1.0, NaN, NaN, NaN, NaN",-0.167,-0.167,amens,0.167
ausonius.cupido_cruciatus,1.3,"Orgia, duco, herois, et, suus, quisque",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.cupido_cruciatus,1.4,"ut, quondam, occido, letum, argumentum, gero",6,"NaN, NaN, NaN, -1.0, 0.0, NaN",-0.167,-0.167,occido,0.167
ausonius.cupido_cruciatus,1.5,"erro, silua, in, magnus, et, sub, lux, malignus",8,"0.0, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0",-0.125,-0.125,,0.0
ausonius.cupido_cruciatus,1.6,"inter, harundineasque, como, grauidumque, papauer",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.cupido_cruciatus,1.7,"et, taceo, sine, labes, lacus, sine, murmur, riuus",8,"NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN",-0.125,-0.125,,0.0
ausonius.cupido_cruciatus,1.8,"qui, per, ripa, nebulosus, lumen, marceo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.cupido_cruciatus,1.9,"fleo, olim, rex, et, puer, nomen, floreo",7,"NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
ausonius.cupido_cruciatus,1.1,"mirator, narcissus, et, oebalides, hyacinthus",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.cupido_cruciatus,1.11,"et, crocus, auricomans, et, murex, pingo, adonis",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.cupido_cruciatus,1.12,"et, tragicus, scribo, gemitus, salaminius, aeas",6,"NaN, NaN, NaN, -0.5, NaN, NaN",-0.083,-0.083,,0.0
ausonius.cupido_cruciatus,1.13,"omnis, qui, lacrima, et, amor, anxius, maestus",7,"NaN, NaN, NaN, NaN, 1.0, -1.0, -1.0",-0.143,-0.286,,0.0
ausonius.cupido_cruciatus,1.14,"exerceo, memor, obeo, iam, mors, dolor",6,"NaN, 1.0, NaN, NaN, -1.0, -1.0",-0.167,-0.333,,0.0
ausonius.cupido_cruciatus,1.15,"rursus, in, amitto, reuoco, heroidas, aeuum",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.cupido_cruciatus,1.16,"fulmineus, semelis, decipio, puerpera, pario",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,"fulmineus, decipio",0.4
ausonius.cupido_cruciatus,1.17,"defleo, et, amburo, lacero, per, inanis, cuna",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,lacero,0.143
ausonius.cupido_cruciatus,1.18,"uentilo, ignauus, simulo, fulgur, ignis",5,"NaN, -1.0, NaN, NaN, 0.0",-0.2,-0.2,"ignauus, fulgur",0.4
ausonius.cupido_cruciatus,1.19,"irrito, donum, queror, sexu, gaudeo, uirilis",6,"NaN, 0.0, NaN, NaN, NaN, 0.5",0.083,0.0,,0.0
ausonius.cupido_cruciatus,1.2,"maereo, in, antiquus, caenum, reuoco, figura",6,"NaN, NaN, 0.0, -0.5, NaN, NaN",-0.083,-0.083,caenum,0.167
ausonius.cupido_cruciatus,1.21,"uulnero, sicco, adhuc, procris, cephalique, erudio",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.cupido_cruciatus,1.22,"diligo, et, percutio, manus, fero, fumidus, testa",7,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,testa,0.143
ausonius.cupido_cruciatus,1.23,"lumen, sestiaca, praeceps, de, turris, puella",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.cupido_cruciatus,1.24,"et, de, nimbosus, saltus, leucate, mino",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.cupido_cruciatus,1.25,"masculus, lesbiacis, sappho, pereo, sagitta",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,sappho,0.2
ausonius.cupido_cruciatus,1.26,"harmonia, cultus, eriphyle, maestus, recuso",5,"NaN, -0.5, NaN, -1.0, NaN",-0.3,-0.3,,0.0
ausonius.cupido_cruciatus,1.27,"infelix, natus, neque, fortunata, marito",5,"-1.0, 0.0, NaN, NaN, NaN",-0.2,-0.2,"infelix, marito",0.4
ausonius.cupido_cruciatus,1.28,"totus, quoque, aerius, minoius, fabula, cerno",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.cupido_cruciatus,1.29,"picturaris, instar, tenuis, sub, imago, uibro",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.cupido_cruciatus,1.3,"pasiphae, niueus, sequor, uestigium, taurus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,"pasiphae, niueus",0.4
ausonius.cupido_cruciatus,1.31,"licium, fero, glomero, manus, desero, ariadne",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.cupido_cruciatus,1.32,"respicio, abicio, despero, phaedra, tabella",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.cupido_cruciatus,1.33,"hic, laqueus, gero, hic, uanus, simulacrum, corona",7,"NaN, NaN, NaN, NaN, -0.5, 0.0, NaN",-0.071,-0.071,"hic, hic, uanus",0.429
ausonius.cupido_cruciatus,1.34,"daedaliae, pudeo, hic, latebra, subeo, iuuenca",6,"NaN, NaN, NaN, -0.5, NaN, 0.0",-0.083,-0.083,"pudeo, hic",0.333
ausonius.cupido_cruciatus,1.35,"praereptas, queror, per, inanis, gaudium, nox",6,"NaN, NaN, NaN, NaN, 1.0, 0.0",0.167,0.0,,0.0
ausonius.cupido_cruciatus,1.36,"laudamia, duo, uiuo, fungor, maritus",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,maritus,0.2
ausonius.cupido_cruciatus,1.37,"pars, trux, alius, stringo, mucro, omnis",6,"0.0, NaN, NaN, NaN, -1.0, NaN",-0.167,-0.167,trux,0.167
ausonius.cupido_cruciatus,1.38,"et, thisbe, et, canace, et, sidonis, horreo, elissa",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.cupido_cruciatus,1.39,"coniunx, hic, hic, pater, et, hic, gero, hospes, ensis",9,"-0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN",-0.056,-0.056,"hic, hic, hic",0.333
ausonius.cupido_cruciatus,1.4,"erro, et, ipse, olim, qualis, per, latmia, saxum",8,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.cupido_cruciatus,1.41,"endymioneos, soleo, adfectaris, soporo",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.cupido_cruciatus,1.42,"cum, fax, et, astrigero, diadema, luna, bicornis",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,fax,0.143
ausonius.cupido_cruciatus,1.43,"centum, alius, uetus, recolentes, uulnero, amor",6,"NaN, NaN, 0.0, NaN, NaN, 1.0",0.167,0.0,,0.0
ausonius.cupido_cruciatus,1.44,"dulcis, et, maestus, refoueo, tormentum, querela",6,"0.5, NaN, -1.0, NaN, -0.5, -0.5",-0.25,-0.333,,0.0
ausonius.cupido_cruciatus,1.45,"qui, inter, medius, furuus, caligo, umbra",6,"NaN, NaN, 0.0, NaN, -0.5, NaN",-0.083,-0.083,,0.0
