Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.de_herediolo,1.0,"cum, de, palatium, post, multus, annus, honoro, quippe, iam, consul, redeo, ad, patria, uillula, quam, pater, relinquo, introgressus, hic, uersus, ludo, luciliano, stilus",23,"NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.022,0.0,hic,0.043
ausonius.de_herediolo,1.1,"saluus, herediolum, magnus, regnum, meus",5,"1.0, NaN, 0.0, 0.0, 0.0",0.2,0.0,herediolum,0.2
ausonius.de_herediolo,1.2,"qui, proauus, qui, auus, qui, pater, excolo",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.de_herediolo,1.3,"qui, ego, iam, senex, propero, mors, relinquo",7,"NaN, NaN, NaN, 0.0, NaN, -1.0, NaN",-0.143,-0.143,,0.0
ausonius.de_herediolo,1.4,"eheu, nolo, tam, cito, possum, fruor",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.de_herediolo,1.5,"iustus, quidem, series, pater, succedo, uerus",6,"1.0, NaN, 0.5, 0.0, NaN, 0.5",0.333,0.0,,0.0
ausonius.de_herediolo,1.6,"sum, simul, dominus, gratus, ordo, pius",6,"NaN, NaN, NaN, 1.0, 0.5, NaN",0.25,0.0,,0.0
ausonius.de_herediolo,1.7,"nunc, labor, et, cura, meus, sum, solus, ante, uoluptas",9,"NaN, -0.5, NaN, -1.0, 0.0, NaN, -0.5, NaN, 1.0",-0.111,-0.222,,0.0
ausonius.de_herediolo,1.8,"pars, in, noster, ceterus, pater, sum",6,"0.0, NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
ausonius.de_herediolo,1.9,"paruus, herediolum, fateor, sed, nullus, sum, res",7,"0.0, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,herediolum,0.143
ausonius.de_herediolo,1.1,"paruus, umquam, aequanimis, addo, etiam, unanimus",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.de_herediolo,1.11,"ex, animus, res, sto, aequus, puto, non, animus, ex, res",10,"NaN, 0.5, 0.0, NaN, 0.5, NaN, NaN, 0.5, NaN, 0.0",0.15,0.0,,0.0
ausonius.de_herediolo,1.12,"cunctus, cupio, croesus, diogenes, nihilis",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.de_herediolo,1.13,"spargo, aristippus, medius, in, syrtis, aurum",6,"NaN, NaN, 0.0, NaN, NaN, 0.5",0.083,0.0,,0.0
ausonius.de_herediolo,1.14,"aureus, non, satis, sum, lydia, totus, midae",7,"0.5, NaN, 0.5, NaN, NaN, NaN, NaN",0.143,0.0,,0.0
ausonius.de_herediolo,1.15,"qui, nullus, finis, cupio, sum, nullus, habeo",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.de_herediolo,1.16,"ille, ops, modus, sum, qui, statua, animus",7,"NaN, 0.0, 0.5, NaN, NaN, NaN, 0.5",0.143,0.0,,0.0
ausonius.de_herediolo,1.17,"uerus, ager, iste, meus, quantus, sum, nosco, etiam, ut, ego",10,"0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.05,0.0,,0.0
ausonius.de_herediolo,1.18,"nosco, et, nosco, tu, quoque, si, potio, sum",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.125
ausonius.de_herediolo,1.19,"quamquam, difficilis, sum, sui, nosco, γνῶθι, σεαυτόν",7,"NaN, -0.5, NaN, NaN, NaN, NaN, NaN",-0.071,-0.071,,0.0
ausonius.de_herediolo,1.2,"quam, properus, lego, tam, cito, neclegimus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.de_herediolo,1.21,"ager, bis, centum, colo, iugerum, uinea, centum",7,"0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.de_herediolo,1.22,"iugeribus, colo, pratum, dimidio",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.de_herediolo,1.23,"silua, supra, duplus, quam, pratum, et, uinea, et, aruum",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.de_herediolo,1.24,"cultor, ager, nos, neque, supersum, neque, absum",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.de_herediolo,1.25,"fons, propter, puteus, breuis, tum, purus, et, amnis",8,"NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN",0.125,0.0,,0.0
ausonius.de_herediolo,1.26,"nauiger, hic, refluus, ego, ueho, atque, reuello",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
ausonius.de_herediolo,1.27,"condo, fructus, geminus, ego, semper, in, annus",7,"NaN, 0.5, NaN, NaN, NaN, NaN, 0.0",0.071,0.0,,0.0
ausonius.de_herediolo,1.28,"qui, non, longus, penus, hic, quoque, promptus, fames",8,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5",-0.062,-0.062,hic,0.125
ausonius.de_herediolo,1.29,"hic, ego, neque, procul, urbs, sino, sum, neque, prorsus, ad, urbs",11,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5",0.091,0.0,hic,0.091
ausonius.de_herediolo,1.3,"ne, patior, turbo, ut, bonus, potio",6,"NaN, NaN, NaN, NaN, 1.0, NaN",0.167,0.0,,0.0
ausonius.de_herediolo,1.31,"et, quotiens, muto, locus, fastidium, cogo",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.de_herediolo,1.32,"transeo, et, alternus, rus, uel, urbs, fruor",7,"NaN, NaN, NaN, 0.0, NaN, 0.5, NaN",0.071,0.0,,0.0
