Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.de_xii_caesaribus,1.1,"caesareos, proceres, in, qui, regnum, secundus, consul, dudum, romana, potentia, cedo, accipio, bis, seni, suus, quisque, monostichum, signo, qui, per, plenus, senex, suetonius, olim, nomen, res, gero, uita, obeo, perago",30,"NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN",0.033,0.0,,0.0
ausonius.de_xii_caesaribus,1.2,"primus, regalis, patefacio, iulius, aula, caesar, et, augustus, nomen, transcribo, et, arx, priuignus, post, hic, regno, nero, claudus, ab, quo, caesar, cognomen, caliga, qui, castrum, do, claudus, hinc, potio, regnum, post, qui, nero, saeuus, ulter, aeneadum, post, hic, tres, neque, tres, annus, galba, senex, frustra, socius, confido, iners, mollio, otho, infamis, per, luxus, degener, aeuum, neque, regnum, dignus, neque, mors, uitellius, ut, uir, hic, decimus, for, accio, uespasianus, et, titus, imperium, felix, breuitas, sequor, frater, qui, caluus, dico, suus, roma, neronem.",81,"0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 1.0, NaN, 0.0, NaN, NaN, -1.0, NaN, -0.5, -1.0, NaN, NaN, 0.0, 1.0, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.006,-0.068,"priuignus, hic, saeuus, hic, iners, infamis, luxus, hic",0.099
ausonius.de_xii_caesaribus,1.3,"iulius, ut, perhibeo, diuus, trieteris, regno, augustus, post, lustro, decem, sex, prorogo, annus, et, ter, septeni, geminus, nero, claudus, addo, tertius, finio, hiems, grassor, tempus, gaius, claudus, hebdomada, duplico, traho, et, ne.o, dirus, tantus, summa, consul, sed, desum, unus, galba, senex, otho, lasciuus, famose, uitellus, tertius, tu, latium, regno, nescio, aestas, impleo, fatal, decadam, sui, uespasianus, ter, dominor, titus, cingo, nouo, laureus, ianus, quindecies, saeuus, potio, dum, frater, habena",69,"NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN",-0.022,-0.043,"dirus, lasciuus, tu, saeuus",0.058
ausonius.de_xii_caesaribus,1.4,"iulius, intereo, caesar, grassor, senatus, addo, augustus, deus, uolo, maturo, senectus, serus, senex, caprea, exul, nero, fatum, perago, expetiit, poena, de, caesar, chaerea, mollio, claudus, ambiguus, concludo, fatum, ueneno, matricida, nero, proprius, uis, perfero, ensis, galba, senex, pereo, saeuus, prosterno, otho, mox, otho, famosus, clarus, sed, mors, potior, prodigus, succedo, perimendi, sceptrum, uitellus, laudo, imperium, mors, lenis, uespasiano, at, titus, orbis, amor, rapio, floreo, annus, serus, grauis, perimo, sed, iustus, piaculum, frater",72,"NaN, NaN, 0.5, NaN, 0.5, NaN, 1.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, -0.5, -0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, 1.0, NaN, 0.0",0.007,-0.09,"poena, saeuus, famosus",0.042
ausonius.de_xii_caesaribus,2.0,"nunc, et, praedico, et, regnum, sors, sequor, expedio, series, qui, teneo, imperium, incipio, ab, diuus, percurramque, ordo, cunctus, nosco, romanus, qui, memor, historia",23,"NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, 1.0, NaN",0.043,-0.043,,0.0
ausonius.de_xii_caesaribus,2.1,"imperium, bini, sum, sollemnis, qui, olim, consul, caesar, iulius, obtineo, sed, breuis, ius, regnum, solus, trieteris, gero, percello, armo, factio, saeuus, toga",22,"0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, 0.5, 0.0, -0.5, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN",0.023,-0.068,"factio, saeuus",0.091
ausonius.de_xii_caesaribus,2.2,"ultor, successor, dehinc, octauus, idem, caesar, et, augustus, nomen, nobilior, longaeuus, et, numquam, dubius, uiolo, potestas, in, terra, pono, prodo, sum, deus",22,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0",0.068,-0.023,"ultor, uiolo",0.091
ausonius.de_xii_caesaribus,2.3,"praenome, -ne, tiberius, nanciscor, nero, primus, iuuenta, tempus, laudo, gero, in, imperium, frustra, dehinc, solum, caprearis, claudo, in, antrum, qui, prodeo, uitium, credo, operio, locus",25,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, 0.0",-0.02,-0.04,,0.0
ausonius.de_xii_caesaribus,2.4,"post, hic, castrensis, caliga, cognomine, caesar, succedo, saeuus, saeuus, ingenium, caedes, incestisque, dehinc, maculosus, et, omnis, crimen, polluo, qui, supero, auus",21,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, -1.0, 0.5, -0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN",-0.119,-0.167,"hic, saeuus, saeuus, caedes, maculosus, crimen, polluo",0.333
ausonius.de_xii_caesaribus,2.5,"claudus, inrisae, priuo, in, tempus, uita, in, regnum, specimen, prodo, ingenium, libertina, tamen, nuptaris, et, crimen, patior, non, facio, noceo, sed, patior, sum",23,"-0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.043,-0.065,"crimen, noceo",0.087
