Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.eclogarum_liber,1.1,"“cui, donum, lepidus, nouus, libellus",5,"NaN, 0.0, NaN, 1.0, 0.0",0.2,0.0,,0.0
ausonius.eclogarum_liber,1.2,"ueronensis, aio, poeta, quondam",4,"NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.eclogarum_liber,1.3,"inuentoque, do, statim, nepos",4,"NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.eclogarum_liber,1.4,"at, nos, illepidus, rudis, libellus",5,"NaN, NaN, -1.0, -0.5, 0.0",-0.3,-0.3,,0.0
ausonius.eclogarum_liber,1.5,"burras, quisquiliae, ineptiasque",3,"NaN, NaN, NaN",nan,nan,,0.0
ausonius.eclogarum_liber,1.6,"credo, gremium, qui, foueo",4,"NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.eclogarum_liber,1.7,"inuenio, trepidus, sileo, nugae",4,"NaN, -1.0, NaN, -1.0",-0.5,-0.5,,0.0
ausonius.eclogarum_liber,1.8,"neque, doceo, paruus, et, magis, benignus",6,"NaN, NaN, 0.0, NaN, NaN, 1.0",0.167,0.0,,0.0
ausonius.eclogarum_liber,1.9,"quam, qui, gallia, praebeo, catullo",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.eclogarum_liber,1.1,"hic, nullus, ego, carus, meus",5,"NaN, NaN, NaN, 1.0, 0.0",0.2,0.0,hic,0.2
ausonius.eclogarum_liber,1.11,"qui, multus, facio, nouo, soror",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.eclogarum_liber,1.12,"quam, cunctus, alius, marum, dempto",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.eclogarum_liber,1.13,"“, pacatum, haud, dubius, poeta, dico",6,"NaN, NaN, NaN, -0.5, 0.0, NaN",-0.083,-0.083,,0.0
ausonius.eclogarum_liber,1.14,"ipse, sum, intrepidus, uolo, uerro",5,"NaN, NaN, 1.0, NaN, NaN",0.2,0.0,,0.0
ausonius.eclogarum_liber,1.15,"et, nidus, in, gremium, fouete, tueor",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.eclogarum_liber,1.16,"hic, tu, diligo, hic, uolo, tueor",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, tu, hic",0.5
ausonius.eclogarum_liber,1.17,"ignosco, tego, probo, trado",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.eclogarum_liber,1.18,"post, hic, iudicium, timeo, nullus, ual",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,hic,0.167
ausonius.eclogarum_liber,2.1,"qui, uita, sectabor, iter, si, plenus, tumultus",7,"NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.eclogarum_liber,2.2,"sum, foro, si, cura, domus, anxius, si, peregrinus",8,"NaN, NaN, NaN, -1.0, 0.0, -1.0, NaN, NaN",-0.25,-0.25,,0.0
ausonius.eclogarum_liber,2.3,"cura, domus, sequor, mercantem, si, nouo, semper",7,"-1.0, 0.0, NaN, NaN, NaN, NaN, NaN",-0.143,-0.143,,0.0
ausonius.eclogarum_liber,2.4,"damno, maneo, cessaris, ueto, si, turpis, egestas",7,"NaN, NaN, NaN, NaN, NaN, -1.0, -1.0",-0.286,-0.286,"damno, turpis, egestas",0.429
ausonius.eclogarum_liber,2.5,"si, uexo, labor, agricola, mare, naufragus, horror",7,"NaN, NaN, -0.5, NaN, 0.0, -0.5, -1.0",-0.286,-0.286,"uexo, naufragus",0.286
ausonius.eclogarum_liber,2.6,"infamo, poena, grauis, in, caelibe, uito",6,"NaN, -1.0, -0.5, NaN, NaN, NaN",-0.25,-0.25,"infamo, poena",0.333
ausonius.eclogarum_liber,2.7,"et, grauis, caueo, custodia, uanus, maritus",6,"NaN, -0.5, NaN, NaN, -0.5, 0.0",-0.167,-0.167,"uanus, maritus",0.333
ausonius.eclogarum_liber,2.8,"sanguineus, si, mars, opus, si, turpis, lucrum",7,"NaN, NaN, NaN, 0.5, NaN, -1.0, 0.5",0.0,-0.143,turpis,0.143
ausonius.eclogarum_liber,2.9,"faenus, et, uelox, inops, utor, trucido",6,"NaN, NaN, NaN, -1.0, NaN, NaN",-0.167,-0.167,faenus,0.167
