Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.epicedion_in_patrem,4.0,"post, deus, semper, pater, colo, secundus, reuerentia, genitor, meus, debeo, sequor, ergo, hic, superus, deus, ueneratio, epicedion, -ne, pater, meus, titulus, ab, graecus, auctor, defunctor, honri, dico, non, ambitiosus, sed, religiosus, qui, commendo, lector, meus, siue, is, filius, sum, seu, pater, siue, uterque, neque, ut, laudo, exigo, sed, ut, amo, postulo, neque, uerus, nunc, pater, meus, laudo, qui, ille, non, egeo, et, ego, fungor, oblectatio, uiuo, onero, non, debeo, neque, dico, nisi, qui, agnosco, qui, pario, aetas, is, intersum, falsus, ego, autem, mors, is, obeo, dico, et, uerus, taceo, idem, piaculis, existimo, imago, ipse, hic, uerro, subscribo, sum, neque, paruus, in, opusculum, meus, series, refero, alius, omnis, meus, displiceo, ego, hic, relego, amo",113,"NaN, 0.0, NaN, 0.0, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.009,-0.022,"hic, ambitiosus, hic, hic",0.035
ausonius.epicedion_in_patrem,4.1,"nomen, ego, ausonius, non, ulter, ars, medeor",7,"0.0, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.epicedion_in_patrem,4.2,"et, meus, si, nosco, tempus, primus, sum",7,"NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN",0.071,0.0,,0.0
ausonius.epicedion_in_patrem,4.3,"uicina, urbs, colo, patrium, domo",5,"NaN, 0.5, NaN, NaN, NaN",0.1,0.0,,0.0
ausonius.epicedion_in_patrem,4.4,"uasates, patria, sed, laris, burdigalam",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epicedion_in_patrem,4.5,"curia, ego, duplex, et, uterque, senatus, habeo",7,"-1.0, NaN, 0.0, NaN, NaN, 0.5, NaN",-0.071,-0.143,,0.0
ausonius.epicedion_in_patrem,4.6,"munus, exsortem, nomen, participo",4,"0.5, NaN, 0.0, NaN",0.125,0.0,,0.0
ausonius.epicedion_in_patrem,4.7,"non, opulens, neque, egeo, parcus, sine, sordes, ago",8,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.125,-0.125,sordes,0.125
ausonius.epicedion_in_patrem,4.8,"uinco, habitus, mos, semper, idem, habeo",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,,0.0
ausonius.epicedion_in_patrem,4.9,"sermo, inpromptus, latium, uerus, attica, lingua",6,"-0.5, NaN, NaN, 0.5, NaN, -0.5",-0.083,-0.167,,0.0
ausonius.epicedion_in_patrem,4.1,"sufficio, colo, uox, eloquium",4,"NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.epicedion_in_patrem,4.11,"optulis, ops, cunctus, posco, ars, inemptus",6,"NaN, 0.0, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.epicedion_in_patrem,4.12,"officium, meus, cum, pietas, sum",5,"0.5, 0.0, NaN, 1.0, NaN",0.3,0.0,,0.0
ausonius.epicedion_in_patrem,4.13,"iudicium, de, ego, studeo, praesto, bonus",6,"0.5, NaN, NaN, NaN, NaN, 1.0",0.25,0.0,,0.0
ausonius.epicedion_in_patrem,4.14,"ipse, ego, numquam, iudex, ego, placeo",6,"NaN, NaN, NaN, 0.5, NaN, NaN",0.083,0.0,,0.0
ausonius.epicedion_in_patrem,4.15,"officium, in, multus, diuerto, debeo, cultus",6,"0.5, NaN, 0.0, NaN, NaN, -0.5",0.0,-0.083,,0.0
ausonius.epicedion_in_patrem,4.16,"persona, meritum, tempus, distribuo",4,"0.0, 1.0, 0.0, NaN",0.25,0.0,,0.0
ausonius.epicedion_in_patrem,4.17,"lis, abstineo, non, augeo, non, minuo, res",7,"-0.5, NaN, NaN, NaN, NaN, NaN, 0.0",-0.071,-0.071,,0.0
ausonius.epicedion_in_patrem,4.18,"indico, ego, nullus, sed, neque, testis, pereo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epicedion_in_patrem,4.19,"inuideo, numquam, cupio, atque, amb-eo, refugio",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epicedion_in_patrem,4.2,"iuro, aut, falsus, dico, par, habeo",6,"NaN, NaN, -1.0, NaN, 0.5, NaN",-0.083,-0.167,,0.0
ausonius.epicedion_in_patrem,4.21,"factio, ego, sui, non, non, coniuratio, iungo",7,"0.5, NaN, NaN, NaN, NaN, -0.5, NaN",0.0,-0.071,"factio, coniuratio",0.286
ausonius.epicedion_in_patrem,4.22,"sincerus, colo, foedus, amicitia",4,"0.5, NaN, -1.0, 1.0",0.125,-0.25,,0.0
ausonius.epicedion_in_patrem,4.23,"felix, scio, non, qui, qui, uolo, habeo",7,"1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.143,0.0,,0.0
ausonius.epicedion_in_patrem,4.24,"sed, qui, per, fatum, non, do, non, cupio",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.epicedion_in_patrem,4.25,"non, occursator, non, garrulus, obuius, cerno",6,"NaN, NaN, NaN, NaN, -0.5, NaN",-0.083,-0.083,garrulus,0.167
ausonius.epicedion_in_patrem,4.26,"ualua, et, uelo, condio, non, adeo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epicedion_in_patrem,4.27,"fama, qui, possum, uita, lacero, bonus",6,"1.0, NaN, NaN, 0.0, NaN, 1.0",0.333,0.0,lacero,0.167
ausonius.epicedion_in_patrem,4.28,"non, fingo, et, uerus, si, scio, taceo",7,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.071,0.0,fingo,0.143
ausonius.epicedion_in_patrem,4.29,"ira, procul, spes, uanus, procul, procul, anxius, cura",8,"-1.0, NaN, 0.5, -0.5, NaN, NaN, -1.0, -1.0",-0.375,-0.438,uanus,0.125
ausonius.epicedion_in_patrem,4.3,"in, bonus, homo, gaudium, fallo, procul",6,"NaN, 1.0, 0.0, 1.0, NaN, NaN",0.333,0.0,fallo,0.167
ausonius.epicedion_in_patrem,4.31,"uitas, coitus, eiuratique, tumultus",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epicedion_in_patrem,4.32,"et, semper, fingo, princeps, amicitia",5,"NaN, NaN, NaN, 0.5, 1.0",0.3,0.0,fingo,0.2
ausonius.epicedion_in_patrem,4.33,"delinquo, nihil, numquam, laus, sum, puto",6,"NaN, NaN, NaN, 1.0, NaN, NaN",0.167,0.0,,0.0
ausonius.epicedion_in_patrem,4.34,"atque, bonus, mos, lex, antetulis",5,"NaN, 1.0, 0.5, 0.5, NaN",0.4,0.0,,0.0
ausonius.epicedion_in_patrem,4.35,"irascor, promptus, propero, condo, motus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epicedion_in_patrem,4.36,"atque, ego, poena, pro, leuitas, do",6,"NaN, NaN, -1.0, NaN, 0.0, NaN",-0.167,-0.167,poena,0.167
ausonius.epicedion_in_patrem,4.37,"coniugium, per, lustro, nouo, sine, crimen, concors",7,"NaN, NaN, NaN, NaN, NaN, -1.0, 1.0",0.0,-0.143,crimen,0.143
ausonius.epicedion_in_patrem,4.38,"unus, habeo, nascor, quattuor, edo",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epicedion_in_patrem,4.39,"primus, obeo, lacto, at, qui, sum, ulter, aeuum",8,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.062,0.0,,0.0
ausonius.epicedion_in_patrem,4.4,"pubertas, rudo, non, rudis, intereo",5,"NaN, NaN, NaN, -0.5, NaN",-0.1,-0.1,,0.0
ausonius.epicedion_in_patrem,4.41,"magnus, ad, superus, colume, -ne, peruenio, honor",7,"0.0, NaN, NaN, NaN, NaN, NaN, 1.0",0.143,0.0,,0.0
ausonius.epicedion_in_patrem,4.42,"praefectus, galli, et, libyae, et, latium",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epicedion_in_patrem,4.43,"tranquillus, clemens, oculus, uox, os, serenus",6,"NaN, 1.0, 0.0, 0.0, 0.0, NaN",0.167,0.0,,0.0
ausonius.epicedion_in_patrem,4.44,"in, genitor, suus, mens, animo, puer",6,"NaN, NaN, NaN, 0.5, NaN, 0.0",0.083,0.0,,0.0
ausonius.epicedion_in_patrem,4.45,"hic, ego, et, natus, et, gener, pro, consul, uideo",9,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN",0.056,0.0,hic,0.111
ausonius.epicedion_in_patrem,4.46,"consul, ut, ipse, sum, spes, ego, certus, sum",8,"0.5, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN",0.188,0.0,,0.0
ausonius.epicedion_in_patrem,4.47,"matronal, decus, possedo, filia, qui",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epicedion_in_patrem,4.48,"egregius, et, nubo, laus, sum, et, uidua",7,"0.0, NaN, NaN, 1.0, NaN, NaN, NaN",0.143,0.0,"nubo, uidua",0.286
ausonius.epicedion_in_patrem,4.49,"qui, nascor, gener, et, progeneri, simul, omnis",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epicedion_in_patrem,4.5,"multiplex, illustris, uideo, honor, domus",5,"NaN, NaN, NaN, 1.0, 0.0",0.2,0.0,,0.0
ausonius.epicedion_in_patrem,4.51,"ipse, neque, adfectans, neque, detrectator, honor",6,"NaN, NaN, NaN, NaN, NaN, 1.0",0.167,0.0,,0.0
ausonius.epicedion_in_patrem,4.52,"praefectus, magnus, nuncupo, illyricum",4,"NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.epicedion_in_patrem,4.53,"hic, ego, fortuna, largus, indulgeo, suadeo",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,"hic, indulgeo",0.333
ausonius.epicedion_in_patrem,4.54,"numen, adoro, uita, obeo, peto",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.epicedion_in_patrem,4.55,"ne, fortunata, spatium, inuiolabilis, uita",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.epicedion_in_patrem,4.56,"fatal, morsus, stringo, ullus, dies",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,morsus,0.2
