Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.epigrammata,1.0,"si, tinea, cariemque, patior, tu, charta, necesse, sum, incipio, uersiculis, ante, pereo, meus, “malo, inquam, tinea, sapio, aerumnose, libellus, perfungor, malo, qui, leuis, malus, at, ego, damnosus, nolo, otium, perdo, musa, iacio, somnium, qui, pario, atque, oleum, “utilius, dormio, sum, quam, perdo, somnus, atque, oleum, bene, aio, causa, sed, iste, ego, sum, irasco, proculo, qui, facundia, tantus, sum, quantus, honor, scribo, multus, qui, cohibeo, hu, -ne, studeo, ulciscor, et, promptus, sum, ultio, uates, qui, suus, non, edo, carmen, noster, lego, hic, in, arbitrium, sum, seu, tu, inuenescere, cedrus, seu, iubeo, durus, uermis, sum, cibus, hic, ego, qui, nos, supersum, ignobilis, otium, deputo, siue, lego, qui, do, siue, tego",108,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.005,-0.032,"tu, otium, hu, ulciscor, ultio, hic, tu, hic, otium",0.083
ausonius.epigrammata,2.0,"fama, sum, fictilis, ceno, agathoclea, rex, atque, abax, samio, saepe, onero, lutum, fereula, gemino, cum, pono, horridus, uasum, et, miseeret, ops, pauperiemque, simul, quaero, causa, respondeo, “rex, ego, qui, sum, sicaniae, figulus, sum, genitor, sero, fortuna, reuerenter, habeo, quicumque, repens, diues, ab, exilis, progredio, locus",45,"1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, 0.0",0.0,-0.033,fictilis,0.022
ausonius.epigrammata,3.0,"toxicum, zelotypus, do, uxor, moecha, marito, neque, satis, ad, mors, credo, sum, do, misceo, argentum, letalis, pondero, uiuo, cogo, ut, celer, uolo, gemino, nex, diuido, hic, si, quis, facio, discerno, uenenum, antidotum, sumo, qui, socio, bibo, ergo, inter, sui, dum, noxius, poculum, certo, cedo, letal, noxa, salutifer, protinus, et, uacuus, aluus, peto, recedo, lubricus, deicio, qui, uia, nosco, cibus, quam, pius, cura, deus, prodo, crudelis, uxor, et, cum, fatum, uolo, bini, ueneno, iuuo",73,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, -1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",-0.075,-0.089,"zelotypus, uxor, moecha, marito, nex, hic, noxius, noxa, crudelis, uxor",0.137
ausonius.epigrammata,4.0,"langueo, gaius, morior, dico, olim, eunomus, euado, fatum, ops, non, medicus, paulus, post, ipse, uideo, aut, uideo, puto, palleo, et, multus, mors, in, effigies, “quis, tu, “gaius, aio, “uiuisne, hic, abnuo, “et, quis, nunc, ago, hic, missus, dis, aio, uenio, ut, quia, notitia, res, homo, teneo, accirem, medicus, eunomus, ob-rigesco, tum, gaius, “metuas, nihil, eunome, dico, ego, et, omnis, nullus, qui, sapio, dico, tu, medicus",65,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.015,-0.015,"tu, hic, hic, tu",0.062
ausonius.epigrammata,5.0,"latro, catulus, hinnio, fingo, equus, caprigenumque, pecus, lanifica, grex, habitus, ad-simulo, asinus, quoque, rudo, dico, cum, uolo, arcadicum, fingo, marceo, pecus, gallus, cantus, et, ouo, guttur, coruus, et, quisquis, uox, belua, et, ales, habeo, omnis, cum, simulis, ita, uerus, ut, fictum, nego, non, possum, humanus, uox, habeo, sonus",48,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN",0.01,0.0,"latro, fingo, fingo, gallus, simulis, fictum",0.125
ausonius.epigrammata,6.0,"emendo, possum, quisnam, uox, sum, magister, nomen, qui, proprius, cum, uitio, loquor, auxilium, tu, nempe, uoco, inseite, magister, do, recingo, casus, iam, solicismus, sum",24,"NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN",0.042,0.0,tu,0.042
ausonius.epigrammata,7.0,"emo, qui, liber, tu, bibliotheca, refercio, sum, doceo, et, grammaticus, tu, philomuse, puto, hic, genus, et, chorda, et, plectrum, et, barbio, condo, omnis, mercor, sum, citharoedus, sum",27,"NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.056,0.0,"emo, tu, tu, hic, mercor",0.185
ausonius.epigrammata,8.0,"“reminisco, rufus, dico, in, uerro, suus, cor, ergo, uerro, immo, rufus, non, habeo",13,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.epigrammata,9.0,"ruetor, hic, rufus, statua, sum, nihil, uerus, ipse, sum, ipse, adeo, lingua, non, habeo, et, cerebrum, et, rigo, et, surdus, sum, et, non, uideo, hic, sui, consto, unus, dissimilis, sum, mollio, ille, sum",33,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,-0.015,"hic, hic",0.061
ausonius.epigrammata,10.0,"“, os, pulero, et, os, muto, scio, uolo, qui, sum, “, uolo, “imago, rufus, rhetor, pictauici, “, dico, sed, ipse, uolo, rhetor, hic, ego, “no, -ne, possum, “, cur, “ipse, rhetor, sum, imago, imago",34,"NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,hic,0.029
ausonius.epigrammata,11.0,"“, rhetor, hic, rufus, statua, sum, “si, saxeus, rufus, “cur, is, aio, “semper, saxeus, ipse, sum",16,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,hic,0.062
ausonius.epigrammata,12.0,"elinguo, quis, tu, dico, imago, pingo, dico, ego, rufus, taceo, nihil, tu, tam, similis, sum",15,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,"tu, tu",0.133
ausonius.epigrammata,13.0,"“, hic, rufus, tabula, sum, “nil, uerus, ipse, nbi, rufus, “i, -ne, eathedra, “quid, ago, “hoc, qui, et, in, tabula",20,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.025,0.0,hic,0.05
ausonius.epigrammata,14.0,"laqueus, uolo, suspendo, ex, graecus, qui, laqueus, collum, necto, reperio, aurum, thesaurique, locus, depono, laqueus, at, qui, condo, postquam, non, reperio, aurum, apto, collum, qui, repeto, laqueus",27,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.037,0.0,,0.0
ausonius.epigrammata,15.0,"ἀρχὴ, δέ, τοι, ἥμιδυ, παντός, incipio, dimidium, facio, sum, coepio, superfio, dimidium, rursum, hic, incipio, et, efficio",17,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.059
