Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.epitaphia,1.0,"ausonius, lector, suus, salus, ad, res, pertineo, existimo, ut, uel, uanus, opusculis, materia, congruo, absoluo, et, libellus, qui, commemoratio, habeo, is, qui, uel, peregrinus, burdigalae, uel, burdigalenses, peregre, doceo, epitaphium, subnecterem, scilicet, titulus, sepulcral, heros, qui, bellum, troico, intersum, qui, antiquus, cum, aput, philologus, quidam, reperio, latino, sermo, conuerto, non, ut, inseruirem, ordo, persequor, studium, sed, ut, cohercerem, libo, neque, aberraris, rex, rex, atrides, fraternus, coniunx, ultor, oppetii, manus, coniunx, ipse, meus, quis, prodo, helenes, rapio, punisse, doleo, uindico, adulterium, cum, clytemestra, neco",83,"NaN, 0.0, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, -0.5, NaN, NaN, 0.0, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN",-0.006,-0.03,"uanus, atrides, fraternus, ultor, adulterium",0.06
ausonius.epitaphia,2.0,"felix, o, menelae, deus, qui, debeo, sedes, decerno, pius, manus, elysium, tyndareo, diligo, gener, diligo, tono, coniugium, uindex, ultor, adulterium, aeternus, polleo, aeuum, aeternus, iuuenta, neque, letum, patior, tempus, neque, senium",31,"1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, 0.0, NaN, -0.5",0.0,-0.065,"uindex, ultor, adulterium",0.097
ausonius.epitaphia,3.0,"a-iacio, tumulus, pariter, tego, obruo, uirtus, in-lacrimo, bustum, funus, ipse, meus, incomptas, lacero, como, qui, prauus, atrides, cedo, ego, instruo, compello, insidiae, iam, do, purpureus, clarus, de, sanguis, flos, testo, gemitus, crimen, iudicium",33,"NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, -0.5, -1.0, 0.5",-0.015,-0.091,"bustum, lacero, prauus, atrides, insidiae, crimen",0.182
ausonius.epitaphia,4.0,"non, unus, aeacide, -ne, tellus, habeo, os, tego, litus, sigeo, crinis, larisa, cremo, pars, tumulus, secerno, iaceo, pars, classis, refero, sum, orbis, sed, in, totus, rediuiuus, ostendo, homerus",28,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,"iaceo, classis",0.071
ausonius.epitaphia,5.0,"condio, hic, tumulus, laerta, nascor, ulixes, perlego, odyssea, -ne, omnis, nosco, uolo",12,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.083
ausonius.epitaphia,6.0,"condio, hic, genitor, bonus, bonus, diomedes, crimen, ob, uxor, pello, dotal, argis, argyripam, clarus, uis, qui, condo, arpos, clarus, urbs, nouo, patria, quam, sedes, uetustus",25,"NaN, NaN, NaN, 1.0, 1.0, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, 0.0",0.14,-0.04,"hic, crimen, uxor, dotal",0.16
ausonius.epitaphia,7.0,"consilium, bellus, bonus, qui, copulo, rarus, sum, carus, et, atridis, carus, et, aeacidis, praemium, uirtus, simul, et, pietas, adipiscor, seruo, antilochus, nestor, pater, obeo, non, hic, ordo, sum, sed, iustus, ille, supersto, troia, capio, sine, quo, perfidus, non, possum",39,"0.5, 1.0, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 1.0, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN",0.205,-0.026,"hic, perfidus",0.051
ausonius.epitaphia,8.0,"hic, tego, in, tumulus, quartus, iam, prodigus, aeuum, nestor, consilium, clarus, et, eloquium, obiacio, sui, qui, pro, mors, per-emo, filius, et, nascor, uulnus, uiuo, pater, eheu, cur, fatum, dispono, sic, placeo, aeuum, tam, longus, ut, nos, tam, breuis, ut, antilocho",40,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",-0.025,-0.05,"hic, per-emo",0.05
ausonius.epitaphia,9.0,"orbis, tego, medium, magnus, uirtus, paternus, qui, puer, et, rex, pyrrhus, opimus, fero, impius, ante, ara, qui, fraus, per-emo, orestes, quis, mirus, caedo, iam, genetrix, furo",26,"NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN",0.0,-0.077,"impius, fraus, per-emo, furo",0.154
ausonius.epitaphia,10.0,"neque, ego, non, dignus, titulus, pleuronia, credo, qui, communis, sum, cum, diomede, domus, euryalo, et, sthenelo, nam, tertius, hic, ego, regnum, possedi, de, quo, nunc, satis, sum, tumulus",28,"NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.054,0.0,hic,0.036
