Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.griphus_ternarii_numeri,1.1,"ter, bibo, uel, totiens, terni, sic, mysticus, lex, sum",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.056,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.2,"uel, tres, poto, uel, ter, tres, multiplicanti",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.3,"inparis, nouies, terni, contego, coebum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.4,"ius, idem, tres, sum, qui, ter, tres, omnis, in, iste",10,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.05,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.5,"forma, homo, coepio, plenus, exactio, pario",6,"1.0, 0.0, NaN, 0.0, NaN, NaN",0.167,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.6,"quisque, nouo, nouies, fatum, teneo, ulter, finis",7,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.7,"tres, ops, progigno, frater, tres, ordo, pario",7,"NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN",0.071,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.8,"uesta, cero, et, iuno, secus, muliebris, soror",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,muliebris,0.143
ausonius.griphus_ternarii_numeri,1.9,"inde, trisulcus, io, sum, fulmen, cerberus, inde",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.1,"inde, tridens, triplex, helenae, cum, frater, ouum",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.11,"ter, nouo, nestoreos, impleo, purpura, fundo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.12,"et, totiens, terni, cornix, uiuax, aeuum",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.13,"quam, nouies, terni, glomerantem, saeculum, traho",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.14,"uinco, aeripedes, ter, temo, nestor, ceruus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.15,"tres, qui, aetas, supero, phoebeius, osce, -ne",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.16,"qui, nouies, senex, gangeticus, anteeo, ales",6,"NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.17,"ales, cinnameus, radio, tempus, nidus",5,"0.0, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.18,"trigeminus, sum, hecate, tres, uirgo, os, diana",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,uirgo,0.143
ausonius.griphus_ternarii_numeri,1.19,"tres, charites, tres, fatum, triplex, uox, trini, elementum",8,"NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5",0.062,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.2,"tres, in, trinacria, siredones, omnis, terni",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.21,"tres, uolucris, tres, semidea, tres, semipuellae",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.22,"ter, tres, ad, palma, iubeo, certo, camenis",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.23,"os, manus, flo, buxus, fides, uox, caneo",7,"0.0, 0.0, NaN, NaN, 1.0, 0.0, NaN",0.143,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.24,"tres, sophia, pars, tres, punica, bellum, trimenstres",7,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.25,"annus, caelum, uicis, nox, per, umbra",6,"0.0, 0.5, NaN, 0.0, NaN, NaN",0.083,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.26,"tergeo, uigilis, ter, clarus, insto, eoi",6,"NaN, NaN, NaN, 0.5, NaN, NaN",0.083,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.27,"signum, cano, serus, de_-prehenso, martes, satelles",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,satelles,0.167
ausonius.griphus_ternarii_numeri,1.28,"et, qui, concipio, triplicatae, uesperus, nox",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.29,"iubeo, quater, terni, affigo, opimus, tropaeum",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.3,"et, lyricus, uates, numerus, sum, mnemosynaris",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.31,"tres, solo, quondam, teneo, qui, dextera, phoebus",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.32,"sed, cithero, -ne, totiens, terni, ex, aer, sacro",8,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.33,"religio, -ne, pater, qui, sex, sperno, timeo",7,"1.0, NaN, 0.0, NaN, NaN, NaN, NaN",0.143,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.34,"trini, tarentino, celebro, trinoctia, ludo",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.35,"qualis, bis, gigno, thebis, trietericus, baccho",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.36,"tres, primus, thraecum, pugna, tres, ordo, bellum",7,"NaN, 0.5, NaN, -1.0, NaN, 0.5, 0.0",0.0,-0.143,,0.0
ausonius.griphus_ternarii_numeri,1.37,"iuniadae, patrius, inferiae, mitto, sepulcrum",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,sepulcrum,0.2
ausonius.griphus_ternarii_numeri,1.38,"ille, etiam, thalamus, per, trini, aenigma, quaero",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.39,"qui, bipes, et, quadrupes, sum, et, tripes, omnis, solus",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5",-0.056,-0.056,,0.0
ausonius.griphus_ternarii_numeri,1.4,"terreo, aonius, uolucris, leo, uirgo, triformis",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"leo, uirgo",0.333
ausonius.griphus_ternarii_numeri,1.41,"sphinx, uolucris, penna, pes, ferus, frons, puella",7,"NaN, NaN, NaN, 0.0, -1.0, 0.0, NaN",-0.143,-0.143,ferus,0.143
ausonius.griphus_ternarii_numeri,1.42,"trini, in, tarpeio, fulgeo, consortium, templum",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.43,"humanus, efficio, habitaculum, tergenus, ars",5,"0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.44,"paries, qui, saxum, loco, qui, culmen, tignum",7,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.45,"et, qui, superus, como, tectorium, cultus",6,"NaN, NaN, NaN, NaN, NaN, -0.5",-0.083,-0.083,tectorium,0.167
ausonius.griphus_ternarii_numeri,1.46,"hinc, bromii, quadrantal, et, hinc, sicana, medimnum",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,sicana,0.143
ausonius.griphus_ternarii_numeri,1.47,"hic, tres, hic, geminus, tres, explico, utor, ago",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, hic",0.25
ausonius.griphus_ternarii_numeri,1.48,"in, physicus, tres, primus, deus, mundus, do, forma",8,"NaN, NaN, NaN, 0.5, 0.0, 1.0, NaN, 1.0",0.312,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.49,"tergenus, omnigenum, genitor, genetrix, genero",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.5,"per, terni, species, trigonum, regula, curro",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.51,"aequilatus, uel, crus, par, uel, in, omnis, impar",8,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5",0.0,-0.062,,0.0
ausonius.griphus_ternarii_numeri,1.52,"tres, coeo, in, pars, numerus, perficio, ut, idem",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.griphus_ternarii_numeri,1.53,"congrege, ter, temo, per, ter, tres, dissoluo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.griphus_ternarii_numeri,1.54,"tres, primus, par, impar, habeo, medius, sed, ipse",8,"NaN, 0.5, 0.5, -0.5, NaN, 0.0, NaN, NaN",0.062,-0.062,,0.0
ausonius.griphus_ternarii_numeri,1.55,"ut, tres, sic, quinque, et, septem, quoque, diuido, unus",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
