Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.libri_de_fastis_conclusio,1.1,"ignotus, aeternus, ne, sum, tu, tempus, roma",7,"-0.5, 0.5, NaN, NaN, NaN, 0.0, NaN",0.0,-0.071,tu,0.143
ausonius.libri_de_fastis_conclusio,1.2,"rex, et, pater, duco, sub, imperium",6,"0.0, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.libri_de_fastis_conclusio,1.3,"digero, fasti, et, nomen, praepeto, aeuum",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.libri_de_fastis_conclusio,1.4,"spargo, iaceo, latiam, si, qui, per, historia",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,iaceo,0.143
ausonius.libri_de_fastis_conclusio,1.5,"sum, tuus, hic, fructus, uigilatas, accipio, nox",7,"NaN, 0.0, NaN, 0.5, NaN, NaN, 0.0",0.071,0.0,hic,0.143
ausonius.libri_de_fastis_conclusio,1.6,"obsequor, studium, noster, lucerna, tuus",5,"NaN, 0.5, NaN, NaN, 0.0",0.1,0.0,,0.0
ausonius.libri_de_fastis_conclusio,1.7,"tu, quoque, uenio, per, longus, censeo, ianos",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,tu,0.143
ausonius.libri_de_fastis_conclusio,1.8,"ut, meus, digero, pagina, praetereo",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.libri_de_fastis_conclusio,1.9,"exemplum, iam, pater, habeo, ut, protinus, et, tu",8,"0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,tu,0.125
ausonius.libri_de_fastis_conclusio,1.1,"adgreget, ausoniis, purpura, consul",4,"NaN, NaN, NaN, 0.5",0.125,0.0,,0.0
ausonius.libri_de_fastis_conclusio,2.11,nos,1,NaN,nan,nan,,0.0
ausonius.libri_de_fastis_conclusio,2.12,"annus, undecies, centum, coniungo, quaterni",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.libri_de_fastis_conclusio,2.13,"undecies, unus, super, trieterida, necto",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.libri_de_fastis_conclusio,2.14,"hic, sum, aeternus, series, ab, origo, roma",7,"NaN, NaN, 0.5, 0.5, NaN, NaN, NaN",0.143,0.0,hic,0.143
ausonius.libri_de_fastis_conclusio,3.15,"hactenus, ad-scribo, fasti, si, sors, uolo, ultra",7,"NaN, NaN, NaN, NaN, -1.0, NaN, NaN",-0.143,-0.143,,0.0
ausonius.libri_de_fastis_conclusio,3.16,"adicio, si, non, qui, lex, adicio",6,"NaN, NaN, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
ausonius.libri_de_fastis_conclusio,3.17,"scio, cupio, qui, sum, titulis, qui, quartus, ab, imus, sum",10,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.libri_de_fastis_conclusio,3.18,"quaero, lex, nomen, consul, ausonii",5,"NaN, 0.5, 0.0, 0.5, NaN",0.2,0.0,,0.0
ausonius.libri_de_fastis_conclusio,4.1,"urbs, ab, aeternus, deduco, rex, quirino",6,"0.5, NaN, 0.5, NaN, 0.0, NaN",0.167,0.0,,0.0
ausonius.libri_de_fastis_conclusio,4.2,"annus, series, cum, proculis, accipio",5,"0.0, 0.5, NaN, NaN, NaN",0.1,0.0,,0.0
ausonius.libri_de_fastis_conclusio,4.3,"mille, annus, centum, et, bis, fluo, noueni",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.libri_de_fastis_conclusio,4.4,"consul, ausonii, nomen, ad, usque, lex",6,"0.5, NaN, 0.0, NaN, NaN, 0.5",0.167,0.0,,0.0
ausonius.libri_de_fastis_conclusio,4.5,"fors, sum, ut, lustrum, cum, sui, cumulauerit, iste",8,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.libri_de_fastis_conclusio,4.6,"confacio, proculus, signo, olympiadam",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
