Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.mosella,1.0,"transeo, celer, nebulosus, flumen, nauam",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,2.0,"addo, miror, uetus, nouo, moenia, uinco",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.mosella,3.0,"aequo, latias, ubi, quondam, gallia, canna",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,4.0,"infletaeque, iaceo, inops, super, aruum, caterua",6,"NaN, NaN, -1.0, NaN, NaN, NaN",-0.167,-0.167,iaceo,0.167
ausonius.mosella,5.0,"unde, iter, ingredior, nemorosus, per, auia, solus",7,"NaN, 0.0, NaN, NaN, NaN, NaN, -0.5",-0.071,-0.071,,0.0
ausonius.mosella,6.0,"et, nullus, humanus, specto, uestigium, cultus",6,"NaN, NaN, 0.0, NaN, NaN, -0.5",-0.083,-0.083,,0.0
ausonius.mosella,7.0,"praetereo, areo, sitio, undique, terra",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.mosella,8.0,"dumnissum, riguasque, perenni, fons, taberna",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.mosella,9.0,"aruum, sauromatum, nuper, meto, colonia",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,10.0,"et, tandem, primus, belgae, conspicor, ora",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,,0.0
ausonius.mosella,11.0,"noiomagum, diuus, castrum, inclutus, constantini",5,"NaN, 0.0, NaN, 0.5, NaN",0.1,0.0,,0.0
ausonius.mosella,12.0,"purus, hic, campus, aer, phoebusque, serenus",6,"1.0, NaN, 0.0, 0.0, NaN, NaN",0.167,0.0,hic,0.167
ausonius.mosella,13.0,"lumen, purpureus, resero, iam, sudus, olympum",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,14.0,"neque, iam, consero, per, mutuus, uinculum, ramus",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.mosella,15.0,"quaero, excludo, uiridis, caligo, caelum",5,"NaN, NaN, NaN, -0.5, 0.5",0.0,-0.1,,0.0
ausonius.mosella,16.0,"sed, liquidus, iubar, et, rutilus, uiso, aethra",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,17.0,"liber, perspicuus, non, inuideo, aura, dies",6,"0.5, NaN, NaN, NaN, 1.0, 0.0",0.25,0.0,,0.0
ausonius.mosella,18.0,"in, species, quin, ego, patria, colo, niteo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,19.0,"burdigalae, blandus, pello, omnis, uideo",5,"NaN, 0.5, NaN, NaN, NaN",0.1,0.0,,0.0
ausonius.mosella,20.0,"culmen, uillaris, pendeo, edo, ripa",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,21.0,"et, uiridis, baccho, collis, et, amoenus, fluentum",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,fluentum,0.143
ausonius.mosella,22.0,"subter, labor, taceo, rumor, mosellae",5,"NaN, -0.5, NaN, NaN, NaN",-0.1,-0.1,,0.0
ausonius.mosella,23.0,"saluus, amnis, laudo, ager, laudo, colonia",6,"1.0, NaN, NaN, 0.0, NaN, NaN",0.167,0.0,,0.0
ausonius.mosella,24.0,"digno, imperium, debeo, qui, moenia, belgae",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.mosella,25.0,"amnis, odorifero, iugum, uiteus, consite, baccho",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,26.0,"consite, gramineus, amnis, uiridissime, ripa",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,27.0,"nauiger, ut, pelagus, deuexas, pronus, in, unda",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.mosella,28.0,"ut, fluuius, uitreus, lacus, imitas, profundo",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.mosella,29.0,"et, riuus, trepido, potio, aequiperaris, meo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,30.0,"et, liquidus, gelidus, fons, praecello, potus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,31.0,"omnis, solus, habeo, qui, fons, qui, riuus, et, amnis",9,"NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.056,-0.056,,0.0
ausonius.mosella,32.0,"et, lacus, et, biuius, refluus, manamine, pontus",7,"NaN, 0.0, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.mosella,33.0,"tu, placidus, praelabor, aqua, neque, murmur, uenio",7,"NaN, 1.0, NaN, 0.0, NaN, NaN, NaN",0.143,0.0,tu,0.143
ausonius.mosella,34.0,"ullus, neque, occulo, patera, luctamen, saxum",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.mosella,35.0,"non, spiro, uado, rapidus, properaris, meo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,36.0,"cogo, extantes, medium, non, aequor, terra",6,"NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
ausonius.mosella,37.0,"intercipio, habeo, iustus, ne, demo, honor",6,"NaN, NaN, 1.0, NaN, NaN, 1.0",0.333,0.0,,0.0
ausonius.mosella,38.0,"nomen, excludo, si, diuido, insula, flumen",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.mosella,39.0,"tu, duplex, sortio, uia, et, cum, amnis, secundus",8,"NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,tu,0.125
ausonius.mosella,40.0,"defluis, ut, celer, ferio, uado, concito, remi",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,41.0,"et, cum, per, ripa, nusquam, cesso, remulcum",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,42.0,"intendo, collum, malus, uinculum, nauta",5,"NaN, NaN, -1.0, NaN, NaN",-0.2,-0.2,,0.0
ausonius.mosella,43.0,"ipse, tuus, quotiens, miror, in, amnis, recursus",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.mosella,44.0,"legitimosque, puto, prope, segnis, eo, meo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,45.0,"tu, neque, limigenis, ripa, praetexeris, ulua",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.167
ausonius.mosella,46.0,"neque, piger, immundus, perfundo, litus, caenum",6,"NaN, NaN, -0.5, NaN, NaN, -0.5",-0.167,-0.167,caenum,0.167
ausonius.mosella,47.0,"sicco, in, primoris, pergo, uestigium, lympho",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,48.0,"eo, nunc, et, phrygiis, solus, leuis, consero, crusta",8,"NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN",-0.062,-0.062,"phrygiis, crusta",0.25
ausonius.mosella,49.0,"tendo, marmoreus, laqueatus, per, atrium, campus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.mosella,50.0,"at, ego, despicio, qui, census, ops, do",7,"NaN, NaN, NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
ausonius.mosella,51.0,"natura, miror, opus, non, dirus, nepos",6,"0.0, NaN, 0.5, NaN, -1.0, 0.0",-0.083,-0.167,dirus,0.167
ausonius.mosella,52.0,"laeto, iacio, ubi, luxurio, egestas",5,"NaN, NaN, NaN, NaN, -1.0",-0.2,-0.2,"luxurio, egestas",0.4
ausonius.mosella,53.0,"hic, solidus, sterno, umeo, litus, harena",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,hic,0.167
ausonius.mosella,54.0,"neque, retineo, memor, uestigium, premo, figura",6,"NaN, NaN, 1.0, NaN, NaN, NaN",0.167,0.0,,0.0
ausonius.mosella,55.0,"specto, uitreus, per, leuis, tergum, profundo",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.mosella,56.0,"secerno, nihil, amnis, habeo, ut, almus, aperio",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.mosella,57.0,"pando, intueor, liquidus, obtus, aer",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
