Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.oratio_consulis,3.1,"spes, deus, aeternus, statio, conciliator",5,"0.5, 0.0, 0.5, NaN, NaN",0.2,0.0,,0.0
ausonius.oratio_consulis,3.2,"si, caueo, prex, uenial, inuigilamus",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.oratio_consulis,3.3,"hic, pater, oro, placabilis, adstipularis",5,"NaN, 0.0, NaN, 1.0, NaN",0.2,0.0,hic,0.2
ausonius.oratio_consulis,3.4,"do, christe, specimen, cognoscier, inreprehensum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.oratio_consulis,3.5,"rex, bonus, cultor, famulantum, uiuificator",5,"0.0, 1.0, NaN, NaN, NaN",0.2,0.0,,0.0
ausonius.oratio_consulis,3.6,"cum, pater, maiestas, alo, non, generate.",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.oratio_consulis,3.7,"do, terni, colume, -ne, paraclito, consociante",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.oratio_consulis,3.8,"ut, longus, celeber, deuotio, continuo",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.oratio_consulis,3.9,"ad, tu, propero, uigilo, conuenienter",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.2
ausonius.oratio_consulis,3.1,"nox, lux, reueho, funal, anteferendam",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.oratio_consulis,3.11,"nox, lumen, pario, credo, indubitas",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.oratio_consulis,3.12,"nox, flamma, opus, meditatrix, sidereorum",5,"0.0, NaN, 0.5, NaN, NaN",0.1,0.0,,0.0
ausonius.oratio_consulis,3.13,"tu, mensis, dirimis, ieiunium, religiosus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.2
