Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.ordo_urbium_nobilium,1.0,"primus, urbs, inter, diuus, domus, aureus, roma",7,"0.5, 0.5, NaN, 0.0, 0.0, 0.5, NaN",0.214,0.0,,0.0
ausonius.ordo_urbium_nobilium,2.0,"constantinopoli, assurgo, carthago, prior, non, totus, cedo, gradus, quia, tertius, dico, fastidio, non, audeo, locus, spero, secundus, qui, sum, ambaris, uetus, hic, opulentia, praefero, hic, fortuna, recens, sum, hic, subeo, iste, nouus, excello, meritum, uetus, praestringo, honor, et, constantino, concedo, cogo, elissam, accuso, carthago, deus, iam, plenus, pudor, nunc, quoque, si, cedo, roma, uix, patior, prior, con-pono, uester, fortuna, antiquus, tumor, eo, par, tandem, memor, qui, numen, diuus, angustus, muto, ops, et, nomen, tu, cum, byzantina, lygos, tu, punica, byrsa, sum",81,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, -0.5, NaN, 0.5, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.068,-0.006,"hic, hic, hic, pudor, tu, tu",0.074
ausonius.ordo_urbium_nobilium,4.0,"tertius, phoebeae, laurus, domus, antiochia, uolo, alexander, si, quartus, colonia, pono, ambaris, locus, unus, et, hic, furor, ambitio, in, certamen, ago, uitium, turbidus, uulgo, uter, et, amens, populus, malus, sano, tumultus, hic, nilus, munio, qui, sum, penitus, re-pono, insinuo, locus, fecundus, et, tueor, superbio, ille, qui, infidus, oppono, aemulo, permulceo, et, tu, eo, par, macetumque, ad-tollo, nomen, magnus, alexander, tu, condo, ille, seleucum, nuncupo, ingenuus, qui, sum, ancora, signum, qualis, inuro, soleo, genus, nosco, certus, per, omnis, nam, suboles, series, natiuus, curro, imago",83,"0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN",-0.012,-0.06,"hic, furor, ambitio, amens, hic, permulceo, tu, tu, ingenuus",0.108
ausonius.ordo_urbium_nobilium,6.0,"armipotens, dudum, celebraris, gallia, gestio, treuericaeque, urbs, solium, qui, propior, rhenus, pax, ut, in, medius, gremium, securus, quiesco, imperium, uireo, qui, alo, qui, uestio, et, armo, fero, per, extendo, procurro, moenia, collis, largus, tranquillus, praelabor, amnis, mosella, longinquus, omnigenae, uectans, conmercia, terra",42,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.0, 0.0, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.048,0.0,uestio,0.024
ausonius.ordo_urbium_nobilium,7.0,"et, mediolani, mirus, omnis, copia, res, innumerus, cultaeque, domus, facundus, uir, ingenium, et, mos, laetus, tum, duplex, murus, amplifico, locus, species, populus, uoluptas, circus, et, includo, moles, cuneata, theatrum, templum, palatinaeque, arx, opulensque, moneta, et, regius, herculei, celeber, sub, honor, lauacrum, cuncto, marmoreus, orno, peristylum, signum, moenia, in, ualles, forma, circumdo, limbus, omnis, qui, magnus, opus, uelut, aemulo, forma, excello, neque, iungo, premo, uicinia, roma",65,"NaN, NaN, 1.0, NaN, 0.5, 0.0, NaN, NaN, 0.0, 1.0, 0.5, 0.5, NaN, 0.5, 1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN",0.146,0.0,,0.0
ausonius.ordo_urbium_nobilium,8.0,"neque, capua, pol, ager, colo, penuque, potens, deliciae, ops, fama, prior, sileo, fortuna, uario, uicis, qui, fretus, secundus, nescio, seruaris, modus, nunc, subdo, roma, ¦aemula, nunc, fides, memor, ante, infidus, senatus, sperno, an, colo, dubito, spero, curulis, campana, audeo, auspicium, unus, suus, consul, ut, imperium, diuido, ad-tollo, orbis, quin, etiam, res, domina, latiique, parens, adpetiit, bellum, dux, non, fretus, togatus, hannibal, iuro, arma, decipio, in, hostis, seruitium, demens, species, transeo, erilis, mox, ut, in, occasus, uitium, communis, ago, con-ruo, poenio, luxus, campaneus, fastus, heu, numquam, stabilis, sortio, superbia, sedes, ille, possum, ops, ualeo, roma, alter, quondam, como, qui, par, possum, fastigium, coeo, octauus, reiecto, locus, uix, paene, tueor",108,"NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 0.0, 1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, 1.0, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, -0.5, NaN, -1.0, NaN, NaN, 0.5, NaN, -1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.014,-0.069,"deliciae, decipio, demens, luxus, heu, superbia",0.056
ausonius.ordo_urbium_nobilium,9.0,"non, sum, iste, locus, mereo, tamen, augeo, recens, nonus, inter, clarus, aquileia, cieberis, urbs, itala, ad, illyricos, obiecto, colonia, mons, moenia, et, portus, celeber, sed, magis, ille, emineo, exter, qui, tu, sub, tempus, lego, soluo, exigo, qui, serus, piaculum, lustrum, magnus, armiger, quondam, sub, nomen, lixa, felix, qui, tantus, spectatrix, laetus, triumphus, punisti, ausonio, rutupinum, martes, latro",57,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.053,0.0,"tu, latro",0.035
ausonius.ordo_urbium_nobilium,10.0,"pando, duplex, a-refero, tuus, blandus, hospita, portus, gallula, roma, arelas, quam, narbo, martius, et, quam, accolo, alpinis, opulentus, uienna, colonia, praecipio, rhodani, sic, intercisi, fluo, ut, medius, facio, naual, pons, platalea, per, qui, romanus, commercium, suscipio, orbis, neque, cohibeo, populus, alius, et, moenia, ditas, gallia, quis, fruor, gremium, aquitania, fero",50,"NaN, 0.0, NaN, 0.0, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.02,0.0,hospita,0.02
ausonius.ordo_urbium_nobilium,11.0,"carus, ego, post, hic, memoro, nomen, hiberum, hispalis, aequoreus, quam, praeterlabor, amnis, summitto, qui, totus, suus, hispania, fascis, corduba, non, non, arx, possum, tu, tarraco, certo, quisque, sinus, pelagus, iacto, sui, bracara, diues",33,"1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5",0.045,0.0,"hic, tu",0.061
ausonius.ordo_urbium_nobilium,15.0,"nunc, et, terrigena, pater, memoro, athenae, pallados, et, consi, quondam, certamen, arx, paciferae, primus, qui, contingo, arbor, oliua, attica, facundus, qui, merus, gloria, lingua, unde, per, ioniae, populus, et, nomen, achaeum, uerso, graius, manus, centum, sui, effundo, in, urbs",39,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5",0.051,-0.013,,0.0
