Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.praefatiunculae,1.1,"ausonius, genitor, nos, ego, nomen, idem",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.praefatiunculae,1.2,"qui, sum, qui, seco, stirps, laris, et, patria",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.praefatiunculae,1.3,"ad-scribo, ut, nosco, bonus, uir, quicumque, sum",7,"NaN, NaN, NaN, 1.0, 0.5, NaN, NaN",0.214,0.0,,0.0
ausonius.praefatiunculae,1.4,"et, notus, memor, ego, coleres, animus",6,"NaN, 0.0, 1.0, NaN, NaN, 0.5",0.25,0.0,,0.0
ausonius.praefatiunculae,1.5,"uasates, patria, sum, pater, gens, haedua, mater",7,"NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0",0.0,0.0,,0.0
ausonius.praefatiunculae,1.6,"de, pater, tarbellis, sed, genetrix, ab, aqua",7,"NaN, 0.0, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.praefatiunculae,1.7,"ipse, ego, burdigalae, gigno, diuido, per, urbs",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5",0.071,0.0,,0.0
ausonius.praefatiunculae,1.8,"quattuor, antiquus, stirps, origo, meus",5,"NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.praefatiunculae,1.9,"hinc, latus, fundo, sum, cognatio, nomen, multus",7,"NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0",0.0,0.0,,0.0
ausonius.praefatiunculae,1.1,"ex, noster, ut, placeo, duco, domus, uenio",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ausonius.praefatiunculae,1.11,"deriuo, alius, nos, ab, stemma, primus",6,"NaN, NaN, NaN, NaN, NaN, 0.5",0.083,0.0,,0.0
ausonius.praefatiunculae,1.12,"et, non, cognatus, sed, genetiua, placeo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.praefatiunculae,1.13,"sed, redeo, ad, series, genitor, studeo, medicina",7,"NaN, NaN, NaN, 0.5, NaN, NaN, 0.0",0.071,0.0,,0.0
ausonius.praefatiunculae,1.14,"disciplinaris, qui, do, unus, deus",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ausonius.praefatiunculae,1.15,"nos, ad, grammaticus, -ne, studium, conuerto, et, mox",8,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.062,0.0,,0.0
ausonius.praefatiunculae,1.16,"rhetorico, etiam, qui, satis, attingo",5,"NaN, NaN, NaN, 0.5, NaN",0.1,0.0,,0.0
ausonius.praefatiunculae,1.17,"neque, foro, non, celebro, ego, sed, cura, doceo",8,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.125,-0.125,,0.0
ausonius.praefatiunculae,1.18,"colo, et, nomen, grammaticus, mereo",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.praefatiunculae,1.19,"non, tam, grandis, quidem, quo, gloria, noster, subeo",8,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.praefatiunculae,1.2,"aemilium, aut, scaurus, berytiumue, probus",5,"NaN, NaN, NaN, NaN, 1.0",0.2,0.0,probus,0.2
ausonius.praefatiunculae,1.21,"sed, quo, nostras, aquitanica, nomen, multus",6,"NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
ausonius.praefatiunculae,1.22,"confero, sed, non, subdo, ad-specio",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.praefatiunculae,1.23,"exactisque, dehinc, per, trini, decennia, faueo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.praefatiunculae,1.24,"desero, doctor, municipal, opera",4,"NaN, 0.5, NaN, -0.5",0.0,-0.125,,0.0
ausonius.praefatiunculae,1.25,"aureus, et, augustus, palatium, iubeo, adeo",6,"0.5, NaN, 1.0, NaN, NaN, NaN",0.25,0.0,,0.0
ausonius.praefatiunculae,1.26,"augustus, suboles, grammaticus, doceo",4,"1.0, 0.5, NaN, NaN",0.375,0.0,,0.0
ausonius.praefatiunculae,1.27,"mox, etiam, rhetor, neque, enim, fiducia, nos",7,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.071,0.0,,0.0
ausonius.praefatiunculae,1.28,"uanus, aut, non, solidus, gloria, iudicium",6,"-0.5, NaN, NaN, 0.0, 0.0, 0.5",0.0,-0.083,uanus,0.167
ausonius.praefatiunculae,1.29,"cedo, tamen, sum, fama, potis, magister",6,"NaN, NaN, NaN, 1.0, 0.0, 0.5",0.25,0.0,,0.0
ausonius.praefatiunculae,1.3,"dum, nullus, sum, discipulus, bonus",5,"NaN, NaN, NaN, NaN, 1.0",0.2,0.0,,0.0
ausonius.praefatiunculae,1.31,"alcides, atlantis, et, aeacides, chironis",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,"alcides, aeacides",0.4
ausonius.praefatiunculae,1.32,"paene, io, iste, sero, filius, ille, io",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ausonius.praefatiunculae,1.33,"thessaliam, thebasque, suus, habeo, penates",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.praefatiunculae,1.34,"at, meus, hic, totus, regno, in, orbis, suus",8,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,hic,0.125
ausonius.praefatiunculae,1.35,"qui, ego, comes, et, quaestor, et, culmen, honor",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0",0.125,0.0,,0.0
ausonius.praefatiunculae,1.36,"praefectus, galli, et, libyae, et, latium",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ausonius.praefatiunculae,1.37,"et, prior, indipiscor, fascis, latiamque, curulis",6,"NaN, 0.5, NaN, NaN, NaN, NaN",0.083,0.0,,0.0
ausonius.praefatiunculae,1.38,"consul, collega, posterus, sum",4,"0.5, NaN, 0.0, NaN",0.125,0.0,,0.0
ausonius.praefatiunculae,1.39,"hic, ergo, ausonius, sed, tu, ne, temno, qui, ultro",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, tu",0.222
ausonius.praefatiunculae,1.4,"patronus, noster, tu, paro, carmen",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,tu,0.2
ausonius.praefatiunculae,2.1,"pectus, ut, noster, sedes, colo, almus, syagrus",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.praefatiunculae,2.2,"communis, habito, alter, ego, ausonium",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ausonius.praefatiunculae,2.3,"sic, etiam, noster, praefor, habeo, liber",6,"NaN, NaN, NaN, NaN, NaN, 0.5",0.083,0.0,,0.0
ausonius.praefatiunculae,2.4,"differo, ut, nihilum, sum, tuus, annus, meus",7,"NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0",0.0,0.0,,0.0
