Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
boethius.de_fide_catholica,1.0,"christianam, fides, nouus, atque, uetus, testamentum, pando, auctoritas, et, quamuis, nomen, ipse, christus, uetus, intra, sui, contineo, instrumentum, is, semper, signo, affuturumquem, credo, per, pario",25,"NaN, 1.0, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.08,0.0,,0.0
boethius.de_fide_catholica,5.0,"uirgo, iam, uenio, tamen, in, orbis, terra, ab, ipse, noster, saluator, mirabilis, manasse, probo, aduentus, hic, autem, religio, noster, qui, uoco, christiana, atque, catholicus, hic, fundamentum, principalis, nitor, asserens, ex, aeternus, is, sum, ante, mundus, constitutio",36,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN",0.097,0.0,"uirgo, hic, hic",0.083
boethius.de_fide_catholica,10.0,"ante, omnis, uidelicet, qui, tempus, possum, retineo, uocabulis, diuinus, pater, et, filius, atque, spiritus, sanctus, exsisto, substantia, ita, ut, deus, dico, pater, deus, filius, deus, spiritus, sancio, neque, tamen, tres, deus, sed, unus, pater, itaque, habeo",36,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN",0.042,0.0,,0.0
boethius.de_fide_catholica,15.0,"filius, ex, suus, substantia, gigno, et, sui, nosco, ratio, coaeternum, qui, filius, eatenus, confiteor, ut, non, sum, idem, qui, pater, sum, neque, pater, aliquando, sum, filius, ne, rursus, in, infinitus, humanus, animus, diuinus, progenies, cogito, neque, filius, eo, idem",39,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, 0.0, NaN, NaN, 0.0, NaN, NaN",0.026,0.0,,0.0
boethius.de_fide_catholica,20.0,"natura, qui, pater, coaeternus, sum, aliquando, fio, pater, ne, rursus, in, infinitus, diuinum, progenies, tendo, sancio, uerus, spiritus, neque, pater, sum, neque, filius, atque, ideo, in, ille, natura, neque, gigno, neque, generantem, sed, ab, patior, e, quoque, procedo",38,"0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.013,0.0,,0.0
boethius.de_fide_catholica,25.0,"uel, filius, qui, sum, tamen, processio, iste, modus, ita, non, possum, euidens, dico, quemadmodum, generatio, filius, ex, paternus, substantia, non, possum, humanus, animus, aestimaris, hic, autem, ut, credo, uetus, atque, nouus, in, formo, instructio, de",35,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN",0.057,0.0,hic,0.029
boethius.de_fide_catholica,30.0,"qui, uelut, arx, religio, noster, multus, diuerto, et, humaniter, atque, ut, ita, dico, carnalis, sentio, aduerso, loquor, sum, ut, arrius, qui, licet, deus, dico, filius, paruus, tamen, pater, multipliciter, et, extra, pater, substantia, confiteor, sabelliani, quoque",36,"NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.028,0.0,,0.0
boethius.de_fide_catholica,35.0,"non, tres, exsistentes, persono, sed, unus, audeo, sum, affirmaris, idem, dico, pater, sum, qui, filius, sum, idem, filius, qui, pater, sum, atque, spiritus, sancio, idem, sum, qui, pater, et, filius, sum, atque, per, hic, unus, dico, sum, persona, sub, uocabulum",40,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,hic,0.025
boethius.de_fide_catholica,40.0,"diuersitas, signo, manichaei, quoque, qui, duo, principia, sui, coaeterna, et, aduerso, profiteor, unigenitus, deus, sum, non, credo, indignus, enim, iudico, si, deus, habeo, filius, uideo, nihil, alius, cogito, nisi, carnalis",30,"-0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0",-0.05,-0.05,,0.0
boethius.de_fide_catholica,45.0,"ut, quia, hic, generatio, duo, corpus, commixtio, procedo, illic, quoque, indignus, sum, intellego, huiusmodi, applicaris, qui, res, is, neque, uetus, facio, recipio, testamentum, neque, in, integer, nonus, nam, sicut, ille, omnino, error, is, non, recipio, ita",36,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN",-0.042,-0.056,hic,0.028
