Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
boethius.quomodo_substantiae,1.0,"item, idem, ad, idem, quomodo, substantia, in, is, qui, sum, bonus, sum, cum, non, sum, substantialia, bonus, postulo, ut, ex, hebdomas, noster, is, quaestio, obscuritas, qui, contineo, modus, quo, substantia, in, is, qui, sum, bonus, sum, cum, non, sum, substantialia, bonus, digeram, et, paulus, euidens, monstrem, is",47,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.096,0.0,,0.0
boethius.quomodo_substantiae,5.0,"is, dico, sum, facio, qui, non, sum, omnis, notus, iter, huiusmodi, scriptio, tuus, uerus, testis, ipse, sum, quam, hic, uiuaciter, sum, ante, complexus, hebdomada, uerus, ego, ego, ipse, commento, potis, ad, memoria, meus, speculor, conseruo, quam, quisquam",37,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN",0.054,0.0,hic,0.027
boethius.quomodo_substantiae,10.0,"participo, qui, lasciuia, atque, petulantia, nihil, ab, iocus, rideo, patior, sum, seiungo, prohinc, tu, ne, sum, obscuritas, breuitas, aduersus, qui, cum, sum, arcanus, fidus, custodia, tum, is, habeo, commodus, qui, cum, hic, sol, qui, dignus, sum, con-loquor, ut, igitur",39,"NaN, NaN, NaN, NaN, -0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN",0.038,-0.026,"lasciuia, petulantia, tu, hic",0.103
boethius.quomodo_substantiae,15.0,"in, mathematicus, fio, soleo, ceter, etiam, disciplina, praepono, terminus, regulasque, qui, cunctus, qui, sequor, efficio, i., communis, animus, conceptio, sum, enuntiatio, quam, quisque, probo, audio, haris, duplex, modus, sum",29,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN",0.034,0.0,,0.0
boethius.quomodo_substantiae,20.0,"nam, unus, ita, communis, sum, ut, omnis, sum, homo, ueluti, si, hic, propono, si, duo, aequal, aequalis, aufero, qui, relinquo, aequalis, sum, nullus, is, intellego, nego, alius, uerus, sum, doctor, tantus, qui, tamen, ex, talis, communis, animus",37,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5",0.068,0.0,hic,0.027
boethius.quomodo_substantiae,25.0,"conceptio, uenio, ut, sum, qui, incorporale, sum, in, locus, non, sum, et, ceterus, qui, non, uulgus, sed, doceo, comprobo, is, diuerto, sum, sum, et, is, qui, sum, ipse, enim, sum, nondum, sum, at, uerus, qui, sum, accipio, essendi",38,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.013,0.0,,0.0
boethius.quomodo_substantiae,30.0,"forma, sum, atque, consisto, iii, qui, sum, participaris, aliquis, possum, sed, ipse, sum, nullus, modo, aliquis, participo, fio, enim, participatio, cum, aliquis, iam, sum, sum, autem, aliquis, cum, sum, suscipio",30,"1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.033,0.0,,0.0
boethius.quomodo_substantiae,35.0,"iu, is, qui, sum, habeo, aliquis, praeterquam, qui, ipse, sum, possum, ipse, uerus, sum, nihil, alius, praeter, sui, habeo, admisceo, u., diuerto, sum, tantus, sum, aliquis, et, sum, aliquis, in, is, qui, sum, illic, enim, accido, hic",37,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.014,0.0,hic,0.027
boethius.quomodo_substantiae,40.0,"substantia, significo, uis, omnis, qui, sum, participate, is, qui, sum, sum, ut, sum, alius, uerus, participo, ut, aliquis, sum, atque, per, hic, is, qui, sum, participo, is, qui, sum, sum, ut, sum, sum, uerus, ut, participo, alius, quilibet",38,"NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.053,0.0,hic,0.026
boethius.quomodo_substantiae,45.0,"uii, omnis, simplex, sum, suus, et, is, qui, sum, unus, habeo, uii, eo, omnis, compono, alius, sum, sum, alius, ipse, sum, ix, omnis, diuersitas, discors, similitudo, uerus",27,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, 0.5",0.019,-0.019,,0.0
