Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
boethius.utrum_pater,1.0,"amicii, manlii, seuerini, boethii, u.c., et, inl., excons., ord., patricius, ad, iohannem, diaconum, utrum, pater, et, filius, et, spiritus, sancio, de, diuinitas, substantialiter, praedico",24,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN",0.021,0.0,,0.0
boethius.utrum_pater,2.0,"quaero, an, pater, et, filius, atque, spiritus, sancio, de, diuinitas, substantialiter, praedico, an, alius, quilibet, modo, uia, indago, hinc, arbitror, sum, sumo, unde, res, omnis, manifestus, consto, exordium, is, sum",30,"NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN",0.0,-0.017,,0.0
boethius.utrum_pater,3.0,"ab, ipse, catholicae, fides, fundamentum, si, igitur, interrogo, an, qui, dico, pater, substantia, sum, respondeo, sum, substantia, qui, si, quaero, an, filius, substantia, sum, idem, dico, spiritus, quoque, sancio, substantia, sum, nemo, dubito, sed, cum, rursus",36,"NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN",0.014,-0.014,,0.0
boethius.utrum_pater,4.0,"colligo, pater, filius, spiritus, sancio, non, multus, sed, unus, occurro, sum, substantia, unus, igitur, substantia, tres, neque, separaris, ullus, modo, aut, disiungo, possum, neque, uelut, pars, in, unus, coniungo, sum, sed, sum, unus, simplex, quicumque, igitur, de, diuinum",38,"NaN, 0.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.013,0.0,,0.0
boethius.utrum_pater,5.0,"substantia, praedico, is, tres, oportet, sum, commune, is, signum, sum, qui, sum, qui, de, diuinitas, substantia, praedico, qui, quicumque, hic, modo, dico, de, singuli, in, unus, colligo, tres, singularis, praedicabuntur, hic, modo, si, dico, pater",35,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0",0.014,0.0,"hic, hic",0.057
boethius.utrum_pater,6.0,"deus, sum, filius, deus, sum, spiritus, sancio, deus, sum, pater, filius, atque, spiritus, sancio, unus, deus, si, igitur, is, unus, deitas, unus, substantia, sum, licet, deus, nomen, de, diuinitas, substantialiter, praedicaris, ita, pater, ueritas, sum, filius, ueritas, sum, spiritus",39,"0.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, 0.5, NaN, 0.0",0.038,0.0,,0.0
boethius.utrum_pater,7.0,"sancio, ueritas, sum, pater, filius, et, spiritus, sancio, non, tres, ueritas, sed, unus, ueritas, sum, si, igitur, unus, in, hic, substantia, unus, sum, ueritas, necesse, sum, ueritas, substantialiter, praedicaris, de, bonitas, de, incommutabilitas, de, iustitia, de, omnipotens, atque, de, ceterus",40,"NaN, 0.5, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0",0.113,0.0,hic,0.025
boethius.utrum_pater,8.0,"omnis, qui, tam, de, singuli, quam, de, omnis, singularis, praedico, manifestus, sum, substantialiter, dico, unde, appareo, is, qui, cum, in, singuli, separatim, dico, conuenio, neque, tamen, in, omnis, dico, queo, non, substantialiter, praedicaris, sed, alius, modo",36,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.014,-0.014,,0.0
boethius.utrum_pater,9.0,"qui, uerus, iste, sum, posterus, quaero, nam, qui, pater, sum, hic, uocabulis, non, transmitto, ad, filius, neque, ad, spiritus, sancio, quo, fio, ut, non, sum, substantial, nomen, hic, indo, nam, si, substantial, sum, ut, deus, ut, ueritas, ut, iustitia, ut, ipse, quoque, substantia",43,"NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN",0.047,0.0,"hic, hic",0.047
boethius.utrum_pater,10.0,"de, ceterus, dico, item, filius, solus, hic, recipio, nomen, neque, cum, alius, iungo, sicut, in, deus, sicut, in, ueritas, sicut, in, ceterus, qui, superus, dico, spiritus, quoque, non, sum, idem, qui, pater, atque, filius, ex, hic, igitur, intellego",38,"NaN, 0.0, NaN, NaN, 0.0, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,-0.013,"hic, hic",0.053
