Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
caesar_augustus.res_gestae,1.0,"res, gero, diuus, augustus, qui, orbis, terra, imperium, populus, romanus, subicio, et, impensa, qui, in, res, publicus, populus, romanus, facio, incido, in, duo, aeneus, pila, qui, sum, roma, pono, exemplar, subicio, annus, undeuigniti, nascor, exercitus, priuo, consilium, et, priuo, impensa, comparo, per, qui, res, publicus, ab, dominatio, factio, opprimo, in, libertas, uindico, is, nomen, senatus, decretum, honorificus, in, ordo, suus, ego, allego, caius, pansa, et, aulus, hirtius, consul, consularis, locus, sententia, dico, tribuo, et, imperium, ego, do, res, publicus, ne, quis, detrimentum, capio, ego, propraetor, simul, cum, consul, prouideo, iubeo, populus, autem, idem, annus, ego, consul, cum, consul, uterque, bellum, cado, et, triumuiri, res, publicus, constituo, creo",107,"0.0, NaN, 0.0, 1.0, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.5, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN",0.061,-0.005,factio,0.009
caesar_augustus.res_gestae,2.0,"qui, parens, meus, trucido, is, in, exsilium, expello, iudicium, legitimus, ulciscor, is, facinus, et, postea, bellum, infero, res, publicus, uinco, bis, acies",22,"NaN, 0.5, 0.0, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0",-0.045,-0.091,"ulciscor, facinus",0.091
caesar_augustus.res_gestae,3.0,"bellum, terra, et, mare, ciuile, externus, totus, in, orbis, terra, saepe, gero, uictor, omnis, uenio, peto, ciuis, parco, externus, gens, qui, tueor, ignosco, possum, conseruaris, quam, excido, malo, mille, ciuis, romanus, sub, sacramentum, meus, sum, circiter, quingenti, ex, qui, deduco, in, colonia, aut, remitto, in, municipium, suus, stipendium, emereo, mille, aliquantus, multus, quam, trecenti, et, is, omnis, ager, adsignaui, aut, pecunia, pro, praemium, militia, do, nauo, capio, sescenti, praeter, is, si, qui, paruus, quam, triremis, sum",76,"0.0, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.026,0.0,pecunia,0.013
caesar_augustus.res_gestae,4.0,"bis, ouo, triumphaui, tres, ago, curulis, triumphus, et, appello, sum, uiciens, et, semel, imperator, cum, autem, multus, triumphus, ego, senatus, decerno, is, super-sedeo, laurus, de, fascis, depono, in, capitolium, uoueo, qui, quoque, bellum, nuncupaueram, soluo, ob, res, ab, ego, aut, per, legatus, meus, auspicium, meus, terra, mare, prosperus, gero, quinquagiens, et, quinquiens, decerno, senatus, supplico, sum, deus, immortalis, dies, autem, per, qui, ex, senatus, consultum, supplico, sum, sum, dccclxxxx, in, triumphus, meus, duco, sum, ante, currus, meus, rex, aut, rex, liber, nouo, consul, sum, terdeciens, cum, scribo, hic, et, ago, septimus, et, tricesimus, tribunicius, potestas",95,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5",0.053,0.0,hic,0.011
caesar_augustus.res_gestae,5.0,"dictatura, et, absum, et, praesens, ego, defero, et, ab, populus, et, ab, senatus, marcus, marcellus, et, lucius, arruntius, consul, non, recipio, non, recuso, in, summus, frumentum, penuria, curatio, annona, quam, ita, administraui, ut, intra, paucus, dies, metus, et, periculum, praesens, populus, uniuersus, libero, impensa, et, cura, meus, consulatus, quoque, tum, annuus, et, perpetuus, ego, defero, non, recipio",57,"0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, -1.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN",-0.026,-0.053,,0.0
caesar_augustus.res_gestae,6.0,"consul, marcus, uinicio, et, quintus, lucretius, et, postea, publicus, lentulus, et, gnaeus, lentulus, et, tertius, paullus, fabius, maximus, et, quintus, tubero, senatus, populo, romanus, consentio, ut, curator, lex, et, mos, summus, potestas, solus, creo, nullus, magistratus, contra, mos, magnus, defero, recipio, qui, tum, per, ego, gero, senatus, uolo, per, tribunicius, potestas, perficio, qui, potestas, collega, et, ipse, ultro, quinquiens, ab, senatus, deposco, et, accipio",64,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5, NaN, 0.5, -0.5, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.078,-0.008,,0.0
caesar_augustus.res_gestae,7.0,"triumuiri, res, publicus, constituo, sum, per, continuus, annus, decem, princeps, senatus, sum, usque, ad, is, dies, quo, scribo, hic, per, annus, quadraginta, pontifex, magnus, augur, xu, uir, sacrum, facio, uii, uir, epulo, frater, arual, sodalis, titius, fetialis, sum",38,"NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN",0.079,0.0,hic,0.026
caesar_augustus.res_gestae,8.0,"patricius, numerus, augeo, consul, quintus, iussus, populus, et, senatus, senatus, ter, lego, et, in, consulatus, sextus, census, populus, collega, marcus, agrippa, ago, lustrum, post, annus, alter, et, quadragensimus, facio, quo, lustrum, ciuis, romanus, censeo, sum, caput, quadragies, centum, mille, et, sexa_ginta, tres, mille, tum, iterum, consularis, cum, imperium, lustrum, solus, facio, caius, censonnus, et, caius, asinius, consul, quo, lustrum, censeo, sum, ciuis, romanus, caput, quadragies, centum, mille, et, ducenti, triginta, tres, mille, et, tertius, consularis, cum, imperium, lustrum, collega, tiberius, caesar, filius, meus, facio, sextus, pompeius, et, sextus, appuleius, consul, quo, lustrum, censeo, sum, ciuis, romanus, caput, quadragies, centum, mille, et, nongenti, triginta, et, septem, mille, lex, nouus, ego, auctor, fero, multus, exemplum, magnus, exolesco, iam, ex, noster, saeculum, reduco, et, ipse, multus, res, exemplum, imito, posterus, trado",128,"0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.0, NaN",0.051,-0.004,,0.0
caesar_augustus.res_gestae,9.0,"ueto, pro, ualetudo, meus, suscipio, per, consul, et, sacerdos, quintus, quoque, annus, senatus, decerno, ex, is, uoueo, saepe, facio, uiuo, ego, ludus, aliquoties, sacerdos, quattuor, amplus, collegium, aliquoties, consul, priuatim, etiam, et, municipatim, uniuersus, ciuis, unanimiter, contineo, apud, omnis, puluinaris, pro, ualetudo, meus, supplico",44,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.045,0.0,,0.0
caesar_augustus.res_gestae,10.0,"nomen, meus, senatus, consultum, includo, sum, in, saliaris, carmen, et, sacrosanctus, in, perpetuus, ut, sum, et, quoad, uiuo, tribunicius, potestas, ego, sum, per, lex, sancio, sum, pontifex, magnus, ne, fio, in, uiuo, collega, meus, locus, populus, is, sacerdotium, defero, ego, qui, pater, meus, habeo, recuso, qui, sacerdotium, aliqui, post, annus, is, mortuus, qui, ciuilis, moueo, occasio, occupo, cunctus, ex, italia, ad, comitium, meus, confluo, multitudo, quantus, roma, numquam, fero, ante, is, tempus, sum, recipio, publicus, sulpicius, caius, ualgio, consul",79,"0.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5",0.044,0.0,,0.0
