Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.de_amicitia,1.0,"quintus, mucius, augur, multus, narro, de, caius, laelio, socer, suus, memoriter, et, iucundus, soleo, neque, dubitaris, ille, in, omnis, sermo, appello, sapio, ego, autem, ab, pater, ita, sum, deduco, ad, scaeuolam, sumo, uirilis, toga, ut, quoad, possum, et, licet, ab, senex, lateo, numquam, discedo, itaque, multus, ab, is, prudens, disputo, multus, etiam, breuis, et, commodus, dictum, memoria, mando, fio, studeo, is, prudentia, doceo, quo, mortuus, ego, ad, pontifex, scaeuolam, contulis, qui, unus, noster, ciuitas, et, ingenium, et, iustitia, praesto, audeo, dico, sed, de, hic, alius, nunc, redeo, ad, auguro",89,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.067,-0.006,hic,0.011
cicero.de_amicitia,2.0,"cum, saepe, multus, tum, memini, domus, in, hemicyclium, sedeo, ut, soleo, cum, et, ego, sum, unus, et, paucus, admodum, familiaris, in, is, sermo, ille, incido, qui, tum, fere, multus, sum, in, os, memi, nisti, enim, profecto, ad-taceo, et, is, magis, qui, publicus, sulpicius, utebaris, multus, cum, is, tribunus, plebs, capitalis, odium, ab, quintus, pompeius, qui, tum, sum, consul, dis-sido, cum, quo, coniungo, et, amo, uiuo, quantus, sum, homo, uel, admiratio, uel, querela",72,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, -0.5, 0.0, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, -0.5",-0.021,-0.049,capitalis,0.014
cicero.de_amicitia,3.0,"itaque, tum, scaeuola, cum, in, is, ipse, mentio, incido, expono, nos, sermo, laelis, de, amicitia, habitus, ab, ille, cum, sui, et, cum, alter, gener, caius, fannio, marcus, filius, paucus, dies, post, mors, africani, is, disputatio, sententia, memoria, mando, qui, hic, liber, expono, arbitratus, meus, quasi, enim, ipse, induco, loquor, ne, inquam, et, inquam, saepis, interpono, atque, ut, tamquam, ab, praesens, coram, habeo, sermo, uideo",64,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, -1.0, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN",0.008,-0.031,hic,0.016
cicero.de_amicitia,4.0,"cum, enim, saepe, cum, ego, ago, ut, de, amicitia, scribo, aliquis, dignus, ego, res, cum, omnis, cognitio, tum, noster, familiaritas, uideo, sum, itaque, facio, non, inuitus, ut, prosum, multus, rogo, tuus, sed, ut, in, catus, magnus, qui, sum, scribo, ad, tu, de, senectus, catonem, induco, senex, disputo, quia, nullus, uideo, aptus, persono, qui, de, ille, aetas, loquor, quam, is, qui, et, diutissime, senex, sum, et, in, ipse, senectus, praeter, ceterus, floreo, sic, cum, accipio, ab, pater, magnus, memorabilis, caius, laelis, et, publicus, scipio, familiaritas, sum, idoneus, ego, laelis, persono, uideo, sum, qui, de, amicitia, is, ipse, dissero, qui, disputo, ab, is, memini, scaeuola, genus, autem, hic, sermo, pono, in, homo, uetus, auctoritas, et, is, illustris, multus, nescio, quo, pacisco, uideo, habeo, grauitas, itaque, ipse, meus, lego, sic, afficior, interdum, ut, catonem, non, ego, loquor, existimo",135,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.03,-0.011,"tu, hic",0.015
cicero.de_amicitia,5.0,"sed, ut, tum, ad, senex, senex, de, senectus, sic, hic, liber, ad, amicus, amicus, scribo, de, amicitia, tum, sum, cato, loquor, quo, sum, nemo, fere, senex, tempus, ille, nemo, prudens, nunc, laelius, et, sapio, sic, enim, sum, habitus, et, amicitia, gloria, excello, de, amicitia, loquor, tu, uolo, ab, ego, animus, parumper, auerto, laelium, loquor, ipse, puto, caius, fannius, et, quintus, mucius, ad, socer, uenio, post, mors, africani, ab, hic, sermo, orior, respondeo, laelius, qui, totus, disputatio, sum, de, amicitia, quam, lego, tu, ipse, cognosco",84,"NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, 1.0, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, 0.0, NaN, -0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN",0.065,-0.03,"hic, tu, hic, tu",0.048
cicero.de_amicitia,6.0,"fannius, sum, iste, laelis, neque, enim, bonus, uir, sum, africa, quisquam, neque, clarus, sed, existimaris, debeo, omnis, oculus, in, tu, sum, conicio, unus, tu, sapio, et, appello, et, existimo, tribuo, hic, modo, marcus, cato, scio, lucius, acilium, apud, pater, noster, appello, sum, sapio, sed, uterque, alius, quidam, modo, acilius, quia, prudens, sum, in, ius, ciuilis, puto, cato, quia, multus, res, usus, habeo, et, multus, is, et, in, senatus, et, in, forum, uel, prouideo, prudens, uel, ago, consto, uel, respondeo, acuo, fero, propterea, quasi, cognomen, iam, habeo, in, senectus, sapio",89,"NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.062,0.0,"tu, tu, hic",0.034
cicero.de_amicitia,7.0,"tu, autem, alius, quidam, modo, non, solus, natura, et, mos, uerus, etiam, studium, et, doctrina, sum, sapio, neque, sicut, uulgus, sed, ut, erudio, soleo, appello, sapio, qual, in, graecia, reliquus, nemo, nam, qui, septem, appello, is, qui, iste, subtilis, quaero, in, numerus, sapiens, non, habeo, athenae, unus, accipio, et, is, quidem, etiam, apollo, oraculum, sapio, iudico, hic, sum, in, tu, sapientia, existimo, ut, omnis, tuus, in, tu, pono, sum, duco, humani, casus, uirtus, inferus, puto, itaque, ex, ego, quaero, credo, ex, hic, item, scaeuola, quonam, pacisco, mors, africani, ferus, eo, magis, qui, propior, nonus, cum, in, hortus, d., brutus, augur, commento, causa, ut, assoleo, uenio, tu, non, affuisti, qui, diligens, semper, ille, dies, et, ille, munus, soleo, sum, obeo",119,"NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, 0.5, 0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN",0.017,-0.034,"tu, hic, tu, tu, hic, ferus, tu",0.059
cicero.de_amicitia,8.0,"scaeuola, quaero, quidem, caius, laelis, multus, ut, sum, ab, fannio, dico, sed, ego, is, respondeo, qui, animus, aduerto, tu, dolor, qui, accipio, cum, superus, uir, tum, amicus, mors, fero, modero, neque, possum, non, commoueo, neque, sum, is, humanitas, tuus, qui, autem, nonus, in, collegium, noster, non, affuisses, ualetudo, respondeo, causa, non, maestitia, sum, laelius, rectus, tu, quidem, scaeuola, et, uerus, neque, enim, ab, iste, officium, qui, semper, usurpo, cum, ualeo, abduco, incommodus, meus, debeo, neque, ullus, casus, arbitror, hic, consto, homo, possum, contingo, ut, ullus, intermissio, fio, officio",88,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.006,-0.04,"tu, tu, hic",0.034
cicero.de_amicitia,9.0,"tu, autem, fanni, qui, ego, tantus, tribuo, dico, quantus, ego, neque, agnosco, neque, postulo, facio, amicus, sed, ut, ego, uideo, non, rectus, iudico, de, catus, aut, enim, nemo, qui, quidem, magis, credo, aut, si, quisquam, ille, sapio, sum, quo, modo, ut, alius, omitto, mors, filis, fero, memini, paulus, uideo, gallus, sed, hic, in, puer, cato, in, perficio, et, specto, uir",60,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5",0.033,-0.025,"tu, gallus, hic",0.05
cicero.de_amicitia,10.0,"quam, ob, res, caueo, cato, antepono, ne, iste, quidem, ipse, qui, apollo, ut, aio, sapio, iudico, hic, enim, facio, ille, dictum, laudo, de, ego, autem, ut, iam, cum, uterque, uester, loquor, sic, habeo, ego, si, scipio, desiderium, ego, moueo, nego, quam, is, rectus, facio, uideo, sapio, sed, certus, mentior, moueo, enim, talis, amicus, orbo, qualis, ut, arbitror, nemo, umquam, sum, ut, confirmo, possum, nemo, certus, sum, sed, non, egeo, medicina, ego, ipse, consolo, et, magnus, ille, solacium, qui, is, error, careo, quo, amicus, decedo, plerusque, ango, soleo, nihil, malus, accido, scipio, puto, ego, accido, si, quis, accido, suus, autem, incommodus, grauis, ango, non, amicus, sed, sui, ipse, amo, sum",109,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN",0.018,-0.037,hic,0.009
