Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.de_divinatione,1.1,"uetus, opinio, sum, iam, usque, ab, heroicus, duco, tempus, is, et, populus, romanus, et, omnis, gens, firmo, consensus, uersaris, quidam, inter, homo, diuinatio, quam, graecus, μαντικήν, appello, is, sum, praesensio, et, scientia, res, futuraris, magnificus, quidam, res, et, salutaris, si, modo, sum, ullus, quisque, propior, ad, deus, uis, natura, mortalis, possum, accedo, itaque, ut, alius, nos, bonus, multus, quam, graecus, sic, hic, praesto, res, nomen, noster, ab, diuus, graecus, ut, plato, interpretor, ab, furor, duco",75,"0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 1.0, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN",0.013,-0.027,"hic, furor",0.027
cicero.de_divinatione,1.2,"gens, quidem, nullus, uideo, neque, tam, humanus, atque, doceo, neque, tam, immanis, tam, barbara, qui, non, significo, sum, et, ab, quidam, intellego, praedico, possum, censeo, principium, assyrii, ut, ab, ultumis, auctoritas, repeto, propter, planitia, magnitudo, regio, qui, incolo, cum, caelum, ex, omnis, pars, pateo, atque, aperio, intueor, traiectio, moueo, stella, obseruitauerunt, qui, notas, quis, quisque, significo, memoria, prodo, qui, in, natio, chaldaei, non, ex, ars, sed, ex, gens, uocabulum, nomino, diuturnus, obseruatio, sidus, scientia, puto, efficio, ut, praedico, possum, quis, quisque, euenio, et, quo, quisque, fatum, nascor, sum, idem, ars, etiam, aegyptii, longinquitas, tempus, innumerabilis, paene, saeculis, con-sequor, puto, cilicum, autem, et, pisidaris, gens, et, hic, finitimus, pamphylia, qui, natio, praesum, ipse, uolatus, auis, cantus, ut, certus, signum, declararis, res, sum, puto",122,"0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN",0.02,0.0,"immanis, barbara, natio, hic, finitimus, natio",0.049
cicero.de_divinatione,1.3,"quam, uerus, graecia, colonia, mitto, in, aeoliam, ioniam, asia, sicilia, italia, sine, pythion, aut, dodonaeo, aut, hammonis, oraculum, aut, qui, bellum, suscipio, ab, is, sine, consilium, deus, sum, neque, unus, genus, sum, diuinatio, publicus, priuatim, celebro, nam, ut, omitto, ceterus, populus, noster, quam, multus, genus, complector, sum, principium, hic, urbs, parens, romulus, non, solus, auspico, urbs, condo, sed, ipse, etiam, bonus, augur, sum, trado, deinde, augur, et, reliquus, rex, utor, et, exigo, rex, nihil, publicus, sine, auspicium, neque, domus, neque, militia, gero, cum, magnus, uolo, uideo, sum, et, inpetriendis, consulo, res, et, monstrum, interpretor, atque, procuro, in, haruspex, disciplina, omnis, hic, ex, etruria, scientia, adhibeo, ne, genus, sum, ullus, diuinatio, qui, neglego, ab, is, uideo",115,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.03,-0.004,"hic, monstrum, haruspex, hic",0.035
cicero.de_divinatione,1.4,"et, cum, duo, modus, animus, sine, ratio, et, scientia, motus, ipse, suus, soluo, et, liber, incito, unus, furo, alter, somnio, furor, diuinatio, sibyllinus, magnus, uersus, contineo, arbitror, is, decem, interpres, deligo, e, ciuitas, sum, uolo, ex, quo, genus, saepe, hariolus, etiam, et, uates, furibundus, praedictio, ut, octauiano, bellum, cornelii, culleoli, audio, puto, neque, uerus, somnio, grauis, si, qui, ad, res, publicus, pertineo, uideo, sum, ab, superus, consilium, neglego, sum, quin, etiam, memoria, noster, templum, iuno, sospitae, lucius, iulius, qui, cum, publicus, rutilio, consul, sum, de, senatus, sententia, reficio, ex, caecilia, baliarici, filia, somnio",93,"NaN, NaN, NaN, 0.5, 0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.5, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN",0.027,-0.027,"furo, furor, furibundus",0.032
cicero.de_divinatione,1.5,"atque, hic, ut, ego, arbitror, uetus, res, magis, euenio, moneo, quam, ratio, doceo, probo, philosophus, uerus, ex-quaero, quidam, argumentum, cur, sum, uerus, diuinatio, colligo, sum, e, qui, ut, de, antiquus, loquor, colophonius, xenophanes, unus, qui, deus, sum, dico, diuinatio, fundus, tollo, reliquus, uerus, omnis, praeter, epicurum, balbutio, de, natura, deus, diuinatio, probo, sed, non, unus, modo, nam, cum, socrates, omnes, socratici, zenoque, et, is, qui, ab, is, sum, proficiscor, maneo, in, antiquus, philosophus, sententia, ueto, academia, et, peripateticis, consentio, cum, hic, res, magnus, auctoritas, pythagoras, iam, ante, tribuo, qui, etiam, ipse, augur, uolo, sum, plurumisque, locus, grauis, auctor, democritus, praesensio, res, futuraris, con-probo, dicaearchus, peripateticus, ceterus, diuinatio, genus, tollo, somnium, et, furor, relinquo, cratippusque, familiaris, noster, qui, ego, par, summus, peripateticis, iudico, idem, res, fides, tribuo, reliquus, diuinatio, genus, reicio",130,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, 0.0, NaN",0.023,-0.012,"hic, hic, furor",0.023
cicero.de_divinatione,1.6,"sed, cum, stoici, omnis, fere, ille, defendo, qui, et, zeno, in, suus, commentarius, quasi, semen, quidam, spargo, et, is, cleanthes, paulus, uber, facio, accedo, acerrumo, uir, ingenium, chrysippus, qui, totus, de, diuinatio, duo, liber, explicauit, sententia, unus, praeterea, de, oraclis, unus, de, somnium, qui, subsequor, unus, liber, babylonius, diogenes, edo, is, auditor, duo, antipater, quinque, noster, posidonius, sed, ab, stoicis, uel, princeps, is, disciplina, posidonii, doctor, discipulus, antipatri, degenero, panaetius, neque, tamen, audeo, sum, nego, uis, sum, diuino, sed, dubitaris, sui, dico, qui, ille, in, aliqui, res, inuitus, stoicis, stoico, facio, licet, is, nos, ut, in, reliquus, res, facio, ab, stoicis, non, concedo, praesertim, cum, is, de, quo, panaetio, non, liquo, reliquus, idem, disciplina, sol, lux, uideo, clarus",118,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5",0.047,-0.004,,0.0
cicero.de_divinatione,1.7,"sed, hic, quidem, laus, academia, praesto, philosophus, iudicium, et, testimonium, con-probo, sum, etenim, nos, ipse, quaero, quis, sum, de, diuinatio, iudico, qui, ab, carneade, multus, acuo, et, copiosus, contra, stoicos, disputo, sum, uereor, ne, temere, uel, fallo, res, uel, non, satis, cognosco, ad-sentio, facio, uideo, ut, diligenter, etiam, atque, etiam, argumentum, cum, argumentum, comparo, ut, facio, in, is, tres, liber, qui, de, natura, deus, scribo, nam, cum, omnis, in, res, temeritas, in, ad-sentio, erro, turpis, sum, tum, in, is, locus, magnus, in, quo, iudico, sum, quantus, auspicium, res, diuinus, religio, tribuo, sum, enim, periculum, ne, aut, neglego, is, impius, fraus, aut, suscipio, anilis, superstitio, obligo",105,"NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, 0.0, NaN, NaN",0.005,-0.043,"hic, fallo, temeritas, turpis, impius, fraus, anilis",0.067
cicero.de_divinatione,1.8,"qui, de, res, et, alius, saepe, et, paulus, accuro, nuper, cum, sum, cum, quintus, frater, in, tusculano, disputas, sum, nam, cum, ambulo, causa, in, lyceum, uenio, is, enim, superus, gymnasium, nomen, sum, perlego, ille, inquam, tuus, paulus, ante, tertius, de, natura, deus, in, quo, disputatio, cottae, quamquam, labefacto, sententia, meus, non, fundus, tamen, tollo, optume, uerus, inquam, etenim, ipse, cotta, sic, disputo, ut, stoicorum, magis, argumentum, confuto, quam, homo, deleo, religio, tum, quintus, dico, quidem, iste, inquam, ab, cotta, et, uerus, saepis, credo, ne, commune, ius, migraris, uideo, sed, studium, contra, stoicos, dissero, deus, ego, uideo, fundus, tollo",98,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN",0.031,0.0,,0.0
cicero.de_divinatione,1.9,"is, ratio, non, sanus, desidero, quis, respondeo, satis, enim, defendo, religio, sum, in, secundus, liber, ab, lucilio, qui, disputatio, tu, ipse, ut, in, exter, tertius, scribo, ad, ueritas, sum, uideo, propendeo, sed, qui, praetermitto, sum, in, ille, liber, credo, quia, commodus, arbitror, sum, separatim, is, quaero, de, is, dissero, is, sum, de, diuinatio, qui, sum, is, res, qui, fortuitus, puto, praedictio, atque, praesensio, is, si, placeo, uideo, quam, habeo, uis, et, qualis, sum, ego, enim, sic, existimo, si, sum, is, genus, diuino, uerus, de, qui, accipio, quisque, colo, sum, deus, uicissim, si, deus, sum, sum, qui, diuino",97,"NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.062,0.0,tu,0.01
cicero.de_divinatione,1.1,"arx, tu, quidem, stoicorum, inquam, quintus, defendo, siquidem, iste, sic, reciproco, ut, et, si, diuinatio, sum, deus, sum, et, si, deus, sum, sum, diuinatio, qui, neuter, tam, facilis, quam, tu, arbitror, concedo, nam, et, natura, significo, sum, sine, deus, possum, et, ut, sum, deus, possum, fio, ut, nullus, ab, is, diuinatio, gener, humanus, tribuo, sum, atque, ille, ego, uerus, inquam, satis, sum, argumentum, et, sum, deus, et, is, consulo, res, humanus, qui, sum, clarus, et, perspicuus, diuinatio, genus, iudico, de, qui, quis, ipse, sentio, si, placeo, expono, ita, tamen, si, uaco, animus, neque, habeo, aliquis, qui, hic, sermo, praeuerto, puto",100,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN",0.02,-0.005,"tu, tu, hic",0.03
