Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.de_fato,1.0,"quia, pertineo, ad, mos, qui, ἦθος, ille, uoco, nos, is, pars, philosophia, de, mos, appello, solo, sed, decet, augeo, lingua, latinus, nominaris, moral, explico, uolo, sum, ratio, enuntiatio, qui, graecus, ἀξιώματα, uoco, qui, de, res, sum, cum, aliquis, dico, de, is, qui, possum, fio, aut, non, possum, quam, uis, habeo, obscurus, quaestio, sum, quam, περὶ, δυνατῶν, philosophus, appello, totus, sum, λογική, quam, ratio, dissero, uoco, qui, autem, in, alius, liber, facio, qui, sum, de, natura, deus, ito, in, is, qui, de, diuinatio, edo, ut, in, uter, pars, perpetuus, explico, oratio, quo, facilis, is, ab, quoque, probo, qui, quisque, magnus, probabilis, uideo, is, in, hic, disputatio, de, fatum, casus, quidam, ne, facio, inpediuit",112,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN",0.022,-0.009,hic,0.009
cicero.de_fato,2.0,"nam, cum, sum, in, puteolano, hirtus, noster, consul, designo, idem, in, locus, uir, nos, amicus, et, hic, studium, in, qui, nos, ab, pueritia, uiuo, dedo, multus, unus, sum, magnus, nos, quidem, exquiro, is, consilium, qui, ad, pax, et, ad, concordia, ciuis, pertineo, cum, enim, omnis, post, interitus, caesar, nouaris, perturbatio, causa, quaero, uideo, is, sum, occurro, puto, omnis, fere, noster, in, hic, deliberatio, consumo, oratio, is, et, saepe, alius, et, quidam, liber, quam, soleo, et, magis, uacuus, ab, interuentor, dies, cum, ad, ego, ille, uenio, primus, is, qui, sum, cottidianus, et, quasi, legitimus, nos, de, pax, et, de, otium",99,"NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.5, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5",0.051,-0.025,"hic, hic, otium",0.03
cicero.de_fato,3.0,"qui, ago, quis, ergo, inquam, ille, quoniam, oratoria, exercitatio, non, tu, quidem, ut, spero, relinquo, sed, certus, philosophia, ille, antepono, possum, aliquis, audio, tu, uerus, inquam, uel, audio, uel, dico, neque, enim, is, qui, rectus, existimo, oratorium, ille, studium, desero, qui, etiam, tu, incendo, quamquam, flagro, accipio, neque, is, qui, nunc, traho, minuo, sed, augeo, potis, ille, facultas, nam, cum, hic, genus, philosophia, qui, nos, sequor, magnus, habeo, orator, societas, subtilitas, enim, ab, academia, mutuo, et, is, uicissim, reddo, ubertas, oratio, et, ornamentum, dico, quam, ob, res, inquam, quoniam, uterque, studium, noster, possessio, sum, hodie, uter, fruor, malus, optio, sum, tuus, tum, hirtius, gratus, inquam, et, tuus, omnis, similis, nihil, enim, umquam, abnuo, meus, studium, uoluntas, tuus",117,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, 0.0",0.038,-0.013,"tu, tu, tu, hic, societas",0.043
cicero.de_fato,4.0,"sed, quoniam, rhetorica, ego, uester, sum, nosco, tu, in, is, et, audio, saepe, et, audio, atque, hic, academicus, contra, propono, disputo, consuetudo, indico, tu, suscipio, tusculanae, disputatio, pono, aliquis, ad, qui, audio, si, tu, non, sum, molestus, uolo, an, ego, inquam, possum, quisquam, sum, molestus, qui, tu, gratus, sum, sum, sed, ita, audio, ut, romanus, homo, ut, timidus, ingredior, ad, hic, genus, disputo, ut, longus, interuallum, hic, studium, repeto, ita, inquam, audio, tu, disputo, ut, is, lego, qui, scribo, proinde, ordior, consido, hic",83,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.012,-0.03,"tu, hic, tu, tu, tu, timidus, hic, hic, tu, hic",0.12
cicero.de_fato,5.0,"qui, in, alius, ut, in, antipatro, poe+ta, ut, in, brumalis, dies, obstino, ut, in, simul, aegroto, frater, ut, in, urina, ut, in, unguis, ut, in, reliquus, is, modus, natura, contagio, ualeo, quam, ego, non, tollo, uolo, sum, nullus, fatal, in, alius, autem, fortuitus, quidam, sum, possum, ut, in, ille, naufragus, ut, in, icadio, ut, in, daphita, quidam, etiam, posidonius, pax, magister, dico, comminisci, uideo, sum, quidem, absurdus, quis, enim, si, daphitae, fatum, sum, ex, equus, cado, atque, ita, pereo, ex, hic, equus, qui, cum, equus, non, sum, nomen, habeo, alienus, aut, philippus, hic, in, capulus, quadrigulae, uitaris, moneo, quasi, uerus, capulus, sum, occido, quis, autem, magnus, aut, naufragus, ille, sine, nomen, in, riuus, sum, labor, quamquam, hic, quidem, hic, scribo, praedico, in, aqua, sum, pereo, ne, herculis, icadii, quidem, praedo, uideo, fatum, ullus",133,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",-0.008,-0.023,"naufragus, hic, philippus, hic, occido, naufragus, hic, hic",0.06
cicero.de_fato,6.0,"nihil, enim, scribo, is, praedico, quis, mirus, igitur, ex, spelunca, saxum, in, crus, is, incido, puto, enim, etiamsi, icadius, tum, in, spelunca, non, sum, saxum, tamen, ille, cado, sum, nam, aut, nihil, omnino, sum, fortuitus, aut, hic, ipse, possum, euenio, fortuna, quaero, igitur, atque, hic, latus, pateo, si, fatum, omnino, nullus, nomen, nullus, natura, nullus, uolo, sum, et, fors, temere, casus, aut, plerusque, fio, aut, omnis, num, aliter, atque, nunc, euenio, euenio, quis, ergo, ad-teneo, inculcaris, fatum, cum, sine, fatum, ratio, omnis, res, ad, natura, fortuna, refero",87,"NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, 0.0, 0.0, NaN",0.011,0.0,"hic, hic",0.023
cicero.de_fato,7.0,"sed, posidonium, sicut, aequus, sum, cum, bonus, gratia, dimitto, ad, chrysippi, laqueus, reuorto, qui, quidem, primus, de, ipse, contagio, res, respondeo, reliquus, postea, persequor, inter, locus, natura, quantus, intersum, uideo, alius, sum, salubris, alius, pestilens, in, alius, sum, pituitosus, et, quasi, redundo, in, alius, exsicco, atque, aridus, multo, sum, alius, qui, inter, locus, et, locus, multus, differo, athenae, tenue, caelum, ex, quo, etiam, acuo, puto, atticus, crassus, thebis, itaque, pinguis, thebani, et, ualeo, tamen, neque, ille, tenue, caelum, efficio, ut, aut, zenonem, quis, aut, arcesilam, aut, theophrastum, audio, neque, crassus, ut, nemea, potis, quam, isthmo, uictoria, peto, diiunge, longus",99,"NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0",0.051,0.0,,0.0
cicero.de_fato,8.0,"quis, enim, locus, natura, affero, possum, ut, in, porticus, pompeii, potis, quam, in, campus, ambulo, cum, tu, quam, cum, alius, idus, potis, quam, kalendae, ut, igitur, ad, quidam, res, natura, locus, pertineo, aliquis, ad, quidam, autem, nihil, sic, astrum, affectio, ualeo, si, uolo, ad, quidam, res, ad, omnis, certus, non, ualeo, at, enim, quoniam, in, natura, homo, dissimilitudo, sum, ut, alius, dulcis, alius, subamarus, delecto, alius, libidinosus, alius, iracundus, aut, crudelis, aut, superbus, sum, alius, ab, talis, uitium, abhorreo, quoniam, igitur, inquam, tantus, natura, ab, natura, disto, quis, mirus, sum, hic, dissimilitudo, ex, differo, causa, sum, facio",97,"NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",-0.031,-0.052,"tu, libidinosus, iracundus, crudelis, hic",0.052
cicero.de_fato,9.0,"hic, dissero, qui, de, res, ago, et, in, quo, causa, consisto, non, uideo, non, enim, si, alius, ad, alius, propendeo, sum, propter, causa, natural, et, antecedo, idcirco, etiam, nostraris, uoluntas, atque, adpetitio, sum, causa, natural, et, antecedo, nam, nihil, sum, in, noster, potestas, si, ita, sui, res, habeo, nunc, uerus, fateor, acuo, hebeto, ualeo, imbecillis, sum, non, sum, is, in, nos, qui, autem, ex, is, cogo, puto, ne, ut, sedeo, quidem, aut, ambulo, uoluntas, sum, is, non, uideo, qui, quisque, res, res, consequor, ut, enim, et, ingeniosus, et, tardus, ita, nasco, antecedo, causa, ito, ualeo, et, imbecillis, non, sequor, tamen, ut, etiam, sedeo, is, et, ambulo, et, res, ago, aliqui, principal, causa, definio, et, constituo, sum",116,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.017,0.0,hic,0.009
cicero.de_fato,10.0,"stilponem, megaricum, philosophus, acutus, sanus, homo, et, probo, tempus, ille, accipio, hic, scribo, ipse, familiaris, et, ebriosus, et, mulierosus, sum, neque, hic, scribo, uitupero, sed, potis, ad, laus, uitiosus, enim, natura, ab, is, sic, edomo, et, con-premo, sum, doctrina, ut, nemo, umquam, uinulentum, ille, nemo, in, is, libido, uestigium, uideo, quis, socrate, -ne, nonne, lego, qui, ad, modus, noto, zopyrus, physiognomo, -ne, qui, sui, profiteor, homo, mos, natura, ex, corpus, oculus, uultus, frons, pernosco, stupidus, sum, socrate, -ne, dico, et, bardus, qui, iugulo, concauus, non, habeo, obstruo, is, pars, et, obturo, sum, dico, addo, etiam, mulierosus, in, quo, alcibiades, cachinnus, dico, tollo",102,"NaN, NaN, 0.0, NaN, 1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, -0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,-0.039,"hic, ebriosus, hic, libido, iugulo",0.049
