Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.de_imperio_cn_pompei,1.0,"quamquam, ego, semper, frequens, conspicio, uester, multus, iucundus, hic, autem, locus, ad, ago, amplus, ad, dico, orno, sum, uideo, quiris, tamen, hic, aditus, laus, qui, semper, bonus, quisque, magnus, pateo, non, meus, ego, uoluntas, adhuc, sed, uita, meus, ratio, ab, ineo, aetas, suscipio, prohibeo, nam, cum, antea, nondum, hic, auctoritas, locus, attingo, audeo, statuo, nihil, huc, nisi, perficio, ingenium, elaboro, industria, affero, oportet, omnis, meus, tempus, amicus, tempus, transmitto, puto",70,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, 1.0, 0.0, NaN, NaN",0.071,0.0,"hic, hic, hic",0.043
cicero.de_imperio_cn_pompei,2.0,"ita, neque, hic, locus, uacuus, sum, umquam, ab, is, qui, uester, causa, defendo, et, meus, labor, in, priuator, periculum, castus, integer, uerso, ex, uester, iudicium, fructus, sum, amplus, con-sequor, nam, cum, propter, dilatio, comitium, ter, praetor, primus, centuria, cunctus, renuntio, sum, facilis, intellego, quiris, et, quis, de, ego, iudico, et, quis, alius, praescribo, nunc, cum, et, auctoritas, in, ego, tantus, sum, quantus, tu, honor, mando, sum, uolo, et, ad, ago, facultas, tantus, quantus, homo, uigilo, ex, forensis, usus, prope, cottidianus, dico, exercitatio, possum, affero, certus, et, si, quis, auctoritas, in, ego, sum, apud, is, uto, qui, is, ego, do, et, si, quis, in, dico, consequor, possum, is, ostendo, potis, qui, is, quoque, res, fructus, suus, iudicium, tribuo, sum, duco",119,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, -0.5, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.5, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5, NaN, NaN, NaN",0.042,-0.013,"hic, tu",0.017
cicero.de_imperio_cn_pompei,3.0,"atque, ille, in, primus, ego, laeto, ius, sum, uideo, qui, in, hic, insolitus, ego, ex, hic, locus, ratio, dico, causa, talis, offertor, sum, in, qui, oratio, desum, nemo, possum, dico, sum, enim, de, gnaeus, pompeius, singularis, eximius, uirtus, hic, autem, oratio, difficilis, sum, exitus, quam, principium, inuenio, ita, ego, non, tam, copia, quam, modus, in, dico, quaero, sum",58,"NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 1.0, NaN, NaN, -0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN",0.026,-0.043,"hic, hic, hic",0.052
cicero.de_imperio_cn_pompei,4.0,"atque, ut, inde, oratio, meus, proficisco, unde, hic, omnis, causa, duco, bellum, grauis, et, periculosus, uester, uectigal, atque, socius, ab, duo, potens, affero, rex, mithridate, et, tigrane, qui, alter, relinquo, alter, lacesso, occasio, sui, ad, occupo, asia, offertor, sum, arbitror, eques, romanus, honestus, uis, affero, ex, asia, cottidie, littera, qui, magnus, res, ago, in, uester, uectigal, exerceo, occupo, qui, ad, ego, pro, necessitudo, qui, ego, sum, cum, ille, ordo, causa, res, publicus, periculum, res, suus, defero",76,"NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, -0.5, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, 0.0, -1.0, 0.0, NaN, NaN",0.026,-0.039,"hic, periculosus, honestus",0.039
cicero.de_imperio_cn_pompei,5.0,"bithyniae, qui, nunc, uester, prouincia, sum, uicus, exuro, sum, complures, regnum, ariobarzanes, qui, finitimus, sum, uester, uectigal, totus, sum, in, hostis, potestas, lucius, lucullum, magnus, res, gero, ab, is, bellum, discedo, hic, qui, succedo, non, satis, sum, paro, ad, tantus, bellum, administro, unus, ab, omnis, socius, et, ciuis, ad, is, bellum, imperator, deposco, atque, expeto, idem, hic, unus, ab, hostis, metuo, praeterea, nemo",63,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5",0.008,-0.04,"finitimus, hic, hic",0.048
cicero.de_imperio_cn_pompei,6.0,"causa, qui, sum, uideo, nunc, quis, ago, sum, ipse, considero, primus, ego, uideo, de, genus, bellum, deinde, de, magnitudo, tum, de, imperator, deligo, sum, dico, genus, sum, is, bellum, qui, magnus, uester, animus, excitaris, atque, inflammaris, ad, persequor, studium, debeo, in, quo, ago, populus, romanus, gloria, qui, tu, ab, magnus, cum, magnus, in, omnis, res, tum, summus, in, res, militaris, trado, sum, ago, salus, socius, atque, amicus, pro, qui, multus, magnus, uester, magnus, et, grauis, bellum, gero, ago, certus, populus, romanus, uectigalis, et, maximus, qui, amitto, et, pax, ornamentum, et, subsidium, bellum, requiro, ago, bonus, multus, ciuis, qui, sum, ab, tu, et, ipse, causa, et, res, publicus, consulo",108,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 1.0, 1.0, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, -0.5, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN",0.065,-0.005,"tu, tu",0.019
cicero.de_imperio_cn_pompei,7.0,"et, quoniam, semper, appeto, gloria, praeter, ceterus, gens, atque, auidus, laus, sum, deleo, tu, sum, ille, macula, mithridatico, bellum, superus, concipio, qui, penitus, iam, in-sedeo, atque, nimis, inueterasco, in, populus, romanus, nomen, qui, is, qui, unus, dies, totus, in, asia, tot, in, ciuitas, unus, nuntio, atque, unus, significatio, omnis, ciuis, romanus, neco, trucido, curo, non, modo, adhuc, poena, nullus, suus, dignus, scelus, suscipio, sed, ab, ille, tempus, annus, iam, tertius, et, uicesimus, regno, et, ita, regno, ut, sui, non, pontus, neque, cappadociae, latebra, occulto, uolo, sed, emergo, ex, patrius, regnum, atque, in, uester, uectigal, hic, sum, in, asia, lux, uersaris",100,"NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.005,-0.025,"tu, macula, poena, scelus, hic",0.05
cicero.de_imperio_cn_pompei,8.0,"etenim, adhuc, ita, noster, cum, ille, rex, contendo, imperator, ut, ab, ille, insigne, uictoria, non, uictoria, reporto, triumpho, lucius, sulla, triumpho, lucius, murena, de, mithridate, duo, fortis, uir, et, superus, imperator, sed, ita, triumpho, ut, ille, pello, supero, regno, uerus, tamen, ille, imperator, laus, sum, tribuo, qui, egero, uenia, do, qui, relinquo, propterea, qui, ab, is, bellum, sulla, in, italia, res, publicus, murena, sulla, reuoco",65,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN",0.077,0.0,,0.0
cicero.de_imperio_cn_pompei,9.0,"mithridates, autem, omnis, reliquus, tempus, non, ad, obliuio, ueto, bellum, sed, ad, comparatio, nosco, confero, qui, postea, cum, magnus, aedifico, orno, classis, exerceo, permagnus, quicumque, ex, gens, possum, comparo, et, sui, bosphoranis, finitimus, suus, bellum, infero, simulo, usque, in, hispania, legatus, atque, littera, mitto, ad, is, dux, cum, qui, tum, bellum, gero, ut, cum, duo, in, locus, disiunctus, magnus, diuerto, unus, consilium, ab, bini, hostis, copia, bellum, terra, mare, gero, tu, anceps, contentio, distringo, de, imperium, dimico",77,"NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, -1.0, 0.5, 0.0, 0.0, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN",-0.006,-0.026,"classis, finitimus, tu",0.039
cicero.de_imperio_cn_pompei,10.0,"sed, tamen, alter, pars, periculum, sertorianae, atque, hispaniensis, qui, multus, multus, firmamentum, atque, robur, habeo, gnaeus, pompeius, diuino, consilium, atque, singularis, uirtus, depello, sum, in, alter, pars, ita, res, ab, lucius, lucullo, superus, uir, sum, administro, ut, initium, ille, res, gero, magnus, atque, praeclarus, non, felicitas, is, sed, uirtus, hic, autem, exter, qui, nuper, accido, non, culpa, sed, fortuna, tribuo, sum, uideo, sed, de, lucullo, dico, alius, locus, et, ita, dico, quiris, ut, neque, uerus, laus, is, detraho, oratio, meus, neque, fallo, affictus, sum, uideo",85,"NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN",0.041,-0.029,"hic, culpa, fallo",0.035
