Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.de_provinciis_consularibus,1.0,"si, quis, uester, pater, conscribo, exspecto, qui, sum, prouincia, decerno, consido, ipse, cum, sui, qui, ego, homo, ex, prouincia, potis, detraho, sum, non, dubito, quis, sentio, ego, conuenio, cum, quis, ego, sentio, necesse, sum, cogito, atque, si, princeps, is, sententia, dico, laudo, profecto, si, solus, certus, ignosco, etiam, si, paulus, paruus, utilis, tu, sententia, uideo, uenio, tamen, aliqui, dolor, meus, tribuo, nunc, uerus, pater, conscribo, non, paruus, afficio, uoluptas, uel, qui, hic, magnus, res, publicus, conduco, syria, macedoniamque, decerno, ut, dolor, meus, nihil, ab, communis, utilitas, dissentio, uel, qui, habeo, auctor, publicus, seruilis, qui, ante, ego, sententia, dico, uir, clarus, et, cum, in, uniuersus, res, publicus, tum, etiam, erga, meus, salus, fides, atque, beneuolens, singularis",115,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, 0.0, 1.0, 1.0, NaN, 1.0, 0.0",0.048,-0.026,"tu, hic",0.017
cicero.de_provinciis_consularibus,2.0,"qui, si, ille, et, paulus, ante, et, quotienscumque, is, locus, dico, atque, potestas, sum, gabinius, et, piso, duo, res, publicus, portentum, atque, paene, funero, cum, propter, alius, causa, tum, magnus, propter, ille, insignis, scelus, is, et, importunus, in, ego, crudelitas, non, solus, sententia, suus, sed, etiam, uerbum, grauitas, sum, noto, puto, quonam, ego, animus, in, is, sum, oportet, qui, ille, salus, pro, pignus, trado, ad, expleo, suus, cupiditas, sed, ego, in, hic, sententia, dico, non, pareo, dolor, meus, non, iracundia, seruio, quo, animus, unus, quisque, uester, debeo, sum, in, ille, hic, sum, praecipuus, ille, et, proprius, sensus, dolor, meus, qui, tamen, tu, communis, semper, tu, cum, ego, sum, duco, ab, sententia, dico, amoueo, ad, ulciscor, tempus, reseruo",117,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, -1.0, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, 0.0, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, -1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN",-0.038,-0.064,"portentum, scelus, importunus, crudelitas, hic, hic, tu, tu, ulciscor",0.077
cicero.de_provinciis_consularibus,3.0,"quattuor, sum, prouincia, pater, conscribo, de, qui, adhuc, intellego, sententia, sum, dico, gallia, duo, qui, hic, tempus, unus, imperium, uideo, sum, coniungo, et, syria, et, macedonia, qui, tu, inuitus, et, opprimo, pestifer, ille, consul, pro, peruerto, res, publicus, praemium, occupo, decerno, nos, sum, lex, sempronia, duo, quis, sum, qui, possum, de, syria, macedoniaque, dubitaris, mitto, qui, is, ita, pario, habeo, is, qui, nunc, obtineo, ut, non, ante, attingo, quam, hic, ordo, condemno, quam, auctoritas, uester, e, ciuitas, extermino, quam, fides, publicus, quam, perpetuus, populus, romanus, salus, quam, ego, atque, meus, omnis, foedus, crudelis, uexo",94,"NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, 0.0, NaN, 0.0, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, -1.0, -1.0, NaN",0.016,-0.037,"hic, tu, pestifer, hic, crudelis, uexo",0.064
cicero.de_provinciis_consularibus,4.0,"omnis, domesticus, atque, urbanus, mitto, qui, tantus, sum, ut, numquam, hannibal, hic, urbs, tantus, malus, opto, quantus, ille, efficio, ad, ipse, uenio, prouincia, qui, macedonia, qui, sum, antea, munio, multus, imperator, non, turris, sed, tropaeum, qui, multus, uictoria, sum, iam, diu, triumphus, paco, sic, ab, barbaris, qui, sum, propter, auaritia, pax, eripio, uexo, ut, thessalonicenses, pono, in, gremium, imperium, noster, relinquo, oppidum, et, arx, munio, cogo, ut, uia, ille, noster, qui, per, macedonia, sum, usque, ad, hellespontum, militaris, non, solus, excursio, barbarus, sum, infestus, sed, etiam, castrum, thraeciis, distinguo, atque, noto, ita, gens, is, qui, ut, pax, uto, uis, argentum, do, praeclarus, noster, imperator, ut, exhaurio, domus, repleo, possum, pro, emo, pax, bellum, nos, prope, iustus, infero",117,"NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 1.0, NaN",0.017,-0.03,"hic, barbaris, auaritia, uexo, emo",0.043
cicero.de_provinciis_consularibus,5.0,"iam, uerus, exercitus, noster, ille, superbus, delectus, et, durus, conquisitio, collectus, omnis, intereo, magnus, hic, dico, cum, dolor, misero, in, modus, miles, populus, romanus, capio, neco, desero, dissipati, sum, incuria, fames, morbus, uastitas, consumo, ut, qui, sum, indignus, scelus, imperator, in, patria, exerceo, expio, sum, uideo, atque, hic, macedonia, domo, iam, gens, finitimus, barbaria, comprimo, pacatam, ipse, per, sui, et, quiesco, tenuis, praesidium, atque, exiguus, manus, etiam, sine, imperium, per, legatus, nomen, ipse, populus, romanus, tueor, qui, nunc, consularis, imperium, atque, exercitus, ita, uexo, sum, uix, ut, sui, possum, diuturnus, pax, recrearis, cum, interea, quis, uester, hic, non, audio, quis, ignoro, achaeos, ingens, pecunia, pendeo, lucius, piso, quot, uectigal, atque, portorium, dyrrachinorum, totus, in, hic, unus, quaestus, sum, conuerro, urbs, byzantiorum, tu, atque, hic, imperium, fidelis, hostilis, in, modus, sum, uexo, quo, ille, postea, quam, nihil, exprimo, ab, egeo, nihil, ullus, uis, ab, miser, extorqueo, possum, cohors, in, hibernus, mitto, is, praepono, qui, puto, sum, diligens, satelles, scelus, minister, cupiditas, suus",161,"NaN, 0.5, 0.0, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -0.5, -1.0, -1.0, NaN, NaN, NaN, NaN, -1.0, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 1.0, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, 0.0, -0.5, NaN",-0.016,-0.068,"hic, misero, scelus, expio, hic, finitimus, uexo, hic, pecunia, hic, quaestus, tu, hic, hostilis, uexo, miser, satelles, scelus",0.112
cicero.de_provinciis_consularibus,6.0,"omitto, ius, dictio, in, liber, ciuitas, contra, lex, senatus, consulo, caedes, relinquo, libido, praetereo, qui, acerbus, exsto, indicium, et, ad, insignis, memoria, turpitudo, et, paene, ad, iustus, odium, imperium, noster, qui, consto, nobilis, uirgo, sui, in, puteus, abicio, et, mors, uoluntarius, necessaria, turpitudo, depello, neque, hic, idcirco, omitto, qui, non, grauis, sum, sed, quia, nunc, sine, testis, dico, ipse, uerus, urbs, byzantiorum, sum, refercio, atque, orno, signum, quis, ignoro, qui, ille, exhaurio, sumptus, bellus, magnus, cum, omnis, mithridaticos, impetus, totus, pontus, armo, efferuesco, in, asia, atque, erumpo, os, repello, et, ceruix, intercludo, suus, sustineo, tum, inquam, byzantii, et, postea, signum, ille, et, reliquus, urbs, ornamentum, sancio, custodio, teneo",108,"NaN, 0.5, NaN, NaN, 0.5, 0.5, NaN, 0.5, 0.5, NaN, -0.5, NaN, -0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, 1.0, -1.0, NaN, NaN, NaN, 1.0, -1.0, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN",0.014,-0.06,"caedes, libido, acerbus, turpitudo, uirgo, turpitudo, hic",0.065
cicero.de_provinciis_consularibus,7.0,"tu, imperator, infelix, et, taeter, caesonine, calueo, ciuitas, liber, et, pro, eximius, suus, beneficium, ab, senatus, et, ab, populus, romanus, libero, sic, spolio, atque, nudo, sum, ut, nisi, caius, uergilius, legatus, uir, fortis, et, innocens, interuenio, unus, signum, byzantii, ex, maximus, numerus, nullus, habeo, qui, fanum, in, achaia, qui, locus, aut, lucus, in, graecia, totus, tam, sancio, sum, in, quo, ullus, simulacrum, ullus, ornamentum, reliquus, sum, emo, ab, foedus, tribunus, plebs, tum, in, ille, naufragium, hic, urbs, quam, tu, idem, qui, gubernaris, debeo, euerto, tum, inquam, emo, grandis, pecunia, ut, tu, de, pecunia, credo, ius, in, liber, populus, contra, senatus, consulo, et, contra, lex, gener, tuus, dico, licet, is, emo, ita, uendo, ut, aut, ius, non, dico, aut, bonus, ciuis, romanus, euerto",122,"NaN, 0.5, -1.0, NaN, -1.0, NaN, NaN, 0.5, 0.5, NaN, NaN, 1.0, NaN, 1.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN",0.053,-0.029,"tu, infelix, taeter, innocens, emo, naufragium, hic, tu, emo, pecunia, tu, pecunia, emo, uendo",0.115
cicero.de_provinciis_consularibus,8.0,"qui, ego, nihil, dico, pater, conscribo, nunc, in, homo, ipse, de, prouincia, disputo, itaque, omnis, ille, qui, et, saepe, audio, et, teneo, animus, etiam, si, non, audio, praetermitto, nihil, de, hic, is, urbanus, quam, ille, praesens, in, mens, uester, oculus, defigo, audacia, loquor, nihil, de, superbia, nihil, de, contumacia, nihil, de, crudelitas, disputo, lateo, libido, is, ille, tenebricosus, qui, frons, et, supercilium, non, pudor, et, tempero, contego, de, prouincia, qui, ago, is, disputo, hic, tu, non, summitto, hic, diu, maneo, patior, qui, ut, prouincia, tango, sic, fortuna, cum, improbitas, certo, ut, nemo, possum, utrum, proteruus, an, infelix, sum, iudicaris",99,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, -0.5, NaN, -1.0, NaN, NaN",-0.035,-0.066,"hic, audacia, superbia, contumacia, crudelitas, libido, pudor, hic, tu, hic, improbitas, proteruus, infelix",0.131
cicero.de_provinciis_consularibus,9.0,"an, uerus, in, syria, diu, sum, semiramis, ille, retineo, qui, iter, in, prouincia, sum, is, modus, ut, rex, ariobarzanes, consul, uester, ad, caedes, facio, tamquam, aliquis, thraecem, conduco, deinde, aduenio, in, syria, primus, equito, habeo, interitus, post, concaedes, sum, bonus, cohors, igitur, in, syria, imperator, ille, nihil, alius, umquam, ago, sum, nisi, pactio, pecunia, cum, tyrannus, decisio, direptio, latrocinium, caedes, cum, palam, populus, romanus, imperator, instruo, exercitus, dexter, tendo, non, ad, laus, miles, horto, sed, omnis, sui, et, emo, et, emo, sum, clamo",83,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.036,-0.024,"caedes, pactio, pecunia, tyrannus, direptio, latrocinium, caedes, emo, emo",0.108
cicero.de_provinciis_consularibus,10.0,"iam, uerus, publicanus, miser, ego, etiam, miser, ille, ita, de, ego, meritor, miseria, atque, dolor, trado, in, seruitus, iudaeis, et, syrus, natio, obstino, seruitus, statuo, ab, initium, et, in, is, perseuero, ius, publicanus, non, dico, pactio, sine, ullus, iniuria, facio, rescidit, custodio, tollo, uectigal, multus, atque, stipendiarii, libero, quo, in, oppidum, ipse, sum, aut, quo, uenio, ibi, publicanus, aut, publicanus, seruus, sum, ueto, quis, multus, crudelis, habeo, si, in, hostis, animus, sum, is, quo, sum, in, ciuis, romanus, is, ordo, praesertim, qui, sum, semper, pro, dignitas, suus, benignitas, magistratus, sustento",90,"NaN, 0.5, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, 0.5, NaN",-0.039,-0.094,"miser, miser, seruitus, natio, seruitus, pactio, crudelis",0.078
