Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.divinatio_in_q_caecilius,1.0,"si, quis, uester, iudex, aut, is, qui, adsum, fors, miro, ego, qui, tot, annus, in, causa, iudicium, publicus, ita, sum, uerso, ut, defendo, multus, laedo, nemo, subeo, nunc, muto, uoluntas, ad, accuso, descendo, is, si, meus, consilium, causa, ratio, cognosco, unus, et, is, qui, facio, probo, et, in, hic, causa, profecto, nemo, praepono, ego, sum, actor, puto",57,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN",0.009,-0.018,hic,0.018
cicero.divinatio_in_q_caecilius,2.0,"cum, quaestor, in, sicilia, sum, iudex, itaque, ex, is, prouincia, decedo, ut, siculis, omnis, iucundus, diuturnus, memoria, quaestura, nomen, meus, relinquo, facio, sum, uti, cum, superus, in, uetus, patronus, multus, tum, non, nullus, etiam, in, ego, praesidium, suus, fortuna, constituo, sum, arbitror, quare, nunc, populo, atque, uexo, cunctus, ad, ego, publicus, saepe, uenio, ut, suus, fortuna, omnis, causa, defensio, suscipio, ego, saepe, sum, polliceor, saepe, ostendo, dico, si, qui, tempus, accido, quo, tempus, aliquis, ab, ego, requiro, commodus, is, ego, non, desum",82,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.5, 1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.043,0.0,uexo,0.012
cicero.divinatio_in_q_caecilius,3.0,"uenio, tempus, aio, non, iam, ut, commodus, suus, sed, ut, uita, saluto, totus, prouincia, defendo, sui, iam, ne, deus, quidem, in, suus, urbs, ad, qui, confugio, habeo, qui, is, simulacrum, sancio, caius, uerro, ex, delubrum, religiosus, tollo, qui, res, luxurio, in, flagitium, crudelitas, in, supplicium, auaritia, in, rapina, superbia, in, contumelia, efficio, possum, is, omnis, sui, hic, unus, praetor, per, triennium, perfero, rogo, et, oro, ne, ille, supplex, aspernor, qui, ego, incolumis, nemo, supplex, sum, oportet",76,"NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, -1.0, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, -0.5, 0.0, NaN, NaN",-0.059,-0.079,"luxurio, flagitium, crudelitas, supplicium, auaritia, rapina, superbia, contumelia, hic, aspernor",0.132
cicero.divinatio_in_q_caecilius,4.0,"fero, grauis, et, acerbus, iudex, in, is, ego, locus, adduco, ut, aut, is, homo, spes, fallo, qui, ops, ab, ego, atque, auxilium, peto, aut, ego, qui, ego, ad, defendo, homo, ab, ineo, adulescentia, do, tempus, atque, officium, cogo, ad, accuso, traduco, dico, habeo, is, actor, quintus, caecilium, qui, praesertim, quaestor, in, idem, prouincia, post, ego, quaestor, sum, quo, ego, adiumentum, spero, hic, ab, ego, possum, molestia, demoueo, is, ego, sum, aduersarius, magnus, nam, ille, multus, ego, hic, facilis, remitto, si, iste, non, nosco, aut, si, iste, apud, is, quaestor, non, sum",91,"NaN, -0.5, NaN, -1.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.016,-0.038,"acerbus, fallo, hic, hic",0.044
cicero.divinatio_in_q_caecilius,5.0,"adduco, sum, iudex, officium, fides, misericordia, multus, bonus, exemplum, ueto, consuetudo, instituo, magnus, ut, onus, hic, labor, atque, officio, non, ex, meus, sed, ex, meus, necessarius, tempus, ego, suscipio, puto, quo, in, negotium, tamen, ille, ego, res, iudex, consolo, qui, hic, qui, uideo, sum, accusatio, meus, non, potis, accusatio, quam, defensio, sum, existimo, defendo, enim, multus, mortalis, multus, ciuitas, prouincia, sicilia, totus, quam, ob, res, quia, ego, unus, sum, accuso, prope, modus, maneo, in, instituo, meus, uideo, et, non, omnino, ab, defendo, homo, subleuo, discedo",85,"NaN, NaN, 0.5, 0.5, 1.0, 1.0, 0.0, 1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.041,-0.024,"hic, hic",0.024
cicero.divinatio_in_q_caecilius,6.0,"quodsi, hic, causa, tam, idoneus, tam, illustris, tam, grauis, non, habeo, si, aut, hic, ab, ego, siculis, non, peto, aut, ego, cum, siculis, causa, tantus, necessitudo, non, intercedo, et, hic, qui, facio, ego, res, publicus, causa, facio, profiteor, ut, homo, singularis, cupiditas, audacia, scelus, praeditus, qui, furtum, atque, flagitium, non, in, sicilia, solus, sed, in, achaia, asia, cilicium, pamphylia, roma, denique, ante, oculus, omnis, maximus, turpis, nosco, ego, ago, in, iudicium, uoco, quis, tandem, sum, qui, meus, facio, aut, consilium, possum, reprehendo",82,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, -0.5, 1.0, -1.0, 0.5, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN",-0.037,-0.067,"hic, hic, hic, audacia, scelus, furtum, flagitium, turpis",0.098
cicero.divinatio_in_q_caecilius,7.0,"quis, sum, pro, deus, homo, fides, in, quo, ego, res, publicus, multus, hic, tempus, prosum, possum, quis, sum, qui, aut, populus, romanus, gratus, sum, debeo, aut, socius, exter, natio, opto, sum, possum, aut, salus, fortuna, omnis, magis, accommodo, sum, populo, uexo, fundus, euerro, prouincia, socius, stipendiarius, populus, romanus, affligo, miser, iam, non, salus, spes, sed, solacium, exeo, quaero",58,"NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, 1.0, 0.5, NaN, 1.0, NaN, NaN",0.112,-0.017,"hic, natio, uexo, miser",0.069
cicero.divinatio_in_q_caecilius,8.0,"qui, iudicium, maneo, apud, ordo, senatorius, uolo, queror, accusator, sui, idoneus, non, habeo, qui, accuso, possum, iudicium, seueritas, desidero, populus, romanus, interea, tametsi, multus, incommodus, difficultas, affectus, sum, tamen, nihil, aequus, in, res, publicus, atque, ille, uetus, iudicium, uis, grauitas, requiro, iudicium, desiderium, tribunicius, potestas, efflagito, sum, iudicium, leuitas, ordo, quoque, alius, ad, res, iudico, postulo, iudex, culpa, atque, dedecor, etiam, censorius, nomen, qui, asper, antea, populus, uideo, soleo, is, nunc, posco, is, iam, popularis, et, plausibilis, facio, sum",79,"NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -0.5, -0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.5, 1.0, -0.5, NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN, 0.5, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.038,-0.038,"seueritas, culpa, dedecor, popularis",0.051
cicero.divinatio_in_q_caecilius,9.0,"in, hic, libido, homo, noceo, in, populus, romanus, cottidianus, querimonia, iudicium, infamia, totus, ordo, offensio, cum, hic, unus, hic, tot, incommodus, remedium, sum, arbitror, ut, homo, idoneus, atque, integer, causa, res, publicus, lex, suscipio, fateor, ego, salus, omnis, causa, ad, is, pars, accedo, res, publicus, subleuo, qui, magnus, laboro",49,"NaN, NaN, -0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, -0.5, 0.5, -1.0, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, 0.0, 0.0, 0.5, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN",-0.01,-0.071,"hic, libido, noceo, infamia, hic, hic",0.122
cicero.divinatio_in_q_caecilius,10.0,"nunc, quoniam, qui, res, adduco, ad, causa, accedo, demonstro, dico, necessarius, sum, de, contentio, noster, ut, in, constituo, accusator, quis, sequor, possum, habeo, ego, sic, intellego, iudex, cum, de, pecunia, repeto, nomen, quispiam, defero, si, certamen, inter, aliquis, sum, qui, potis, delatio, do, hic, duo, in, primus, specto, oportet, qui, magnus, uolo, actor, sum, is, qui, facio, sum, dico, iniuria, et, qui, paruus, uolo, is, qui, is, iniuria, facio, arguo",70,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN",-0.007,-0.029,"pecunia, hic",0.029
