Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.lucullus,1.0,"magnus, ingenium, lucius, lucullus, magnus, optimaris, ars, studium, tur, -ne, omnis, liberalis, et, dignus, homo, nobilis, ab, is, percipio, doctrina, qui, tempus, floreo, in, forum, magnus, possum, careo, omnino, res, urbanus, ut, enim, urbanus, admodum, adulescens, cum, frater, par, pietas, et, industria, praeditus, paternus, inimicitia, magnus, cum, gloria, sum, persequor, in, asia, quaestor, proficiscor, ibi, permultus, annus, admirabilis, quidam, laus, prouincia, praesum, deinde, absum, facio, aedilis, continuo, praetor, licet, enim, celer, lex, praemium, post, in, africa, inde, ad, consulatus, qui, ita, gero, ut, diligentia, admiror, omnis, ingenium, agnosco, post, ad, mithridaticus, bellum, mitto, ab, senatus, non, modo, opinio, uinco, omnii, qui, de, uirtus, is, sum, sed, etiam, gloria, superus",109,"0.0, 0.5, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, 1.0, NaN, 1.0, 0.0, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.5, 1.0, NaN, 0.5, 0.5, NaN, -1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN",0.119,-0.009,adulescens,0.009
cicero.lucullus,2.0,"is, is, sum, mirabilis, qui, ab, is, laus, imperatorius, non, admodum, expectabatur, qui, adulescentia, in, forensis, opus, quaestura, diuturnus, tempus, murena, bellum, in, pontus, gero, in, asia, pax, consumo, sed, incredibilis, quidam, ingenium, magnitude, non, desidero, indocilis, utor, disciplina, itaque, cum, totus, iter, et, nauigatio, consumo, pars, in, perconto, ab, peritus, pars, in, res, gero, lego, in, asia, facio, imperator, uenio, cum, sum, roma, proficiscor, res, militaris, rudis, habeo, enim, diuina, quidam, memoria, res, uerbum, magnus, horte, -ne, sius, sed, quo, multus, in, negotium, gero, res, quaint, uerbum, prosum, hic, sum, memoria, ille, praesto, quam, sum, in, themistocle, qui, facilis, graecia, princeps, pono, singularis, fero, qui, quidem, etiam, polliceo, quidam, sui, ars, is, memoria, qui, tum, primus, profero, trado, respondeo, dico, obliuiscor, sui, malo, disco, credo, qui, haereo, in, memorial, quicumque, audio, et, uideo, talis, ingenium, praeditus, lucullus, adiungo, etiam, ille, quam, themistocles, sperno, disciplina, itaque, ut, littera, consigno, qui, monumentum, mando, uolo, sic, ille, in, animus, res, insculpo, habeo",160,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, -0.5, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN",0.05,-0.009,hic,0.006
cicero.lucullus,3.0,"tantus, ergo, imperator, in, omnis, genus, bellum, sum, proelium, oppugnatio, naual, pugna, totus, bellum, instrunmento, et, apparatus, ut, ille, rex, post, alexandrum, magnus, hic, ab, sui, magnus, dux, cognosco, quam, quisquam, is, qui, lego, fateor, in, idem, tantus, prudentia, sum, in, constituo, tempero, ciuitas, tantus, aequitas, ut, hodie, sto, asia, lucullus, institus, seruo, et, quasi, uestigium, persequor, sed, etsi, magnus, cum, utilitas, res, publicus, tamen, diu, quam, uolo, tantus, uolo, uirtus, atque, ingenium, peregrinor, asum, ab, oculus, et, forum, et, curia, quin, etiam, cum, uictor, ab, mithridatico, bellum, reuorto, inimicus, calumnia, triennium, tardus, quam, debeo, triumpho, nos, enim, consul, introduco, paene, in, urbs, currus, clarus, uir, qui, ego, consilium, et, auctoritas, quis, tum, in, magnus, res, prosum, dico, nisi, de, ego, ipse, dico, sum, qui, hic, tempus, non, sum, necesse, ita, priuo, potis, ille, debeo, testimonium, quam, is, cum, meus, laus, communicenm",142,"NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, -1.0, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN",0.032,-0.035,"proelium, hic, hic",0.021
cicero.lucullus,4.0,"sed, qui, populor, gloria, decoraris, in, lucullo, debeo, is, fere, sum, et, graecus, littera, celebro, et, latinae, nos, autem, ille, externus, cum, multus, hic, interior, cum, paucus, ex, ipse, saepe, cognosco, magnus, enim, studium, lucullus, cum, omnis, litteraris, gener, tum, philosophia, dedo, sum, quam, qui, ille, ignoro, arbitror, neque, uerus, ineo, aetas, solus, sed, et, pro, quaestor, aliquot, annus, et, in, ipse, bellum, in, quo, ita, magnus, res, militaris, sum, occupatio, soleo, ut, non, multus, imperator, sub, ipse, pellis, otium, relinquo, cum, autem, e, philosophus, ingenium, scio, puto, antiochus, philonis, auditor, excello, is, cum, sui, et, quaestor, habeo, et, post, aliquot, annus, imperator, quisque, sum, is, memoria, quam, ante, dico, is, saepe, audio, facilis, cognosco, qui, uel, semel, audio, memini, possum, delecto, autem, mirificus, lectio, liber, de, qui, audio",129,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.035,-0.004,"hic, pellis, otium",0.023
cicero.lucullus,5.0,"atque, uereor, interdum, ne, talis, personaris, cum, amplificaris, uolo, minuo, etiam, gloria, sum, enim, multus, qui, omnino, graecas, non, amo, littera, multus, qui, philosophia, reliquus, qui, etiam, si, hic, non, in-probo, tamen, is, res, disputatio, princeps, ciuitas, non, ita, decorus, puto, ego, autem, cum, graecas, littera, marcus, catonem, in, senectus, disco, accipio, publicus, autem, africani, historia, loquor, in, legatio, ille, nobilis, quam, ante, censeo, obeo, panaetium, unus, omnino, comes, sum, neque, litteraris, graecaris, neque, philosophia, iam, ullus, auctor, requiro",79,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.025,0.0,hic,0.013
cicero.lucullus,6.0,"resto, ut, is, respondeo, qui, sermo, is, modus, nolo, persono, tam, grauis, inligaris, quasi, uerus, clarus, uir, aut, taceo, congredior, sum, oportet, aut, ludicros, sermo, aut, res, colloquium, leuis, etenim, si, quidam, in, liber, uerus, sum, ab, nos, philosophia, laudo, profecto, is, tractatio, bonus, atque, amplus, quoque, dignus, sum, neque, quic, quam, alius, ut, uideo, sum, nos, qui, populus, romanus, hic, in, gradus, con-loco, nisi, ne, quis, priuo, studium, de, opus, publicus, detraho, qui, si, cum, fungor, munus, debeo, non, modo, opera, noster, umquam, ab, populor, coitus, remoueo, sed, ne, littera, quidem, ullus, facio, nisi, forensis, quis, re-prehendo, otium, nos, qui, in, is, non, modo, nos, ipse, hebesco, et, langueo, nolo, sed, etiam, ut, multus, prosum, enitor, gloria, uerus, non, modo, non, minuo, sed, etiam, augeo, arbitror, is, qui, ad, popularis, illustris, laus, hic, etiam, paruus, nosco, paruus, per-uulgo, adiungo",140,"NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, -0.5, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN",0.043,-0.018,"hic, otium, popularis, hic",0.029
cicero.lucullus,7.0,"sum, etiam, qui, nego, in, is, qui, in, noster, liber, disputo, sum, is, res, de, qui, disputo, scientia, qui, ego, uideo, non, solus, uiuo, sed, etiam, morior, inuideo, resto, unus, genus, reprehensor, qui, academia, ratio, non, probo, qui, grauis, fero, si, quisquam, ullus, disciplina, philosophia, probo, praeter, is, quam, ipse, sequor, nos, autem, quoniam, contra, omnis, qui, dico, qui, uideo, solo, non, possum, quin, alius, ab, nos, dissentio, recusaris, quamquam, noster, quidem, causa, facilis, sum, qui, uerus, inuenio, sine, ullus, contentio, uolo, is, summus, cura, studium, conquaero, etsi, enim, omnis, cognitio, multus, sum, obstruo, difficultas, is, sum, et, in, ipse, res, obscuritas, et, in, iudicium, noster, infirmitas, ut, non, sine, causa, antiquus, et, doceo, inuenio, sui, possum, qui, cupio, diffido, sum, tamen, neque, ille, deficio, neque, nos, studium, exquiro, defatigo, relinquo, neque, noster, disputatio, quisquam, alius, ago, nisi, ut, in, uter, pars, dico, et, audio, elicio, et, tamquam, exprimo, aliquis, qui, aut, uerus, sum, aut, ad, is, quam, propior, accedo",160,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.003,-0.022,,0.0
cicero.lucullus,8.0,"neque, inter, nos, et, is, qui, sui, scio, arbitror, quisquam, intersum, nisi, qui, ille, non, dubito, quin, is, uerus, sum, qui, defendo, nos, probabilis, multus, habeo, qui, sequor, facilis, adfirmaris, uix, possum, hic, autem, liber, et, soluo, sum, qui, integer, nos, sum, iudico, potestas, neque, ut, omnis, qui, praescribo, et, qui, et, quasi, impero, sum, defendo, necessitas, ullus, cogo, nam, ceterus, primus, ante, teneo, ad-stringo, quam, quis, sum, bonus, iudicaris, possum, deinde, infirmis, tempus, aetas, aut, obsequor, amicus, quidam, aut, unus, aliquis, qui, primus, audio, oratio, capio, de, res, incognitus, iudico, et, ad, quanicumque, sum, disciplina, quasi, tempestas, defero, ad, is, tamquam, ad, saxum, adhaeresco",105,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -1.0, 0.0, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.043,-0.014,hic,0.01
cicero.lucullus,9.0,"nam, qui, dico, omnis, sui, credo, is, qui, iudico, sum, sapio, probaris, si, is, ipse, rudo, et, indoceo, iudicaris, possum, statuo, enim, qui, sum, sapio, uel, magnus, uideo, sum, sapio, sled, ut, possum, aut, omnis, res, audio, cognosco, etiam, reliquus, sententia, iudico, aut, res, semel, audio, ad, unus, sui, auctoritas, confero, sed, nescio, quo, modo, pleriqueerraris, malo, eo, sententia, quam, adamo, pugnax, defendo, quam, sine, pertinacia, quis, consto, dico, exquiro, qui, de, res, et, alius, saepe, nos, multus, quaero, et, disputo, sum, et, quondam, in, hortensius, uilla, qui, sum, ad, baulos, cum, is, catulus, et, lucullus, nos, ipse, postridie, uenio, quam, apud, catulis, sum, quo, quidem, etiam, maturus, uenio, qui, sum, constituo, si, uenio, sum, lucullo, in, neapolitanum, ego, in, pompeianum, nauigaris, cum, igitur, paucus, in, xystus, loquor, sum, tum, idem, in, spatium, consido",134,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.007,-0.007,pertinacia,0.007
cicero.lucullus,10.0,"hic, catulus, etsi, heri, inquam, is, qui, quaero, paene, explicatus, sum, ut, totus, fere, quaestio, tracto, uideo, tamen, ex-pecto, is, qui, tu, polliceor, sum, luculle, ab, antiocho, audio, dico, equidem, inquam, hortensius, facio, multus, quam, uolo, totus, enim, res, catulis, lucullo, integer, seruo, oportet, et, tamen, fortasse, seruo, sum, ab, ego, enim, is, qui, in, promptus, sum, dictum, sum, ab, lucullo, autem, recondo, desidero, tum, ille, non, sanus, inquam, hortensius, conturbo, ego, expectatio, tuus, etsi, nihil, sum, is, qui, placeo, uolo, tam, aduersarius, sed, quia, non, laboro, quam, quam, ualidus, is, qui, dico, probo, sum, is, paruus, conturbo, dico, enim, neque, meus, neque, is, in, qui, non, si, non, sum, uinco, ego, malo, quam, uinco, sed, hercules, ut, quidem, nunc, sui, causa, habeo, etsi, hesternus, sermo, labefacto, sum, ego, tamen, uideo, sum, uerus, ago, igitur, sicut, antiochus, ago, nosco, enim, ego, res, sum, nam, et, uacuus, animus, ille, audio, et, magnus, studium, idem, de, res, etiam, saepis, ut, etiam, maiorer, expectatio, meus, facio, quam, modo, facio, hortensius, cum, ita, sum, exordior, ad, audio, animus, erigo",175,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.017,-0.009,"hic, tu",0.011
