Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.paradoxa_stoicorum,1.0,"hic, libellus, cicero, cato, uticensis, perficio, ille, stoici, admiratio, adduco, disciplina, stoicae, praecipio, qui, homo, ob, seueritas, admiror, magis, quam, sequor, παράδοξα, qui, latinus, uoco, admirabilis, oratio, suus, suauitas, mollio, probaris, populus, et, commendaris, sui, propono, nam, etsi, in, oratio, pro, lucius, murena, catus, accuso, stoicorum, παράδοξα, perstringo, et, in, liber, de, finis, iii, et, iu, idem, austeritas, modero, sum, censeo, tamen, non, tam, doctrina, ratio, ille, improbo, quam, sermo, insolentia, atque, primus, quidem, locus, bonus, solus, honestas, contineo, deinde, secundus, tamquam, consectario, ostendo, honestus, quisque, in, sui, unus, habeo, omnis, bene, beatus, uiuo, praesidium, ex, hic, autem, locus, ceterus, qui, deinceps, persequor, apto, sum, et, suspendo, itaque, tertius, locus, sum, de, peccator, aequalitas, omnis, quartus, de, stultor, insania, locus, paucus, tantus, uerbum, supersum, ceterus, excido, cum, titulus, et, initium, alius, paradoxus, solus, sapio, sum, ciuis, omnis, autem, stultus, sum, exulis, quo, ad, perstringendum, clodium, utor, sum, qui, non, modo, exulis, sed, hostis, sui, ipse, semper, ciuis, sum, demonstro, quintus, locus, quo, lucius, lucullum, atque, etiam, hortensius, uideo, carpo, nisi, sapio, libertas, fruor, nemo, doceo, possum, uerus, unus, quisque, ita, uiuo, ut, uolo, i., e., liber, sum, si, modo, honestas, sequor, denique, sextus, locus, quo, marcus, crassus, diues, reprehendo, aerarius, in, consulatus, secundus, aulus, u., caius, ., expilo, infamia, notabilis, solus, sapio, aio, gaudeo, diuitiae, ut, qui, cum, in, ceterus, uirtus, tum, magnus, in, continentia, sum, pono, hic, autem, breuis, quaestio, qui, ad, marcus, brutus, mitto, munusculis, unus, annus, tempus, ut, uideo, uernus, compono, sum, e, prooemium, §, ., appareo, et, quamquam, cicero, crassus, aulus, u., caius, ., et, clodium, aulus, ., interfacio, dialogus, licentia, sui, adsum, possum, fingo, non, tamen, post, mensis, annus, ., iunius, quo, cato, mors, sui, uticae, conscio, condio, hic, opusculis, sum, uideo",287,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, -0.5, -1.0, NaN, 0.5, NaN, 0.0, 1.0, -0.5, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, -1.0, 0.5, NaN, 0.0, NaN, NaN, -1.0, 0.0, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.007,-0.042,"hic, seueritas, honestus, hic, peccator, stultor, stultus, exulis, exulis, expilo, infamia, notabilis, hic, interfacio, licentia, fingo, hic",0.059
cicero.paradoxa_stoicorum,1.1,"animaduerto, brutus, saepe, catonem, auunculis, tuus, cum, in, senatus, sententia, dico, locus, grauis, ex, philosophia, tractaris, abhorreo, ab, hic, usus, forensis, et, publicus, sed, dico, consequor, tamen, ut, ille, etiam, populus, probabilis, uideo",33,"NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN",-0.015,-0.045,hic,0.03
cicero.paradoxa_stoicorum,2.0,"qui, is, magnus, sum, ille, quam, aut, tu, aut, nos, quia, nos, is, philosophia, multus, utor, qui, pario, dico, copia, et, in, qui, dico, is, qui, non, multus, discrepo, ab, opinio, populor, cato, autem, perficio, meus, sententia, stoicus, et, is, sentio, qui, non, sanus, probo, in, uulgus, et, in, is, sum, haeresis, qui, nullus, sequor, flos, oratio, neque, dilato, argumentum, minuo, interrogatiunculis, quasi, pungo, qui, propono, efficio",67,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.022,-0.007,tu,0.015
cicero.paradoxa_stoicorum,3.0,"sed, nihil, sum, tam, incredibilis, qui, non, dico, fio, probabilis, nihil, tam, horridus, tam, incultus, qui, non, splendescat, oratio, et, tamquam, excolo, qui, cum, ita, puto, facio, etiam, audax, quam, ille, ipse, de, quo, loquor, cato, enim, dum, taxo, de, magnitudo, animus, de, continentia, de, mors, de, omnis, laus, uirtus, de, deus, immortalis, de, caritas, patria, stoice, soleo, oratorius, ornamentum, adhibeo, dico, ego, tu, ille, ipse, qui, uix, in, gymnasium, et, in, otium, stoici, probo, ludo, conicio, in, communis, locus",80,"NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5, NaN, -1.0, NaN, NaN, 1.0, 1.0, NaN, 0.0, 0.5, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.025,-0.044,"audax, tu, otium",0.037
cicero.paradoxa_stoicorum,4.0,"qui, quia, sum, admirabilis, contra, opinio, omnis, ab, ipse, etiam, παράδοξα, appello, tento, uolo, possum, profero, in, lux, is, sum, in, forum, et, ita, dico, ut, probo, an, alius, quidam, sum, erudio, alius, popularis, oratio, eo, hic, locus, scribo, libet, qui, ego, iste, παράδοξα, qui, appello, magnus, uideo, sum, socratica, longus, uerus",52,"NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5",0.019,-0.01,"popularis, hic",0.038
cicero.paradoxa_stoicorum,5.0,"accipio, igitur, hic, paruus, opusculis, lucubro, hic, iam, contraho, nox, quoniam, ille, magnus, uigiliaris, munus, in, tuus, nomen, appareo, et, degusto, genus, exercitatio, is, qui, uti, con-suesco, cum, is, qui, dico, in, schola, θετικῶς, ad, nos, hic, oratorius, transfero, dico, genus, hic, tamen, opus, in, accipio, ut, refero, nihil, postulo, non, enim, sum, talis, ut, in, arx, pono, possum, quasi, minerua, ille, phidiae, sed, tamen, ut, ex, idem, officina, exeo, appareo",71,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.014,0.0,"hic, hic, hic, hic",0.056
cicero.paradoxa_stoicorum,6.0,"ὅτι, μόνον, τὸ, καλὸν, ἀγαθόν, uereor, ne, qui, uester, ex, socraticorum, homo, disputatio, non, ex, meus, sentio, de_-prompto, hic, uideo, oratio, dico, qui, sentio, tamen, et, dico, breuis, quam, res, tantus, dico, possum, numquam, herculis, ego, neque, pecunia, iste, neque, tectum, magnificus, neque, ops, neque, imperium, neque, is, qui, magnus, astringo, sum, uoluptas, in, bonus, res, aut, expeto, sum, duco, quippe, cum, uideo, res, hic, circumfluo, is, tamen, desideraris, magnus, qui, abundo, neque, enim, umquam, expleo, neque, satio, cupiditas, sum, neque, solus, is, qui, habeo, libido, augeo, crucio, sed, etiam, amitto, metus",92,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, -0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -1.0",-0.011,-0.033,"hic, pecunia, hic, libido",0.043
cicero.paradoxa_stoicorum,7.0,"in, quo, equidem, contineo, homo, magnus, noster, saepe, requiro, prudentia, qui, hic, imbecillus, et, conmutabilia, pecunia, membrum, uerbum, bonus, puto, appello, cum, res, atque, facio, longus, aliter, iudico, possum, -ne, bonus, quisquam, malus, sum, aut, possum, quisquam, in, abundantia, bonus, ipse, sum, non, bonus, atqui, iste, omnis, talis, uideo, ut, et, improbus, habeo, et, absum, probus",56,"NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 1.0",0.045,-0.054,"hic, pecunia, improbus, probus",0.071
cicero.paradoxa_stoicorum,8.0,"quam, ob, res, licet, irrideo, si, qui, uolo, multus, apud, ego, tamen, uerus, ratio, ualeo, quam, uulgus, opinio, neque, ego, umquam, bonus, perdo, dico, si, quis, pecus, aut, supellectilis, amitto, neque, non, saepe, laudo, sapio, ille, biantem, ut, opinor, qui, numero, in, septem, qui, cum, patria, prienam, capio, hostis, ceter, ita, fugio, ut, multus, de, suus, res, asporto, cum, sum, admonitus, ab, quidam, ut, idem, ipse, facio, ego, uerus, inquam, facio, nam, omnis, cum, ego, porto, meus",77,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.013,-0.013,supellectilis,0.013
cicero.paradoxa_stoicorum,9.0,"ille, hic, ludibrium, fortuna, ne, suus, quidem, puto, qui, nos, appello, etiam, bonus, quis, sum, igitur, quaero, aliquis, bonus, si, qui, rectus, fio, et, honestus, et, cum, uirtus, is, bene, fio, uerus, dico, qui, recingo, et, honestus, et, cum, uirtus, sum, is, solus, opinor, bonus",45,"NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, -0.5, NaN, 1.0",0.156,-0.033,"hic, ludibrium, honestus, honestus",0.089
cicero.paradoxa_stoicorum,10.0,"sed, hic, uideo, possum, odiosus, cum, lentus, disputo, uito, atque, facio, illustro, sum, summus, uir, hic, qui, uerbum, subtilis, quam, satis, sum, disputaris, uideo, quaero, enim, ab, tu, num, ullus, cogitatio, habeo, uideo, is, qui, hic, res, -ne, publicus, tam, praeclaris, fundo, nos, relinquo, aut, argentum, ad, auaritia, aut, amoenitas, ad, delectatio, aut, supellectilis, ad, deliquia, aut, epularis, ad, uoluptas, pono, ante, oculus, unus, quisque, rex",66,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.0",0.023,-0.015,"hic, hic, tu, hic, auaritia, supellectilis",0.091
