Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_archia,1.0,"si, quis, sum, in, ego, ingenium, iudex, qui, sentio, quam, sum, exiguus, aut, si, qui, exercitatio, dico, in, qui, ego, non, infitior, mediocris, sum, uerso, aut, si, hic, res, ratio, aliqui, ab, optimaris, ars, studium, atque, disciplina, proficio, ab, qui, ego, nullus, confiteor, aetas, meus, tempus, abhorreo, is, res, omnis, uel, in, primus, hic, aulus, licinius, fructus, ab, ego, repeto, prope, suus, ius, debeo, nam, quoad, longus, possum, mens, meus, respicio, spatium, praetereo, tempus, et, pueritia, memoria, recordaris, ulter, inde, usque, repeto, hic, uideo, ego, princeps, et, ad, suscipio, et, ad, ingredior, ratio, hic, studium, exsisto, qui, si, hic, uox, hic, horto, praecipio, conformo, non, nullus, aliquando, salus, sum, ab, quo, is, accipio, quo, ceterus, opitularis, et, alius, seruaris, possum, hic, profecto, ipse, quantus, sum, sino, in, nos, et, ops, et, salus, fero, debeo",134,"NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN",0.056,0.0,"hic, hic, hic, hic, hic, hic, hic",0.052
cicero.pro_archia,2.0,"atque, ne, quis, ab, nos, hic, ita, dico, fors, miro, qui, alius, quidam, in, hic, facultas, sum, ingenium, neque, hic, dico, ratio, aut, disciplina, ne, nos, quidem, hic, unus, studium, penitus, umquam, dedo, sum, etenim, omnis, ars, qui, ad, humanitas, pertineo, habeo, quidam, communis, uinclum, et, quasi, cognatio, quidam, inter, sui, contineo",52,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.029,0.0,"hic, hic, hic, hic, uinclum",0.096
cicero.pro_archia,3.0,"sed, ne, qui, uester, mirus, sum, uideo, ego, in, quaestio, legitimus, et, in, iudicium, publicus, cum, res, ago, apud, praetor, populus, romanus, lectus, uir, et, apud, seuerus, iudex, tantus, conuenio, homo, atque, frequentia, hic, uti, genus, dico, qui, non, modo, ab, consuetudo, iudicium, uerus, etiam, ab, forensis, sermo, abhorreo, quaeso, ab, tu, ut, in, hic, causa, ego, do, hic, uenio, accommodo, hic, reor, tu, qui, ad, modus, spero, non, molestus, ut, ego, pro, superus, poeta, atque, erudio, homo, dico, hic, concursus, homo, litteratus, hic, uester, humanitas, hic, denique, praetor, exerceo, iudicium, patior, de, studium, humanitas, atque, litteraris, paulus, loquor, liber, et, in, is, modus, persono, qui, propter, otium, atque, studium, paruus, in, iudicium, periculum, tracto, sum, uti, prope, nouo, quidam, et, inusitatus, genus, dico",124,"NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN",0.048,-0.024,"hic, tu, hic, hic, hic, tu, hic, litteratus, hic, hic, otium",0.089
cicero.pro_archia,4.0,"qui, si, ego, ab, tu, tribuo, concedo, sentio, perficio, profecto, ut, hic, aulus, licinius, non, modo, non, segrego, cum, sum, ciuis, ab, numerus, ciuis, uerus, etiam, si, non, sum, puteo, ascisco, sum, nam, ut, primus, ex, puer, excedo, archias, atque, ab, is, ars, qui, aetas, puerilis, ad, humanitas, informaris, soleo, sui, ad, scribo, studium, confero, primus, antiochiae, nam, ibi, nascor, sum, locus, nobilis, celeber, quondam, urbs, et, copiosus, atque, erudio, homo, liberalis, studium, affluo, celer, antecello, omnis, ingenium, gloria, coepio, post, in, ceterus, asia, pars, cuncto, graecia, sic, is, aduenio, celebro, ut, fama, ingenium, exspectatio, homo, exspectatio, ipse, aduenio, admiratio, supero",101,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, 0.0, 1.0, 0.5, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, 0.0, 0.0, 0.0, NaN, NaN, 0.5, NaN",0.094,0.0,"tu, hic",0.02
cicero.pro_archia,5.0,"sum, italia, tum, plenus, graecaris, ars, atque, disciplinaris, studium, hic, et, in, latium, uehemens, tum, colo, quam, nunc, idem, in, oppidum, et, hic, roma, propter, tranquillitas, res, publicus, non, neglego, itaque, hic, et, tarentini, et, locrenses, et, rego, et, neapolitani, ciuitas, ceter, praemium, dono, et, omnis, qui, aliquis, de, ingenium, possum, iudicaris, cognitio, atque, hospitium, dignus, existimo, hic, tantus, celebritas, fama, cum, sum, iam, absum, notus, roma, uenio, marius, consul, et, catulus, nanciscor, sum, primus, consul, is, qui, alter, res, ad, scribo, magnus, alter, cum, res, gero, tum, etiam, studium, atque, auris, adhibeo, possum, statim, lucullus, cum, praetextatus, etiam, tum, archias, sum, is, domus, suus, recipio, do, etiam, hic, non, solus, lumen, ingenium, atque, litteraris, uerus, etiam, natura, atque, uirtus, ut, domus, qui, hic, adulescentia, primus, faueo, idem, sum, familiaris, senectus",131,"NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, 0.5, NaN, 0.0, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, 0.0",0.076,-0.004,"hic, hic, hic, hic, hic, hic",0.046
cicero.pro_archia,6.0,"sum, tempus, ille, iucundus, quintus, metello, ille, numidico, et, is, pius, filius, audio, ab, marcus, aemilius, uiuo, cum, quintus, catulus, et, pater, et, filius, ab, lucius, crassus, colo, lucullos, uerus, et, drusum, et, octauios, et, catonem, et, totus, hortensius, domus, deuincio, consuetudo, cum, teneo, afficio, superus, honor, qui, is, non, solus, colo, qui, aliquis, percipio, atque, audio, studeo, uerus, etiam, si, qui, fors, simulabant.interim, satis, longus, interuallum, cum, sum, cum, marcus, lucullo, in, sicilia, proficiscor, et, cum, ex, is, prouincia, cum, idem, lucullo, decedo, uenio, heracleam, qui, cum, sum, ciuitas, aequus, ius, atque, foedus, ascribo, sui, in, is, ciuitas, uolo, is, cum, ipse, per, sui, dignus, puto, tum, auctoritas, et, gratia, lucullus, ab, heracliensibus, impetro",115,"NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN",0.052,-0.013,,0.0
cicero.pro_archia,7.0,"do, sum, ciuitas, siluani, lex, et, carbo, si, qui, foedero, ciuitas, ascribo, sum, si, tum, cum, lex, fero, in, italia, domicilium, habeo, et, si, sexa_ginta, dies, apud, praetor, sum, profiteor, cum, hic, domicilium, roma, multus, iam, annus, habeo, profiteor, sum, apud, praetor",42,"NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5",0.071,0.0,"foedero, hic",0.048
cicero.pro_archia,8.0,"quintus, metellus, familiaris, suus, si, nihil, alius, nisi, de, ciuitas, atque, lex, dico, nihil, dico, amplus, causa, dictum, sum, quis, enim, hic, infirmaris, gratti, possum, heracleae, -ne, sum, tum, ascribo, nego, adsum, uir, summus, auctoritas, et, religio, et, fides, marcus, lucullus, qui, sui, non, opinor, sed, scio, non, audio, sed, uideo, non, intersum, sed, ago, dico, adsum, heraclienses, legatus, nobilis, homo, hic, iudicium, causa, cum, mandatum, et, cum, publicus, testimonium, uenio, qui, hic, ascribo, heracliae, sum, dico, hic, tu, tabula, desidero, heracliensium, publicus, qui, italico, bellum, incensum, tabularius, intereo, scio, omnis, sum, ridiculus, ad, is, qui, habeo, nihil, dico, quaero, qui, habeo, non, possum, et, de, homo, memoria, taceo, litteraris, memoria, flagito, et, cum, habeo, amplus, uir, religio, integer, municipium, ius, iuro, fides, is, qui, deprauaris, nullus, modo, possum, repudiaris, tabula, qui, idem, dico, soleo, corrumpo, desideraris",137,"NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.5, 1.0, 0.5, 0.0, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.084,0.0,"hic, hic, hic, hic, tu, ridiculus",0.044
cicero.pro_archia,9.0,"an, domicilium, roma, non, habeo, is, qui, tot, annus, ante, ciuitas, do, sedes, omnis, res, atque, fortuna, suus, roma, con-loco, an, non, sum, profiteor, immo, uerus, is, tabula, profiteor, qui, solus, ex, ille, professio, collegium, praetor, obtineo, publicaris, tabularis, auctoritas, nam, cum, appi, tabula, neglego, ad-seruo, dico, gabini, quam, diu, incolumis, sum, leuitas, post, damnatio, calamitas, omnis, tabularis, fides, resigno, metellus, homo, sancio, modestus, omnis, tantus, diligentia, sum, ut, ad, lucius, lentulus, praetor, et, ad, iudex, uenio, et, unus, nomen, litura, sui, commoueo, sum, dico, hic, igitur, in, tabula, nullus, litura, in, nomen, aulus, licinium, uideo",96,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, -1.0, -1.0, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.021,-0.031,"damnatio, calamitas, modestus, hic",0.042
cicero.pro_archia,10.0,"qui, cum, ita, sum, quis, sum, qui, de, is, ciuitas, dubito, praesertim, cum, alius, quoque, in, ciuitas, sum, ascribo, etenim, cum, mediocris, multus, et, aut, nullus, aut, humilis, aliqui, ars, praeditus, gratuitus, ciuitas, in, graecia, homo, impertio, reginos, credo, aut, locrensis, aut, neapolitanos, aut, tarentinos, qui, scaenicus, artifex, largior, soleo, is, hic, summus, ingenium, praeditus, gloria, nolo, quis, cum, ceterus, non, modo, post, ciuitas, do, sed, etiam, post, lex, papiam, aliquis, modo, in, is, municipium, tabula, in-repo, hic, qui, ne, uto, quidem, ille, in, qui, sum, scribo, qui, semper, sui, heracliensem, sum, uolo, reicio",94,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.048,0.0,"humilis, gratuitus, hic, hic",0.043
