Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_balbo,1.0,"si, auctoritas, patronus, in, iudicium, ualeo, ab, amplus, uis, lucius, cornelis, causa, defendo, sum, si, utor, ab, pereo, si, ingenium, ab, eloquens, si, studium, ab, amicus, et, cum, beneficium, cum, lucius, cornelio, tum, maximus, familiaritas, coniungo, qui, sum, igitur, meus, pars, auctoritas, tantus, quantus, tu, in, ego, sum, uolo, utor, mediocris, ingenium, paruus, uoluntas, paris, nam, ceterus, ab, qui, sum, defendo, hic, debeo, multus, uideo, ego, quantus, is, debeo, alius, locus, principium, oratio, hic, pono, ego, omnis, qui, amicus, sum, salus, et, dignitas, meus, si, paruus, refero, gratia, satis, facio, possum, praedico, et, habeo, certus, satis, sum, facio",98,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, 1.0, 0.0, NaN, 0.0, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN",0.112,-0.005,"tu, hic, hic",0.031
cicero.pro_balbo,2.0,"qui, sum, hesternus, dies, gnaeus, pompeius, grauitas, in, dico, iudex, qui, facultas, qui, copia, non, opinio, taceo, uester, animus, sed, perspicuus, admiratio, declararis, uideo, nihil, enim, umquam, audio, qui, ego, de, ius, subtilis, dico, uideo, nihil, memoria, magnus, de, exemplum, nihil, pereo, de, foedus, nihil, illustris, auctoritas, de, bellum, nihil, de, res, publicus, grauis, nihil, de, ipse, modestus, nihil, de, causa, et, crimen, orno",64,"NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, -0.5, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, -1.0, NaN",0.031,-0.047,"modestus, crimen",0.031
cicero.pro_balbo,3.0,"ut, ego, iam, uerus, uideo, ille, sum, qui, non, nullus, littera, atque, studium, doctrina, dedo, quasi, quidam, incredibilis, dico, puto, is, qui, omnis, animus, uirtus, penitus, comprehendo, omnis, qui, facio, rectus, procedo, qui, enim, in, lucius, crassus, possum, homo, natus, ad, dico, singularis, quidam, facultas, si, hic, causa, ago, magnus, sum, ubertas, uarietas, copia, quam, sum, in, is, qui, tantus, possum, impertio, hic, studium, tempus, quantus, ipse, ab, pueritia, usque, ad, hic, aetas, ab, continuus, bellum, et, uictoria, conquiesco",79,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN",0.057,-0.006,"hic, hic, hic",0.038
cicero.pro_balbo,4.0,"quo, ego, difficilis, sum, hic, extremus, peroro, locus, etenim, is, succedo, oratio, qui, non, praeteruehor, sum, auris, uester, sed, in, animus, omnis, penitus, in-sedeo, ut, multus, uoluptas, ex, recordatio, ille, oratio, quam, non, modo, ex, meus, sed, ex, quisquam, oratio, capio, possum, sed, mos, sum, gero, non, modo, cornelio, qui, ego, uoluntas, in, is, periculum, nullus, modo, desum, possum, sed, etiam, gnaeus, pompeius, qui, suus, facio, suus, iudicium, suus, beneficus, uolo, ego, sum, ut, apud, idem, tu, iudex, nuper, in, alius, causa, sum, et, praedicator, et, actor",87,"NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0",0.011,-0.034,"hic, tu",0.023
cicero.pro_balbo,5.0,"atque, ego, quidem, hic, dignus, res, publicus, uideo, hic, debeo, hic, excello, uir, praesto, gloria, hic, proprius, sum, uester, officio, hic, satis, sum, causa, ut, qui, facio, gnaeus, pompeius, consto, is, omnis, is, liceo, concedo, nam, uerus, nihil, sum, quam, qui, hesternus, dies, dico, ipse, ita, lucius, cornelius, de, fortuna, omnis, dimicaris, ut, nullus, in, delictum, crimen, uoco, non, enim, furor, sum, ciuitas, non, genus, suus, ementior, non, in, aliquis, impudens, mendacium, delitesco, non, in-repo, in, census, dico, unus, obicio, natus, sum, gades, qui, nego, nemo, ceterus, accusator, fateor, hic, in, hispania, durus, bellum, cum, quintus, metello, cum, caius, memmio, et, in, classis, et, in, exercitus, sum, ut, pompeius, in, hispania, uenio, memmiumque, habeo, quaestor, coepio, numquam, ab, memmio, discedo, carthago, sum, ob-sedeo, acer, ille, proelium, et, magnus, sucronensi, et, turiensi, intersum, cum, pompeius, ad, exter, bellum, tempus, sum",139,"NaN, NaN, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN",-0.029,-0.05,"hic, hic, hic, hic, hic, delictum, crimen, furor, impudens, mendacium, hic, classis, proelium",0.094
cicero.pro_balbo,6.0,"hic, sum, proprius, cornelis, pietas, in, res, publicus, noster, labor, assiduitas, dimicatio, uirtus, dignus, superus, imperator, spes, pro, periculum, praemium, praemium, quidem, ipse, non, sum, in, is, facio, qui, adipiscor, sum, sed, in, is, qui, do, dono, igitur, sum, ob, is, causa, ab, gnaeus, pompeius, ciuitas, is, accusator, non, nego, sed, reprehendo, ut, in, cornelio, causa, ipse, probo, poena, quaero, in, pompeius, causa, laedo, poena, sum, nullus, nisi, fama, sic, innocens, homo, fortuna, praesto, imperator, facio, condemnaris, uolo, ergo, in, iudicium, caput, cornelis, facio, pompeius, uoco, hic, enim, in, is, ciuitas, in, qui, sum, nascor, honestus, locus, natus, sum, concedo, et, ab, ineo, aetas, relinquo, res, suus, omnis, in, noster, bellum, noster, cum, imperator, sum, uerso, nullus, labor, nullus, obsessio, nullus, proelium, expers, sum, hic, sum, omnis, cum, plenus, laus, tum, proprius, cornelis, neque, in, is, res, crimen, sum, ullus",140,"NaN, NaN, 0.0, NaN, 1.0, NaN, 0.0, 0.0, NaN, -0.5, 0.5, -1.0, 1.0, 1.0, NaN, 0.5, 0.5, NaN, -1.0, 1.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, 0.5, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN",0.039,-0.05,"hic, assiduitas, poena, poena, innocens, hic, honestus, proelium, hic, crimen",0.071
cicero.pro_balbo,7.0,"ubi, igitur, sum, crimen, qui, is, pompeius, ciuitas, dono, hic, crimen, paruus, nisi, honor, ignominia, puto, sum, qui, igitur, res, uerus, nullus, actio, accusator, is, unus, qui, dono, qui, si, adduco, gratia, paruus, idoneus, homo, praemium, afficio, quin, etiam, si, uir, bonus, sed, non, ita, mereo, si, denique, aliquis, non, contra, atque, licet, facio, dico, sed, contra, atque, oportet, tamen, sum, omnis, is, modus, reprehensio, ab, tu, iudex, repudio",69,"NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, 0.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, NaN, 0.5, NaN",0.058,-0.036,"crimen, hic, crimen, ignominia, tu",0.072
cicero.pro_balbo,8.0,"nunc, uerus, quis, dico, quis, aio, accusator, facio, pompeius, qui, is, facio, non, liceo, qui, grauis, sum, quam, si, is, facio, ab, is, dico, qui, non, oportet, sum, enim, aliquis, qui, non, oportet, etiam, si, licet, quisquis, uerus, non, licet, certus, non, oportet, hic, ego, nunc, cuncto, sic, ago, iudex, non, sum, fas, dubitaris, quin, qui, gnaeus, pompeius, facio, consto, is, non, solus, liceo, sed, etiam, decuisse, fateor",68,"NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN",0.015,-0.015,hic,0.015
cicero.pro_balbo,9.0,"quis, enim, absum, hic, homo, qui, si, adsum, ius, hic, is, tribuo, et, concedo, puto, usus, -ne, res, qui, pueritia, tempus, exter, principium, habeo, bellum, atque, imperium, magnus, qui, plerusque, aequal, paruus, saepe, castrum, uideo, quam, hic, triumpho, qui, tot, habeo, triumphus, quot, ora, sum, pars, terra, tot, uictoria, bellicus, quot, sum, in, res, natura, genus, bellum, an, ingenium, quin, etiam, ipse, casus, euenio, res, non, dux, sed, comes, is, consilium, sum, in, quo, unus, ita, summus, fortuna, cum, summus, uirtus, certo, ut, omnis, iudicium, multus, homo, quam, dea, tribuo, an, pudor, an, integritas, an, religio, in, is, an, diligentia, umquam, re-quaero, sum, qui, prouincia, noster, qui, liber, populus, qui, rex, qui, ulter, gens, castus, moderatus, sancio, non, modo, uideo, sed, aut, spero, umquam, aut, opto, cogito, quis, dico, de, auctoritas",131,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.057,0.0,"hic, hic, hic, pudor",0.031
cicero.pro_balbo,10.0,"qui, tantus, sum, quantus, in, hic, tantus, uirtus, atque, laus, sum, debeo, qui, senatus, populus, romanus, amplus, dignitas, praemium, do, non, postulo, imperium, uerus, etiam, recuso, hic, de, facio, iudex, ita, quaero, ut, is, ago, liceo, is, facio, qui, facio, an, uerus, non, dico, non, liceo, sed, nefas, sum, contra, foedus, enim, is, sum, contra, populus, romanus, religio, et, fides, facio, dico, non, turpis, res, publicus, nonne, tu",68,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, 1.0, 1.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, -1.0, 0.0, 0.0, NaN, NaN",0.074,-0.044,"hic, hic, nefas, turpis, tu",0.074
