Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_c_rabirio,1.1,"etsi, quiris, non, sum, meus, consuetudo, initium, dico, ratio, reddo, qui, de, causa, quisque, defendo, propterea, qui, cum, omnis, ciuis, in, is, periculum, semper, satis, iustus, ego, causa, necessitudo, sum, duco, tamen, in, hic, defensio, capio, fama, fortuna, omnis, caius, rabiri, propono, ratio, uideo, sum, officio, meus, propterea, qui, qui, iustus, ego, causa, ad, hic, defendo, sum, uideo, sum, idem, tu, ad, absoluo, debeo, uideo",65,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, 0.5, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.046,-0.015,"hic, hic, tu",0.046
cicero.pro_c_rabirio,1.2,"nam, ego, cum, amicitia, uetustus, cum, dignitas, homo, cum, ratio, humanitas, cum, meus, uita, perpetuus, consuetudo, ad, caius, rabirium, defendo, sum, adhortor, tum, uerus, ut, is, studiosus, facio, salus, res, publicus, consularis, officium, consulatus, denique, ipse, ego, unus, ab, tu, cum, salus, res, publicus, commendo, cogo, non, enim, caius, rabirium, culpa, delictum, non, inuidia, uita, quiris, non, denique, uetus, iustus, grauis, inimicitia, ciuis, in, discrimen, capio, uoco, sed, ut, ille, superus, auxilium, maiestas, atque, imperium, qui, nos, ab, magnus, sum, trado, de, res, publicus, tollo, ut, nihil, posthac, auctoritas, senatus, nihil, consularis, imperium, nihil, consensio, bonus, contra, pestis, atque, pernicies, ciuitas, ualeo, idcirco, in, hic, res, euerto, unus, homo, senectus, infirmitas, solitudo, tento, sum",114,"NaN, NaN, NaN, 1.0, 0.0, NaN, 1.0, 0.0, NaN, 0.0, 0.0, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, 1.0, 0.0, 0.0, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, -1.0, 0.0, NaN, NaN, NaN, 0.0, 1.0, -0.5, -1.0, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, NaN, 1.0, NaN, -1.0, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, -1.0, -0.5, NaN, NaN",0.009,-0.079,"tu, culpa, delictum, inuidia, pestis, hic",0.053
cicero.pro_c_rabirio,1.3,"quam, ob, res, si, sum, bonus, consul, cum, cunctus, auxilium, res, publicus, labefactaris, conuello, uideo, fero, ops, patria, succurro, salus, fortuna, communis, imploraris, ciuis, fides, suus, salus, posterus, salus, communis, duco, sum, etiam, bonus, et, fors, ciuis, qualis, tu, omnis, res, publicus, tempus, ex-sisto, intercludo, omnis, seditio, uia, munio, praesidium, res, publicus, superus, in, consul, imperium, superus, in, senatus, consilium, puto, is, qui, sequor, sum, laus, potis, et, honor, quam, poena, et, supplicium, dignus, iudicaris",75,"NaN, NaN, 0.0, NaN, NaN, 1.0, 0.5, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, 0.0, 0.0, NaN, 0.5, 1.0, NaN, 1.0, 0.0, 1.0, 0.0, NaN, NaN, NaN, 1.0, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 1.0, NaN, -1.0, NaN, NaN, 1.0, NaN",0.147,-0.013,"tu, seditio, poena, supplicium",0.053
cicero.pro_c_rabirio,1.4,"quam, ob, res, labor, in, hic, defendo, praecipuus, meus, sum, studium, uerus, conseruo, homo, communis, ego, cum, tu, sum, debeo, sic, enim, existimaris, debeo, quiris, post, homo, memoria, res, nullus, magnus, magis, periculosus, magis, ab, omnis, tu, prouideo, neque, ab, tribunus, plebs, suscipio, neque, ab, consul, defendo, neque, ad, populus, romanus, sum, defero, ago, enim, nihil, alius, in, hic, causa, quiris, nisi, ut, nullus, sum, posthac, in, res, publicus, publicus, consilium, nullus, bonus, consensio, contra, improbus, furor, et, audacia, nullus, exter, res, publicus, tempus, perfugium, et, praesidium, salus",88,"NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.5, NaN, 1.0, NaN, NaN, -1.0, -1.0, NaN, 1.0, NaN, 0.0, 0.0, 0.0, 0.0, -1.0, NaN, NaN, 1.0",0.011,-0.057,"hic, tu, periculosus, tu, hic, improbus, furor, audacia",0.091
cicero.pro_c_rabirio,2.5,"qui, cum, ita, sum, primus, qui, in, tantus, dimicatio, capio, fama, fortuna, omnis, fio, necesse, sum, ab, io, bonus, maximus, ceter, deus, deabusque, immortalis, qui, ops, et, auxilium, multus, magis, hic, res, publicus, quam, ratio, homo, et, consilium, guberno, pax, atque, uenio, peto, preco, ab, is, ut, hodiernus, dies, et, ad, hic, salus, conseruo, et, ad, res, publicus, constituo, in-luceo, patior, deinde, tu, quiris, qui, potestas, propior, ad, deus, immortalis, numen, accedo, oro, atque, obsecro, quoniam, unus, tempus, uito, caius, rabiri, homo, miser, atque, innocens, salus, res, publicus, uester, manus, suffragium, permitto, adhibeo, in, homo, fortuna, misericordia, in, res, publicus, salus, sapientia, quam, solo",104,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, 1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -1.0, NaN, 0.5, 1.0, 0.0, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, 0.0, 0.0, 1.0, 1.0, NaN, NaN",0.082,-0.019,"hic, hic, tu, miser, innocens",0.048
cicero.pro_c_rabirio,2.6,"nunc, quoniam, titus, labium, diligentia, meus, tempus, angustia, obsto, ego, ex, comparo, et, constituo, spatium, defensio, in, semihora, articulis, cogo, pareo, et, qui, iniquus, sum, accusator, condicio, et, qui, miser, inimicus, potestas, quamquam, in, hic, praescriptio, semihora, patronus, ego, pars, relinquo, consul, adimo, propterea, qui, ad, defendo, prope, modus, satis, sum, hic, ego, tempus, ad, conqueror, uerus, parum",58,"NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, 0.0, NaN, NaN, -1.0, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0",0.0,-0.052,"iniquus, miser, hic, hic",0.069
cicero.pro_c_rabirio,2.7,"nisi, fors, de, locus, religiosus, atque, de, lucus, qui, ab, hic, uiolo, sum, dico, multus, uerbum, tu, respondeo, puto, quo, in, crimen, nihil, sum, umquam, abs, tu, dico, nisi, ab, caius, macer, obicio, sum, crimen, is, caius, rabirio, in, quo, ego, demiror, memini, tu, quis, ob-iacio, caius, rabirio, macer, inimicus, obliuiscor, sum, quis, aequum, et, iuro, iudex, iudico",58,"NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN",-0.034,-0.052,"hic, uiolo, tu, crimen, tu, crimen, tu",0.121
cicero.pro_c_rabirio,3.8,"an, de, peculor, facio, aut, de, tabularius, incensum, longus, oratio, sum, expromo, quo, in, crimen, propinquus, caius, rabiri, iudicium, clarus, caius, curtus, pro, uirtus, suus, sum, honestus, libero, ipse, uerus, rabirius, non, modo, in, iudicium, hic, crimen, sed, ne, in, tenuis, quidem, suspicio, uerbum, sum, umquam, uoco, an, de, soror, filius, diligo, respondeo, sum, qui, ab, hic, neco, sum, dico, cum, ad, iudicium, mora, familiaris, funus, excusatio, quaero, quis, enim, sum, tam, uerus, similis, quam, carus, hic, soror, maritus, quam, soror, filius, sum, atque, ita, carus, ut, alter, uito, crudelis, priuo, cum, alter, ad, prolatio, iudicium, biduus, quaero, an, de, seruio, alienus, contra, lex, fabiam, retineo, aut, de, ciuis, romanus, contra, lex, porciam, uerbero, aut, neco, multus, dico, sum, cum, tantus, studium, caius, rabirius, totus, appulia, singularis, uoluntas, campania, orno, cum, ad, is, propulso, periculum, non, modo, homo, sed, prope, regio, ipse, conuenio, aliquantus, etiam, fero, excito, quam, ipse, uicinitas, nomen, atque, terminus, postulo, nam, quis, ego, ad, is, longus, oratio, comparis, qui, sum, in, idem, multus, inrogatio, praescribo, hic, neque, suus, neque, alienus, pudicitia, parco",176,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, -0.5, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN",0.026,-0.04,"crimen, honestus, hic, crimen, hic, hic, maritus, crudelis, uerbero, propulso, hic, pudicitia",0.068
cicero.pro_c_rabirio,3.9,"quin, etiam, suspicor, is, ego, semihora, ab, labieno, praestituo, sum, ut, ne, multus, de, pudicitia, dico, ergo, ad, hic, crimen, qui, patronus, diligentia, desidero, intellego, ego, semihora, iste, nimium, longus, sum, ille, alter, pars, de, nex, saturninus, nimis, exiguus, atque, angustus, sum, uolo, qui, non, orator, ingenium, sed, consul, auxilium, imploro, et, flagito",53,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, NaN, NaN",0.0,-0.038,"pudicitia, hic, crimen, nex",0.075
cicero.pro_c_rabirio,3.1,"nam, de, perduellio, iudicium, qui, ab, ego, tollo, sum, criminaris, soleo, meus, crimen, sum, non, rabiri, qui, utinam, quiris, ego, is, aut, primus, aut, solus, ex, hic, res, publicus, tollo, utinam, hic, qui, ille, crimen, sum, uolo, proprius, testimonium, meus, laus, sum, quis, enim, optaris, possum, qui, ego, malo, quam, ego, in, consulatus, meus, carnifex, de, forum, crux, de, campus, tollo, sed, iste, laus, primus, sum, magnus, noster, quiris, qui, expello, rex, nullus, in, liber, populus, uestigium, crudelitas, regia, retineo, deinde, multus, uir, fors, qui, uester, libertas, non, acerbitas, supplicium, infestus, sed, lenitas, lex, munio, sum, uolo",97,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, -1.0, NaN, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, 0.5, NaN, -0.5, NaN, -1.0, NaN, 1.0, 0.5, NaN, NaN, NaN",0.015,-0.052,"crimen, hic, hic, crimen, carnifex, crux, crudelitas, acerbitas, supplicium",0.093
