Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_fonteio,1.0,"oportet, an, ita, dissoluo, ut, omnis, alius, dissoluo, nam, ita, ego, defendo, marcus, fonteius, iudex, itaque, contendo, post, lex, ualeria, fero, tu, quaestor, usque, ad, titus, crispinum, quaestor, aliter, nemo, soluo, hic, omnis, superus, hic, autem, omnis, qui, postea, sum, auctoritas, dico, sequor",43,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.012,-0.012,"tu, hic, hic",0.07
cicero.pro_fonteio,2.0,"quis, accuso, quis, re-prehendo, nam, qui, in, tabula, dodrantarius, et, quadrantarius, qui, aio, ab, hirtuleio, instituo, fontei, officium, desidero, non, possum, existimaris, utrum, ipse, erro, an, tu, in, error, induco, uolo, quaero, enim, abs, tu, marcus, plaetor, possum, tu, ipse, probo, sum, noster, causa, si, qui, in, res, abs, tu, marcus, fonteius, accuso, auctor, habeo, is, qui, tu, magnus, laudo, hirtuleium, qui, in, res, autem, laudo, hirtuleium, fonteius, idem, facio, reperio, reprehendo, solutio, genus, idem, modo, hirtuleium, dissoluo, publicus, tabula, coarguo, laudo, ille, qui, dodrantarius, tabula, instituo, idem, fonteius, instituo, et, idem, genus, pecunia, nam, ne, fors, sum, nescius, et, iste, tabula, existimo, ad, diuerto, ueto, aer, alienus, ratio, pertineo, ob, unus, causa, et, in, unus, genus, sum, instituo, nam, cum, publicanus, qui, africa, qui, aquileiense, portorium",127,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.012,-0.016,"tu, tu, tu, tu, tu, pecunia, nescius",0.055
cicero.pro_fonteio,3.0,"cieo, nemo, nemo, inquam, iudex, reperio, qui, unus, sui, in, quaestura, marcus, fonteio, nummus, do, aut, ille, ex, is, pecunia, qui, pro, aerarius, soluo, detraho, dico, nullus, in, tabula, ullus, hic, furtum, significatio, nullus, in, is, nomen, intertrimentum, aut, deminutio, uestigium, reperio, atqui, homo, si, qui, in, hic, genus, quaestio, accuso, sum, reprehendo, uideo, primus, testis, difficilis, sum, enim, is, qui, magistratus, pecunia, do, non, aut, induco, odium, ut, dico, aut, cogo, religio, deinde, si, qui, gratia, testis, deterreo, tabula, quidem, certus, incorruptus, atque, integer, maneo, facio, omnis, amicus, fonteio, sum, tantus, homo, numerus, ignosco, atque, alienus, parco, hic, caput, consulo, fama, res, ipse, tamen, atque, ratio, litteraris, confectio, tabularis, habeo, hic, uis, ut, ex, accipio, et, do, quisquis, fingo, aut, surripio, aut, non, consto, appareo, accipio, populus, romanus, pecunia, omnis, iste, refero, si, protinus, alius, aequus, magnus, aut, soluo, aut, do, ut, qui, accipio, populus, romanus, sum, is, expendo, qui, sum, certus, nihil, possum, sum, detraho, sin, aliquis, domus, fero, ex, is, arca, e, ra",166,"NaN, -0.5, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.033,-0.024,"nummus, pecunia, hic, furtum, hic, pecunia, hic, hic, fingo, surripio, pecunia",0.066
cicero.pro_fonteio,4.0,"deus, homo, fides, testis, non, inuenio, in, ducentiens, et, tricies, sestertius, quam, multus, homo, sescentor, amplus, qui, in, terra, gero, negotium, sum, ille, ille, inquam, locus, qui, uideo, extra, ordino, pecunia, sum, do, immo, uerus, nummus, nullus, sine, littera, multus, commoueo, sum, qui, sum, igitur, iste, accusatio, qui, facilis, possum, alpis, quam, paucus, aerarius, gradus, ascendo, diligo, rutenorum, quam, populus, romanus, defendo, aerarius, libet, ignosco, quam, nosco, uto, alienigena, quam, domesticus, testis, planus, sui, confirmo, crimen, libido, barbarus, quam, noster, homo, littera, arbitror",83,"0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, -1.0, -0.5, NaN, NaN, NaN, 0.0, 0.0, NaN",0.0,-0.024,"pecunia, nummus, crimen, libido",0.048
cicero.pro_fonteio,5.0,"duo, magistratus, qui, uterque, in, pecunia, maximus, tracto, procuro, uerso, sum, triumuiratus, et, quaestura, ratio, sic, reddo, iudex, ut, in, is, res, qui, ante, oculus, gero, sum, ad, multus, pertineo, confacio, publicus, priuo, tabula, sum, nullus, significatio, furtum, nullus, aliquis, delictum, suspicio, reperio",43,"NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, -0.5, NaN",-0.035,-0.058,"pecunia, furtum, delictum",0.07
cicero.pro_fonteio,6.0,"hispaniensis, legatio, con-sequor, sum, turbulentus, res, publicus, tempus, cum, aduenio, lucius, sulla, magnus, exercitus, in, italia, ciuis, uis, dis-sido, non, iudicium, atque, lex, atque, hic, res, publicus, status, despero, qualis",30,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, 1.0, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN",0.083,0.0,"turbulentus, hic",0.067
cicero.pro_fonteio,7.0,"si, nullus, pecunia, numero, sum, qui, pecunia, quinquagesima, sum",9,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,"pecunia, pecunia",0.222
cicero.pro_fonteio,8.0,"frumentum, magnus, numerus, e, gallia, pedito, amplus, copia, e, gallia, eques, numerus, plurimus, e, gallia",15,"0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.067,0.0,,0.0
cicero.pro_fonteio,9.0,"gallus, post, hic, diluo, sum, poturos, qui, ille, uenenum, sum, arbitror",11,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN",-0.045,-0.045,"gallus, hic",0.182
cicero.pro_fonteio,10.0,"plaetor, mater, dum, uiuo, ludus, postquam, morior, sum, magister, habeo",10,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.05,0.0,,0.0
