Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_l_flacco,1.0,"cum, in, magnus, periculum, hic, urbs, atque, imperium, grauis, atque, acerbus, res, publicus, casus, socius, atque, adiutor, consilium, periculum, meus, lucius, flaccus, caedes, ab, tu, coniunx, liber, uester, uastitas, ab, templum, delubrum, urbs, italia, depello, spero, iudex, honor, potis, lucius, flaccus, ego, adiutor, sum, quam, miseriaris, deprecator, qui, enim, sum, praemium, dignitas, qui, populus, romanus, cum, hic, magnus, semper, defero, hic, denego, cum, lucius, flaccus, uetus, ualeria, gens, in, libero, patria, laus, prope, quingentesimus, annus, res, publicus, refero",78,"NaN, NaN, 0.0, -1.0, NaN, 0.5, NaN, 0.0, -0.5, NaN, -1.0, 0.0, 0.0, 0.0, 1.0, NaN, 0.0, 0.5, -1.0, 0.0, NaN, NaN, -0.5, NaN, NaN, -0.5, 0.5, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, 1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.0, 0.0, NaN",0.032,-0.071,"hic, acerbus, caedes, tu, hic, hic",0.077
cicero.pro_l_flacco,2.0,"sed, si, fors, aliquando, aut, beneficus, hic, obtrectator, aut, uirtus, hostis, aut, laus, inuidus, ex-sisto, existimo, lucius, flaccus, multitudo, potis, imperitus, nullus, tamen, cum, periculum, quam, sapio, et, lectus, uir, iudicium, sum, subeo, etenim, qui, auctor, et, defensor, omnis, tum, salus, sum, non, ciuis, solus, uerus, etiam, gens, defendo, atque, retineo, nemo, umquam, puto, per, is, ipse, periculum, hic, fortuna, atque, insidiae, creo, qui, si, sum, aliquando, sum, ut, aliquis, de, lucius, flaccus, pernicies, cogito, numquam, tamen, existimo, iudex, d., laelium, bonus, uir, filius, bonus, ipse, spes, praeditus, summa, dignitas, is, suscipio, accusatio, qui, scelero, ciuis, potis, odium, et, furor, quam, ipse, uirtus, atque, instituo, adulescentia, conuenio, etenim, cum, ab, clarus, uis, iustus, inimicitia, saepe, cum, bene, meritum, ciuis, depono, sum, uideo, non, sum, arbitror, quisquam, amicus, res, publicus, postea, quam, lucius, flaccus, amor, in, patria, perspicio, sum, nouo, hic, inimicitia, nullus, accipio, iniuria, denuntio",145,"NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, -1.0, NaN, 1.0, -1.0, NaN, 1.0, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, -0.5, 0.5, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, 0.5, 0.0, 1.0, NaN, 0.5, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, -1.0, NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, 1.0, -1.0, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN",0.041,-0.086,"hic, inuidus, imperitus, hic, insidiae, scelero, furor, hic",0.055
cicero.pro_l_flacco,3.0,"sed, quoniam, iudex, multus, nos, et, in, noster, res, et, in, res, publicus, fallo, ferio, is, qui, sum, fero, tantus, ab, tu, peto, ut, omnis, res, publicus, subsidium, totus, status, ciuitas, omnis, memoria, tempus, praeteritor, salus, praesens, spes, reliquus, in, uester, potestas, in, uester, sententia, in, hic, unus, iudicium, pono, sum, et, defigo, puteo, si, umquam, res, publicus, consilium, grauitas, sapientia, prouidentia, iudex, imploro, hic, hic, inquam, tempus, imploro, non, sum, de, lydorum, aut, mysus, aut, phrygum, qui, huc, compello, concito, uenio, sed, de, uester, res, publicus, iudico, de, ciuitas, status, de, communis, salus, de, spes, bonus, omnis, si, qui, reliquus, sum, etiam, nunc, qui, fors, ciuis, mens, cogitatio, sustento, omnis, alius, perfugium, bonus, praesidium, innocens, subsidium, res, publicus, consilium, auxilium, ius, cado",123,"NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.5, NaN, 1.0, 0.0, NaN, 1.0, 0.0, 0.5, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, -0.5, 1.0, 1.0, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, 0.0, NaN, 0.0, 1.0, NaN, 0.5, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, NaN, NaN, NaN, -1.0, 1.0, NaN, 0.5, NaN, 0.0, 0.0, 0.5, 0.0, 0.5, NaN",0.102,-0.012,"fallo, tu, hic, hic, hic, innocens",0.049
cicero.pro_l_flacco,4.0,"qui, enim, appello, qui, obtestor, qui, imploro, senatus, at, is, ipse, auxilium, peto, ab, tu, et, confirmatio, auctoritas, suus, uester, potestas, permitto, sum, sentio, an, eques, romanus, indico, princeps, is, ordo, quinquaginta, quis, cum, omnis, sentio, an, populus, romanus, at, is, quidem, omnis, suus, de, nos, potestas, trado, tu, quam, ob, res, nisi, hic, locus, nisi, apud, tu, nisi, per, tu, iudex, non, auctoritas, qui, amitto, sum, sed, salus, noster, qui, spes, exiguus, extremus, pendeo, teneo, nihil, sum, praeterea, quo, confugio, possum, nisi, fors, qui, res, hic, iudicium, tento, quis, ago, qui, causa, fundamentum, iacio, iudex, non, uideo",98,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN",0.056,0.0,"tu, tu, hic, tu, tu, hic",0.061
cicero.pro_l_flacco,5.0,"condemno, sum, is, qui, catilina, signum, patria, infero, interimo, quis, sum, causa, cur, non, is, qui, catilina, ex, urbs, expello, pertimesco, rapio, ad, poena, qui, indicium, communis, exeo, capio, cur, sui, confido, is, qui, is, profero, et, patefacio, curo, socius, consilium, minister, comito, uexo, quis, auctor, quis, dux, quis, princeps, sui, exspecto, atque, utinam, inimicus, noster, atque, bonus, omnis, cum, ego, potis, aestimo, utrum, tum, omnis, bonus, dux, noster, an, comes, sum, ad, communis, conseruo, salutemstrangulatos, malo, dico, quis, sui, meus, necessarius, caetra, uolo, quis, uerus, decianus, utinam, sum, proprius, meus, senatus, igitur, magnus, ex, pars, deus, inquam, immortalis, lentulus, externus, cum, domesticus, uito, natura, consto, itaque, non, patior, d., laelis, tu, tu, hic, sumo, atque, hic, ceterus, in, posterus, nos, in, praesens, tempus, lex, condicio, cum, adulescentia, notaris, cum, reliquus, tempus, aetas, turpitudo, maculis, conspergo, cum, priuataris, res, ruina, cum, domesticus, labo, cum, urbanus, infamia, cum, hispaniae, gallia, ciliciae, cerno, qui, in, prouincia, non, obscurus, uerso, sum, uitio, et, flagitium, profero, tum, denique, quis, tmolitae, et, dorylenses, de, lucius, flaccus, existimo, audio, qui, uerus, tot, tam, grauis, prouincia, saluus, sum, cupio, qui, plurimus, ciuis, totus, ex, italia, deuincio, necessitudo, atque, uetustas, defendo, qui, hic, communis, nos, omnis, patria, propter, recens, superus, beneficus, memoria, complector, teneo, hic, etiam, si, totus, asia, deposco, ad, supplicium, defendo, resisto, quis, si, neque, totus, neque, bonus, neque, incorruptus, neque, suus, sponte, neque, ius, neque, mos, neque, uerus, neque, religiosus, neque, integer, si, impello, si, sollicito, si, concito, si, cogo, si, impius, si, temere, si, cupidus, si, inconstanter, nomen, suus, mitto, in, hic, iudicium, per, egeo, testis, ipse, autem, nihil, queror, uerus, de, iniuria, possum, tamen, iudex, hic, ad, breuis, tempus, audio, longinquus, tempus, cognitaris, res, fides, derogo, teneo, igitur, hic, ordo, defenso, qui, fugio, inimicus, et, accusator, urgeo, atque, insequor, et, ultro, crimen, ab, aduersarius, flagito, quis, sum, laelis, num, quis, is, d., d., is, f, no, qui, quidem, non, in, umbra, neque, in, ille, aetas, disciplina, ars, uerso, sum, etenim, puer, cum, pater, consul, ad, bellum, sum, proficiscor, nimirum, etiam, hic, ipse, nomen, aliquis, ia, sus, sed, si, neque, asia, luxurio, infirmis, tempus, aetas, ex, hic, aetas, gradus, sui, ad, exercitus, caius, flaccus, patruus, confero, tribunus, militaris, cum, publicus, seruilio, grauis, et, sancio, ciuis, proficiscor, qui, amplus, iudicium, orno, quaestor, facio, sum, marcus, piso, qui, cognomen, frugalitas, nisi, accipio, ipse, pario, idem, nouus, bellum, suscipio, atque, confacio, non, asia, testis, sed, accusator, contubernal, trado",401,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, 0.5, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, 0.0, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.021,-0.034,"catilina, catilina, poena, uexo, tu, tu, hic, hic, turpitudo, infamia, flagitium, hic, hic, supplicium, impius, hic, hic, hic, crimen, hic, luxurio, hic, frugalitas",0.057
cicero.pro_l_flacco,6.0,"hic, igitur, uir, laelis, qui, tandem, res, oppugno, sum, publicus, seruilio, imperator, in, cilicium, tribunus, miles, is, res, sileo, sum, marcus, piso, quaestor, in, hispania, uox, de, quaestura, mitto, nullus, sum, bellum, cretense, ex, magnus, pars, gero, atque, unus, cum, superus, imperator, sustineo, muto, sum, hic, tempus, accusatio, praetura, ius, dictio, res, uario, et, multiplex, ad, suspicio, et, simultas, non, attingo, at, uerus, in, superus, et, periculosus, res, publicus, tempus, etiam, ab, inimicus, idem, praetura, laudo, at, ab, testis, laedo, ante, quam, dico, ab, qui, qui, spes, qui, uis, qui, res, concitas, qui, leuitas, qui, egestas, qui, perfidia, qui, audacia, praeditus, dico, de, genus, uniuersus, et, de, condicio, omnis, nos, per, deus, immortal, iudex, tu, quo, modo, is, qui, annus, ante, roma, ius, dico, annus, post, in, asia, ius, dico, ab, testis, quaero, ignosco, ipse, conicio, nihil, iudico, cum, in, tam, uario, ius, dictio, tam, multus, decretum, tot, homo, gratiosor, laedo, sum, uoluntas, qui, sum, umquam, iacto, non, suspicio, qui, tamen, soleo, sum, fallo, sed, iracundia, uox, aut, dolor, et, is, sum, reus, auaritia, qui, in, uber, res, turpis, compendium",180,"NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, -0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, 0.0, 0.0, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, -1.0, NaN, -1.0, NaN, 1.0, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, 0.0, -1.0, 0.5",-0.008,-0.058,"hic, hic, periculosus, egestas, perfidia, audacia, tu, fallo, reus, auaritia, turpis",0.061
cicero.pro_l_flacco,7.0,"in, maledico, ciuitas, in, suspiciosus, negotium, maledico, omnis, non, modo, crimen, effugio, praetereo, ille, qui, praetereo, non, sum, nullus, hic, in, priuo, res, facio, auaris, nullus, in, res, pecuniarius, contentio, nullus, in, res, familiaris, sordes, possum, profero, qui, igitur, testis, ego, hic, possum, refutaris, nisi, tu",46,"NaN, NaN, 0.5, NaN, -0.5, -0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.033,-0.065,"maledico, maledico, crimen, hic, auaris, sordes, hic, tu",0.174
cicero.pro_l_flacco,8.0,"tmolites, ille, uicanus, homo, non, modo, nos, sed, ne, inter, suus, quidem, notus, tu, doceo, qualis, sum, lucius, flaccus, qui, tu, modestus, adulescens, prouincia, magnus, sancio, uir, uester, exercitus, fortis, miles, diligens, dux, tempero, legatus, quaestor, cognosco, qui, tu, praesens, consto, senator, iustus, praetor, atque, amo, res, publicus, ciuis, iudico",50,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, 0.0, NaN, 0.5, NaN, 0.0, 0.5, 0.0, 1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, 0.5, NaN, NaN, 0.0, 0.0, 0.5, NaN",0.11,0.0,"tu, tu, modestus, adulescens, tu",0.1
cicero.pro_l_flacco,9.0,"de, qui, tu, alius, testis, sum, debeo, de, is, ipse, alius, testis, audio, at, qui, testis, primus, dico, is, qui, sum, communis, graecus, non, quo, natio, hic, ego, unus, magnus, fides, derogo, nam, si, quis, umquam, de, noster, homo, ab, genus, iste, studium, atque, uoluntas, non, abhorreo, sum, ego, et, sum, arbitror, et, magis, etiam, tum, cum, multus, sum, otium, sum, sed, sum, in, ille, numerus, multus, bonus, doceo, pudeo, qui, ad, hic, iudicium, deduco, non, sum, multus, impudens, inliterati, leuo, qui, uarius, de, causa, uideo, concito, uerus, tamen, hic, dico, de, totus, genus, graecorum, tribuo, ille, littera, do, multus, ars, disciplina, non, adimo, sermo, lepor, ingeniosus, acume, -ne, dico, copia, denique, etiam, si, qui, sui, alius, sumo, non, repugno, testimonium, religio, et, fides, numquam, iste, natio, colo, totus, hic, res, qui, sum, uolo, qui, auctoritas, qui, pondus, ignoro",139,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, 0.0, NaN, NaN, -0.5, 1.0, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.054,-0.011,"tu, natio, hic, otium, pudeo, hic, impudens, hic, natio, hic",0.072
cicero.pro_l_flacco,10.0,"unde, ille, sum, do, ego, testimonium, mutuus, num, gallus, num, hispanorum, puto, totus, iste, graecorum, sum, ut, etiam, qui, graeca, nescio, hic, qui, uerbum, ab, graecus, dico, soleo, scio, itaque, uideo, quo, uultus, qui, confido, dico, tum, intellego, qui, religio, dico, numquam, nos, ad, rogo, respondeo, semper, accusator, multus, quam, ad, rogo, numquam, laboro, qui, ad, modus, probo, qui, dico, sed, qui, ad, modus, sui, explico, dico, irascor, flaccus, dico, marcus, lurco, qui, ut, ipse, aio, libertus, sum, is, turpis, iudicium, condemno, nihil, dico, qui, laedo, is, cum, cupio, impedio, enim, religio, tamen, is, qui, dico, quantus, cum, pudor, quo, tremor, et, pallor, dico",104,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.034,-0.01,"gallus, hic, turpis, pudor, pallor",0.048
