Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_marcello,1.0,"diuturnus, sileo, pater, conscribo, quo, sum, hic, tempus, utor, non, timor, aliquis, sed, pars, dolor, pars, uerecundia, finis, hodiernus, dies, affero, idem, initium, qui, uolo, quisque, sentio, meus, pristinus, mos, dico, tantus, enim, mansuetudo, tam, inusitatus, inaudio, clementia, tantus, in, summus, potestas, res, omnis, modus, tam, denique, incredibilis, sapientia, atque, paene, diuina, taceo, praetereo, nullus, modo, possum",57,"0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, 0.0, -1.0, 0.0, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, NaN, NaN, NaN, 1.0, NaN, -0.5, NaN, 1.0, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.5, NaN, NaN, -0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.061,-0.044,hic,0.018
cicero.pro_marcello,2.0,"marcus, enim, marcellus, tu, pater, conscribo, redeo, publicus, reddo, non, ille, solus, sed, etiam, meus, uoco, et, auctoritas, tu, et, res, publicus, conseruo, atque, restituo, puto, doleo, enim, pater, conscribo, et, uehemens, ango, cum, uideo, uir, talis, cum, in, idem, causa, in, qui, ego, sum, non, in, idem, sum, fortuna, neque, ego, persuadeo, possum, neque, fas, sum, duco, uersaris, ego, in, noster, ueto, curriculum, ille, aemulo, atque, imitator, studium, atque, labor, meus, quasi, quidam, socius, ab, ego, et, comes, distraho, ergo, et, ego, meus, pristinus, uita, consuetudo, caius, caesar, intercludo, aperio, et, hic, omnis, ad, bene, de, res, publicus, spero, quasi, signum, aliqui, tollo",104,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN",0.014,-0.01,"tu, tu, hic",0.029
cicero.pro_marcello,3.0,"intellego, sum, enim, ego, quidem, in, multus, et, magnus, in, ego, ipse, sed, paulus, ante, omnis, cum, marcus, marcellus, senatus, redeo, publicus, concedo, commemoro, praesertim, offensio, tu, auctoritas, hic, ordo, dignitas, res, publicus, tuus, uel, dolor, uel, suspicio, antefero, ille, quidem, fructus, omnis, ante, ago, uita, hodiernus, dies, magnus, capio, cum, superus, consensus, senatus, tum, iudicium, tuus, grauis, et, maximus, ex, quo, profecto, intellego, quantus, in, do, beneficium, sum, laus, cum, in, accipio, sum, tantus, gloria",76,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, 1.0, 0.0, 0.0, 0.0, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0",0.033,-0.039,"tu, hic",0.026
cicero.pro_marcello,4.0,"sum, uerus, fortuno, qui, ex, salus, non, paruus, paene, ad, omnis, quam, ad, ille, uenio, sum, laetitia, peruenio, qui, quidem, mereo, atque, bonus, ius, contingo, quis, enim, sum, ille, aut, nobilitas, aut, probitas, aut, optimaris, ars, studium, aut, innocens, aut, ullus, in, laus, genus, praesto, nullus, tantus, flumen, sum, ingenium, nullus, dico, aut, scribo, tantus, uolo, tantus, copia, qui, non, dico, exornaris, sed, enarraris, caius, caesar, res, tuus, gero, possum, tamen, hic, ad-firmo, et, pax, dico, tuus, nullus, in, hic, sum, laus, amplus, quam, is, quam, hodiernus, dies, con-sequor, sum",90,"NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, 0.0, 0.5, NaN, 0.5, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.122,0.0,"innocens, hic, hic",0.033
cicero.pro_marcello,5.0,"soleo, saepe, ante, oculus, pono, is, libet, creber, usurparis, sermo, omnis, noster, imperator, omnis, exteraris, gens, potens, populus, omnis, rex, clarus, res, gero, cum, tuus, neque, contentio, magnitudo, neque, numerus, proelium, neque, uarietas, regio, neque, celeritas, confacio, neque, dissimilitudo, bellum, possum, confero, neque, uerus, disiunctus, terra, cieo, passus, quisquam, possum, peragraris, quam, tuus, non, dico, cursus, sed, uictoria, lustro, sum",60,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, 0.0, 1.0, 0.0, NaN, 0.0, 0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.017,-0.025,proelium,0.017
cicero.pro_marcello,6.0,"qui, quidem, ego, nisi, ita, magnus, sum, fateor, ut, is, uix, quisquam, mens, aut, cogitatio, capio, possum, amens, sum, sed, tamen, sum, alius, magnus, nam, bellicus, laus, soleo, quidam, extenuaris, uerbum, eo, detraho, dux, communicaris, cum, multus, ne, proprius, sum, imperator, et, certus, in, arma, miles, uirtus, locus, opportunitas, auxilium, socius, classis, commeatus, multus, iuuo, maximus, uerus, pars, quasi, suus, ius, fortuna, sui, uindico, et, quisquis, sum, prosperus, gero, is, paene, omnis, duco, suus",74,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, 0.0, 0.0, 1.0, 0.0, 0.5, 0.0, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.088,-0.014,"amens, classis",0.027
cicero.pro_marcello,7.0,"at, uerus, hic, gloria, caius, caesar, quam, sum, paulus, ante, adipiscor, socius, habeo, nemo, totus, hic, quantus, sum, qui, certus, magnus, sum, totus, sum, inquam, tuus, nihil, sui, ex, iste, laus, centurio, nihil, praefectus, nihil, cohors, nihil, turma, decerpo, quin, etiam, ille, ipse, res, humanus, domina, fortuna, in, iste, sui, societas, gloria, non, offero, tu, cedo, tuus, sum, totus, et, proprius, fateor, numquam, enim, temeritas, cum, sapientia, commisceo, neque, ad, consilium, casus, admitto",73,"NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, 1.0, NaN, NaN, NaN, 0.5, 0.0, NaN",0.068,-0.014,"hic, hic, societas, tu, temeritas",0.068
cicero.pro_marcello,8.0,"domo, gens, immanitas, barbara, multitudo, innumerabilis, locus, infinitus, omnis, copia, genus, abundo, is, tamen, uinco, qui, et, natura, et, condicio, ut, uinco, possum, habeo, nullus, sum, enim, tantus, uolo, qui, non, ferrum, et, uis, debilitaris, frango, possum, animus, uinco, iracundia, cohibeo, uinco, temperaris, aduersarius, nobilitas, ingenium, uirtus, praesto, non, modo, extollo, iaceo, sed, etiam, amplificaris, is, pristinus, dignitas, hic, qui, facio, non, ego, is, cum, summus, uis, comparo, sed, similis, deus, iudico",72,"NaN, 0.0, -1.0, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, -1.0, 1.0, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN",0.049,-0.042,"immanitas, barbara, iaceo, hic",0.056
cicero.pro_marcello,9.0,"itaque, caius, caesar, bellicus, tuus, laus, celebro, ille, quidem, non, solus, noster, sed, paene, omnis, gens, littera, atque, lingua, neque, ullus, umquam, aetas, de, tuus, laus, conticescet, sed, tamen, is, modus, res, nescio, quo, modo, etiam, cum, lego, obstrepo, clamor, miles, uideo, et, tubaris, sonus, at, uerus, cum, aliquis, clemens, mansuete, iustus, modero, sapienter, facio, in, iracundia, praesertim, qui, sum, inimicus, consilium, et, in, uictoria, qui, natura, insoleo, et, superbus, sum, audio, aut, lego, quo, studium, incendo, non, modo, in, gero, res, sed, etiam, in, fingo, ut, is, saepe, qui, numquam, uideo, diligo, tu, uerus, qui, praesens, intueor",98,"NaN, NaN, 0.5, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN",0.031,-0.041,"fingo, tu",0.02
cicero.pro_marcello,10.0,"qui, mens, sentio, et, os, cerno, ut, quisquis, bellum, fortuna, reliquus, res, publicus, facio, is, sum, saluus, uelis, qui, laus, effero, qui, studium, prosequor, qui, beneuolens, complector, paries, ego, dius, fidus, ut, ego, uideo, hic, curia, tu, gratia, ago, gestio, qui, breuis, tempus, sum, sum, ille, auctoritas, in, hic, magnus, suus, et, suus, sedes, equidem, cum, caius, marcellus, uir, bonus, et, commemorabilis, pietas, praeditus, lacrima, modo, cum, tu, uideo, omnis, marcellorum, meus, pectus, memoria, offundo, qui, tu, etiam, morior, marcus, marcellus, conseruo, dignitas, suus, reddo, nobilis, familia, iam, ad, paucus, redigo, paene, ab, interitus, uindico",95,"NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, -1.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN",0.111,-0.021,"hic, tu, hic, tu, tu",0.053
