Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_milone,1.0,"etsi, uereor, iudex, ne, turpis, sum, pro, fortis, uir, dico, incipio, timeo, minimus, decet, cum, titus, annius, ipse, magis, de, res, publicus, salus, quam, de, suus, perturbo, ego, ad, is, causa, par, animus, magnitudo, affero, non, possum, tamen, hic, nosco, iudicium, nouo, forma, terreo, oculus, qui, quicumque, incido, uetus, consuetudo, forum, et, pristinus, mos, iudicium, requiro, non, enim, corona, consido, uester, cingo, sum, ut, soleo, non, usitor, frequentia, stipo, sum",70,"NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.071,-0.014,"turpis, hic",0.029
cicero.pro_milone,2.0,"non, ille, praesidium, qui, pro, templum, omnis, cerno, etsi, contra, uis, colloco, sum, non, affero, tamen, orator, terror, aliquis, ut, in, forum, et, in, iudicium, quamquam, praesidium, salutaris, et, necessarius, saepio, sum, tamen, ne, non, timeo, quidem, sine, aliquis, timor, possum, qui, si, oppono, miloni, puto, cedo, tempus, iudex, neque, enim, inter, tantus, uis, armus, existimaris, sum, oratio, locus, sed, ego, recreo, et, reficio, gnaeus, pompeius, sapio, et, iustus, uir, consilium, qui, profecto, neque, iustitia, suus, puto, sum, qui, reus, sententia, iudex, trado, idem, telum, miles, do, neque, sapientia, temeritas, concito, multitudo, auctoritas, publicus, armaris",95,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, -0.5, NaN, 0.0, NaN, 0.0, NaN",0.063,-0.026,"reus, temeritas",0.021
cicero.pro_milone,3.0,"quam, ob, res, ille, arma, centurio, cohors, non, periculum, nos, sed, praesidium, denuntio, neque, solus, ut, quiesco, sed, etiam, ut, magnus, animus, sum, hortor, neque, auxilium, modo, defensio, meus, uerus, etiam, silentium, polliceo, reliquus, uerus, multitudo, qui, quidem, sum, ciuis, totus, noster, sum, neque, is, quisquam, qui, undique, intueor, unde, aliqui, forum, pars, aspicio, possum, et, hic, exitus, iudicium, exspecto, uideo, non, cum, uirtus, milonis, faueo, tum, de, sui, de, liber, suus, de, patria, de, fortuna, hodiernus, dies, decertaris, puto, unus, genus, sum, aduerro, infestus, nos, is, qui, publicus, claudus, furor, rapina, et, incendium, et, omnis, exitium, publicus, pasco, qui, hesternus, etiam, contio, incitas, sum, ut, tu, uox, praeeo, quis, iudico, qui, clamor, si, qui, fors, sum, admoneo, tu, debeo, ut, is, ciuis, retineo, qui, semper, genus, ille, homo, clamor, magnus, prae, uester, salus, neglego",135,"NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, -0.5, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, 1.0, NaN",0.0,-0.041,"hic, furor, rapina, contio, tu, tu",0.044
cicero.pro_milone,4.0,"quam, ob, res, adsum, animus, iudex, et, timor, si, qui, habeo, depono, nam, si, umquam, de, bonus, et, fortis, uis, si, umquam, de, bene, meritum, ciuis, potestas, tu, iudico, sum, si, denique, umquam, locus, amplus, ordo, deligo, uis, do, sum, ut, suus, studium, erga, fortis, et, bonus, ciuis, qui, uultus, et, uerbum, saepe, significo, res, et, sententia, declaro, hic, profecto, tempus, is, potestas, omnis, tu, habeo, ut, statuo, utrum, nos, qui, semper, uester, auctoritas, dedo, sum, semper, miser, lugeo, an, diu, uexo, ab, perdo, ciuis, aliquando, per, tu, atque, per, uester, fides, uirtus, sapientia, recreo",95,"NaN, NaN, 0.0, NaN, 0.5, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, 1.0, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 1.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 1.0, 1.0, NaN",0.126,-0.016,"tu, hic, tu, miser, uexo, tu",0.063
cicero.pro_milone,5.0,"quis, enim, nos, duo, iudex, laboriosus, quis, magis, sollicitus, magis, exercitus, dico, aut, fingo, possum, qui, spes, amplus, praemium, ad, res, publicus, adduco, metus, crudelis, supplicium, careo, non, possum, equidem, ceterus, tempestas, et, procella, in, ille, dumtaxat, fluctus, contio, semper, puto, miloni, sum, subeo, quia, semper, pro, bonus, contra, improbus, sentio, in, iudicium, uerus, et, in, is, consilium, in, quo, ex, coniungo, ordo, amplus, uir, iudico, numquam, existimo, spes, ullus, sum, habeo, milonis, inimicus, ad, is, non, modo, salus, exstinguo, sed, etiam, gloria, per, talis, uir, infringo",87,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 1.0, NaN, 0.0, 0.0, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN",0.023,-0.063,"laboriosus, fingo, crudelis, supplicium, contio, improbus, exstinguo",0.08
cicero.pro_milone,6.0,"quamquam, in, hic, causa, iudex, titus, annus, tribunatus, res, omnis, pro, salus, res, publicus, gero, ad, hic, crimen, defensio, non, abutor, nisi, oculus, uideo, insidiae, miloni, ab, clodius, sum, facio, neque, deprecor, sum, ut, crimen, hic, nos, propter, multus, praeclarus, in, res, publicus, mereo, condono, neque, postulo, ut, quia, mors, publicus, claudus, salus, uester, sum, idcirco, is, uirtus, milonis, potis, quam, populus, romanus, felicitas, ad-signo, sin, ille, insidiae, clarus, hic, lux, sum, tum, denique, obsecro, obtestor, tu, iudex, si, ceterus, amitto, hic, nos, saltem, ut, relinquo, uita, ab, inimicus, audacia, telum, ut, impunis, licet, defendo",95,"NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, 0.0, 0.0, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, -0.5, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, 1.0, NaN, NaN, -0.5, NaN, NaN",0.016,-0.053,"hic, hic, crimen, insidiae, crimen, hic, insidiae, hic, tu, hic, audacia, impunis",0.126
cicero.pro_milone,7.0,"sed, ante, quam, ad, is, oratio, uenio, qui, sum, proprius, uester, quaestio, uideo, is, ego, sum, refuto, qui, et, in, senatus, ab, inimicus, saepe, iacto, sum, et, in, contio, ab, improbus, et, paulus, ante, ab, accusator, ut, omnis, error, tollo, res, planus, qui, uenio, in, iudicium, uideo, possum, nego, intueor, lux, sum, fas, is, qui, ab, sui, homo, occido, sum, fateor, in, qui, tandem, urbs, hic, homo, stultus, disputo, nempe, in, is, qui, primus, iudicium, de, caput, uideo, marcus, horati, fortis, uir, qui, nondum, liber, ciuitas, tamen, populus, romanus, comitium, libero, sum, cum, suus, manus, soror, sum, interfacio, fateor",99,"NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.5, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,-0.051,"contio, improbus, occido, hic, stultus, interfacio",0.061
cicero.pro_milone,8.0,"an, sum, quisquam, qui, hic, ignoro, cum, de, homo, occido, quaero, aut, negaris, soleo, omnino, sum, facio, aut, rectus, et, ius, facio, sum, defendo, nisi, uerus, existimo, demo, publicus, africanum, sum, qui, cum, ab, caius, carbo, tribunus, plebs, seditiosus, in, contio, interrogo, quis, de, tiberius, gracchi, mors, sentio, respondeo, ius, caedo, uideo, neque, enim, possum, aut, ahala, ille, seruilis, aut, publicus, nasica, aut, lucius, opimus, aut, caius, marius, aut, ego, consul, senatus, non, nefarius, habeo, si, scelero, ciuis, interficio, nefas, sum, itaque, hic, iudex, non, sine, causa, etiam, fingo, fabula, doceo, homo, memoria, prodo, is, qui, pater, ulciscor, causa, mater, neco, uario, homo, sententia, non, solus, diuino, sed, etiam, sapio, dea, sententia, libero",113,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.004,-0.044,"hic, occido, seditiosus, contio, nefarius, scelero, interficio, nefas, hic, fingo, ulciscor",0.097
cicero.pro_milone,9.0,"qui, si, duodecim, tabula, nocturnus, fur, quisquis, modo, diurnus, autem, si, sui, telum, defendo, interficio, impunis, uolo, quis, sum, qui, quisquis, modo, quis, interficio, sum, punior, puto, cum, uideo, aliquando, gladius, nos, ad, homo, occaedes, ab, ipse, porrigo, lex, atqui, si, tempus, sum, ullus, ius, homo, neco, qui, multus, sum, certus, ille, sum, non, modo, iustus, uerus, etiam, necessarius, cum, uis, uolo, infero, defendo, pudicitia, cum, eripio, miles, tribunus, militaris, in, exercitus, caius, mare, propinquus, is, imperator, interficio, ab, is, sum, qui, uis, affero, facio, enim, probus, adulescens, periculosus, quam, perpetior, turpis, malo, atque, hic, ille, summus, uir, scelus, soluo, periculum, libero",102,"NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, -0.5, 0.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, -1.0, NaN",0.015,-0.059,"fur, interficio, impunis, interficio, punior, pudicitia, interficio, probus, adulescens, periculosus, turpis, hic, scelus",0.127
cicero.pro_milone,10.0,"insidiator, uerus, et, latro, qui, possum, infero, iniustus, nex, quis, comitor, noster, quis, gladius, uolo, qui, habeo, certus, non, licet, si, uti, ille, nullus, pacisco, licet, sum, igitur, hic, iudex, non, scribo, sed, nata, lex, quam, non, disco, accipio, lego, uerus, ex, natura, ipse, ad-rapio, haurio, exprimo, ad, quam, non, doceo, sed, facio, non, institus, sed, imbuo, sum, ut, si, uito, noster, in, aliqui, insidiae, si, in, uis, et, in, telum, aut, latro, aut, inimicus, incido, omnis, honestus, ratio, sum, expedio, salus",82,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, 0.0, NaN, NaN, 1.0",0.03,-0.037,"insidiator, latro, iniustus, nex, hic, insidiae, latro, honestus",0.098
