Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_plancio,1.0,"cum, propter, egregius, et, singularis, gnaeus, plancus, iudex, in, meus, salus, custodio, fides, tam, multus, et, bonus, uir, is, honor, uideo, sum, fautor, capio, animus, non, mediocris, uoluptas, qui, qui, officium, ego, salus, sum, is, meus, tempus, memoria, suffragaris, uideo, cum, autem, audio, meus, pars, inimicus, pars, inuidus, hic, accusatio, sum, fautor, idem, res, aduersarius, sum, in, iudicium, gnaeus, plancio, qui, in, petitio, sum, adiutrix, doleo, iudex, et, acerbus, fero, si, hic, salus, ob, is, ipse, causa, sum, infestus, qui, is, meus, salus, atque, uita, suus, beneuolens, praesidium, custodia, tego",90,"NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, 1.0, NaN, 1.0, NaN, 0.0, NaN, 1.0, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 1.0, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, -1.0, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN",0.083,-0.061,"inuidus, hic, acerbus, hic",0.044
cicero.pro_plancio,2.0,"nunc, autem, uester, iudex, conspicio, et, consido, iste, reficio, et, recreo, mens, meus, cum, intueor, et, contemplo, unus, quisque, uester, uideo, enim, hic, in, numerus, nemo, qui, meus, salus, non, carus, sum, qui, non, exsto, in, ego, superus, mereo, qui, non, sum, obstringo, memoria, beneficus, sempiternus, itaque, non, extimesco, ne, gnaeus, plancio, custodia, meus, salus, apud, is, obsum, qui, ego, ipse, magnus, saluus, uideo, uolo, saepis, iudex, ego, uenio, in, mens, admiror, sum, marcus, laterensis, homo, studiosus, et, dignitas, et, salus, meus, reus, sui, hic, potis, deligo, quam, metuo, ne, tu, is, ille, magnus, ratio, facio, uideo",97,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 1.0, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN",0.103,-0.005,"hic, extimesco, reus, hic, tu",0.052
cicero.pro_plancio,3.0,"quamquam, ego, non, sumo, tantus, neque, ad-rogo, iudex, ut, gnaeus, plancium, suus, erga, ego, meritum, impunitas, con-sequor, puto, nisi, is, integer, uita, modestus, mos, summa, fides, continentia, pietas, innocentia, ostendo, nihil, de, poena, recuso, sin, omnis, praesto, qui, sum, ab, bonus, uis, exspecto, peto, iudex, ab, tu, ut, qui, misericordia, salus, meus, custodio, sum, is, tu, uester, misericordia, ego, deprecor, tribuo, equidem, ad, reliquus, labor, qui, in, hic, causa, magnus, suscipio, quam, in, ceterus, etiam, hic, molestia, ad-sumo, qui, ego, non, solus, pro, gnaeus, plancio, dico, sum, qui, ego, salus, non, secus, atque, meus, tueor, debeo, sed, etiam, pro, ego, ipse, de, quo, accusator, multus, paene, quam, de, res, reor, dico",111,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -0.5, NaN, NaN, NaN, NaN, 0.5, 0.0, 1.0, 0.5, NaN, 1.0, 0.5, 1.0, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN",0.086,-0.032,"impunitas, modestus, poena, tu, tu, hic, hic",0.063
cicero.pro_plancio,4.0,"quamquam, iudex, si, quis, sum, in, ego, ipse, ita, reprehendo, ut, is, ab, hic, seiungo, sum, non, ego, is, magnus, opus, conturbo, non, enim, timeo, ne, quia, perrarus, gratus, homo, reperio, idcirco, cum, ego, nimium, gratus, ille, sum, dico, is, ego, criminosus, sum, possum, qui, uerus, ita, sum, agito, ab, ille, ut, aut, mereo, gnaeus, plancus, erga, ego, paruus, sum, dico, quam, ab, ego, ipse, praedico, aut, si, sum, summus, nego, is, tamen, ita, magnus, ut, ego, puto, pondus, apud, tu, sum, debeo, hic, ego, sum, tracto, iudex, et, modicus, ne, quis, ipse, offendo, et, tum, denique, cum, respondeo, crimen, ne, non, tam, innocens, reus, suus, quam, recordatio, meus, tempus, defendo, sum, uideo",113,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN",0.022,-0.018,"hic, criminosus, tu, hic, crimen, innocens, reus",0.062
cicero.pro_plancio,5.0,"sed, ego, in, causa, facilis, atque, explicata, perdifficilis, iudex, et, lubricus, defensio, ratio, propono, nam, si, tantus, modo, ego, necesse, sum, contra, laterensis, dico, tamen, is, ipse, sum, in, tantus, usus, noster, tantus, amicitia, molestus, uetus, sum, enim, lex, ille, iustus, uerus, amicitia, qui, ego, cum, ille, iam, diu, sum, ut, idem, amicus, semper, uolo, neque, sum, ullus, amicitia, certus, uinculis, quam, consentio, et, societas, consilium, et, uoluntas, ego, autem, non, is, sum, in, hic, res, molestus, contra, ille, dico, sed, multus, ille, magis, qui, in, is, causa, contra, dico, sum, in, qui, quidam, homo, ipse, uideo, facio, sum, contentio",100,"NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, 0.0, NaN, NaN, 0.5, NaN, 1.0, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.07,-0.02,"societas, hic",0.02
cicero.pro_plancio,6.0,"quaero, enim, laterensis, atque, hic, unus, magnus, urgeo, qui, sui, uirtus, qui, laus, plancius, qui, dignitas, supero, ita, si, cedo, ille, ornamentum, qui, multus, et, magnus, sum, non, solus, hic, dignitas, iactura, facio, sum, sed, etiam, largitio, recipio, suspicio, sum, sin, hic, ille, antepono, contumeliosus, habeo, sum, oratio, et, dico, sum, is, qui, ille, ego, flagito, laterensis, ab, plancio, dignitas, sum, supero, ita, aut, amicus, homo, existimatio, offendo, sum, si, ille, accusatio, condicio, sequor, aut, optume, de, ego, mereo, salus, deserenda.sed, ego, laterensis, caecus, ego, et, praecipito, fero, confiteor, in, causa, si, tu, aut, ab, plancio, aut, ab, ullus, dignitas, possum, superaris, dico, itaque, discedo, ab, is, contentio, ad, quam, tu, ego, uoco, et, uenio, ad, ille, ad, quam, ego, causa, ipse, deduco",123,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, -0.5, NaN, 1.0, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.041,-0.024,"hic, hic, largitio, hic, tu, tu",0.049
cicero.pro_plancio,7.0,"quis, tu, in, magistratus, dignitas, iudico, puto, sum, populus, fortasse, non, numquam, sum, utinam, uerus, semper, sum, sed, sum, perrarus, et, si, quando, sum, in, is, magistratus, sum, mando, qui, salus, suus, committo, puto, hic, leuis, comitium, diligentia, et, gratia, petitor, honor, pario, non, is, ornamentum, qui, sum, in, tu, uideo, nam, qui, ad, populus, pertineo, semper, dignitas, iniquus, iudex, sum, qui, aut, inuideo, aut, faueo, quamquam, nihil, possum, in, tu, laterensis, constituo, qui, sum, proprius, laus, tuus, quin, is, tu, sum, communis, cum, plancio",85,"NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.094,-0.012,"tu, hic, tu, iniquus, tu, tu",0.071
cicero.pro_plancio,8.0,"sed, hic, totus, ago, alius, locus, nunc, tantus, disputo, de, ius, populus, qui, et, possum, et, soleo, non, numquam, dignus, praetereo, neque, si, ab, populus, praetereo, sum, qui, non, oportet, ab, iudex, condemno, sum, qui, praetereo, non, sum, nam, si, ita, sum, qui, pater, apud, magnus, noster, teneo, non, possum, ut, reprehensor, sum, comitium, is, habeo, iudex, qui, multus, etiam, paruus, sum, fero, tum, enim, magistratus, non, gero, is, qui, capio, si, pater, auctor, non, sum, facio, nunc, postulo, ab, tu, ut, is, exitium, qui, creo, sum, iudicium, populus, romanus, re-prehendo, itaque, iam, quoniam, qui, nolo, ianua, sum, ingredior, in, causa, spero, uideo, tantus, a-sum, sum, oratio, meus, ab, minimus, suspicio, offensio, tuus, tu, ut, potis, obiurgo, qui, iniquus, in, discrimen, adduco, dignitas, tuus, quam, ut, is, ego, ullus, contumelia, conor, attingo",132,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, -0.5, -1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, -1.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN",-0.008,-0.045,"hic, tu, tu, obiurgo, iniquus, contumelia",0.045
cicero.pro_plancio,9.0,"tu, continentia, tu, industria, tu, animus, in, res, publicus, tu, uirtus, tu, innocentia, tu, fides, tu, labor, tuus, qui, aedilis, non, sum, facio, frango, sum, et, abicio, et, repudio, puto, uideo, tandem, laterensis, quantus, ego, ab, tu, dissentio, si, ego, dius, fidus, decem, solus, sum, in, ciuitas, uir, bonus, sapio, iustus, grauis, qui, tu, indignus, aedilitas, iudico, grauis, de, tu, iudico, puto, quam, sum, hic, qui, tu, metuo, ne, ab, populus, iudico, sum, uideo, non, enim, comitium, iudico, semper, populus, sed, moueo, plerusque, gratia, cedo, prex, facio, is, ab, qui, sum, magnus, ambitus, denique, etiam, si, iudico, non, delectus, aliquis, aut, sapientia, duco, ad, iudico, sed, impetus, non, numquam, et, quidam, etiam, temeritas, non, sum, enim, consilium, in, uulgo, non, ratio, non, discrimen, non, diligentia, semper, sapio, is, qui, populus, facio, fero, non, semper, laudo, dico, qui, res, cum, tu, aedilis, fio, oportet, dico, populus, culpa, non, competitor, accuso",149,"NaN, 0.5, NaN, 0.5, NaN, 0.5, NaN, 0.0, 0.0, NaN, 1.0, NaN, 0.5, NaN, 1.0, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -0.5, NaN, NaN, 0.5, 0.5, 1.0, NaN, 1.0, -0.5, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN",0.04,-0.037,"tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, hic, tu, temeritas, tu, culpa",0.101
cicero.pro_plancio,10.0,"ut, sum, dignus, quam, plancius, de, quo, ipse, cum, tu, ita, contendo, paulus, post, ut, conseruo, dignitas, tuus, sed, ut, sum, dignus, non, competitor, ab, quo, sum, uinco, sed, populus, ab, quo, sum, praetereo, in, culpa, sum, in, quo, ille, primus, debeo, puto, comitium, praesertim, aedilicius, studium, sum, populus, non, iudicium, eblandior, ille, non, enucleata, sum, suffragium, is, qui, suffragium, fero, quis, quisque, ipse, debeo, considero, saepis, quam, quis, quisque, ab, res, publicus, debeo, sin, autem, malo, sum, iudicium, non, tu, is, rescindo, sum, sed, fero",86,"NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.052,-0.012,"tu, culpa, tu",0.035
