Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_publio_quinctio,1.0,"qui, res, in, ciuitas, duo, multus, possum, is, contra, nos, ambo, facio, in, hic, tempus, summus, gratia, et, eloquentia, qui, alter, caius, aquilis, uereor, alter, metuo, eloquentia, quintus, hortensius, ne, ego, in, dico, impedio, non, nihil, commoueo, gratia, sextus, naeuius, ne, publicus, quinctio, noceo, is, uerus, non, mediocris, pertimesco",49,"NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN",0.061,0.0,"hic, noceo",0.041
cicero.pro_publio_quinctio,2.0,"neque, hic, tantus, opus, queror, uideo, hic, summus, in, ille, sum, si, in, nos, sum, saltem, mediocris, uerus, ita, sui, res, habeo, ut, ego, qui, neque, usus, satis, et, ingenium, parum, possum, cum, patronus, dissero, comparo, publicus, quintus, qui, tenuis, ops, nullus, facultas, exiguus, amicus, copia, sum, cum, aduersarius, gratiosus, contendo",51,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.5, 0.0, 1.0, 0.5, NaN, NaN, -1.0, 1.0, NaN",0.078,-0.02,"hic, hic",0.039
cicero.pro_publio_quinctio,3.0,"ille, quoque, nos, accedo, incommodus, qui, marcus, iunius, qui, hic, causa, aliquoties, apud, tu, ago, homo, et, in, alius, causa, exercito, et, in, hic, multus, atque, saepe, uerso, hic, tempus, absum, nouo, legatio, impedio, et, ad, ego, uenio, sum, qui, ut, summus, habeo, ceterus, tempus, quidem, certus, uix, satis, habeo, ut, res, tantus, tot, controuersia, implicatam, possum, cognosco",58,"NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.009,-0.009,"hic, tu, hic, hic",0.069
cicero.pro_publio_quinctio,4.0,"ita, qui, ego, con-suesco, in, ceterus, causa, sum, adiumentum, is, quoque, in, hic, causa, deficio, nam, qui, ingenium, paruus, possum, subsidium, ego, diligentia, comparo, qui, quantus, sum, nisi, tempus, et, spatium, do, sum, intellego, non, possum, qui, quo, multus, sum, caius, aquilis, is, tu, et, hic, qui, tu, in, consilium, sum, bonus, mens, noster, uerbum, audio, oportet, ut, multus, incommodus, uereor, debilito, tandem, aequitas, talis, uir, recreo",67,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN",0.052,-0.007,"hic, tu, hic, tu",0.06
cicero.pro_publio_quinctio,5.0,"qui, si, tu, iudex, nullus, praesidium, sum, uideo, contra, uis, et, gratia, solitudo, atque, inopia, si, apud, hic, consilium, ex, ops, non, ex, ueritas, causa, pendeo, profecto, nihil, sum, iam, sancio, atque, sincerus, in, ciuitas, nihil, sum, qui, humilitas, quisquam, grauitas, et, uirtus, iudex, consolo, certus, aut, apud, tu, et, hic, qui, tu, adsum, uereor, ualeo, aut, ex, hic, locus, repello, uis, et, gratia, locus, ubi, consisto, reperio, non, possum, non, is, dico, caius, aquilis, quo, ego, uenio, in, dubius, tuus, fides, et, constantia, aut, quo, non, in, hic, qui, tu, aduoco, uis, lectus, ciuitas, spes, summa, habeo, publicus, quintus, debeo, quis, ergo, sum",104,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, -0.5, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 1.0, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.5, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.091,-0.024,"tu, hic, tu, hic, tu, hic, hic, tu",0.077
cicero.pro_publio_quinctio,6.0,"primus, magnitudo, periculum, superus, timor, homo, afficio, qui, unus, iudicium, de, fortuna, omnis, decerno, is, dum, cogito, non, paruus, saepe, is, uenio, in, mens, potestas, quam, aequitas, tuus, propterea, qui, omnis, qui, in, alter, manus, uito, pono, sum, saepis, ille, cogito, quis, possum, is, qui, in, dicio, atque, potestas, sum, quam, quis, debeo, facio",54,"0.5, 0.0, -1.0, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.028,-0.028,,0.0
cicero.pro_publio_quinctio,7.0,"deinde, habeo, aduersarius, publicus, quintus, uerbum, sextus, naeuius, res, uerus, hic, aetas, homo, dissero, fortis, floreo, noster, ciuitas, qui, communis, studium, summus, ops, sextus, naeuius, defendo, si, is, sum, defendo, cupiditas, alter, obtemperaris, quo, is, facilis, qui, uolo, iniquus, iudicium, opprimo, possum",42,"NaN, NaN, -1.0, 0.0, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, 0.5, NaN, NaN",0.012,-0.06,"hic, iniquus",0.048
cicero.pro_publio_quinctio,8.0,"nam, quis, hic, iniquus, aut, indignus, caius, aquilis, dico, aut, commemoraris, possum, quam, ego, qui, caput, alter, fama, fortuno, defendo, prior, locus, causa, dico, cum, praesertim, quintus, hortensius, qui, in, hic, iudicium, pars, accusator, obtineo, contra, ego, sum, dico, qui, summa, copia, facultas, dico, natura, largior, sum, ita, fio, ut, ego, qui, telum, depello, et, uulnus, medeor, debeo, tum, is, facio, cogo, cum, etiam, telis, aduersarius, nullus, iacio, ille, autem, is, tempus, impugno, do, cum, et, uito, ille, impetus, potestas, adimo, nos, sum, et, si, qui, in, res, is, qui, paro, sum, facio, falsus, crimen, quasi, ueneno, aliqui, telis, iacio, medicina, facio, locus, non, sum",105,"NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN",-0.024,-0.057,"hic, iniquus, hic, crimen",0.038
cicero.pro_publio_quinctio,9.0,"is, accido, praetor, iniquitas, et, iniuria, primus, qui, contra, omnis, consuetudo, iudicium, prior, de, probrum, quam, de, res, malo, fio, deinde, qui, ita, constituo, is, ipse, iudicium, ut, reus, ante, quam, uerbum, accusator, audio, causa, dico, cogo, qui, is, gratia, et, potentia, facio, sum, qui, quasi, suus, res, aut, honor, ago, ita, diligenter, sextus, naeuius, studium, et, cupiditas, mos, gero, et, in, is, modus, res, ops, suus, experior, in, qui, quo, multus, propter, uirtus, nobilitas, possum, is, paruus, quantus, possum, debeo, ostendo",82,"NaN, NaN, 0.5, -1.0, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, 0.5, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.061,-0.043,"iniquitas, probrum, reus",0.037
cicero.pro_publio_quinctio,10.0,"cum, tot, tantus, difficultas, affectus, atque, affligo, in, tuus, caius, aquilis, fides, ueritas, misericordia, publicus, quintus, confugio, cum, adhuc, is, propter, uis, aduersarius, non, ius, par, non, ago, potestas, idem, non, magistratus, aequus, reperio, possum, cum, is, summa, per, iniuria, omnis, inimicus, atque, infestus, sum, tu, caius, aquilis, tu, qui, in, consilium, adsum, oro, atque, obsecro, ut, multus, iniuria, iacto, atque, agito, aequitas, in, hic, tandem, locus, consisto, et, confirmaris, patior",71,"NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, 0.5, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN, 0.5, 0.5, NaN, NaN, 0.5, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.021,-0.077,"tu, tu, hic",0.042
