Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_rege_deiotaro,1.0,"cum, in, omnis, causa, grauis, caius, caesar, initium, dico, commoueo, soleo, uehemens, quam, uideo, uel, utor, uel, aetas, meus, postulo, tum, in, hic, causa, ita, multus, ego, perturbo, ut, quantus, meus, fides, studium, ego, affero, ad, salus, rex, deiotaris, defendo, tantus, facultas, timor, detraho, primus, dico, pro, caput, fortuna, rex, qui, ipse, etsi, non, iniquus, sum, in, tuus, dumtaxat, periculum, tamen, sum, ita, inusitas, rex, reus, capio, sum, ut, ante, hic, tempus, non, sum, audio",75,"NaN, NaN, NaN, 0.0, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.5, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.5, -0.5, NaN, 0.5, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.013,-0.04,"hic, iniquus, reus, hic",0.053
cicero.pro_rege_deiotaro,2.0,"deinde, is, rex, qui, ornaris, antea, cuncto, cum, senatus, soleo, pro, perpetuus, is, in, noster, res, publicus, meritum, nunc, contra, atrox, crimen, cogo, defendo, accedo, ut, accusator, alter, crudelitas, alter, indignitas, conturbo, crudelis, castor, ne, dico, scelero, et, impius, qui, nepos, auus, in, capio, discrimen, adduco, adulescentia, suus, terror, infero, is, qui, senectus, tueor, et, tego, debeo, commendatio, ineo, aetas, ab, impietas, et, ab, scelus, duco, auus, seruus, corrumpo, praemium, ad, accuso, dominus, impello, ab, legatus, pes, abduco",78,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN",-0.096,-0.135,"crimen, crudelitas, crudelis, scelero, impius, impietas, scelus",0.09
cicero.pro_rege_deiotaro,3.0,"fugitiuus, autem, dominus, accuso, et, dominus, absum, et, dominus, amicus, noster, res, publicus, cum, os, uideo, cum, uerbum, audio, non, tam, affligo, regia, condicio, doleo, quam, de, fortuna, communis, extimesco, nam, cum, mos, magnus, de, seruo, in, dominus, ne, tormentum, quidem, quaero, licet, in, qui, quaestio, dolor, elices, uerus, uoco, possum, etiam, ab, inuito, exorior, sum, seruus, qui, qui, in, equuleus, appello, non, possum, is, accuso, soluo",67,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,-0.03,"fugitiuus, extimesco, equuleus",0.045
cicero.pro_rege_deiotaro,4.0,"perturbo, ego, caius, caesar, etiam, ille, interdum, qui, tamen, cum, tu, penitus, recognosco, timeo, desino, res, enim, iniquus, sum, sed, tuus, sapientia, fio, aequus, nam, dico, apud, is, de, facinus, contra, qui, uita, consilium, facinus, ineo, arguaris, cum, per, sui, ipse, considero, grauis, sum, nemo, enim, fere, sum, qui, suus, periculum, iudex, non, sui, sui, aequus, quam, reor, praebeo, sed, tuus, caesar, praesto, singularis, natura, hic, ego, metus, minuo, non, enim, tam, timeo, quis, tu, de, rex, deiotaro, quam, intellego, quis, de, tu, ceterus, uelis, iudicaris",86,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, 0.0, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",-0.023,-0.07,"tu, iniquus, facinus, facinus, hic, tu, tu",0.081
cicero.pro_rege_deiotaro,5.0,"moueo, etiam, locus, ipse, insolentia, qui, tantus, causa, quantus, nullus, umquam, in, disceptatio, uerso, sum, dico, intra, domesticus, paries, dico, extra, conuenio, et, is, frequentia, in, qui, orator, studium, nitor, soleo, in, tuus, oculus, in, tuus, os, uultus, acquiesco, tu, unus, intueor, ad, tu, unus, omnis, specto, oratio, qui, ego, ad, spes, obtineo, ueritas, grauis, sum, ad, motus, animus, et, ad, omnis, impetus, dico, contentio, leuis",66,"NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, 0.5, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.015,-0.03,"tu, tu",0.03
cicero.pro_rege_deiotaro,6.0,"hic, enim, caius, caesar, causa, si, in, forum, dico, idem, audio, et, discepto, tu, quantus, ego, alacritas, populus, romanus, concursus, affero, quis, enim, ciuis, is, rex, non, faueo, qui, omnis, aetas, in, populus, romanus, bellum, consumo, sum, memini, spectaris, curia, intueor, forum, caelum, denique, testo, ipse, sic, cum, et, deus, immortalis, et, populus, romanus, et, senatus, beneficium, in, rex, deiotaris, recordor, nullus, modo, ego, desum, possum, oratio",67,"NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, 0.5, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5",0.045,-0.022,"hic, tu",0.03
cicero.pro_rege_deiotaro,7.0,"qui, quoniam, angustus, paries, facio, actio, magnus, causa, debilito, locus, tuus, sum, caesar, qui, pro, multus, saepe, dico, quis, ego, nunc, animus, sum, ad, tu, ipse, refero, quo, facilis, cum, aequitas, tuus, tum, audio, diligentia, minuo, hic, perturbatio, meus, sed, ante, quam, de, accusatio, ipse, dico, de, accusator, spes, paucus, dico, qui, cum, uideo, neque, ingenium, neque, usus, atque, exercitatio, res, ualeo, tamen, ad, hic, causa, non, sine, aliqui, spes, et, cogitatio, uenio",73,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, NaN, 0.5, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.048,-0.007,"tu, hic, hic",0.041
cicero.pro_rege_deiotaro,8.0,"irascor, tu, rex, deiotaro, sum, non, sum, nescio, afficio, ille, quidam, incommodus, et, detrimentum, propter, offensio, animus, tuus, memini, tu, cum, hic, irascor, tum, sui, amicus, sum, cognosco, quisque, apud, ipse, tu, de, tuus, periculum, dico, sum, puto, ut, in, exulcero, animus, facilis, fingo, crimen, insideo, quam, ob, res, hic, nos, primus, metus, caesar, per, fides, et, constantia, et, clementia, tuus, liber, ne, resideo, in, tu, ullus, pars, iracundia, suspicor, per, dexter, iste, tu, oro, quam, rex, deiotaro, hospes, hospes, porrigo, iste, inquam, dexter, non, tam, in, bellum, neque, in, proelium, quam, in, promitto, et, fides, firmus, tu, ille, domus, ineo, tu, uetus, hospitium, renouaris, uolo, tu, is, deus, penates, accipio, tu, amicus, et, placo, deiotaris, rex, ara, focus, uideo",120,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -0.5, NaN, -1.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, -1.0, 0.5, NaN, 1.0, NaN, 0.5, NaN, 1.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN",0.021,-0.058,"tu, tu, hic, tu, fingo, crimen, hic, tu, tu, proelium, tu, tu, tu, tu",0.117
cicero.pro_rege_deiotaro,9.0,"cum, facilis, oraris, caesar, tum, semel, exoraris, soleo, nemo, umquam, tu, placo, inimicus, qui, ullus, re-sedeo, in, tu, simultas, reliquiae, sentio, quamquam, qui, sum, inaudio, cum, deiotaro, querela, tuus, numquam, tu, ille, accuso, ut, hostis, sed, ut, amicus, officium, parum, fungor, qui, propendeo, in, gnaeus, pompeius, amicitia, sum, quam, in, tuus, qui, tamen, ipse, res, uenio, tu, do, sum, dico, si, tum, auxilium, pompeius, uel, si, etiam, filius, mitto, ipse, aetas, excusatio, utor, sum",74,"NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN",0.0,-0.054,"tu, tu, tu, tu",0.054
cicero.pro_rege_deiotaro,10.0,"ita, cum, magnus, is, res, liberaris, perparuus, culpa, relinquo, itaque, non, solus, in, is, non, animaduerto, sed, omnis, metus, libero, hospes, a-nosco, rex, relinquo, neque, enim, ille, odium, tuus, progredior, sed, error, communis, labor, sum, is, rex, qui, senatus, hic, nomen, saepe, honorificus, decretum, appello, quisque, ille, ordo, ab, adulescentia, grauis, sancio, duco, idem, res, sum, perturbo, homo, longinquus, et, alienigenus, qui, nos, in, medius, res, publicus, nascor, semper, uerso",70,"NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, -1.0, 0.0, -0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN",-0.05,-0.079,"culpa, hic",0.029
