Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_s_roscio,1.0,"credo, ego, tu, iudex, miror, quis, sum, qui, cum, tot, superus, orator, homo, nobilis, sedeo, ego, potis, surgo, is, qui, neque, aetas, neque, ingenium, neque, auctoritas, sum, cum, hic, qui, sedeo, comparo, omnis, hic, qui, uideo, adsum, in, hic, causa, iniuria, nouo, scelus, conflo, puto, oportet, defendo, defendo, ipse, propter, iniquitas, tempus, non, audeo, ita, fio, ut, adsum, propterea, qui, officium, sequor, taceo, autem, idcirco, quia, periculum, uito",68,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.022,-0.059,"tu, hic, hic, hic, scelus, iniquitas",0.088
cicero.pro_s_roscio,2.0,"quis, ergo, audax, ego, ex, omnis, paruus, an, tantus, officiosus, quam, ceterus, ne, iste, quidem, laus, ita, sum, cupidus, ut, alius, is, praeripio, uolo, qui, ego, igitur, res, praeter, ceterus, impello, ut, causa, sextus, rosci, recipio, quia, si, qui, iste, dico, qui, uideo, adsum, in, qui, summus, auctoritas, sum, atque, amplitudo, si, uerbum, de, res, publicus, facio, is, qui, in, hic, causa, fio, necesse, sum, multus, multus, dico, quam, dico, puto",71,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN",0.021,-0.007,"audax, hic",0.028
cicero.pro_s_roscio,3.0,"ego, autem, si, omnis, qui, dico, sum, libo, dico, nequaquam, tamen, similis, oratio, meus, exeo, atque, in, uulgus, emanaris, possum, deinde, qui, ceterus, neque, dico, obscurus, possum, sum, propter, nobilitas, et, amplitudo, neque, temere, dico, concedo, propter, aetas, et, prudentia, ego, si, quis, liber, dico, uel, occulo, sum, propterea, qui, nondum, ad, res, publicus, accedo, uel, ignosco, adulescentia, meus, possum, tametsi, non, modo, ignosco, ratio, uerus, etiam, cognosco, consuetudo, iam, de, ciuitas, tollo, sum",74,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.034,-0.007,,0.0
cicero.pro_s_roscio,4.0,"accedo, ille, quoque, causa, qui, ab, ceterus, forsitan, ita, peto, sum, ut, dico, ut, utrum, saluo, officium, sui, facio, possum, arbitror, ab, ego, autem, is, contendo, qui, apud, ego, et, amicitia, et, beneficium, et, dignitas, multus, possum, qui, ego, neque, beneuolentia, erga, ego, ignoro, neque, auctoritas, aspernaris, neque, uoluntas, neglego, debeo",51,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.088,0.0,,0.0
cicero.pro_s_roscio,5.0,"hic, de, causa, ego, hic, causa, patronus, ex-sisto, non, eligo, unus, qui, maximus, ingenium, sed, relinquo, ex, omnis, qui, paruus, periculum, possum, dico, neque, uti, satis, firmus, praesidium, defendo, sextus, roscius, uerus, uti, ne, omnino, desero, sum, forsitan, quaero, qui, iste, terror, sum, et, qui, tantus, formido, qui, tot, atque, talis, uir, impedio, quo, paruus, pro, caput, et, fortuna, alter, qui, ad, modus, consuo, causa, uolo, dico, qui, adhuc, tu, ignoro, non, mirus, sum, propterea, qui, consultum, ab, accusator, is, res, qui, conflo, hic, iudicium, mentior, facio, non, sum",89,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.022,-0.034,"hic, hic, tu, hic",0.045
cicero.pro_s_roscio,6.0,"qui, res, is, sum, bonus, pater, hic, sextus, rosci, qui, sum, sexagies, qui, de, uir, fortis, et, clarus, lucius, sulla, qui, honor, causa, nomino, duo, mille, nummus, sui, dico, emo, adulescens, uel, potens, hic, tempus, noster, ciuitas, lucius, cornelius, chrysogonus, is, ab, tu, iudex, hic, postulo, ut, quoniam, in, alienus, pecunia, tam, plenus, atque, praeclarus, nullus, ius, inuado, quoniam, is, pecunia, uito, sextus, rosci, obstaris, atque, officio, uideo, deleo, ex, animus, suus, suspicio, omnis, metus, tollo, sui, hic, incolumis, non, arbitror, hic, innocens, patrimonium, tam, amplus, et, copiosus, possum, obtineo, damno, et, eicio, spero, sui, possum, qui, adipiscor, sum, per, scelus, is, per, luxuria, effundo, atque, consumo, hic, sui, ex, animus, scrupulis, qui, sui, dies, nox, stimulo, atque, pungo, ut, euello, postulo, ut, ad, hic, suus, praeda, tam, nefarius, adiutor, tu, profiteor",132,"NaN, 0.0, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.5, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN",0.027,-0.038,"hic, nummus, emo, adulescens, hic, tu, hic, pecunia, pecunia, hic, hic, innocens, damno, scelus, luxuria, hic, stimulo, hic, nefarius, tu",0.152
cicero.pro_s_roscio,7.0,"si, tu, aequus, et, honestus, postulatio, uideo, iudex, ego, contra, breuis, postulatio, affero, et, quo, modo, ego, persuadeo, aliquantus, aequus, primus, ab, chrysogono, peto, ut, pecunia, fortuna, noster, contineo, sum, sanguis, et, uita, ne, peto, deinde, ab, tu, iudex, ut, audacium, scelus, resistas, innocens, calamitas, leuo, et, in, causa, sextus, rosci, periculum, qui, in, omnis, intendo, propulso",57,"NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, 0.5, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN",0.018,-0.053,"tu, honestus, pecunia, tu, scelus, innocens, calamitas, propulso",0.14
cicero.pro_s_roscio,8.0,"qui, si, aut, causa, crimen, aut, facio, suspicio, aut, qui, denique, uel, minimus, res, reperio, quam, ob, res, uideo, ille, non, nihil, tamen, in, defero, nomen, sequor, postremo, si, praeter, is, praeda, quam, dico, quisquam, alius, causa, inuenio, non, recuso, quin, ille, libido, sextus, rosci, uito, dedo, sin, alius, ago, nihil, nisi, ut, is, ne, quis, desum, qui, satis, nihil, sum, si, hic, solus, hic, tempus, pugno, ut, ad, ille, opimus, praeclarus, praeda, damnatio, sextus, rosci, uelut, cumulus, accedo, nonne, cum, multus, indignus, tum, uel, hic, indignus, sum, tu, idoneus, habeo, per, qui, sententia, ius, iuro, is, assequor, qui, antea, ipse, scelus, et, ferrum, assequor, consuo, qui, ex, ciuitas, in, senatus, propter, dignitas, ex, senatus, in, hic, consilium, deligo, sum, propter, seueritas, ab, hic, hic, postulo, homo, sicarius, atque, gladiator, non, modo, ut, supplicium, uito, qui, ab, tu, pro, maleficium, suus, metuo, atque, horreo, debeo, uerus, etiam, ut, spolium, ex, hic, iudicium, orno, augeo, discedo",155,"NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 1.0, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",-0.023,-0.055,"crimen, libido, hic, hic, damnatio, hic, tu, scelus, hic, seueritas, hic, hic, sicarius, supplicium, tu, maleficium, hic",0.11
cicero.pro_s_roscio,9.0,"hic, de, res, tantus, tam, atrox, neque, satis, ego, commodus, dico, neque, satis, grauis, conqueror, neque, satis, libo, uociferaris, possum, intellego, nam, commoditas, ingenium, grauitas, aetas, libertas, tempus, sum, impedimentum, huc, accedo, summus, timor, qui, ego, natura, pudor, meus, attribuo, et, uester, dignitas, et, uolo, aduersarius, et, sextus, rosci, periculum, quapropter, tu, oro, atque, obsecro, iudex, ut, attendo, bonus, cum, uenia, uerbum, meus, audio",64,"NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.5, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, -0.5, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, 1.0, 0.0, 0.0, NaN",0.047,-0.07,"hic, pudor, tu",0.047
cicero.pro_s_roscio,10.0,"fides, sapio, uester, fretus, multus, onus, tollo, quam, fero, ego, possum, intellego, hic, onus, si, tu, aliqui, ex, pars, adleuo, fero, ut, possum, studium, et, industria, iudex, sin, ab, tu, is, qui, non, spero, desero, tamen, animus, non, deficio, et, is, qui, suscipio, quoad, possum, perfero, qui, si, perfero, non, possum, opprimo, ego, onus, officio, malus, quam, is, qui, ego, cum, fides, semel, impono, sum, aut, propter, perfidia, abicio, aut, propter, infirmitas, animus, depono",74,"1.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, 0.5, NaN",0.027,-0.041,"hic, tu, tu, perfidia",0.054
