Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_sestio,1.0,"si, quis, antea, iudex, miror, quis, sum, qui, pro, tantus, ops, res, publicus, tantus, dignitas, imperium, nequaquam, satis, multus, ciuis, fortis, et, magnus, animus, inuenio, qui, audeo, sui, et, salus, suus, in, discrimen, offero, pro, status, ciuitas, et, pro, communis, libertas, ex, hic, tempus, miro, potis, si, qui, bonus, et, fortis, ciuis, uideo, quam, si, qui, aut, timidus, aut, sui, potis, quam, res, publicus, consulo, nam, ut, omittas, de, unus, quisque, casus, cogito, recordaris, unus, aspectus, intueor, possum, is, qui, cum, senatus, cum, bonus, omnis, res, publicus, affligo, excito, et, latrocinium, domesticus, libero, maestus, sordido, reus, de, caput, de, fama, de, ciuitas, de, fortuna, de, liber, dimico, is, autem, qui, omnis, diuino, et, humanus, uiolo, uexo, perturbo, euerto, non, solus, alacer, laetus, uolitaris, sed, etiam, fortis, atque, bonus, ciuis, periculum, molior, de, sui, nihil, timeo",135,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 1.0, 0.0, NaN, 0.5, 0.0, 0.5, 0.5, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, -1.0, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 1.0, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, 1.0, 1.0, NaN, NaN, NaN, 0.5, NaN, 1.0, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN",0.081,-0.03,"hic, timidus, latrocinium, reus, uiolo, uexo",0.044
cicero.pro_sestio,2.0,"in, quo, cum, multus, sum, indignus, tum, nihil, paruus, sum, fero, quam, qui, iam, non, per, latro, suus, non, per, homo, egestas, et, scelus, perdo, sed, per, tu, nos, per, bonus, uir, bonus, ciuis, periculum, infero, conor, et, qui, lapis, qui, ferrum, qui, fax, qui, uis, manus, copia, deleo, non, possum, hic, uester, auctoritas, uester, religio, uester, sententia, sui, opprimo, arbitror, ego, autem, iudex, qui, uox, ego, in, ago, gratia, commemoro, is, qui, de, ego, optume, mereo, sum, beneficium, sum, utor, puto, is, nunc, uti, cogo, in, is, periculum, depello, ut, is, potis, uox, hic, seruio, qui, opus, et, ego, et, tu, et, populus, romanus, restituo, sum",107,"NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, 1.0, 0.5, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.033,-0.047,"latro, egestas, scelus, tu, fax, hic, hic, tu",0.075
cicero.pro_sestio,3.0,"et, quamquam, ab, quintus, hortensius, clarus, uir, atque, eloquens, causa, sum, publicus, sero, peroro, nihil, ab, is, praetermitto, sum, qui, aut, pro, res, publicus, conqueror, sum, aut, pro, reor, disputo, tamen, aggredior, ad, dico, ne, meus, propugnatio, is, potis, desum, uideo, per, qui, sum, perficio, ne, ceterus, ciuis, desum, atque, ego, sic, statuo, iudex, ab, ego, in, hic, causa, atque, hic, exter, dico, locus, pietas, potis, quam, defensio, querela, quam, eloquentia, dolor, quam, ingenium, pars, sum, suscipio",77,"NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, 1.0, 0.0, NaN, NaN, -0.5, NaN, NaN, -1.0, NaN, 0.5, 0.0, NaN, NaN",0.026,-0.019,"hic, hic",0.026
cicero.pro_sestio,4.0,"itaque, si, aut, acer, ago, aut, liber, quam, qui, ante, ego, dico, peto, ab, tu, ut, tantus, oratio, meus, concedo, quantus, et, pius, dolor, et, iustus, iracundia, concedo, puteo, nam, neque, officium, coniungo, dolor, ullus, sum, possum, quam, hic, meus, suscipio, ex, homo, de, ego, optume, mereo, periculum, neque, iracundia, magis, ullus, laudo, sum, quam, is, qui, ego, inflammo, is, scelus, qui, cum, omnis, meus, salus, defensor, bellum, sum, sui, gero, iudico",72,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, 1.0, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN",-0.049,-0.09,"tu, hic, inflammo, scelus",0.056
cicero.pro_sestio,5.0,"sed, quoniam, singuli, crimen, ceterus, respondeo, dico, ego, de, omnis, status, publicus, sero, de, genus, uita, de, natura, de, mos, de, incredibilis, amor, in, bonus, de, studium, conseruo, salus, communis, atque, otium, contendo, si, modo, is, consequor, possum, ut, in, hic, confundo, atque, uniuersus, defensio, nihil, ab, ego, qui, ad, uester, quaestio, nihil, qui, ad, reus, nihil, qui, ad, res, publicus, pertineo, praetermitto, sum, uideo, et, quoniam, in, grauis, tempus, ciuitas, atque, in, ruina, euerro, atque, affligo, res, publicus, publicus, sero, tribunatus, sum, ab, fortuna, ipse, con-loco, non, aggredior, ad, ille, maximus, atque, amplus, prior, quam, doceo, qui, initium, atque, fundamentum, hic, tantus, summus, in, res, laus, excito, sum",109,"NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, 0.5, NaN, -0.5, 1.0, NaN, 1.0, NaN, 0.5, NaN, 1.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN",0.041,-0.018,"crimen, otium, hic, reus, hic",0.046
cicero.pro_sestio,6.0,"pareo, publicus, sestius, nascor, sum, iudex, homo, ut, plerusque, memini, et, sapio, et, sancio, et, sero, qui, cum, tribunus, plebs, primus, inter, homo, nobilis, tempus, bonus, facio, sum, reliquus, honor, non, tam, uti, uolo, quam, dignus, uideo, is, auctor, duco, honestus, et, specto, uir, caius, albinus, filia, ex, qui, hic, sum, puer, et, nubo, iam, filia, duo, grauis, atque, plenus, antiquitas, uis, sic, probo, sum, ut, uterque, is, et, carus, magnus, et, iucundus, sum, adimo, albinus, socer, nomen, mors, filia, sed, caritas, ille, necessitudo, et, beneuolentia, non, adimo, hodie, sic, hic, diligo, ut, tu, facilis, possum, ex, hic, uel, adsiduitas, is, uel, sollicitudo, et, molestia, iudicaris",106,"NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, 0.5, NaN, 0.0, 1.0, 0.0, 1.0, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, NaN, -1.0, NaN",0.085,-0.033,"honestus, hic, nubo, hic, tu, hic",0.057
cicero.pro_sestio,7.0,"duco, uxor, pater, uiuo, bonus, et, calamitosus, uir, filia, lucius, scipio, clarus, in, hic, publicus, sero, pietas, ex-sisto, et, omnis, gratus, qui, et, massilia, statim, proficiscor, sum, ut, socer, uideo, consolo, possum, fluctus, res, publicus, expello, in, alienus, terra, iaceo, qui, in, magnus, suus, uestigium, sto, oportet, et, ad, is, filia, is, adduco, ut, ille, insperatus, aspectus, complector, si, non, omnis, at, aliqui, pars, maeror, suus, depono, et, magnus, pro, ille, necessitudo, studium, et, officium, et, ille, aerumna, quoad, uiuo, et, filia, solitudo, sustento, possum, multus, dico, de, liberalitas, de, domesticus, officium, de, tribunatus, militaris, de, prouincial, in, is, magistratus, abstinentia, sed, ego, ante, oculus, obuerso, res, publicus, dignitas, qui, ego, ad, sui, rapio, hic, paruus, relinquo, hortor",118,"NaN, 0.0, 0.0, NaN, 1.0, NaN, -1.0, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 0.0, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.047,-0.03,"uxor, calamitosus, hic, iaceo, hic",0.042
cicero.pro_sestio,8.0,"quaestor, hic, caius, antonius, collega, meus, iudex, sum, sors, sed, societas, consilium, meus, impedio, non, nullus, officio, ut, ego, interpretor, religio, quo, paruus, expono, quam, multus, publicus, sestius, cum, sum, cum, collega, meus, sentio, ad, ego, defero, quantus, ante, prouideo, atque, ego, de, antonius, nihil, dico, praeter, unus, numquam, ille, ille, superus, timor, atque, periculum, ciuitas, neque, communis, metus, omnis, neque, proprius, non, nullus, de, ipse, suspicio, aut, infitior, tollo, aut, dissimulo, sedaris, uolo, in, quo, collega, sustineo, atque, modero, si, meus, in, ille, indulgentia, coniungo, cum, summus, custodia, res, publicus, laudo, uerus, soleo, par, prope, laus, publicus, sero, sum, debeo, qui, ita, suus, consul, obseruo, ut, et, ille, quaestor, bonus, et, nos, omnis, bonus, ciuis, uideo",117,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, -1.0, NaN, 1.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0, 0.5, NaN, 0.0, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, 0.5, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, 0.5, NaN",0.043,-0.034,"hic, societas",0.017
cicero.pro_sestio,9.0,"idem, cum, ille, coniuratio, ex, latebra, atque, ex, tenebrae, erumpo, pala, armo, uolito, uenio, cum, exercitus, capua, quam, urbs, propter, multus, bellum, opportunitas, ab, ille, impius, et, scelero, manus, temptaris, suspicor, caius, meuulanum, tribunus, miles, antonius, capua, praecipito, eicio, homo, perdo, et, non, obscurus, pisauri, et, in, alius, ager, gallici, pars, in, ille, coniuratio, uerso, idem, caius, marcellus, cum, is, non, capua, solus, uenio, uerus, etiam, sui, quasi, armus, studium, in, maximus, familia, conicio, extermino, ex, ille, urbs, curo, qui, de, causa, et, tum, conuenio, ille, capua, qui, propter, salus, ille, urbs, consulatus, conseruo, meus, ego, unus, patronus, adopto, hic, apud, ego, publicus, sestius, magnus, gratia, ago, et, hic, tempus, idem, homo, nomen, commuto, colonus, decurio, fortis, atque, bonus, uir, beneficium, publicus, sero, testimonium, declaro, periculum, decretum, suus, deprecor, recito, quaeso, lucius",132,"NaN, NaN, NaN, -0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, 0.0, 0.5, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, 0.5, NaN, 1.0, 0.5, 1.0, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.03,-0.034,"coniuratio, impius, scelero, coniuratio, hic, hic",0.045
cicero.pro_sestio,10.0,"sero, quis, decerno, capua, decurio, ut, iam, puerilis, tuus, uox, possum, aliquis, significaris, inimicus, uester, quisnam, cum, sui, con-roboro, efficio, sum, uideo, decurionum, decretum, non, recito, decretum, officium, aliquis, exprimo, uicinitas, aut, clientela, aut, hospes, publicus, aut, ambitio, aut, commendatio, gratia, sed, recito, memoria, perfungor, periculum, praedicatio, amplus, beneficus, uoco, officio, praesum, testimonium, praetereo, tempus",55,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, 1.0, NaN, -1.0, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0",0.036,-0.036,ambitio,0.018
