Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_tullio,1.0,"antea, sic, hic, causa, ago, statuo, recuperator, ut, infitiaturos, aduersarius, arbitror, tantus, caedes, et, tam, atrox, ad, familia, suus, pertineo, itaque, animus, soluo, ab, cura, et, ab, cogitatio, uenio, qui, intellego, facilis, is, ego, testis, planus, facio, possum, nunc, uerus, postea, quam, non, modo, confiteor, sum, uir, primarius, lucius, quintus, laboro, ut, qui, arguo, is, facio, sum, ostendo, nunc, in, is, consumo, sum, oratio, ut, ne, aduersarius, qui, infitior, nullus, modo, possum, cum, magnus, cupio, is, cum, confiteor, sum, bonus, locus, sum, uideo",83,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN",-0.006,-0.06,"hic, caedes",0.024
cicero.pro_tullio,2.0,"itaque, tum, uester, difficilis, iudicium, meus, facilis, defensio, sum, uideo, ego, enim, omnis, in, testis, quis, sum, facilis, quam, de, is, qui, confiteor, iudicaris, ego, autem, difficilis, sum, satis, copiosus, de, is, dico, qui, neque, atrox, uerbum, demonstro, possum, quam, res, ipse, sum, neque, aperio, oratio, meus, fio, quam, ipse, confessio, facio, sum",53,"NaN, NaN, NaN, -0.5, 0.5, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN",0.009,-0.047,,0.0
cicero.pro_tullio,3.0,"cum, in, hic, res, quam, commemoro, ego, muto, ratio, defensio, paruus, diligenter, ille, existimatio, quam, res, marcus, tullius, uideo, defendo, nunc, quoniam, quintus, ad, causa, pertineo, puto, res, ita, multus, fallo, praesertim, et, iniquus, confingo, profero, de, uito, et, mos, et, existimatio, marcus, tullius, multus, de, causa, ego, fabius, debeo, ignosco, si, paruus, is, fama, parco, uideo, quam, antea, consulo",60,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN",0.008,-0.017,"hic, fallo, iniquus",0.05
cicero.pro_tullio,4.0,"other, os, puto, ad, officium, suus, pertineo, aduersarius, nullus, in, res, parco, quis, ego, oportet, tullium, pro, tullius, facio, homo, coniungo, cum, ego, non, paruus, animus, quam, nomen, atque, ego, magis, ille, laboro, uideo, recuperator, ut, qui, antea, nihil, in, iste, dico, probaris, possum, quam, ne, in, is, reprehendo, qui, hic, tempus, respondeo",53,"NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,-0.019,hic,0.019
cicero.pro_tullio,5.0,"uerus, et, tum, is, facio, qui, oportet, et, nunc, facio, qui, necesse, sum, nam, cum, sum, de, res, pecuniarius, controuersia, qui, damnum, do, marcus, tullius, dico, alienus, meus, natura, uideo, quisquam, de, existimatio, publicus, fabi, dico, non, quia, res, postulo, non, uideo, quis, ergo, sum, tametsi, postulo, causa, tamen, nisi, planus, cogo, ingratia, ad, malus, dico, non, soleo, descendo, nunc, cum, cogo, dico, si, quis, fors, dico, tamen, is, ipse, uerecundus, modicus, facio, tantus, ut, quoniam, sui, ego, non, sum, inimicus, possum, prior, actio, fabius, iudicaris, nunc, marcus, tullius, fidelis, certus, amicus, sum, cognosco",94,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, 1.0, NaN, NaN",0.0,-0.048,,0.0
cicero.pro_tullio,6.0,"unum, hic, abs, tu, lucius, quintus, per-uolo, impetro, qui, tametsi, is, uolo, quia, ego, utilis, sum, tamen, abs, tu, idcirco, quia, aequus, sum, postulo, ut, ita, tu, multus, tempus, ad, dico, sumo, ut, hic, aliquis, ad, iudico, relinquo, namque, antea, non, defensio, tuus, modus, sed, nox, tu, finis, dico, facio, nunc, si, tu, placeo, possum, ne, idem, facio, is, abs, tu, postulo, neque, hic, idcirco, postulo, qui, tu, aliquis, censeo, praetereo, oportet, aut, non, quam, orno, et, copiosus, dico, uerus, ut, semel, unus, quisque, de, res, dico, qui, si, facies, non, uereor, ne, dico, dies, eximo",96,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN",0.036,0.0,"hic, tu, tu, tu, hic, tu, tu, tu, hic, tu",0.104
cicero.pro_tullio,7.0,"iudicium, uester, sum, recuperator, quantae, pecuniae, pareo, dolus, malus, familia, publicus, fabi, uis, hominibus, armo, cogo, damnum, datum, sum, marcus, tullio, is, res, taxatio, nos, facio, aestimatio, uester, sum, iudicium, do, sum, in, quadruplus",34,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, 0.0, NaN, 1.0, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.015,-0.059,dolus,0.029
cicero.pro_tullio,8.0,"cum, omnis, lex, omne, iudicium, qui, paulus, grauis, atque, asper, uideo, sum, ex, improbus, iniquitas, et, iniuria, nata, sum, tum, hic, iudicium, paucus, hic, annus, propter, homo, malus, consuetudo, nimius, licentia, constituo, sum, nam, cum, multus, familia, dico, in, ager, longinquus, et, pascuum, armo, sum, caedo, facio, cum, is, consuetudo, non, solus, ad, res, priuator, sed, ad, summa, res, publicus, pertineo, uideo, marcus, lucullus, qui, summus, aequitas, et, sapientia, ius, dico, primus, hic, iudicium, compono, et, is, specto, ut, omnis, ita, familia, suus, contineo, ut, non, modo, armatus, damnum, nemo, do, uerus, etiam, lacesso, ius, sui, potis, quam, arma, defendo",100,"NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, -0.5, NaN, -0.5, NaN, NaN, NaN, -1.0, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, 0.0, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, 0.5, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, -0.5, NaN, 0.5, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN",-0.01,-0.075,"improbus, iniquitas, hic, hic, nimius, licentia, hic",0.07
cicero.pro_tullio,9.0,"et, cum, scio, de, damnum, lex, sum, aquiliam, tamen, hic, ita, existimo, apud, magnus, noster, cum, et, res, et, cupiditas, paruus, sum, et, familia, non, magnus, magnus, metus, contineo, ut, perrarus, fio, ut, homo, occaedes, is, nefarius, atque, singularis, facinus, puto, nihil, opus, sum, iudicium, de, uis, cogo, armo, homo, qui, enim, usus, non, uenio, de, is, si, quis, lex, aut, iudicium, constituo, non, tam, prohibeo, uideo, quam, admoneo",69,"NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, -0.5, 0.0, NaN, NaN, 0.5, NaN, 0.0, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, -1.0, NaN, NaN, 0.5, NaN, 0.5, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.007,-0.065,"hic, nefarius, facinus",0.043
cicero.pro_tullio,10.0,"hic, tempus, cum, ex, bellum, diuturnus, atque, domesticus, res, in, is, consuetudo, uenio, ut, homo, paruus, religio, arma, uto, necesse, puto, sum, et, in, uniuersus, familia, iudicium, do, qui, ab, familia, facio, dico, et, recuperator, do",36,"NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.083,0.0,hic,0.028
