Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.reditum_in_senatu,1.1,"si, pater, conscribo, pro, uester, immortalis, in, ego, frater, meus, liber, noster, meritum, parum, tu, cumulo, gratia, ago, quaeso, obtestor, ne, meus, natura, potis, quam, magnitudo, uester, beneficus, is, tribuo, puteo, qui, tantus, enim, possum, exsisto, ubertas, ingenium, qui, tantus, dico, copia, qui, tam, diuinus, atque, incredibilis, genus, oratio, quo, quisquam, possum, uester, in, nos, uniuersus, promereo, non, dico, complector, oro, sed, percenseo, numero, qui, ego, frater, opto, ego, frater, amo, liber, noster, parens, nos, liber, qui, dignitas, qui, ordo, qui, fortuna, qui, amplus, res, publicus, qui, patria, qui, nihil, possum, sum, iucundus, qui, denique, nos, ipse, nos, reddo",99,"NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, 0.5, NaN, 1.0, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, -0.5, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, 0.5, NaN, 1.0, NaN, 0.5, NaN, 0.0, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.086,-0.01,tu,0.01
cicero.reditum_in_senatu,2.2,"qui, si, parens, carus, habeo, debeo, qui, ab, is, nos, uito, patrimonium, libertas, ciuitas, trado, sum, si, deus, immortal, qui, beneficium, et, hic, teneo, et, ceterus, res, augeo, sum, si, populus, romanus, qui, honor, in, amplus, consilium, et, in, alo, gradus, dignitas, atque, in, hic, omnis, terra, arx, con-loco, sum, si, hic, ipse, ordo, ab, quo, saepe, magnificentissimis, decretum, sum, honestas, immensus, quidam, et, infinitus, sum, qui, tu, debeo, qui, uester, singularis, studium, atque, consensus, parens, beneficium, deus, immortalis, munus, populus, romanus, honor, uester, de, ego, multus, iudicium, nos, unus, tempus, omnis, reddo, ut, cum, multus, tu, magnus, populus, romanus, innumerabilis, parens, omnis, deus, immortalis, debeo, hic, antea, singulus, per, ille, habeo, nunc, uniuersus, per, tu, recipero",117,"NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.5, 1.0, 0.0, 0.5, 0.5, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.111,0.0,"hic, hic, hic, tu, tu, hic, tu",0.06
cicero.reditum_in_senatu,2.3,"itaque, pater, conscribo, qui, ne, opto, quidem, sum, homo, immortalitas, quidam, per, tu, sum, adipiscor, uideo, qui, enim, tempus, sum, umquam, cum, uester, in, nos, beneficus, memoria, atque, fama, morior, qui, ille, ipse, tempus, cum, uis, ferrum, metus, minae, ob-sedeo, teneo, non, multus, post, discedo, meus, ego, uniuersus, reuoco, refero, lucius, ninnio, fortis, atque, bonus, uir, qui, habeo, ille, pestifer, annus, et, magnus, fidelis, et, paruus, timidus, si, dimicaris, placeo, defensor, salus, meus, postea, quam, tu, decerno, potestas, non, sum, permitto, per, is, tribunus, plebs, qui, cum, per, sui, res, publicus, lacero, non, possum, sub, alienus, scelus, delitesco, numquam, de, ego, sileo, numquam, meus, salus, non, ab, is, consul, qui, uendo, flagito",112,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, -1.0, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, 0.5, NaN, NaN, NaN, -1.0, 0.0, NaN, 0.0, 1.0, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.049,-0.045,"tu, pestifer, timidus, tu, lacero, scelus, uendo",0.062
cicero.reditum_in_senatu,3.4,"itaque, uester, studium, atque, auctoritas, perficio, sum, ut, ipse, ille, annus, qui, ego, ego, quam, patria, malo, sum, fatal, octo, tribunus, habeo, qui, et, promulgo, de, salus, meus, et, ad, tu, saepe, numerus, refero, nam, consul, modestus, lex, metuo, impedio, lex, non, is, qui, de, ego, sed, is, qui, de, ipse, fero, sum, quam, meus, inimicus, promulgo, ut, si, re-uiuo, is, qui, hic, paene, deleo, tum, ego, redeo, quo, facio, uterque, confiteor, sum, et, sui, ille, uita, desideraris, et, magnus, in, periculum, res, publicus, sum, si, cum, hostis, atque, interfector, res, publicus, re-uiuo, ego, non, reuorto, idem, ille, ipse, tamen, annus, cum, ego, cedo, princeps, autem, ciuitas, non, lex, praesidium, sed, paries, uita, suus, tueor, res, publicus, sine, consul, sum, neque, solus, parens, perpetuus, uerus, etiam, tutor, annuus, sum, orbo, sententia, dico, prohibeo, caput, meus, proscriptio, recito, numquam, dubito, meus, salus, cum, communis, salus, coniungo",145,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, -1.0, 0.0, 0.0, NaN, NaN, NaN, -1.0, NaN, -1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, -0.5, 0.5, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, 1.0, NaN",0.028,-0.034,"tu, modestus, hic, interfector, proscriptio",0.034
cicero.reditum_in_senatu,3.5,"postea, uerus, quam, singularis, et, praesto, uirtus, publicus, lentulus, consul, ex, superus, annus, caligo, et, tenebrae, lux, in, res, publicus, kalendae, ianuarius, dispicio, coepio, cum, quintus, metelli, nobilis, homo, atque, bonus, uir, summus, dignitas, cum, praetor, tribunus, plebs, paene, omnis, uirtus, et, fides, res, publicus, subuenio, cum, uirtus, gloria, res, gero, gnaeus, pompeius, omnis, gens, omnis, saeculum, omnis, memoria, facilis, princeps, tueor, sui, uenio, in, senatus, arbitror, tantus, uester, consentio, de, salus, meus, sum, ut, corpus, absum, meus, dignitas, iam, in, patria, reuorto",83,"NaN, 0.5, NaN, 0.0, NaN, NaN, 1.0, 0.0, NaN, 0.5, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 1.0, 0.5, NaN, 1.0, NaN, 0.5, -0.5, 0.0, NaN, NaN, 1.0, NaN, 1.0, 0.0, 0.0, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.5, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN",0.151,-0.012,,0.0
cicero.reditum_in_senatu,4.6,"quo, quidem, mensis, quis, inter, ego, et, meus, inimicus, intersum, existimaris, possum, ego, meus, salus, desero, ne, propter, ego, ciuis, uulnus, res, publicus, cruento, ille, meus, redeo, non, populus, romanus, suffragium, sed, flumen, sanguis, intercludo, puto, itaque, postea, nihil, tu, ciuis, nihil, socius, nihil, rex, respondeo, nihil, iudex, sententia, nihil, populus, suffragium, nihil, hic, ordo, auctoritas, declaro, mutus, forum, elinguo, curia, taceo, et, frango, ciuitas, uideo",66,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, -1.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN",0.023,-0.045,"cruento, tu, hic",0.045
cicero.reditum_in_senatu,4.7,"quo, quidem, tempus, cum, is, excedo, qui, caedo, et, flamma, tu, auctor, resto, cum, ferrum, et, fax, homo, totus, urbs, uolito, magistratus, tectum, impugno, deus, templum, inflammo, superus, uir, et, clarus, consul, fascis, frango, fortis, atque, bonus, tribunus, plebs, sancio, corpus, non, tango, atque, uiolo, manus, sed, uulnero, ferrum, confacio, uideo, qui, strages, non, nullus, permoueo, magistratus, pars, metus, mors, pars, desperatio, res, publicus, paululum, ab, meus, causa, recedo, reliquus, sum, qui, neque, terror, neque, uolo, neque, spes, neque, metus, neque, promitto, neque, minae, neque, telum, neque, fax, ab, uester, auctoritas, ab, populus, romanus, dignitas, ab, meus, salus, depello",99,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.5, NaN, NaN, 0.5, NaN, 1.0, -0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, -1.0, -1.0, 0.0, -1.0, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, 0.0, 1.0, NaN",0.01,-0.061,"tu, fax, inflammo, uiolo, strages, fax",0.061
cicero.reditum_in_senatu,4.8,"princeps, publicus, lentulus, parens, atque, deus, noster, uita, fortuna, memoria, nomen, hic, specimen, uirtus, hic, indicium, animus, hic, lumen, consulatus, suus, sum, puto, si, ego, ego, si, meus, si, tu, si, res, publicus, reddo, qui, ut, sum, designo, numquam, dubito, sententia, de, salus, meus, sui, et, res, publicus, dignus, dico, cum, ab, tribunus, plebs, ueto, cum, praeclaris, caput, recito, ne, quis, ad, tu, refero, ne, quis, decerno, ne, disputo, ne, loquor, ne, pes, eo, ne, scribo, adsum, totus, ille, ut, ante, dico, proscriptio, non, lex, puto, qui, ciuis, optume, de, res, publicus, mereor, nominatim, sine, iudicium, unus, cum, senatus, res, publicus, sum, eripio, ut, uerus, ineo, magistratus, non, dico, quis, ago, prior, sed, quis, omnino, ago, alius, nisi, ut, ego, conseruo, uester, in, posterus, dignitas, auctoritas, sancio",127,"0.5, 0.0, NaN, 0.5, NaN, 0.0, NaN, 0.0, 0.0, 1.0, 0.0, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, 0.0, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN",0.075,-0.004,"hic, hic, hic, tu, tu, proscriptio",0.047
cicero.reditum_in_senatu,5.9,"deus, immortalis, quantus, ego, beneficium, do, uideo, qui, hic, annus, publicus, lentulus, consul, populus, romanus, sum, quantus, magnus, do, si, superus, annus, sum, neque, enim, egeo, medicina, consularis, nisi, consularis, uulnus, concido, audio, ex, sapio, homo, atque, bonus, cieo, et, uir, quintus, catulus, non, saepe, unus, consul, improbus, duo, uerus, numquam, excipio, ille, cinnano, tempus, sum, qui, res, meus, causa, semper, sum, firmus, dico, soleo, dum, uel, unus, in, res, publicus, consul, sum, qui, uerus, dico, si, ille, de, duo, consul, qui, ante, in, res, publicus, non, sum, perenne, atque, proprius, maneo, possum, qui, si, quintus, metellus, ille, tempus, consul, sum, inimicus, dubito, quo, animus, sum, in, ego, conseruo, sum, cum, in, restituo, auctor, sum, adscriptoremque, uideo",117,"0.0, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.051,-0.026,"hic, improbus",0.017
cicero.reditum_in_senatu,5.1,"sed, sum, is, consul, qui, mens, angustus, humilis, prauus, oppleo, tenebrae, atque, sordes, nomen, ipse, consulatus, splendor, ille, honor, magnitudo, tantus, imperium, neque, intueor, neque, sustineo, neque, capio, possum, non, consul, sed, mercator, prouinciaris, atque, uenditor, uester, dignitas, qui, alter, ab, ego, catilina, amator, suus, multus, audio, alter, cethegus, consobrinus, reposco, qui, ego, duo, scelero, post, homo, memoria, non, consul, sed, latro, non, modo, desero, in, causa, praesertim, publicus, et, consularis, sed, prodo, oppugno, omnis, auxilium, non, solus, suus, sed, etiam, uester, ceter, ordo, spolio, sum, uolo, qui, alter, tamen, neque, ego, neque, quisquam, fallo",95,"NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, 1.0, NaN, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.042,-0.032,"humilis, prauus, sordes, uenditor, catilina, amator, scelero, latro, fallo",0.095
