Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.topica,1.0,"magnus, nos, res, scribo, ingredior, caius, trebati, et, hic, liber, qui, breuis, tempus, satis, multus, edo, dignus, e, cursus, ipse, reuoco, uoluntas, tuus, cum, enim, cum, ego, in, tusculano, sum, et, in, bibliotheca, separatim, uterque, nos, ad, suus, studium, libellus, qui, uolo, euoluo, incido, in, aristotelis, topice, quidam, qui, sum, ab, ille, multus, liber, explicata, qui, inscriptio, commoueo, continuo, ab, ego, liber, is, sententia, re-quaero",65,"0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN",0.054,0.0,hic,0.015
cicero.topica,2.0,"quam, cum, tu, expono, disciplina, inuenio, argu, mentor, ut, sine, ullus, error, ad, is, ratio, et, uia, peruenio, reor, ab, aristotelis, inuenio, ille, liber, contineo, uerecundus, tu, quidem, ut, omnis, sed, tamen, facilis, ut, cerno, tu, ardeo, studium, cum, ego, ut, tu, ille, trado, ago, cum, autem, ego, tu, non, tam, uito, labor, meus, causa, quam, quia, tuus, is, intersum, arbitror, uel, ut, is, per, tu, ipse, lego, uel, ut, totus, ratio, ab, doceo, quidam, rhetor, accipio, hortor, sum, uterque, ut, ex, tu, audio, sum, experior, sed, ab, liber, tu, obscuritas, reicio",92,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.016,-0.016,"tu, tu, tu, tu, tu, tu, tu, tu",0.087
cicero.topica,3.0,"rhetor, autem, ille, magnus, hic, ut, opinor, aristotelia, sui, ignoro, respondeo, qui, quidem, paruus, sum, admiror, is, philosophus, rhetor, non, sum, cognosco, qui, ab, ipse, philosophus, praeter, admodum, paucus, ignoro, qui, is, paruus, ignosco, sum, qui, non, modo, res, is, qui, ab, ille, dico, et, in, uentae, sum, adlici, debeo, sed, dico, quoque, incredi, bilis, quidam, cum, copia, tur, -ne, etiam, suauitas",62,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.008,0.0,hic,0.016
cicero.topica,4.0,"non, possum, igitur, tu, saepis, hic, rogo, et, tamen, uereor, ne, ego, grauis, sum, facilis, enim, is, cerno, debeo, diu, ne, ipse, ius, interpres, fio, uideo, iniuria, etenim, cum, tu, ego, meus, multus, saepe, scribo, uereor, sum, ne, si, ego, grauo, aut, ingratus, is, aut, superbus, uideo, sed, dum, sum, unus, tu, bonus, sum, testis, quam, sum, occupo, tus",59,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN",-0.025,-0.059,"tu, hic, tu, ingratus, tu",0.085
cicero.topica,5.0,"ut, autem, ab, tu, discedo, in, graeciam, proficiscor, cum, opus, meus, neque, res, publicus, neque, amicus, uto, neque, honestus, inter, arma, uersaris, possum, ne, si, tueor, quidem, ego, is, licet, ut, uenio, ueliam, tuus, et, tuus, uideo, admonitus, hic, aer, alienus, nolo, desum, ne, taceo, quidem, flagitatio, tuus, itaque, hic, cum, cum, ego, liber, non, habeo, memoria, repeto, in, ipse, nauigatio, conscribo, tu, ex, iter, mitto, ut, meus, diligentia, mandator, tuus, tu, quoque, etsi, admonitor, non, egeo, ad, memoria, nostraris, res, excitaris, sed, iam, tempus, sum, ad, is, qui, instituo, accedo",91,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, 0.0, NaN, 1.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.055,-0.005,"tu, honestus, hic, hic, tu, tu",0.066
cicero.topica,6.0,"cum, omnis, ratio, diligo, dissero, duo, habeo, pars, unus, inuenio, alter, iudico, uterque, princeps, ut, ego, quidem, uideo, aristotelis, sum, stoici, autem, in, alter, elaboro, iudico, enim, uia, diligenter, per-sequor, sum, is, scientia, quam, διαλεκτικὴν, appello, inuenio, ars, qui, τοπικὴ, dico, qui, et, ad, usus, potis, sum, et, ordo, natura, certus, prior, totus, relinquo",54,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, 0.5, 0.5, NaN, NaN",0.037,0.0,,0.0
cicero.topica,7.0,"nos, autem, quoniam, in, uter, summus, utilitas, sum, et, uter, si, sum, otium, persequor, cogitainus, ab, is, qui, prior, sum, ordior, ut, igitur, is, res, qui, abs-condio, sum, demonstrate, et, noto, locus, facilis, inuentio, sum, sic, cum, peruestigaris, argumentum, aliqui, uolo, locus, nosco, debeo, sic, enim, appello, ab, aristotelis, sum, is, quasi, sedes, e, qui, argumentum, promo",57,"NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN",0.044,0.0,otium,0.018
cicero.topica,8.0,"itaque, licet, definio, locus, sum, argumentum, sedes, argumentum, autem, ratio, qui, res, dubius, facio, fides, sed, ex, hic, locus, in, qui, argumentum, includo, sum, alius, in, is, ipse, de, quo, ago, haereo, alius, ad-sumo, extrinsecus, in, ipse, tum, ex, totus, tum, ex, pars, is, tum, ex, nosco, tur, -ne, ex, is, res, qui, quidam, modo, afficio, sum, ad, is, de, quo, quaero, extrinsecus, autem, is, duco, qui, absum, longus, disiungo, sum",71,"NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, 0.0, NaN, 0.0, NaN, 0.0, -0.5, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.007,-0.007,hic,0.014
cicero.topica,9.0,"sed, ad, is, totus, de, quo, dissero, tum, definitio, adhibeo, qui, quasi, inuoluo, euoluo, is, de, quo, quaero, is, argumentum, talis, sum, formula, ius, ciuilis, sum, aequitas, constituo, is, qui, idem, ciuitas, sum, ad, res, suus, obtineo, is, autem, aequitas, utilis, cognitio, sum, utilis, ergo, sum, ius, ciuilis, scientia",49,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 1.0, 0.5, NaN, 1.0, NaN, NaN, 0.5, 0.5, 0.0",0.122,0.0,,0.0
cicero.topica,10.0,"tum, pars, enumeratio, qui, tracto, hic, modo, si, neque, census, neque, uindicta, neque, testamentum, liber, facio, sum, non, sum, liber, neque, ullus, sum, is, res, non, sum, igitur, liber, tum, notatio, cum, ex, uerbum, uis, argumentum, aliqui, elicio, hic, modo, cum, lex, assiduus, uindico, assiduus, sum, iubeo, locupleto, iubeo, locupleti, is, sum, enim, assiduus, ut, aio, lucius, aelius, appello, ab, aer, do",62,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.073,0.0,"hic, uindicta, hic, locupleto",0.065
