Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
claudian.de_bello_gildonico,1.0,"reddo, imperium, auster, subiecto, rursus",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.de_bello_gildonico,2.0,"alter, conuexus, polio, rector, sub, unus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.de_bello_gildonico,3.0,"conspiro, geminus, frenum, communis, orbis",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
claudian.de_bello_gildonico,4.0,"iungo, europe, -ne, libyae, concordia, frater",6,"NaN, NaN, NaN, NaN, 1.0, 0.0",0.167,0.0,europe,0.167
claudian.de_bello_gildonico,5.0,"plenus, redeo, patrius, solus, qui, desum, arma",7,"0.0, NaN, 0.0, -0.5, NaN, NaN, 0.0",-0.071,-0.071,,0.0
claudian.de_bello_gildonico,6.0,"tertius, occumbo, nascor, uirtus, tyrannus",5,"0.0, NaN, NaN, 1.0, NaN",0.2,0.0,tyrannus,0.2
claudian.de_bello_gildonico,7.0,"horreo, adhuc, animus, manifesto, gaudium, differo",6,"NaN, NaN, 0.5, NaN, 1.0, NaN",0.25,0.0,,0.0
claudian.de_bello_gildonico,8.0,"dum, stupeo, et, tantus, cuncto, credo, ueto",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.de_bello_gildonico,9.0,"necdum, cinyphias, exercitus, attigo, ora",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
claudian.de_bello_gildonico,10.0,"iam, domo, gildo, nullus, uictoria, nodus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.de_bello_gildonico,11.0,"haereo, non, spatium, terra, non, obicio, pontus",7,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.de_bello_gildonico,12.0,"congredior, profugus, capio, uox, nuntio, unus",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
claudian.de_bello_gildonico,13.0,"rumoremque, suus, praeuenio, laureus, bellum",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.de_bello_gildonico,14.0,"quo, precor, hic, efficio, deus, robustus, uetus",7,"NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0",0.143,0.0,hic,0.143
claudian.de_bello_gildonico,15.0,"tempus, tam, paruus, possum, dementia, uinco",6,"0.0, NaN, 0.0, NaN, -1.0, NaN",-0.167,-0.167,,0.0
claudian.de_bello_gildonico,16.0,"qui, uenio, indico, hiems, uer, percello, hostis",7,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0",-0.143,-0.143,,0.0
claudian.de_bello_gildonico,17.0,"exitium, iam, roma, timeo, et, fessus, nego",7,"-1.0, NaN, NaN, NaN, NaN, NaN, NaN",-0.143,-0.143,,0.0
claudian.de_bello_gildonico,18.0,"frugis, ad, rapidus, limen, tendo, olympi",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.de_bello_gildonico,19.0,"non, soleo, uultus, neque, qualis, ius, britannis",7,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.071,0.0,,0.0
claudian.de_bello_gildonico,20.0,"diuido, aut, trepidus, summitto, fascis, indus",6,"NaN, NaN, -1.0, NaN, NaN, NaN",-0.167,-0.167,,0.0
