Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
claudian.epithalamium,1.0,"surgo, in, thalamus, duco, cum, pelion, areu, neque, capio, tantus, hospita, terra, deus, cum, socer, aequoreus, numerosus, turba, soror, certo, epulis, continuo, dies, praebeo, ioui, commune, poculum, chiro, -ne, mollis, obliquus, pars, refundo, equus, peneus, gelidus, muto, nectaris, fons, oetacis, fluo, spumeus, uinum, iugum, terpsichore, facilis, lasciuus, polliceo, moueo, barbito, -ne, et, mollis, duco, in, antrum, choros.carmina, neque, superi, neque, displiceo, tono, cum, teneo, nosco, congruus, ueto, modus, centaurus, faunique, nego, qui, flecto, rhoeto, -ne, qui, rigidus, possum, plectrum, moueo, pholum, septimus, lux, adsum, caelum, totiens, reno, uideo, exigo, hesperus, ignis, chorus, tum, phoebus, quo, saxum, domo, quo, pertrahit, ornus, pecto, tento, nobilis, lyra, uenio, sacrum, fides, iam, spondeo, achillem, iam, phrygias, caedes, iam, simoenta, cano, frondosus, strepuit, felix, Hymenaeus, olympus, regina, resono, othrys, et, os, thetim",127,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.035,-0.004,"hospita, epulis, refundo, spumeus, lasciuus, pecto, caedes",0.055
claudian.epithalamium,1.1,"haurio, insolitus, promitto, uirgo, ignis",5,"NaN, -0.5, NaN, NaN, 0.0",-0.1,-0.1,uirgo,0.2
claudian.epithalamium,2.0,"augustus, primus, rudis, flagro, aestus",5,"1.0, 0.5, -0.5, NaN, NaN",0.2,-0.1,,0.0
claudian.epithalamium,3.0,"neque, nouus, unde, calor, neque, quis, suspirium, uolo",8,"NaN, 1.0, NaN, 0.0, NaN, NaN, -0.5, NaN",0.062,-0.062,,0.0
claudian.epithalamium,4.0,"nosco, incipio, et, adhuc, ignarus, amo",6,"NaN, NaN, NaN, NaN, -1.0, NaN",-0.167,-0.167,,0.0
claudian.epithalamium,5.0,"non, ille, uenator, equus, non, spiculum, cura",7,"NaN, NaN, NaN, NaN, NaN, 0.0, -1.0",-0.143,-0.143,,0.0
claudian.epithalamium,6.0,"non, iaculis, torqueo, libet, mens, omnis, aberro",7,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.071,0.0,,0.0
claudian.epithalamium,7.0,"in, uulnus, qui, figo, amor, quam, saepe, medulla",8,"NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN",0.0,-0.125,,0.0
claudian.epithalamium,8.0,"erumpo, gemitus, quotiens, incandesco, os",5,"NaN, -0.5, NaN, NaN, 0.0",-0.1,-0.1,,0.0
claudian.epithalamium,9.0,"confiteor, secerno, rubor, nomen, beatus",5,"NaN, NaN, NaN, 0.0, 1.0",0.2,0.0,rubor,0.2
claudian.epithalamium,10.0,"iniussus, scribo, manus, iam, munus, nubo",6,"NaN, NaN, 0.0, NaN, 0.5, NaN",0.083,0.0,nubo,0.167
