Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
claudian.in_consulatum,1.0,"sol, qui, flammigeris, mundus, complexus, habena",6,"NaN, NaN, NaN, 1.0, 0.0, NaN",0.167,0.0,,0.0
claudian.in_consulatum,2.0,"uoluo, inexhausto, redeo, saeculum, motus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,3.0,"spargo, dies, bonus, coma, crinis, repexi",6,"NaN, 0.0, 1.0, NaN, NaN, NaN",0.167,0.0,,0.0
claudian.in_consulatum,4.0,"blandus, effero, surgo, temo, iugalis",5,"0.5, NaN, NaN, NaN, NaN",0.1,0.0,iugalis,0.2
claudian.in_consulatum,5.0,"efflo, roseus, frenum, spumo, ignis",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.in_consulatum,6.0,"iam, nouo, germanus, uestigium, torqueo, annus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.in_consulatum,7.0,"consul, laetus, peto, exordium, mensis",5,"0.5, 1.0, NaN, NaN, NaN",0.3,0.0,,0.0
claudian.in_consulatum,8.0,"scio, genus, auchenium, neque, tu, lateo, potens",7,"NaN, 0.0, NaN, NaN, NaN, NaN, 1.0",0.143,0.0,tu,0.143
claudian.in_consulatum,9.0,"anniadae, nam, saepe, soleo, ductor, ille",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,10.0,"instauraris, uia, et, cursus, addo, nomen",6,"NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.in_consulatum,11.0,"hic, neque, per, dubius, pendeo, fortuna, fauor",7,"NaN, NaN, NaN, -0.5, NaN, 0.0, 1.0",0.071,-0.071,hic,0.143
claudian.in_consulatum,12.0,"neque, nosco, muto, uicis, sed, figo, in, omnis",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,13.0,"cognatus, procedo, honor, quicumque, requiro",5,"NaN, NaN, 1.0, NaN, NaN",0.2,0.0,,0.0
claudian.in_consulatum,14.0,"hic, de, stirps, uir, certus, sum, de, consul, nascor",9,"NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.5, NaN",0.167,0.0,hic,0.111
claudian.in_consulatum,15.0,"per, fascis, numero, auus, semper, reno",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,16.0,"nobilitas, uireo, et, proles, fatum, sequor",6,"1.0, NaN, NaN, 0.0, 0.0, NaN",0.167,0.0,,0.0
claudian.in_consulatum,17.0,"continuus, similis, seruo, lex, tenor",5,"0.0, 0.0, NaN, 0.5, NaN",0.1,0.0,,0.0
claudian.in_consulatum,18.0,"neque, quisquam, procerus, tento, licet, aer, uetustus",7,"NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0",0.071,0.0,,0.0
claudian.in_consulatum,19.0,"floreo, et, clarus, cingo, roma, senatus",6,"NaN, NaN, 0.5, NaN, NaN, 0.5",0.167,0.0,,0.0
claudian.in_consulatum,20.0,"sui, iactaris, par, sed, primus, sedes, relinquo",7,"NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN",0.143,0.0,,0.0
claudian.in_consulatum,21.0,"aucheniis, de, ius, licet, certo, secundus",6,"NaN, NaN, 0.5, NaN, NaN, 0.0",0.083,0.0,,0.0
claudian.in_consulatum,22.0,"haud, secus, atque, taceo, luna, regno, per, arceo, -ne",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,23.0,"sidereus, cedo, acies, cum, frater, re-tundo",6,"NaN, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
claudian.in_consulatum,24.0,"aemulus, aduerro, flagro, ignis, orbis",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
claudian.in_consulatum,25.0,"tunc, iubar, arceo, langueo, tunc, fuluus, leo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,leo,0.143
claudian.in_consulatum,26.0,"ira, pereo, plaustrum, iam, rarus, intermico, arctos",7,"-1.0, NaN, NaN, NaN, NaN, NaN, NaN",-0.143,-0.143,,0.0
claudian.in_consulatum,27.0,"indignor, tego, iam, caligo, arma",5,"NaN, NaN, NaN, -0.5, 0.0",-0.1,-0.1,,0.0
claudian.in_consulatum,28.0,"debilis, oreon, dexter, miro, iners",5,"-1.0, NaN, NaN, NaN, 0.0",-0.2,-0.2,iners,0.2
claudian.in_consulatum,29.0,"qui, prior, aggredior, ueto, quis, facio, probini",7,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.071,0.0,,0.0
claudian.in_consulatum,30.0,"nescio, aut, nimius, laus, ignoro, olybri",6,"NaN, NaN, NaN, 1.0, NaN, NaN",0.167,0.0,nimius,0.167
claudian.in_consulatum,31.0,"uiuo, adhuc, compleo, uagus, sermo, auris",6,"NaN, NaN, NaN, NaN, -0.5, NaN",-0.083,-0.083,,0.0
claudian.in_consulatum,32.0,"gloria, fundo, probus, quam, non, uenio, sileo",7,"0.0, NaN, 1.0, NaN, NaN, NaN, NaN",0.143,0.0,probus,0.143
claudian.in_consulatum,33.0,"lustro, neque, ignotus, rapio, sub, nubes, uetustus",7,"NaN, NaN, -0.5, NaN, NaN, NaN, 0.0",-0.071,-0.071,,0.0
claudian.in_consulatum,34.0,"ille, fama, ueho, trans, aequor, trans, remoueo",7,"NaN, 1.0, NaN, NaN, 0.0, NaN, NaN",0.143,0.0,,0.0
claudian.in_consulatum,35.0,"tethyos, ambages, atlanteosque, recedo",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,36.0,"audio, et, gelidus, si, qui, maeotia, pasco",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,37.0,"sub, loue, uel, calidus, si, quis, coniungo, in, axis",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.in_consulatum,38.0,"nascor, tu, nilus, bibo, uirtus, ille",6,"NaN, NaN, NaN, NaN, 1.0, NaN",0.167,0.0,tu,0.167
claudian.in_consulatum,39.0,"fortuna, domo, numquam, leuantibus, altus",5,"0.0, NaN, NaN, NaN, 0.5",0.1,0.0,,0.0
claudian.in_consulatum,40.0,"intumesco, res, sed, mens, circumfluus, luxus",6,"NaN, 0.0, NaN, 0.5, NaN, -0.5",0.0,-0.083,luxus,0.167
claudian.in_consulatum,41.0,"nosco, intactus, uitio, seruaris, rigor",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,42.0,"hic, non, diuitiae, nigro, abdo, antrum",6,"NaN, NaN, 0.5, NaN, NaN, 0.0",0.083,0.0,"hic, nigro",0.333
claudian.in_consulatum,43.0,"neque, tenebrae, damno, ops, sed, largior, imber",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,damno,0.143
claudian.in_consulatum,44.0,"suesco, innumerus, homo, ditaris, caterua",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
claudian.in_consulatum,45.0,"quippe, uelut, densus, curro, munus, nimbus",6,"NaN, NaN, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
claudian.in_consulatum,46.0,"cerno, semper, sum, populus, undaris, penates",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,undaris,0.167
claudian.in_consulatum,47.0,"assiduus, intro, inops, remearis, beatus",5,"0.5, NaN, -1.0, NaN, 1.0",0.1,-0.2,,0.0
claudian.in_consulatum,48.0,"praeceps, ilia, manus, fluuius, supero, hiberos",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.in_consulatum,49.0,"aureus, donum, uomo, sic, uix, tellus, reuello",7,"0.5, 0.0, NaN, NaN, NaN, NaN, NaN",0.071,0.0,,0.0
claudian.in_consulatum,50.0,"sollicitus, fodio, miro, collis, aurum",5,"-1.0, NaN, NaN, NaN, 0.5",-0.1,-0.2,,0.0
claudian.in_consulatum,51.0,"quantus, stagnum, tagi, rudis, stillo, uenio",6,"NaN, NaN, NaN, -0.5, NaN, NaN",-0.083,-0.083,stagnum,0.167
claudian.in_consulatum,52.0,"effluo, decus, quantus, pretiosus, metallum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,pretiosus,0.2
claudian.in_consulatum,53.0,"hermi, ripa, mico, quantus, per, lydia, colo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,54.0,"despumo, rutilo, diues, pactolus, harena",5,"NaN, NaN, 0.5, NaN, NaN",0.1,0.0,,0.0
claudian.in_consulatum,55.0,"non, ego, centeni, pateo, si, uox, os",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
claudian.in_consulatum,56.0,"multifidusque, ruo, centum, per, pectus, phoebus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,57.0,"ago, probus, narro, queo, quot, in, ordo, gens",8,"NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, 0.0",0.188,0.0,probus,0.125
claudian.in_consulatum,58.0,"rego, ad, superus, quotiens, fastigium, ius",6,"NaN, NaN, NaN, NaN, NaN, 0.5",0.083,0.0,,0.0
claudian.in_consulatum,59.0,"uenio, italia, latus, cum, frenum, teneo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.in_consulatum,60.0,"illyricosque, sinus, et, qui, aro, africa, campus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.in_consulatum,61.0,"sed, nascor, uinco, pater, solus, mereo",6,"NaN, NaN, NaN, 0.0, -0.5, NaN",-0.083,-0.083,,0.0
claudian.in_consulatum,62.0,"uictor, audio, probus, non, contingo, ille",6,"NaN, NaN, 1.0, NaN, NaN, NaN",0.167,0.0,probus,0.167
claudian.in_consulatum,63.0,"talis, honor, primus, cum, pars, uiresceret, aeuum",7,"NaN, 1.0, 0.5, NaN, 0.0, NaN, NaN",0.214,0.0,,0.0
claudian.in_consulatum,64.0,"neque, consul, cum, frater, sum, tu, nullus, fatigo",8,"NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN",0.062,0.0,tu,0.125
claudian.in_consulatum,65.0,"cura, diu, magnus, peto, non, anxius, mens",7,"-1.0, NaN, 0.0, NaN, NaN, -1.0, 0.5",-0.214,-0.286,,0.0
