Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
claudian.panegyricus_de_quarto_consulatu,1.0,"auspicium, iterum, sui, regal, annus",5,"0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,2.0,"induo, et, nosco, fruor, iacto, aula",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.panegyricus_de_quarto_consulatu,3.0,"limen, neque, patior, circum, priuo, moraris",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.panegyricus_de_quarto_consulatu,4.0,"exultant, reduco, augustus, consul, fascis",5,"NaN, NaN, 1.0, 0.5, NaN",0.3,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,5.0,"cerno, ut, armus, proceres, lex, potens",6,"NaN, NaN, NaN, NaN, 0.5, 1.0",0.25,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,6.0,"patricius, sumo, habitus, et, mos, gabino",6,"0.0, NaN, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,7.0,"discolor, incedo, legio, pono, parumper",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,8.0,"bellum, signum, sequor, uexillum, quirinus",5,"0.0, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,9.0,"lictor, cedo, aquila, rideo, togatus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.panegyricus_de_quarto_consulatu,10.0,"miles, et, in, medius, effulgeo, curia, castrum",7,"0.0, NaN, NaN, 0.0, NaN, -1.0, NaN",-0.143,-0.143,,0.0
claudian.panegyricus_de_quarto_consulatu,11.0,"ipse, palatino, circumuallata, senatus",4,"NaN, NaN, NaN, 0.5",0.125,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,12.0,"iam, trabea, bellona, gero, parma, remoueo",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,bellona,0.167
claudian.panegyricus_de_quarto_consulatu,13.0,"et, galea, sacer, umerus, ueho, curulis",6,"NaN, NaN, 1.0, NaN, NaN, NaN",0.167,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,14.0,"neque, tu, laurigeras, pudeo, gradior, securis",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"tu, pudeo",0.333
claudian.panegyricus_de_quarto_consulatu,15.0,"paco, gestaris, manus, latiaque, mico",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,16.0,"lorica, muto, toga, dum, ferreus, haereo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.panegyricus_de_quarto_consulatu,17.0,"currus, et, eridani, ludo, per, pratum, iugalis",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,iugalis,0.143
claudian.panegyricus_de_quarto_consulatu,18.0,"haud, indignus, colo, neque, nuper, cognosco, mars",7,"NaN, -1.0, NaN, NaN, NaN, NaN, NaN",-0.143,-0.143,,0.0
claudian.panegyricus_de_quarto_consulatu,19.0,"ulpia, progenies, et, qui, diadema, mundus",6,"NaN, 0.0, NaN, NaN, NaN, 1.0",0.167,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,20.0,"spargo, hibera, domus, neque, tantus, uilis, unda",7,"NaN, NaN, 0.0, NaN, NaN, -0.5, 0.0",-0.071,-0.071,uilis,0.143
claudian.panegyricus_de_quarto_consulatu,21.0,"promereo, gens, series, cunabula, foueo",5,"NaN, 0.0, 0.5, NaN, NaN",0.1,0.0,,0.0
claudian.panegyricus_de_quarto_consulatu,22.0,"oceanus, terra, dominus, pelagius, sum",5,"NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
