Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
claudian.panegyricus_de_sexto_consulatu,1.0,"omnis, qui, sentio, uoluo, ueto, diurnus, pectus, sopio, reddo, amicus, quies, uenator, defatiscor, torus, cum, membrum, repono, mens, tamen, ad, silua, et, suus, lustro, redeo, iudex, lis, auriga, somnio, currus, uanus, nocturnus, meto, caueo, equus, furtum, gaudeo, amo, permuto, nauta, merces, et, uigil, elabor, quaero, auarus, ops, blandus, largior, frustra, sitio, aeger, irriguus, gelidus, poculum, fons, sopor, ego, quoque, musa, studium, sub, nox, sileo, ars, assuesco, sollicito, soleo, namque, polio, medius, stello, in, arx, uideo, ante, pes, superus, carmen, fero, io, ut, faueo, somnus, plaudo, numen, dictum, et, circumfundo, sacer, corona, chorus, enceladus, ego, carmen, sum, uinco, typhoeus, hic, subeo, inarime, -ne, hic, grauis, aetna, domo, quam, laetus, post, bellum, iouem, suscipio, aether, phlegraeae, refero, praemium, militia, addo, ecce, fides, neque, ego, meus, ludo, imago, irrito, neque, falsus, somnio, mitto, ebur, en, princeps, en, orbis, apex, aequo, olympus, en, qualis, memini, turba, uereor, deus, fingo, nihil, magnus, possum, sopor, alo, uates, conuenio, caelum, praebeo, aula, par",156,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, -1.0, 0.0, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5",0.029,-0.035,"uanus, furtum, auarus, hic, hic, fingo",0.038
claudian.panegyricus_de_sexto_consulatu,1.1,"aureus, fortuna, reduco, si, templum, prior",6,"0.5, 0.0, NaN, NaN, NaN, 0.5",0.167,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,2.0,"ob, redeo, uoueo, dux, non, dignus, umquam",7,"NaN, NaN, NaN, 0.5, NaN, 1.0, NaN",0.214,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,3.0,"hic, dea, pro, mens, amplus, sui, posco, aedes",8,"NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.0",0.062,0.0,hic,0.125
claudian.panegyricus_de_sexto_consulatu,4.0,"quam, suus, cum, pariter, trabea, reparo, et, urbs",8,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5",0.062,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,5.0,"maiestas, neque, enim, campus, sollemnis, et, urna",7,"NaN, NaN, NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,6.0,"ludo, in, mos, species, neque, dissonus, coitus",7,"NaN, NaN, 0.5, NaN, NaN, -1.0, NaN",-0.071,-0.143,,0.0
claudian.panegyricus_de_sexto_consulatu,7.0,"aut, peregrinus, niteo, simulo, ius, imago",6,"NaN, NaN, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,8.0,"indigena, habitus, natiuus, palatium, sumo",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,9.0,"et, patrius, plebs, castrum, sociante, quirino",6,"NaN, 0.0, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,10.0,"mars, augustus, suus, renouo, suffragium, campus",6,"NaN, 1.0, NaN, NaN, 0.0, 0.0",0.167,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,11.0,"qualis, sum, terra, qui, mons, euandrius, offero",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,12.0,"romanus, auis, qui, thybris, inaugurat, annus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,13.0,"quamquam, omnis, quicumque, tuus, cognomen, annus",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,14.0,"semper, inoffensus, do, successus, omen",5,"NaN, NaN, NaN, 0.5, NaN",0.1,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,15.0,"sum, tropaeum, tuus, semper, comito, securis",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,16.0,"hic, tamen, ante, omnis, miro, promitto, ortus",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
claudian.panegyricus_de_sexto_consulatu,17.0,"urbs, et, augustus, gemino, numen, felix",6,"0.5, NaN, 1.0, NaN, NaN, 1.0",0.417,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,18.0,"namque, ueho, stella, babylonia, cura, salubris",6,"NaN, NaN, NaN, NaN, -1.0, 1.0",0.0,-0.167,,0.0
claudian.panegyricus_de_sexto_consulatu,19.0,"bonus, tunc, spondeo, mortalis, edo, fatum",6,"1.0, NaN, NaN, -1.0, NaN, 0.0",0.0,-0.167,,0.0
claudian.panegyricus_de_sexto_consulatu,20.0,"caelicola, cum, celsus, teneo, summus, fero",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.panegyricus_de_sexto_consulatu,21.0,"cardo, neque, radius, humilis, statio, recondo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,humilis,0.167
claudian.panegyricus_de_sexto_consulatu,22.0,"haud, aliter, latiae, sublimis, signifer, aula",6,"NaN, NaN, NaN, 0.5, NaN, NaN",0.083,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,23.0,"imperium, sidus, proprius, cum, sedes, loco",6,"0.0, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,24.0,"augeo, spes, italas, et, certus, omen, surgo",7,"NaN, 0.5, NaN, NaN, 0.5, NaN, NaN",0.143,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,25.0,"uictrix, concipio, solum, cum, pulcher, apollo",6,"NaN, NaN, 0.0, NaN, 1.0, NaN",0.167,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,26.0,"lustro, hyperboreas, delphis, cesso, ara",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.panegyricus_de_sexto_consulatu,27.0,"nihil, tum, castaliae, riuus, communis, unda",6,"NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,28.0,"dissimilis, uilis, neque, discrepo, arbor, laurus",6,"NaN, -0.5, NaN, NaN, NaN, NaN",-0.083,-0.083,uilis,0.167
claudian.panegyricus_de_sexto_consulatu,29.0,"antrum, maestus, sileo, inconsultique, recedo",5,"0.0, -1.0, NaN, NaN, NaN",-0.2,-0.2,,0.0
claudian.panegyricus_de_sexto_consulatu,30.0,"at, si, phoebus, adsum, et, frenum, grypha, iugal",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.panegyricus_de_sexto_consulatu,31.0,"riphaeo, tripus, repeto, detorqueo, ab, axis",6,"NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,32.0,"tunc, silua, tunc, antrum, loquor, tunc, uiuo, fons",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,33.0,"tunc, sacer, horror, aqua, adytum, effundo, echo",7,"NaN, 1.0, -1.0, 0.0, 0.0, NaN, NaN",0.0,-0.143,,0.0
claudian.panegyricus_de_sexto_consulatu,34.0,"clarus, et, doceo, spiro, praesagium, rupes",6,"0.5, NaN, NaN, NaN, NaN, 0.0",0.083,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,35.0,"ecce, palatino, cerno, reuerendus, mons",5,"NaN, NaN, NaN, 1.0, NaN",0.2,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,36.0,"exultatque, habito, deus, potioraque, delphis",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,37.0,"supplex, latus, populus, oraculum, pando",5,"0.0, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,38.0,"atque, suus, ad, signum, iubeo, reuiresco, laurus",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,39.0,"non, alius, certus, decet, rector, orbis",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,,0.0
claudian.panegyricus_de_sexto_consulatu,40.0,"sum, lar, nullus, magis, sui, collis, potestas",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5",0.071,0.0,,0.0
