Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
claudian.panegyricus_de_tertio_consulatu,1.0,"paruus, non, aquilis, fas, sum, educo, fetus, ante, fides, soils, iudicium, polio, nam, pater, excutio, saluit, cum, tegimen, proles, ouo, maternus, rumpo, hiulcus, tepor, protinus, implumis, conuerto, ad, aether, nidus, et, recingo, flamma, impero, os, patior, consulo, ardeo, radius, et, lux, magistro, nascor, uireo, ingenium, probo, degenero, refugus, torqueo, qui, lumen, uideo, unguis, hic, saeuus, ira, paternus, ferio, explorator, oculus, qui, perfero, ignis, sustineo, acies, nobilis, dies, nutrio, uolucris, possum, et, fulmen, heres, gero, superus, telum, trisulcus, ioui, ego, quoque, pieriis, temptas, saepis, antrum, audeo, magnus, suus, mitto, roma, deus, iam, domina, auris, iam, regius, tectum, mereo, et, chelys, augustus, iudex, noster, sono",103,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN",0.019,-0.024,"hic, saeuus",0.019
claudian.panegyricus_de_tertio_consulatu,1.1,"tertius, romulei, sumo, exordium, fascis",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_tertio_consulatu,2.0,"ter, tuus, duco, bellatrix, pompa, curulis",6,"NaN, 0.0, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
claudian.panegyricus_de_tertio_consulatu,3.0,"festior, annus, eo, cingo, imito, gabinos",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_tertio_consulatu,4.0,"diues, hydaspeis, augescat, purpura, gemma",5,"0.5, NaN, NaN, NaN, NaN",0.1,0.0,,0.0
claudian.panegyricus_de_tertio_consulatu,5.0,"succedo, arma, trabea, tentorius, lictor",5,"NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_tertio_consulatu,6.0,"ambiat, et, latiae, redeo, ad, signum, securis",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
claudian.panegyricus_de_tertio_consulatu,7.0,"tu, o, qui, patrius, cura, aequal, orbis",7,"NaN, NaN, NaN, 0.0, -1.0, NaN, NaN",-0.143,-0.143,tu,0.143
claudian.panegyricus_de_tertio_consulatu,8.0,"eous, cum, frater, rex, precede, secundus",6,"NaN, NaN, 0.0, 0.0, NaN, 0.0",0.0,0.0,,0.0
claudian.panegyricus_de_tertio_consulatu,9.0,"alitibus, phoebique, noui, ordior, meo",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,alitibus,0.2
claudian.panegyricus_de_tertio_consulatu,10.0,"spes, uotumque, polio, qui, primus, ab, limen, uita",8,"0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0",0.125,0.0,,0.0
claudian.panegyricus_de_tertio_consulatu,11.0,"nutrix, aula, foueo, stringo, qui, fulgidus, telum",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
claudian.panegyricus_de_tertio_consulatu,12.0,"inter, laurigeros, alo, castrum, triumphus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
