Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
dracontius.orestes,1.0,"gaudium, maestus, cano, detestandosque, triumphus",5,"1.0, -1.0, NaN, NaN, NaN",0.0,-0.2,,0.0
dracontius.orestes,2.0,"uictor, pro, laus, nex, festiuus, cruento",6,"NaN, NaN, 1.0, -1.0, NaN, NaN",0.0,-0.167,"nex, cruento",0.333
dracontius.orestes,3.0,"funus, afficio, et, lamentabilis, uotum",5,"-0.5, NaN, NaN, NaN, 0.0",-0.1,-0.1,,0.0
dracontius.orestes,4.0,"coniunx, iliacus, non, qui, iugulo, atridem",6,"-0.5, NaN, NaN, NaN, NaN, NaN",-0.083,-0.083,iugulo,0.167
dracontius.orestes,5.0,"laureus, regal, rutilo, sero, cruor",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,cruor,0.2
dracontius.orestes,6.0,"et, diadema, dux, foedo, tabeo, cerebrum",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,"foedo, tabeo",0.333
dracontius.orestes,7.0,"mater, in, exitium, memoro, obliuiscor, parens",6,"0.0, NaN, -1.0, NaN, NaN, 0.5",-0.083,-0.167,,0.0
dracontius.orestes,8.0,"impietas, pius, reprobae, probitas, orestem",5,"-1.0, NaN, NaN, 1.0, NaN",0.0,-0.2,impietas,0.2
dracontius.orestes,9.0,"iniustus, sed, ius, deus, ratio, ferox",6,"-1.0, NaN, 0.5, 0.0, 0.0, -1.0",-0.25,-0.333,"iniustus, ferox",0.333
dracontius.orestes,10.0,"insontemque, reus, purgantia, templum, soror",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,reus,0.2
dracontius.orestes,11.0,"thracia, uirginitas, qui, do, de, clades, salus",7,"NaN, NaN, NaN, NaN, NaN, -1.0, 1.0",0.0,-0.143,,0.0
dracontius.orestes,12.0,"fraus, pius, mendax, bonus, germanus, sacerdos",6,"-1.0, NaN, -1.0, 1.0, NaN, NaN",-0.167,-0.333,"fraus, mendax",0.333
dracontius.orestes,13.0,"tu, rogo, melpomene, tragicus, descendo, cothurnus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.167
dracontius.orestes,14.0,"et, pes, dactylicus, resono, quiesco, iambus",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
dracontius.orestes,15.0,"do, ualeo, memoro, nefas, laudabilis, nascor",6,"NaN, NaN, NaN, -1.0, 1.0, NaN",0.0,-0.167,nefas,0.167
dracontius.orestes,16.0,"et, purgaris, forum, qui, damnauere, soror",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.orestes,17.0,"qui, dolor, accendo, pudor, excito, erigo, ira",7,"NaN, -1.0, NaN, 0.5, NaN, NaN, -1.0",-0.214,-0.286,pudor,0.143
dracontius.orestes,18.0,"mens, leuo, attollo, animus, bonus, impetus, urgeo",7,"0.5, NaN, NaN, 0.5, 1.0, NaN, NaN",0.286,0.0,,0.0
dracontius.orestes,19.0,"do, furor, almus, pius, pingo, do, noxius, ferrum",8,"NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN",-0.062,-0.125,"furor, noxius",0.25
dracontius.orestes,20.0,"et, medicinal, quatio, sano, furor",5,"NaN, NaN, NaN, NaN, -1.0",-0.2,-0.2,furor,0.2
dracontius.orestes,21.0,"ex-tingo, titulus, uictriciaque, arma, sepelio",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,sepelio,0.2
dracontius.orestes,22.0,"crimen, ultor, dum, crimen, amputo, auctor",6,"-1.0, NaN, NaN, -1.0, NaN, NaN",-0.333,-0.333,"crimen, ultor, crimen",0.5
dracontius.orestes,23.0,"et, thalamus, uindex, thalamus, specto, neco",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,uindex,0.167
dracontius.orestes,24.0,"ante, torus, iaceo, ille, torus, genial, amator",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"iaceo, amator",0.286
dracontius.orestes,25.0,"ductor, ducto, rex, rex, dux, agamemno, -ne",7,"NaN, NaN, 0.0, 0.0, 0.5, NaN, NaN",0.071,0.0,agamemno,0.143
dracontius.orestes,26.0,"post, duo, lustro, redux, et, post, duo, bellum, triumpho",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
dracontius.orestes,27.0,"martia, bellipotens, refero, classicus, princeps",5,"NaN, NaN, NaN, NaN, 0.5",0.1,0.0,,0.0
dracontius.orestes,28.0,"puppis, argolicis, rex, pergama, uiuo, reporto",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,pergama,0.167
dracontius.orestes,29.0,"iliacus, nurus, et, troica, germino, mater",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,nurus,0.167
dracontius.orestes,30.0,"diuitiae, asia, rex, censeo, cor, sileo",6,"0.5, NaN, 0.0, NaN, NaN, NaN",0.083,0.0,,0.0
dracontius.orestes,31.0,"maximus, fulmineus, dicto, donum, tono",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,fulmineus,0.2
dracontius.orestes,32.0,"bonus, iuno, scribo, munus, magnus",5,"1.0, NaN, NaN, 0.5, 0.0",0.3,0.0,,0.0
dracontius.orestes,33.0,"atque, minerual, donum, addo, athenae",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.orestes,34.0,"omnis, et, superi, danais, quicumque, faueo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.orestes,35.0,"nescius, uxor, scelerus, ignarus, ago",5,"-0.5, 0.0, NaN, -1.0, NaN",-0.3,-0.3,"nescius, uxor, scelerus",0.6
dracontius.orestes,36.0,"donum, clytaemestrae, non, dignus, multus, paro",6,"0.0, NaN, NaN, 1.0, 0.0, NaN",0.167,0.0,,0.0
dracontius.orestes,37.0,"multus, subrideo, genitor, dispono, orestion",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
dracontius.orestes,38.0,"qui, apto, pietas, amor, uel, origo, paternus",7,"NaN, NaN, 1.0, 1.0, NaN, NaN, NaN",0.286,0.0,,0.0
dracontius.orestes,39.0,"non, tamen, aequus, simul, meritum, animus, sum",7,"NaN, NaN, 0.5, NaN, 1.0, 0.5, NaN",0.286,0.0,,0.0
dracontius.orestes,40.0,"donum, uerecundus, seruo, pulcher, puella",5,"0.0, 1.0, NaN, 1.0, NaN",0.4,0.0,,0.0
dracontius.orestes,41.0,"interea, findo, iter, per, caerulus, pontus",6,"NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,caerulus,0.167
dracontius.orestes,42.0,"irascor, tranquillus, deus, recidentibus, eurus",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.orestes,43.0,"candidus, fluctiuagi, tendo, carbasus, uentus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.orestes,44.0,"quo, non, curro, sum, sed, quo, dux, impello, auster",9,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.056,0.0,,0.0
dracontius.orestes,45.0,"taurica, perduco, ad, litus, castrum, pelasga",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.orestes,46.0,"impero, indomitus, praeda, praeeo, mycenis",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,indomitus,0.2
dracontius.orestes,47.0,"ipse, sequor, post, uotum, soluo, diana",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.orestes,48.0,"ingredior, templum, supplex, ueneranter, adoro",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.orestes,49.0,"numen, castus, dea, dum, fero, munus, ad, ara",8,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.062,0.0,,0.0
dracontius.orestes,50.0,"stamen, purpureus, pingo, sericum, uelis",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.orestes,51.0,"peplum, corusco, uarius, gemmo, lapillus",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.orestes,52.0,"uideo, iphigenia, turibulum, serus, fero",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.orestes,53.0,"haereo, et, attono, oculus, in, uirgo, figo",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,uirgo,0.143
dracontius.orestes,54.0,"obstipesco, pietas, et, mens, sui, conscius, prauus",7,"NaN, 1.0, NaN, 0.5, NaN, -0.5, -1.0",0.0,-0.214,"conscius, prauus",0.286
dracontius.orestes,55.0,"agmen, pro, danaum, culter, ferio, litatam",6,"-1.0, NaN, NaN, NaN, NaN, NaN",-0.167,-0.167,danaum,0.167
dracontius.orestes,56.0,"nosco, et, similis, nascor, possum, puto",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
dracontius.orestes,57.0,"candidus, uirgo, tamen, multus, iam, cognosco, pater",7,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,uirgo,0.143
dracontius.orestes,58.0,"coepio, officium, cieo, do, ipse, minister",6,"NaN, 0.5, NaN, NaN, NaN, 0.0",0.083,0.0,,0.0
