Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
dracontius.satisfactio,1.0,"rex, immense, deus, cunctor, conditor, et, spes",7,"0.0, NaN, 0.0, NaN, NaN, NaN, 0.5",0.071,0.0,,0.0
dracontius.satisfactio,2.0,"qui, tremo, omnis, solus, qui, rex, ignis, polus",8,"NaN, NaN, NaN, -0.5, NaN, 0.0, 0.0, NaN",-0.062,-0.062,,0.0
dracontius.satisfactio,3.0,"sidus, flamma, dies, qui, sol, nox, luna, fateor",8,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,4.0,"auctor, dominus, saeculum, cunctus, probo",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
dracontius.satisfactio,5.0,"principium, seu, finis, careo, et, tempus, expers",7,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
dracontius.satisfactio,6.0,"nescius, alternus, neque, uicus, fungor, ago",6,"-0.5, NaN, NaN, NaN, NaN, NaN",-0.083,-0.083,nescius,0.167
dracontius.satisfactio,7.0,"omnis, permuto, nullus, mutabilis, aeuum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.satisfactio,8.0,"idem, semper, sum, qui, sum, modo, uel, sum",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.satisfactio,9.0,"nihil, addo, demo, tu, tam, longus, uetustas",7,"NaN, NaN, NaN, NaN, NaN, 0.0, -0.5",-0.071,-0.071,tu,0.143
dracontius.satisfactio,10.0,"omnis, tempus, habeo, nam, tu, tempus, absum",7,"NaN, 0.0, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,tu,0.143
dracontius.satisfactio,11.0,"qui, mens, homo, qui, uolo, per, singulus, dux",8,"NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0, 0.5",0.125,0.0,,0.0
dracontius.satisfactio,12.0,"et, quicumque, iubeo, dirigo, ingenium",5,"NaN, NaN, NaN, NaN, 0.5",0.1,0.0,,0.0
dracontius.satisfactio,13.0,"qui, facio, irascor, homo, contrarius, uolo",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,14.0,"propitius, iubeo, ut, bonus, cunctus, gero",6,"1.0, NaN, NaN, 1.0, 0.0, NaN",0.333,0.0,,0.0
dracontius.satisfactio,15.0,"quisquis, ago, homo, bonus, tristis, prosper, prauus",7,"NaN, NaN, 0.0, 1.0, -1.0, 1.0, -1.0",0.0,-0.286,prauus,0.143
dracontius.satisfactio,16.0,"hic, fio, ammittunt, ira, fauor, deus",6,"NaN, NaN, NaN, -1.0, 1.0, 0.0",0.0,-0.167,hic,0.167
dracontius.satisfactio,17.0,"hic, tuus, uerbum, probo, moseo, dictum, propheta",7,"NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN",0.0,0.0,hic,0.143
dracontius.satisfactio,18.0,"qui, duro, cor, pharaonis, sum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.satisfactio,19.0,"sic, meus, cor, deus, noster, pecco, reatus",7,"NaN, 0.0, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,20.0,"tempus, immodicus, pello, ad, illicitus",5,"0.0, -1.0, NaN, NaN, -1.0",-0.4,-0.4,"immodicus, illicitus",0.4
dracontius.satisfactio,21.0,"ut, qui, facio, dux, possum, narro, meus",7,"NaN, NaN, NaN, 0.5, NaN, NaN, 0.0",0.071,0.0,,0.0
dracontius.satisfactio,22.0,"nomen, asdingui, bellum, triumphigera",4,"0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
dracontius.satisfactio,23.0,"unde, ego, merces, possum, cum, laus, salus",7,"NaN, NaN, 1.0, NaN, NaN, 1.0, 1.0",0.429,0.0,,0.0
dracontius.satisfactio,24.0,"munus, regno, magnus, uenio, simul",5,"0.5, NaN, 0.0, NaN, NaN",0.1,0.0,,0.0
dracontius.satisfactio,25.0,"praemium, despicio, taceo, tot, rex, almus",6,"1.0, NaN, NaN, NaN, 0.0, NaN",0.167,0.0,,0.0
dracontius.satisfactio,26.0,"ut, peto, subeo, certus, periculum, miser",6,"NaN, NaN, NaN, 0.5, -1.0, -1.0",-0.25,-0.333,miser,0.167
dracontius.satisfactio,27.0,"quis, nisi, caelestis, demens, compello, ab, ira",7,"NaN, NaN, NaN, -1.0, NaN, NaN, -1.0",-0.286,-0.286,demens,0.143
dracontius.satisfactio,28.0,"asper, cunctus, peto, prosper, cunctus, nego",6,"-0.5, 0.0, NaN, 1.0, 0.0, NaN",0.083,-0.083,,0.0
dracontius.satisfactio,29.0,"irasco, deus, mens, muto, et, artus",6,"NaN, 0.0, 0.5, NaN, NaN, NaN",0.083,0.0,,0.0
dracontius.satisfactio,30.0,"uerto, sensus, uerto, et, species",5,"NaN, 0.5, NaN, NaN, NaN",0.1,0.0,,0.0
dracontius.satisfactio,31.0,"persaris, rex, babylonae, regnum, teneo",5,"NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,persaris,0.2
dracontius.satisfactio,32.0,"post, decus, imperium, quis, nego, sum, bos",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,33.0,"et, diademal, turpo, cornu, frons",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,turpo,0.2
dracontius.satisfactio,34.0,"mugitus, pecus, uerbum, sum, duco",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,35.0,"agricola, timeo, post, parthica, regnum, bubulcus",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
dracontius.satisfactio,36.0,"summitto, paueo, regius, collum, iugum",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,37.0,"erro, per, pratum, uagus, malus, gramen, pasco",7,"0.0, NaN, NaN, NaN, -1.0, NaN, NaN",-0.143,-0.143,,0.0
dracontius.satisfactio,38.0,"et, qui, homo, bos, sum, de, bos, facio, homo, sum",10,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
dracontius.satisfactio,39.0,"linquo, et, antistes, serus, pater, ille, iohannis",7,"NaN, NaN, 0.5, NaN, 0.0, NaN, NaN",0.071,0.0,,0.0
dracontius.satisfactio,40.0,"elinguisque, sum, uox, taceo, sileo",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,41.0,"at, ego, pecco, rex, dominus, deus",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
dracontius.satisfactio,42.0,"malus, sum, facio, deterior, canis",5,"-1.0, NaN, NaN, -1.0, NaN",-0.4,-0.4,,0.0
dracontius.satisfactio,43.0,"uulnero, uexo, curo, suus, lingua, molossi",6,"NaN, NaN, NaN, NaN, -0.5, NaN",-0.083,-0.083,uexo,0.167
dracontius.satisfactio,44.0,"heu, meus, quippe, ego, uulnus, lingua, do",7,"NaN, 0.0, NaN, NaN, -1.0, -0.5, NaN",-0.214,-0.214,heu,0.143
dracontius.satisfactio,45.0,"sed, qui, restituo, pecus, post, membrum, tyrannus",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tyrannus,0.143
dracontius.satisfactio,46.0,"ut, fio, redeo, ungula, findo, manus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
dracontius.satisfactio,47.0,"quisque, reformo, taceo, modulamina, lingua",5,"NaN, NaN, NaN, NaN, -0.5",-0.1,-0.1,,0.0
dracontius.satisfactio,48.0,"ne, mutilante, sonus, uerbum, ligo, do",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,49.0,"ipse, meus, dominus, deus, impero, atque, iubeo",7,"NaN, 0.0, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,50.0,"ut, ego, restituo, respiciatque, pius",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.satisfactio,51.0,"seruo, auis, ut, laus, dico, patria, suo",7,"NaN, NaN, NaN, 1.0, NaN, NaN, NaN",0.143,0.0,,0.0
dracontius.satisfactio,52.0,"per, suus, proles, regius, uotum, cano",6,"NaN, NaN, 0.0, 0.0, 0.0, NaN",0.0,0.0,,0.0
dracontius.satisfactio,53.0,"culpa, quidem, grauis, sum, uenia, sed, dignus, reatus",8,"-1.0, NaN, -0.5, NaN, 1.0, NaN, 1.0, NaN",0.062,-0.188,culpa,0.125
dracontius.satisfactio,54.0,"qui, sine, pecco, crimen, nemo, sum",6,"NaN, NaN, NaN, -1.0, -0.5, NaN",-0.25,-0.25,crimen,0.167
dracontius.satisfactio,55.0,"nam, deus, omnipotens, possum, cum, condo, orbis",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,56.0,"tristis, amoueo, gaudium, solus, do",5,"-1.0, NaN, 1.0, -0.5, NaN",-0.1,-0.3,,0.0
dracontius.satisfactio,57.0,"sed, diuerto, creo, et, discordo, iungo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
dracontius.satisfactio,58.0,"et, bonus, misceo, malus, et, malus, misceo, bonus",8,"NaN, 1.0, NaN, -1.0, NaN, -1.0, NaN, 1.0",0.0,-0.25,,0.0
dracontius.satisfactio,59.0,"sic, elementum, possum, contrarius, misceo, auctor",6,"NaN, 0.5, NaN, NaN, NaN, NaN",0.083,0.0,,0.0
dracontius.satisfactio,60.0,"umida, cum, siccus, igneus, cum, gelidus",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
dracontius.satisfactio,61.0,"littera, doctiloquax, apis, cognatus, refero",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
