Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ennius.annales,1.1,"musa, qui, pes, magnus, pulso, olympum",6,"NaN, NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
ennius.annales,1.2,"somnus, lenis, placidus, reuincio",4,"0.5, 1.0, 1.0, NaN",0.625,0.0,,0.0
ennius.annales,1.3,"uideo, homerus, adsum, poeta",4,"NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ennius.annales,1.4,"o, pietas, animus",3,"NaN, 1.0, 0.5",0.5,0.0,,0.0
ennius.annales,1.5,"desum, riuus, campus, remano",4,"NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ennius.annales,1.6,"terra, corpus",2,"0.0, 0.0",0.0,0.0,,0.0
ennius.annales,1.7,"qui, do, ipse, capio, neque, dispendium, facio, hilis",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ennius.annales,1.8,"ouum, pario, soleo, genus, penna, condecoro",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ennius.annales,1.9,"non, anima, et, post, inde, uenio, diuinitus, pullus",8,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN",0.062,0.0,,0.0
ennius.annales,1.1,"ipse, anima",2,"NaN, 0.5",0.25,0.0,,0.0
ennius.annales,1.11,"memini, ego, fiere, pauus",4,"NaN, NaN, NaN, NaN",nan,nan,pauus,0.25
ennius.annales,1.12,"fero, per, populus, res, atque, poema, noster",7,"NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
ennius.annales,1.13,"clarus, clueo",2,"0.5, NaN",0.25,0.0,,0.0
ennius.annales,1.14,"cum, ueto, occumbo, priamus, sub, martes, pelasgo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ennius.annales,1.15,"doceo, anchisesque, uenus, qui, pulcher, dearis",6,"NaN, NaN, 1.0, NaN, 1.0, NaN",0.333,0.0,,0.0
ennius.annales,1.16,"faris, dono, diuinus, pectus, habeo",5,"NaN, NaN, 0.5, NaN, NaN",0.1,0.0,,0.0
ennius.annales,1.17,"fax, uerus, qui, cum, tu, prex, pater, oro",8,"NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN",0.062,0.0,"fax, tu",0.25
ennius.annales,1.18,"trans-no, cieo, per, tener, caligo, aura",6,"NaN, NaN, NaN, NaN, -0.5, 1.0",0.083,-0.083,,0.0
ennius.annales,1.19,"consto, inde, locus, propter, sos, dius, dearis",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ennius.annales,1.2,"sum, locus, hesperiam, quam, mortalis, perhibeo",6,"NaN, 0.0, NaN, NaN, -1.0, NaN",-0.167,-0.167,,0.0
ennius.annales,1.21,"saturnia, terra",2,"NaN, 0.0",0.0,0.0,,0.0
