Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
horace.ars_poetica,1.0,"humanus, caput, ceruix, pictor, equinus",5,"0.0, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
horace.ars_poetica,2.0,"iungo, si, uolo, et, uario, induco, pluma",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.ars_poetica,3.0,"undique, confero, membrum, ut, turpis, ater",6,"NaN, NaN, NaN, NaN, -1.0, NaN",-0.167,-0.167,turpis,0.167
horace.ars_poetica,4.0,"desino, in, piscis, mulier, formosus, supernus",6,"NaN, NaN, NaN, 0.0, 1.0, NaN",0.167,0.0,mulier,0.167
horace.ars_poetica,5.0,"spectas, admitto, risus, teneo, amicus",5,"NaN, NaN, 0.0, NaN, 1.0",0.2,0.0,,0.0
horace.ars_poetica,6.0,"credo, piso, iste, tabula, sum, liber",6,"NaN, NaN, NaN, NaN, NaN, 0.5",0.083,0.0,,0.0
horace.ars_poetica,7.0,"persimilis, qui, uelut, aeger, somnio, uanus",6,"NaN, NaN, NaN, -1.0, NaN, -0.5",-0.25,-0.25,uanus,0.167
horace.ars_poetica,8.0,"fingo, species, ut, neque, pes, neque, caput, unus",8,"NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,fingo,0.125
horace.ars_poetica,9.0,"reddo, forma, pictor, atque, poeta",5,"NaN, 1.0, NaN, NaN, 0.0",0.2,0.0,,0.0
horace.ars_poetica,10.0,"quis, audeo, semper, sum, aequus, potestas",6,"NaN, NaN, NaN, NaN, 0.5, 0.5",0.167,0.0,,0.0
horace.ars_poetica,11.0,"scio, et, hic, uenio, peto, do, uicissim",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
horace.ars_poetica,12.0,"sed, non, ut, placidus, coeo, immitis, non, ut",8,"NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN",0.0,-0.125,immitis,0.125
horace.ars_poetica,13.0,"serpo, auis, gemino, tigris, agnus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,serpo,0.2
horace.ars_poetica,14.0,"inceptum, grauis, plerusque, et, magnus, profiteor",6,"NaN, -0.5, NaN, NaN, 0.0, NaN",-0.083,-0.083,,0.0
horace.ars_poetica,15.0,"purpureus, latus, qui, splendeo, unus, et, alter",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.ars_poetica,16.0,"ad-suo, pannus, cum, lucus, et, ara, diana",7,"NaN, -0.5, NaN, NaN, NaN, NaN, NaN",-0.071,-0.071,,0.0
horace.ars_poetica,17.0,"et, propero, aqua, per, amoenus, ambitus, ager",7,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
horace.ars_poetica,18.0,"aut, flumen, rhenus, aut, pluuius, describo, arcus",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.ars_poetica,19.0,"sed, nunc, non, sum, hic, locus, et, fortasse, cupressus",9,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,hic,0.111
horace.ars_poetica,20.0,"scio, simularis, quis, hic, si, frango, enato, exspes",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0",-0.125,-0.125,"hic, exspes",0.25
horace.ars_poetica,21.0,"nauis, aer, do, qui, pingo, amphora, coepio",7,"0.0, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
horace.ars_poetica,22.0,"instituo, curro, rota, cur, urceus, exeo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.ars_poetica,23.0,"denique, sum, quiuis, simplex, dumtaxat, et, unus",7,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.071,0.0,,0.0
horace.ars_poetica,24.0,"maximus, pars, uates, pater, et, iuuenis, pater, dignus",8,"NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, 1.0",0.125,0.0,,0.0
horace.ars_poetica,25.0,"decipio, species, recingo, breuis, sum, laboro",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,decipio,0.167
horace.ars_poetica,26.0,"obscurus, fio, sector, leuis, neruus",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
horace.ars_poetica,27.0,"deficio, animus, profiteor, grandis, turget",5,"NaN, 0.5, NaN, 0.0, NaN",0.1,0.0,,0.0
