Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
horace.carmen_saeculare,1.0,"phoebus, silua, possum, diana",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.carmen_saeculare,2.0,"lucidiim, caelum, decus, o, colo",5,"NaN, 0.5, NaN, NaN, NaN",0.1,0.0,,0.0
horace.carmen_saeculare,3.0,"semper, et, colo, do, qui, preco",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.carmen_saeculare,4.0,"tempus, sacro",2,"0.0, NaN",0.0,0.0,,0.0
horace.carmen_saeculare,5.0,"quo, sibyllini, moneo, uerro",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.carmen_saeculare,6.0,"uirgo, lego, puer, castus",4,"NaN, NaN, 0.0, NaN",0.0,0.0,uirgo,0.25
horace.carmen_saeculare,7.0,"deus, qui, septem, placeo, collis",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
horace.carmen_saeculare,8.0,"dico, carmen",2,"NaN, 0.0",0.0,0.0,,0.0
horace.carmen_saeculare,9.0,"almus, sol, currus, nitidus, dies, qui",6,"NaN, NaN, NaN, 0.5, 0.0, NaN",0.083,0.0,,0.0
horace.carmen_saeculare,10.0,"promo, et, celo, alius, et, idem",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.carmen_saeculare,11.0,"nasco, possum, nihil, urbs, roma",5,"NaN, NaN, NaN, 0.5, NaN",0.1,0.0,,0.0
horace.carmen_saeculare,12.0,"uiso, magnus",2,"NaN, 0.0",0.0,0.0,,0.0
horace.carmen_saeculare,13.0,"rite, maturus, aperio, pario",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.carmen_saeculare,14.0,"lenis, ilithyia, tueor, mater",4,"1.0, NaN, NaN, 0.0",0.25,0.0,,0.0
horace.carmen_saeculare,15.0,"siue, tu, lucinus, probo, uocaris",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.2
horace.carmen_saeculare,16.0,"seu, genital",2,"NaN, NaN",nan,nan,,0.0
horace.carmen_saeculare,17.0,"diuus, produco, suboles, pater",4,"0.0, NaN, 0.5, 0.0",0.125,0.0,,0.0
horace.carmen_saeculare,18.0,"prospero, decretum, super, iugo",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.carmen_saeculare,19.0,"femina, proles, nouus, ferax",4,"0.0, 0.0, 1.0, 1.0",0.5,0.0,,0.0
horace.carmen_saeculare,20.0,"lex, marito",2,"0.5, NaN",0.25,0.0,marito,0.5
horace.carmen_saeculare,21.0,"certus, undenos, decies, per, annus",5,"0.5, NaN, NaN, NaN, 0.0",0.1,0.0,,0.0
horace.carmen_saeculare,22.0,"orbis, ut, cantus, ref, sum, ludus",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
horace.carmen_saeculare,23.0,"ter, dies, clarus, totiens, gratus",5,"NaN, 0.0, 0.5, NaN, 1.0",0.3,0.0,,0.0
horace.carmen_saeculare,24.0,"nox, frequens",2,"0.0, NaN",0.0,0.0,,0.0
horace.carmen_saeculare,25.0,"tu, uerax, cano, parca",4,"NaN, NaN, NaN, NaN",nan,nan,tu,0.25
horace.carmen_saeculare,26.0,"qui, semel, dico, sum, stabilio, reruni",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.carmen_saeculare,27.0,"terminus, seruo, bonus, iam, perago",5,"0.0, NaN, 1.0, NaN, NaN",0.2,0.0,,0.0
horace.carmen_saeculare,28.0,"lungite, fatum",2,"NaN, 0.0",0.0,0.0,,0.0
horace.carmen_saeculare,29.0,"fertilis, frugum, pecus, tellus",4,"1.0, NaN, NaN, NaN",0.25,0.0,,0.0
horace.carmen_saeculare,30.0,"spiceus, dono, cererem, corona",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.carmen_saeculare,31.0,"nutrio, fetus, et, aqua, salubris",5,"NaN, NaN, NaN, 0.0, 1.0",0.2,0.0,,0.0
