Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
horace.epodes,1.1,"eo, liburnis, inter, altus, nauis",5,"NaN, NaN, NaN, 0.5, 0.0",0.1,0.0,,0.0
horace.epodes,1.2,"amicus, propugnaculum",2,"1.0, NaN",0.5,0.0,,0.0
horace.epodes,1.3,"paro, omnis, caesar, periculum",4,"NaN, NaN, 0.5, -1.0",-0.125,-0.25,,0.0
horace.epodes,1.4,"subeo, maecenas, tuus",3,"NaN, NaN, 0.0",0.0,0.0,,0.0
horace.epodes,1.5,"quis, nos, qui, tu, uito, sum, super-sto",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
horace.epodes,1.6,"iucundus, si, contra, grauis",4,"1.0, NaN, NaN, -0.5",0.125,-0.125,,0.0
horace.epodes,1.7,"utrum, -ne, iubeo, persequor, otium",5,"NaN, NaN, NaN, NaN, 0.5",0.1,0.0,otium,0.2
horace.epodes,1.8,"non, dulcis, ni, cum, tu, simul",6,"NaN, 0.5, NaN, NaN, NaN, NaN",0.083,0.0,tu,0.167
horace.epodes,1.9,"an, hic, labor, mens, fero, decet",6,"NaN, NaN, -0.5, 0.5, NaN, NaN",0.0,-0.083,hic,0.167
horace.epodes,1.1,"qui, fero, non, mollio, uir",5,"NaN, NaN, NaN, NaN, 0.5",0.1,0.0,,0.0
horace.epodes,1.11,"fero, et, tu, uel, per, alpium, iugum",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
horace.epodes,1.12,"inhospital, et, caucasum",3,"NaN, NaN, NaN",nan,nan,,0.0
horace.epodes,1.13,"uel, occaedes, usque, ad, ulter, sinum",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.epodes,1.14,"fortis, sequor, pectus",3,"0.5, NaN, NaN",0.167,0.0,,0.0
horace.epodes,1.15,"rogo, tuus, labor, quis, iuuo, meus",6,"NaN, 0.0, -0.5, NaN, NaN, 0.0",-0.083,-0.083,,0.0
horace.epodes,1.16,"imbellis, atque, firmus, parum",4,"-1.0, NaN, 1.0, 0.0",0.0,-0.25,,0.0
horace.epodes,1.17,"comes, paruus, sum, sum, in, metus",6,"NaN, 0.0, NaN, NaN, NaN, -1.0",-0.167,-0.167,,0.0
horace.epodes,1.18,"qui, magnus, absum, habeo",4,"NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
horace.epodes,1.19,"ut, assideo, implumis, pullus, auus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.epodes,1.2,"serpo, allabor, timeo",3,"NaN, NaN, NaN",nan,nan,serpo,0.333
horace.epodes,1.21,"magis, relinquo, non, ut, adsum, auxilium",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
horace.epodes,1.22,"fero, multus, praesens",3,"NaN, 0.0, 0.0",0.0,0.0,,0.0
horace.epodes,1.23,"libet, hic, et, omnis, milito",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.2
horace.epodes,1.24,"bellum, in, tuus, spes, gratia",5,"0.0, NaN, 0.0, 0.5, 1.0",0.3,0.0,,0.0
horace.epodes,1.25,"non, ut, iuuencus, in-ligo, multus",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
horace.epodes,1.26,"aratrum, nitor, meus",3,"NaN, 1.0, 0.0",0.333,0.0,,0.0
horace.epodes,1.27,"pecus, calabris, ante, sidus, feruidus",5,"NaN, NaN, NaN, NaN, -0.5",-0.1,-0.1,calabris,0.2
horace.epodes,1.28,"lucana, muto, pascuum",3,"NaN, NaN, NaN",nan,nan,,0.0
horace.epodes,1.29,"neque, ut, supernus, uilla, candeo, tusculis",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
horace.epodes,1.3,"circaeum, tango, moenia",3,"NaN, NaN, NaN",nan,nan,circaeum,0.333
horace.epodes,1.31,"satis, supo, ego, benignitas, tuus",5,"0.5, NaN, NaN, 1.0, 0.0",0.3,0.0,,0.0
horace.epodes,1.32,"dito, haud, paro",3,"NaN, NaN, NaN",nan,nan,,0.0
horace.epodes,1.33,"qui, aut, auarus, ut, chremes, terra, premo",7,"NaN, NaN, -1.0, NaN, NaN, 0.0, NaN",-0.143,-0.143,auarus,0.143
horace.epodes,1.34,"discingo, aut, perdo, nepos",4,"NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
horace.epodes,2.1,"beatus, ille, qui, procul, negotium",5,"1.0, NaN, NaN, NaN, -0.5",0.1,-0.1,,0.0
horace.epodes,2.2,"ut, priscus, gens, mortalis",4,"NaN, 0.0, 0.0, -1.0",-0.25,-0.25,,0.0
horace.epodes,2.3,"paternus, rus, bos, exerceo, suus",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
horace.epodes,2.4,"soluo, omnis, faenus",3,"NaN, NaN, NaN",nan,nan,faenus,0.333
horace.epodes,2.5,"neque, excito, classicus, miles, trux",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,trux,0.2
horace.epodes,2.6,"neque, horreo, irascor, mare",4,"NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
horace.epodes,2.7,"forum, uito, et, superbus, ciuis",5,"NaN, NaN, NaN, -1.0, 0.5",-0.1,-0.2,,0.0
horace.epodes,2.8,"potens, limen",2,"1.0, NaN",0.5,0.0,,0.0
horace.epodes,2.9,"ergo, aut, adolesco, uitium, propago",5,"NaN, NaN, NaN, -1.0, 0.0",-0.2,-0.2,,0.0
