Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
horace.odes,1.1,"maecenas, atauus, edo, rex, o, et, praesidium, et, dulcis, decus, meus, sum, qui, curriculum, puluis, olympicum, colligo, iuuo, meto, feruidus, euito, rota, palmo, nobilis, terra, dominus, eueho, ad, deus, hic, si, mobilis, turba, quiritium, certo, trigeminus, tollo, honor, ille, si, proprius, condo, horreum, quisquis, de, libycis, uerro, areis, gaudeo, patrius, findo, sarculum, ager, attalicis, condicio, numquam, demoueo, ut, trabs, cypria, myrtoum, pauidus, nauta, seco, mare, luctor, icariis, fluctus, africum, mercator, metuo, otium, et, oppidum, laudo, rus, suus, mox, reficio, ratis, quatio, indocilis, pauperies, patior, sum, qui, neque, ueto, poculum, massici, neque, pars, solidus, demo, de, dies, sperno, nunc, uiridis, membrum, sub, arbutus, sterno, nunc, ad, aqua, lenis, caput, sacer, multus, castrum, iuuo, et, lituus, tuba, per-misceo, sono, bellus, mater, detesto, maneo, sub, io, frigidus, uenator, tener, coniunx, immemor, seu, uideo, sum, catulus, cerua, fidelis, seu, rumpo, teres, marsus, aper, plaga, ego, doctaris, hedera, praemium, frons, deus, misceo, superi, ego, gelidus, nemus, nympha, leuo, cum, satyrus, chorus, secerno, populus, si, neque, tibia, euterpe, cohibeo, neque, polyhymnia, lesboum, refugio, tendo, barbito, -ne, quodsi, ego, lyricus, uates, insero, sublimis, ferio, sidus, uertex",179,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN",0.025,-0.022,"hic, sarculum, otium, detesto",0.022
horace.odes,1.2,"iam, satis, terra, nix, atque, dirus, grando, mitto, pater, et, rubeo, dextera, sacer, iaculor, arx, terreo, urbs, terreo, gens, grauis, ne, redeo, saeculis, pyrrhae, nouo, monstrum, queror, omnis, cum, proteus, pecus, ago, alo, uiso, mons, piscis, et, summus, genus, haereo, ulmus, nosco, qui, sedes, sum, columba, et, superiacio, pauidus, nato, aequor, damma, uideo, flauus, tiberis, retorqueo, litus, etrusco, uiolens, unda, eo, deicio, monumentum, rex, templum, uestae, iliae, dum, sui, nimium, queror, iacto, ultor, uagus, et, sinistra, labor, ripa, io, non, probo, quintus, xorius, amnis, audio, ciuis, aceo, ferrum, quo, grauis, permulceo, bonus, pereo, audio, pugna, uitio, parens, rarus, iuuentus, qui, uoco, diuus, populus, ruo, imperium, res, prex, qui, fatigo, uirgo, sancio, paruus, audio, carmen, uestam, qui, do, pars, scelus, expio, iuppiter, tandem, uenio, preco, nubes, candeo, umerus, amicio, augur, apollo, siue, tu, malo, erycina, rideo, quam, iocus, circum, uolo, et, cupido, siue, neglego, genus, et, nepos, respicio, auctor, heu, nimis, longus, satio, ludo, qui, iuuo, clamor, galea, leuo, acer, et, marsi, pedo, cruentus, uultus, in, hostis, siue, muto, iuuenis, figuro, ales, in, terra, imitaris, almus, filius, maia, patior, uocaris, caesar, ultor, serus, in, caelum, redeo, diu, laetus, intersum, populus, quirinus, neue, tu, noster, uitium, iniquus, ocior, aura, tollo, hic, magnus, potis, triumphus, hic, amo, dico, pater, atque, princeps, neu, sino, medos, equitaris, inultus, tu, dux, caesar",216,"NaN, 0.5, 0.0, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.5, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, 1.0, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, 0.5",-0.005,-0.046,"dirus, monstrum, damma, ultor, permulceo, uirgo, scelus, expio, tu, heu, cruentus, ultor, tu, iniquus, hic, hic, inultus, tu",0.083
horace.odes,1.3,"sic, tu, diuus, possum, cyprus, sic, frater, helenae, lucidus, sidus, uenio, rego, pater, obstringo, alius, praeter, iapyga, nauus, qui, tu, credo, debeo, uergilium, finis, atticis, reddo, incolumis, precor, et, seruo, anima, dimidium, meus, ille, robur, et, aes, triplex, circa, pectus, sum, qui, fragilis, trux, con-mitto, pelagus, ratis, primus, neque, timeo, praecipito, africum, decerto, aquilo, neque, tristis, hyadas, neque, rabies, nosco, quo, non, arbiter, hadria, magnus, tollo, seu, pono, uolo, fretus, qui, mors, timeo, gradus, qui, siccus, oculus, monstrum, nato, qui, uideo, mare, turbidus, et, infamis, scopulus, acroceraunia, nequiquam, deus, abscido, prudens, oceanus, dissociabilis, terra, si, tamen, impius, non, tango, ratis, transiliunt, uado, audax, omnis, perpetior, gens, humanus, ruo, per, ueto, nefas, audax, iapeti, genus, ignis, fraus, malus, gens, infero, post, ignis, aetherius, domus, subduco, macies, et, nouo, febris, terra, incumbo, cohors, semoueo, prior, tardus, necessitas, letum, corripio, gradus, experior, uacuus, daedalus, aes, penna, non, homo, do, perrumpo, acheronta, herculeus, labor, nihil, mortalis, arduus, sum, caelum, ipse, peto, stultitia, neque, per, nos, patior, scelus, iracundus, iouem, pono, fulmen",167,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, 0.0, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, 0.0, -1.0, -1.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -0.5, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN",-0.057,-0.084,"tu, tu, trux, rabies, monstrum, infamis, impius, audax, nefas, audax, fraus, stultitia, scelus, iracundus",0.084
horace.odes,1.4,"soluo, acer, hiems, gratus, uicus, uerus, et, fauoni, traho, sicco, machina, carino, atque, neque, iam, stabulis, gaudeo, pecus, aut, arator, ignis, neque, pratum, canis, albico, pruina, iam, cytherea, chorus, duco, uenus, immineo, luna, iungo, nympha, gratia, decet, alterno, terra, quatio, pes, dum, grauis, clycops, uolcanus, ardeo, uiso, officina, nunc, decet, aut, uiridis, nitidus, caput, impedio, myrtum, aut, floreo, terra, qui, fero, soluo, nunc, et, in, umbrosus, fauno, decet, immolaris, lucus, seu, posco, agna, siue, malo, haedus, pallidus, mors, aequus, pulso, pes, pauper, taberna, rex, turris, o, beatus, sero, uita, summus, breuis, spes, nos, ueto, inchoaris, longus, iam, tu, premo, nox, fabula, manes, et, domus, exilis, plutonia, quo, simul, mearis, neque, regnum, uinum, sortio, talis, neque, tener, lycida, -ne, miror, quo, caleo, iuuentus, nunc, omnis, et, mox, uirgo, tepeo",128,"NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, 0.0, -1.0, 0.0, 0.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.027,-0.02,"agna, tu, uirgo",0.023
horace.odes,1.5,"quis, multus, gracilis, tu, puer, in, rodo, perfundo, liquidus, urgeo, odor, gratus, pyrrha, sub, antrum, qui, flauus, religo, como, simplex, munditia, heu, quotiens, fides, muto, deus, fleo, et, asper, niger, aequor, uenio, emiror, insoleo, qui, nunc, tu, fruor, credulus, aureus, qui, semper, uacuus, semper, amabilis, spero, nescius, aura, fallax, miser, qui, in-tento, niteo, ego, tabula, sacer, uotiuus, pario, indico, uuidus, suspendo, potens, uestimentum, mare, deus",65,"NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, -0.5, 1.0, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, 0.0",0.069,-0.054,"tu, munditia, heu, tu, credulus, nescius, miser",0.108
horace.odes,1.6,"scribo, uario, fortis, et, hostis, uictor, maeonii, carmen, alo, quam, res, cum, ferox, nauis, aut, equus, miles, tu, dux, gero, nos, agrippa, neque, hic, dico, neque, grauis, pelidae, stomachus, cedo, nescio, neque, curro, duplex, per, mare, ulixei, neque, saeuus, pelopis, domus, conor, tenuis, grandis, dum, pudor, imbellis, lyra, musa, possum, ueto, laus, egregius, caesar, et, tuus, culpa, detero, ingenium, quis, martes, tunica, tectum, adamantinus, dignus, scribo, aut, puluis, troico, niger, merio, -ne, aut, ops, palladis, tydide, -ne, superi, par, nos, conuiuium, nos, proelio, uirgo, seco, in, iuuenis, unguis, acer, canto, uacuus, siue, quis, uro, non, praeter, soleo, leuo",98,"NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, -1.0, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.5, -1.0, 0.0, NaN, NaN, NaN, 1.0, 0.0, 0.5, NaN, 0.0, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.005,-0.056,"ferox, tu, hic, saeuus, pudor, culpa, tydide, conuiuium, uirgo",0.092
horace.odes,1.7,"laudo, alius, clarus, rhodo, -ne, aut, mytilene, -ne, aut, epheso, -ne, bimaris, corinthi, moenia, uel, baccho, thebas, uel, apolline, delphos, insignis, aut, thessala, tempe, sum, qui, unus, opus, sum, intactus, palladis, urbs, carmen, perpetuus, celebraris, et, undique, decerpo, frons, praepono, oliua, multus, in, iuno, honor, aptus, dico, equus, argos, diues, mycenas, ego, neque, tam, patior, lacedaemo, -ne, neque, tam, larisae, percutio, campus, opimus, quam, domus, albuneae, resono, et, praeceps, anio, atque, tiburni, lucus, et, udus, mobilis, pomarius, riuus, albus, ut, obscurum, detergeo, nubila, caelum, saepe, notus, neque, parturio, imber, perpetuus, sic, tu, sapio, finio, memento, tristitia, uita, labor, mollis, plancus, merus, seu, tu, fulgeo, signum, castrum, teneo, seu, densus, teneo, tiburis, umbra, tuus, teucer, salamina, patro, cum, fugio, tamen, udus, lyaeo, tempus, populeus, fero, uincio, corona, sic, tristis, affor, amicus, “quo, nos, cum, fero, bonus, fortuna, pareo, eo, o, socius, comito, nihil, despero, teucro, dux, et, auspex, teucro, certus, enim, promitto, apollo, ambiguus, tellus, nouo, salamina, sum, o, fortis, malus, patior, cum, ego, saepe, uir, nunc, uinum, pello, cura, creo, ingens, itero, aequor",173,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, -0.5, NaN, 0.0",0.017,-0.032,"udus, tu, tu, teucer, udus, populeus",0.035
horace.odes,1.8,"lydia, dico, per, omnis, tu, deus, oro, sybaris, -ne, cur, propero, amo, perdo, cur, apricus, odi, campus, patior, puluis, atque, sol, cur, neque, militaris, inter, aequalis, equito, gallica, neque, lupor, tempero, os, frenum, cur, timeo, flauus, tiberis, tango, cur, oliuum, sanguis, uiperinus, caueo, uito, neque, iam, liuidus, gesto, arma, bracchium, saepe, disco, saepe, trans, finis, iaculus, nobilis, expedio, quis, lateo, ut, marinus, filius, dico, thetidis, sub, lacrimosus, troia, funero, ne, uirilis, cultus, in, caedes, et, lycias, proripio, caterua",78,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, -0.5, NaN, NaN, NaN, NaN",0.013,-0.013,"tu, caedes",0.026
horace.odes,1.9,"uideo, ut, altus, sto, niuit, candidus, soracte, neque, iam, sustineo, onus, silua, laboro, gelus, flumen, consto, acuo, dissoluo, frigus, lignum, super, focus, largus, repono, atque, benignus, depromo, quadrimus, sabina, o, thaliarche, merus, diota, permitto, diuus, ceterus, qui, simul, sterno, uenio, aequor, feruidus, deproelior, neque, cupressi, neque, uetus, agito, ornus, quis, sum, sum, creo, fugio, quaero, et, qui, fors, dies, cum, do, lucrum, appono, neque, dulcis, amor, sperno, puer, neque, tu, chorea, donec, uireo, canities, absum, morosus, nunc, et, campus, et, areae, lenis, sub, nox, susurrus, compositum, repeto, hora, nunc, et, lateo, proditor, intumo, gratus, puella, rideo, ab, angulus, pignus, deripio, lacertus, aut, digitus, malus, pertinax",105,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.5, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN",0.024,-0.029,"tu, canities, proditor",0.029
horace.odes,1.1,"mercuri, facundus, nepos, atlantis, qui, ferus, cultus, homo, recentum, uox, formo, catus, et, decorus, mos, palaestra, tu, cano, magnus, io, et, deus, nuntius, curuus, lyra, parens, callidus, quisquis, placeo, iocosus, condo, furtum, tu, bos, olim, nisi, reddo, per, dolus, amoueo, puer, minax, uox, dum, terreo, uiduus, pharetra, rideo, apollo, quin, et, atridas, dux, tu, superbus, ilium, diues, priamus, relinquo, thessalosque, ignis, et, iniquus, troia, castrum, fallo, tu, pius, laetus, anima, repono, sedes, uirga, leuo, coerceo, aureus, turba, superi, deus, gratus, et, imus",82,"NaN, 1.0, 0.0, NaN, NaN, -1.0, -0.5, 0.0, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, 1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, 1.0, NaN, NaN",0.043,-0.055,"ferus, tu, callidus, furtum, tu, dolus, tu, iniquus, fallo, tu, coerceo",0.134
