Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
italicus.ilias_latina,1.0,"ira, pando, ego, pelidae, diuus, superbus",6,"-1.0, NaN, NaN, NaN, 0.0, -1.0",-0.333,-0.333,,0.0
italicus.ilias_latina,2.0,"tristis, qui, miser, in-iacio, funero, grais",6,"-1.0, NaN, -1.0, NaN, NaN, NaN",-0.333,-0.333,miser,0.167
italicus.ilias_latina,3.0,"atque, anima, fortis, heros, trado, orco",6,"NaN, 0.5, 0.5, NaN, NaN, NaN",0.167,0.0,,0.0
italicus.ilias_latina,4.0,"latrantumque, do, rostrum, uolucris, traho",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
italicus.ilias_latina,5.0,"ille, exsanguis, inhumo, os, artus",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,exsanguis,0.2
italicus.ilias_latina,6.0,"conficio, enim, superus, sententia, rex",5,"NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
italicus.ilias_latina,7.0,"profero, ex, quo, discordia, pectus, pugna",6,"NaN, NaN, NaN, NaN, NaN, -1.0",-0.167,-0.167,,0.0
italicus.ilias_latina,8.0,"sceptriger, atrides, et, bellum, clarus, achilles",6,"NaN, NaN, NaN, 0.0, 0.5, NaN",0.083,0.0,"atrides, achilles",0.333
italicus.ilias_latina,9.0,"quis, deus, hic, ira, tristis, contendo, iubeo",7,"NaN, 0.0, NaN, -1.0, -1.0, NaN, NaN",-0.286,-0.286,hic,0.143
italicus.ilias_latina,10.0,"latonae, et, magnus, proles, iuppiter, ille, pelasgum",7,"NaN, NaN, 0.0, 0.0, NaN, NaN, NaN",0.0,0.0,pelasgum,0.143
italicus.ilias_latina,11.0,"infestus, rex, pestis, in, praecordia, mitto",6,"-1.0, 0.0, -1.0, NaN, NaN, NaN",-0.333,-0.333,pestis,0.167
italicus.ilias_latina,12.0,"implico, grauis, danaorum, corpus, morbus",5,"NaN, -0.5, NaN, 0.0, -1.0",-0.3,-0.3,,0.0
italicus.ilias_latina,13.0,"nam, quondam, chryses, sollemnis, tempus, uitta",6,"NaN, NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
italicus.ilias_latina,14.0,"implico, rapio, fleo, solacium, nascor",5,"NaN, NaN, NaN, 1.0, NaN",0.2,0.0,,0.0
italicus.ilias_latina,15.0,"inuideo, dies, inuideo, tempus, nox",5,"NaN, 0.0, NaN, 0.0, 0.0",0.0,0.0,,0.0
italicus.ilias_latina,16.0,"ago, et, assiduus, impleo, questus, aura",6,"NaN, NaN, 0.5, NaN, -0.5, 1.0",0.167,-0.083,,0.0
italicus.ilias_latina,17.0,"postquam, nullus, dies, animus, maeror, leuo",6,"NaN, NaN, 0.0, 0.5, -1.0, NaN",-0.083,-0.167,,0.0
italicus.ilias_latina,18.0,"nullus, lenio, patrius, solacium, fletus",5,"NaN, NaN, 0.0, 1.0, NaN",0.2,0.0,,0.0
italicus.ilias_latina,19.0,"castrum, peto, danaum, genu, affundo, atridae",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,danaum,0.167
italicus.ilias_latina,20.0,"per, superus, regnum, decus, miserabilis, oro",6,"NaN, NaN, 0.0, NaN, -1.0, NaN",-0.167,-0.167,miserabilis,0.167
italicus.ilias_latina,21.0,"ut, sui, causa, suus, reddo, nata, salus",7,"NaN, NaN, 0.0, NaN, NaN, NaN, 1.0",0.143,0.0,,0.0
italicus.ilias_latina,22.0,"donum, simul, praefero, uinco, fletus, is",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
italicus.ilias_latina,23.0,"myrmidones, reddo, pater, chryseida, censeo",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
italicus.ilias_latina,24.0,"sed, nego, atrides, chrysos, excedo, castrum",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,atrides,0.167
