Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
martial.epigrams,1.2,"qui, cum, tu, cupio, sum, meus, ubicumque, libellus, et, comes, longus, quaero, habeo, uia, hic, emo, qui, arto, breuis, membrana, tabella, scrinium, do, magnus, ego, manus, unus, capio, ne, tamen, ignoro, ubi, sum, uenal, et, erro, urbs, uagus, totus, ego, dux, certus, sum, libertus, doceo, lucensis, quaero, secundus, limen, post, pax, palladiumque, forum",53,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN",0.047,0.0,"tu, hic, emo, uenal",0.075
martial.epigrams,1.3,"argiletanas, malo, habito, taberna, cum, tu, paruus, liber, scrinium, noster, uaco, nescio, heu, nescio, domina, fastidium, roma, credo, ego, nimium, martia, turba, sapio, magnus, nusquam, rhonchi, iuuenis, senex, et, puer, nasus, rhinoceros, habeo, audio, cum, grandis, sophos, dum, basium, iacto, eo, ab, excutio, mitto, in, astrum, sagum, sed, tu, ne, totiens, dominus, patior, litura, neue, noto, lusus, tristis, harundo, tuus, aetherius, lasciuus, cupio, uolitaris, per, aura, eo, fugio, sed, possum, tueor, sum, domus",73,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.021,-0.014,"tu, heu, basium, tu, lasciuus",0.068
martial.epigrams,1.4,"contingo, noster, caesar, si, fors, libellus, terra, dominus, pono, supercilium, con-suesco, iocus, uester, quoque, fero, triumphus, materia, dictum, neque, pudeo, sum, dux, qui, thymelis, -ne, specto, derisor, latinum, ille, frons, precor, carmen, noster, lego, innocuus, censeo, possum, permitto, lusus, lasciuus, sum, nos, pagina, uito, probus",45,"NaN, NaN, 0.5, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0",0.044,-0.011,"pudeo, thymelis, lasciuus, probus",0.089
martial.epigrams,1.5,"do, tu, naumachia, tu, do, epigramma, nos, uolo, puto, cum, liber, marceo, nato, tuus",14,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0",0.036,0.0,"tu, naumachia, tu",0.214
martial.epigrams,1.6,"aetherius, aquila, puer, porto, per, aura, illaesus, timidus, unguis, haereo, onus, nunc, suus, caesareos, exoro, praeda, leo, tueor, et, ingens, ludo, in, os, lepus, qui, magnus, puto, miraculum, summus, uterque, auctor, adsum, hic, sum, caesar, ille, io",37,"NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.014,-0.027,"timidus, leo, lepus, hic",0.108
martial.epigrams,1.8,"qui, magnus, thraseae, consummo, cato, dogma, sic, sequor, saluus, ut, sum, uelis, pectus, neque, nudus, stringo, incurro, in, ensis, qui, facio, uolo, tu, deciane, facio, nolo, uir, facilis, redimo, qui, sanguis, fama, hic, uolo, laudo, qui, sine, mors, possum",39,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN",0.051,-0.026,"tu, hic",0.051
martial.epigrams,1.9,"bellus, homo, et, magnus, uolo, idem, cotta, uideo, sed, qui, bellus, homo, sum, cotta, pusillus, homo, sum",17,"1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, 0.0, 0.0, NaN",0.118,0.0,,0.0
martial.epigrams,1.11,"cum, do, sum, equio, bis, quini, nomismata, quare, bis, decies, solus, sextiliane, bibo, iam, deficio, porto, calidus, minister, si, non, potaris, sextiliane, merus",23,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",-0.022,-0.022,"sextiliane, sextiliane",0.087
martial.epigrams,1.12,"eo, ad, herculeas, gelidus, qui, tiburis, arx, canus, sulphureis, albulus, fumo, aqua, rus, no, sacer, diligo, iugerum, musis, signo, uicinum, quartus, ab, urbs, lapis, hic, rudis, aestiuus, praesto, porticus, umbra, heu, quam, paene, nouus, porticus, audeo, nefas, nam, subeo, collabor, ruo, cum, moles, sub, ille, gesto, biiugus, regulus, sum, equus, nimirum, timeo, noster, fortuna, querela, qui, par, tam, magnus, non, sum, inuidia, nunc, et, damno, iuuo, sum, ipse, periculum, tantus, sto, non, possum, tectum, probaris, deus",76,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",-0.02,-0.059,"hic, heu, nefas, inuidia, damno",0.066
martial.epigrams,1.13,"castus, suus, gladius, cum, trado, arria, paetus, qui, de, uiscera, stringo, ipse, suus, si, qui, fides, uulnus, qui, facio, non, doleo, inquam, sed, tu, qui, facies, hic, ego, paetus, doleo",30,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,-0.033,"tu, hic",0.067
