Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ovid.ibis,1.0,"tempus, ad, hic, lustrum, bis, iam, ego, quinque, perago",9,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,hic,0.111
ovid.ibis,2.0,"omnis, sum, musa, carmen, inermis, meus",6,"NaN, NaN, NaN, 0.0, 0.0, 0.0",0.0,0.0,,0.0
ovid.ibis,3.0,"nullus, qui, possum, scribo, tot, mille, extat",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.ibis,4.0,"littera, nasonis, sanguinolentus, lego",4,"0.0, NaN, NaN, NaN",0.0,0.0,sanguinolentus,0.25
ovid.ibis,5.0,"neque, quisquam, noster, nisi, ego, laedo, libellus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ovid.ibis,6.0,"artifex, pereo, cum, caput, ars, suus",6,"0.0, NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
ovid.ibis,7.0,"unus, et, hic, ipse, sum, iniuria, magnus, perenno",8,"NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN",-0.125,-0.125,hic,0.125
ovid.ibis,8.0,"candor, titulis, non, sino, sum, meus",6,"0.5, NaN, NaN, NaN, NaN, 0.0",0.083,0.0,,0.0
ovid.ibis,9.0,"quisquis, is, sum, nam, nomen, adhuc, utcumque, taceo",8,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ovid.ibis,10.0,"cogo, inassuetus, sumo, telum, manus",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ovid.ibis,11.0,"ille, relego, gelidus, aquilo, ad, ortus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.ibis,12.0,"non, sino, exsilium, delitesco, meus",5,"NaN, NaN, -1.0, NaN, 0.0",-0.2,-0.2,,0.0
ovid.ibis,13.0,"uulnero, immitis, requies, quaero, uexo",5,"NaN, -1.0, NaN, NaN, NaN",-0.2,-0.2,"immitis, uexo",0.4
ovid.ibis,14.0,"iacto, et, in, totus, nomen, noster, forum",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ovid.ibis,15.0,"perpetuus, ego, socio, foedus, lego",5,"0.0, NaN, NaN, -1.0, NaN",-0.2,-0.2,,0.0
ovid.ibis,16.0,"non, patior, uiuo, funero, fleo, uir",6,"NaN, NaN, NaN, NaN, NaN, 0.5",0.083,0.0,,0.0
ovid.ibis,17.0,"cum, ego, quatio, meus, complector, membrum, carina",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ovid.ibis,18.0,"naufragium, tabula, pugno, habeo, meus",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,naufragium,0.2
ovid.ibis,19.0,"et, qui, debeo, subeo, extinguere, flamma",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.ibis,20.0,"hic, praeda, medium, raptor, ab, ignis, peto",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,"hic, raptor",0.286
ovid.ibis,21.0,"nitor, ut, profugus, desum, alimentum, senecta",6,"1.0, NaN, NaN, NaN, NaN, NaN",0.167,0.0,,0.0
ovid.ibis,22.0,"heu, quantus, sum, noster, dignus, ipse, malus",7,"NaN, NaN, NaN, NaN, 1.0, NaN, -1.0",0.0,-0.143,heu,0.143
ovid.ibis,23.0,"deus, bonus, qui, longus, ego, magnus, ille, sum",8,"0.0, 1.0, NaN, 0.0, NaN, 0.0, NaN, NaN",0.125,0.0,,0.0
ovid.ibis,24.0,"qui, noster, inops, nolo, sum, uia",6,"NaN, NaN, -1.0, NaN, NaN, 0.0",-0.167,-0.167,,0.0
ovid.ibis,25.0,"hic, igitur, mereo, grates, ubicumque, liceo",6,"NaN, NaN, NaN, 1.0, NaN, NaN",0.167,0.0,hic,0.167
ovid.ibis,26.0,"pro, tam, mansueto, pectus, semper, ago",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.ibis,27.0,"audio, hic, pontus, facio, quoque, forsitan, idem",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,hic,0.143
ovid.ibis,28.0,"terra, sum, ut, propior, testificor, ego",6,"0.0, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ovid.ibis,29.0,"at, tu, calceo, qui, ego, uiolens, iaceo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"tu, iaceo",0.286
ovid.ibis,30.0,"qui, licet, is, mitto, debeo, hostis, sum",7,"NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.143,-0.143,,0.0
ovid.ibis,31.0,"desino, sum, prior, contrarius, ignis, umor",6,"NaN, NaN, 0.5, NaN, 0.0, NaN",0.083,0.0,,0.0
ovid.ibis,32.0,"iungo, cum, luna, lumen, sol, sum",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.ibis,33.0,"pars, idem, caelum, zephyros, emitto, et, eurus",7,"0.0, NaN, 0.5, NaN, NaN, NaN, NaN",0.071,0.0,,0.0
ovid.ibis,34.0,"et, tepidus, gelidus, flo, ab, axis, notus",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
ovid.ibis,35.0,"et, uer, auctumnus, bruma, misceo, aestas",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
ovid.ibis,36.0,"atque, idem, regius, uesper, et, ortus, sum",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ovid.ibis,37.0,"et, nouo, fraternus, uenio, concordia, fumus",6,"NaN, NaN, 0.0, NaN, 1.0, NaN",0.167,0.0,fraternus,0.167
ovid.ibis,38.0,"qui, uetus, accendo, separo, ira, pyra",6,"NaN, 0.0, NaN, NaN, -1.0, NaN",-0.167,-0.167,,0.0
ovid.ibis,39.0,"quam, ego, sum, cum, tu, pono, qui, sumo, arma",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,tu,0.111
ovid.ibis,40.0,"gratia, committo, improbus, rumpo, tuus",5,"1.0, NaN, -1.0, NaN, 0.0",0.0,-0.2,improbus,0.2
ovid.ibis,43.0,"pax, sum, hic, nos, donec, ego, uito, maneo",8,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.062,0.0,hic,0.125
ovid.ibis,44.0,"cum, pecus, infirmo, qui, soleo, sum, lupus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ovid.ibis,45.0,"primus, quidem, coepio, committo, proelio, uerro",6,"0.5, NaN, NaN, NaN, NaN, NaN",0.083,0.0,,0.0
ovid.ibis,46.0,"non, soleo, quiuis, hic, pes, bellum, gero",7,"NaN, NaN, NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,hic,0.143
ovid.ibis,47.0,"ut, peto, primus, plenus, flaueo, harena",6,"NaN, NaN, 0.5, 0.0, NaN, NaN",0.083,0.0,,0.0
ovid.ibis,48.0,"nondum, calefactus, miles, hasta, solus",5,"NaN, NaN, 0.0, NaN, -0.5",-0.1,-0.1,,0.0
ovid.ibis,49.0,"sic, ego, tu, nondum, ferrum, iaculor, acuo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
ovid.ibis,50.0,"protinus, inuideo, neque, peto, hasta, caput",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ovid.ibis,51.0,"et, neque, nomen, in, hic, neque, dico, facio, libellus",9,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.111
ovid.ibis,52.0,"tu, breuis, qui, sum, dissimulo, sino",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.167
ovid.ibis,53.0,"postmodo, si, pergo, in, tu, ego, liber, iambus",8,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.062,0.0,tu,0.125
ovid.ibis,54.0,"tingo, lycambeo, sanguis, telum, do",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.ibis,55.0,"nunc, quo, battiades, inimicus, deuoueo, ibi, -ne",7,"NaN, NaN, NaN, -1.0, NaN, NaN, NaN",-0.143,-0.143,,0.0
ovid.ibis,56.0,"hic, ego, deuoueo, tu, tuus, modo",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,"hic, tu",0.333
ovid.ibis,57.0,"ut, ille, historia, inuoluo, carmen, caecus",6,"NaN, NaN, NaN, NaN, 0.0, -1.0",-0.167,-0.167,,0.0
ovid.ibis,58.0,"non, soleo, quiuis, hic, genus, ipse, sequor",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,hic,0.143
ovid.ibis,59.0,"ille, ambages, imitor, in, ibide, dico",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.ibis,60.0,"obliuiscor, mos, iudicium, meus",4,"NaN, 0.5, 0.5, 0.0",0.25,0.0,,0.0
ovid.ibis,61.0,"et, quoniam, qui, sum, nondum, quaero, edo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.ibis,62.0,"ibidis, interea, tu, quoque, nomen, habeo",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,tu,0.167
ovid.ibis,63.0,"ut, meus, uerro, aliquantus, nox, habeo",6,"NaN, 0.0, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ovid.ibis,64.0,"sic, uita, series, totus, sum, ater, tuus",7,"NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0",0.071,0.0,,0.0
