Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ovid.medicamina_faciei_femineae,1.0,"disco, qui, facies, commendo, cura, puella",6,"NaN, NaN, 0.0, NaN, -1.0, NaN",-0.167,-0.167,,0.0
ovid.medicamina_faciei_femineae,2.0,"et, quo, sum, tu, forma, tueor, modo",7,"NaN, NaN, NaN, NaN, 1.0, NaN, NaN",0.143,0.0,tu,0.143
ovid.medicamina_faciei_femineae,3.0,"cultus, humus, sterilis, cerealia, pendeo, iubeo",6,"-0.5, NaN, -0.5, NaN, NaN, NaN",-0.167,-0.167,humus,0.167
ovid.medicamina_faciei_femineae,4.0,"munus, mordax, intereo, rubus",4,"0.5, NaN, NaN, NaN",0.125,0.0,,0.0
ovid.medicamina_faciei_femineae,5.0,"cultus, et, in, pomum, sucus, emendo, acerbus",7,"-0.5, NaN, NaN, 0.0, NaN, NaN, -1.0",-0.214,-0.214,acerbus,0.143
ovid.medicamina_faciei_femineae,6.0,"findo, adoptiuus, accipio, arbor, ops",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ovid.medicamina_faciei_femineae,7.0,"colo, placeo, aurum, sublime, tectum, linuntur",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,,0.0
ovid.medicamina_faciei_femineae,8.0,"niger, sub, impono, marmor, terra, lateo",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ovid.medicamina_faciei_femineae,9.0,"uellus, saepe, idem, tyrio, medico, anus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
ovid.medicamina_faciei_femineae,10.0,"sectilis, deliciae, india, praebeo, ebur",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,deliciae,0.2
ovid.medicamina_faciei_femineae,11.0,"forsitan, antiquus, tatio, sub, rex, sabinae",6,"NaN, 0.0, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ovid.medicamina_faciei_femineae,12.0,"malo, quam, sui, rus, paternus, colo",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
