Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.amphitruo,1.0,"ut, tu, in, uester, uolo, mercimonium",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.167
plautus.amphitruo,2.0,"emo, uendo, ego, laetus, lucrum",5,"NaN, NaN, NaN, 1.0, 0.5",0.3,0.0,"emo, uendo",0.4
plautus.amphitruo,3.0,"afficio, atque, adiuuaris, in, res, omnis",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.amphitruo,4.0,"et, ut, res, ratio, uester, omnis",6,"NaN, NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.amphitruo,5.0,"bene, ego, expedio, uolo, peregri, et, domus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.amphitruo,6.0,"bonus, atque, amplus, auctaris, perpetuus, lucrum",6,"1.0, NaN, 0.0, NaN, 0.0, 0.5",0.25,0.0,,0.0
plautus.amphitruo,7.0,"quisque, incipio, res, quisque, incepto",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.amphitruo,8.0,"et, uti, bonus, tu, uester, omnis, nuntius",7,"NaN, NaN, 1.0, NaN, NaN, NaN, NaN",0.143,0.0,tu,0.143
plautus.amphitruo,9.0,"ego, afficio, uolo, is, affero, is, uti, nuntio",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.amphitruo,10.0,"qui, magnus, in, res, uester, communis, sum",7,"NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.amphitruo,11.0,"nam, tu, quidem, is, iam, scio, concedo, et, do",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.111
plautus.amphitruo,12.0,"ego, sum, ab, deus, alius, nuntius, praesum, et, lucrum",9,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5",0.056,0.0,,0.0
plautus.amphitruo,13.0,"hic, ut, ego, uolo, adprobaris, annitor",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
plautus.amphitruo,14.0,"lucrum, ut, perenne, tu, semper, suppeto",6,"0.5, NaN, NaN, NaN, NaN, NaN",0.083,0.0,tu,0.167
plautus.amphitruo,15.0,"ita, hic, facio, fabula, silentium",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,hic,0.2
plautus.amphitruo,16.0,"itaque, aequum, et, iustus, hic, sum, omnis, arbiter",8,"NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN",0.188,0.0,hic,0.125
plautus.amphitruo,17.0,"nunc, qui, iussus, uenio, et, quam, ob, res, uenio",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.amphitruo,18.0,"dico, simul, ipse, eloquor, nomen, meus",6,"NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
plautus.amphitruo,19.0,"io, iussus, uenio, nomen, mercurius, sum, ego",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.amphitruo,20.0,"pater, huc, ego, mitto, ad, tu, oro, meus",8,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,tu,0.125
plautus.amphitruo,21.0,"tam, etsi, pro, imperium, tu, qui, dico, sum",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,tu,0.125
plautus.amphitruo,22.0,"scio, facio, quippe, qui, intellego",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.amphitruo,23.0,"uereor, tu, sui, et, metuo, ita, ut, aequus, sum, iouem",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.05,0.0,tu,0.1
plautus.amphitruo,24.0,"uerus, profecto, hic, peto, ego, precarius",6,"0.5, NaN, NaN, NaN, NaN, 0.0",0.083,0.0,hic,0.167
plautus.amphitruo,25.0,"ab, tu, iubeo, lenis, dictum, bonus",6,"NaN, NaN, NaN, 1.0, 0.0, 1.0",0.333,0.0,tu,0.167
plautus.amphitruo,26.0,"etenim, ille, qui, huc, iussus, uenio, iuppiter",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.amphitruo,27.0,"non, paruus, quam, uester, quiuis, formido, malus",7,"NaN, 0.0, NaN, NaN, NaN, -1.0, -1.0",-0.286,-0.286,,0.0
plautus.amphitruo,28.0,"humanus, mater, nascor, humanus, pater",5,"0.0, 0.0, NaN, 0.0, 0.0",0.0,0.0,,0.0
plautus.amphitruo,29.0,"miror, non, sum, aequus, sui, si, praetimeo",7,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.071,0.0,,0.0
plautus.amphitruo,30.0,"atque, ego, quoque, etiam, qui, io, sum, filius",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.amphitruo,31.0,"contagio, -ne, meus, pater, metuo, malus",6,"NaN, NaN, 0.0, 0.0, NaN, -1.0",-0.167,-0.167,,0.0
plautus.amphitruo,32.0,"propterea, pax, aduenio, et, pax, ad, tu, affero",8,"NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN",0.125,0.0,tu,0.125
plautus.amphitruo,33.0,"iustus, res, et, facilis, sum, oro, ab, tu, uolo",9,"1.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.167,0.0,tu,0.111
plautus.amphitruo,34.0,"nam, iustus, ab, iustus, iustus, sum, orator, do",8,"NaN, 1.0, NaN, 1.0, 1.0, NaN, NaN, NaN",0.375,0.0,,0.0
plautus.amphitruo,35.0,"nam, iniustus, ab, iustus, impetraris, non, decet",7,"NaN, -1.0, NaN, 1.0, NaN, NaN, NaN",0.0,-0.143,iniustus,0.143
plautus.amphitruo,36.0,"iustus, autem, ab, iniustus, peto, insipiens, sum",7,"1.0, NaN, NaN, -1.0, NaN, -1.0, NaN",-0.143,-0.286,"iniustus, insipiens",0.286
plautus.amphitruo,37.0,"quippe, ille, iniquus, ius, ignoro, neque, teneo",7,"NaN, NaN, -1.0, 0.5, NaN, NaN, NaN",-0.071,-0.143,iniquus,0.143
plautus.amphitruo,38.0,"nunc, iam, huc, animus, omnis, qui, loquor, ad-uerto",8,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.062,0.0,,0.0
plautus.amphitruo,39.0,"debeo, uolo, qui, uolo, mereo",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.amphitruo,40.0,"et, ego, et, pater, de, tu, et, res, publicus",9,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,tu,0.111
plautus.amphitruo,41.0,"nam, quis, ego, memoro, ut, alius, in, tragoedia",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.amphitruo,42.0,"uideo, neptunum, uirtus, uictoria",4,"NaN, NaN, 1.0, NaN",0.25,0.0,,0.0
plautus.amphitruo,43.0,"martes, bellonam, commemoraris, qui, bonus",5,"NaN, NaN, NaN, NaN, 1.0",0.2,0.0,bellonam,0.2
plautus.amphitruo,44.0,"tu, facio, quis, bene, facio, meus, pater",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,tu,0.143
plautus.amphitruo,45.0,"deus, regnator, architectus, omnis",4,"0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.amphitruo,46.0,"sed, mos, numquam, ille, sum, pater, meus",7,"NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0",0.071,0.0,,0.0
