Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.asinaria,1.0,"hic, ago, si, uolo, spectator, nuncia",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
plautus.asinaria,2.0,"qui, quidem, ego, atque, tu, res, uerto, bene",8,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,tu,0.125
plautus.asinaria,3.0,"grex, hic, et, dominus, atque, conductor",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
plautus.asinaria,4.0,"fax, nuncia, tu, praeco, omnis, auritus, populus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,"fax, tu",0.286
plautus.asinaria,5.0,"ago, nunc, resideo, caueo, modo, ne, gratia",7,"NaN, NaN, NaN, NaN, NaN, NaN, 1.0",0.143,0.0,,0.0
plautus.asinaria,6.0,"nunc, quis, procedo, huc, et, quis, ego, uolo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.asinaria,7.0,"dico, ut, scio, nomen, hic, fabula",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,hic,0.167
plautus.asinaria,8.0,"nam, qui, ad, argumentum, attineo, sanus, breuis, sum",8,"NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN",0.125,0.0,,0.0
plautus.asinaria,9.0,"nunc, qui, ego, dico, uolo, tu, dico",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
plautus.asinaria,10.0,"dico, hic, nomen, graeca, onago, sum, fabula",7,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.143
plautus.asinaria,11.0,"demophilus, scribo, maccus, uerto, barbaris",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,barbaris,0.2
plautus.asinaria,12.0,"asinarius, uolo, sum, si, per, tu, licet",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
plautus.asinaria,13.0,"insum, lepos, ludus, in, hic, comoedia",6,"NaN, 1.0, NaN, NaN, NaN, 0.0",0.167,0.0,hic,0.167
plautus.asinaria,14.0,"ridicula, res, sum, do, benignus, opera, ego",7,"NaN, 0.0, NaN, NaN, 1.0, -0.5, NaN",0.071,-0.071,,0.0
plautus.asinaria,15.0,"ut, tu, ut, alius, pariter, nunc, mars, adiuuo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.125
plautus.asinaria,16.0,"sicut, tuus, uolo, unicus, nascor, tuus",6,"NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.asinaria,17.0,"supersum, uita, sospes, et, superstito",5,"NaN, 0.0, 1.0, NaN, NaN",0.2,0.0,,0.0
plautus.asinaria,18.0,"ita, tu, obtestor, per, senectus, tuus",6,"NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,tu,0.167
plautus.asinaria,19.0,"per, ille, quam, tu, metuo, uxor, tuus",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,"tu, uxor",0.286
plautus.asinaria,20.0,"si, quis, ego, erga, hodie, falsus, dico",7,"NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.143,-0.143,,0.0
plautus.asinaria,21.0,"ut, tu, supersto, uxor, aetas, sum",6,"NaN, NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,"tu, uxor",0.333
plautus.asinaria,22.0,"atque, ille, uiuus, uiuus, ut, pestis, oppeto",7,"NaN, NaN, 0.0, 0.0, NaN, -1.0, NaN",-0.143,-0.143,"uiuus, uiuus, pestis",0.429
plautus.asinaria,23.0,"per, dius, fides, quaero, iuro, ego",6,"NaN, NaN, 1.0, NaN, NaN, NaN",0.167,0.0,,0.0
plautus.asinaria,24.0,"uideo, necesse, sum, eloquor, quisquis, rogo",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.asinaria,25.0,"ita, ego, obstinatus, ut, non, audeo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.asinaria,26.0,"profecto, perconto, quin, promo, omnis",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.asinaria,27.0,"proinde, actus, iste, quis, sum, qui, scio, expeto",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.asinaria,28.0,"eloquor, ut, ipse, scibo, tu, facio, ut, scio",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.125
plautus.asinaria,29.0,"dico, obsecro, hercules, serius, qui, tu, rogo",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,tu,0.143
plautus.asinaria,30.0,"caueo, ego, mendacium, quisquam, quin, tu, ergo, rogo",8,"NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN",-0.125,-0.125,"mendacium, tu",0.25
plautus.asinaria,31.0,"num, ego, illic, dux, ubi, lapis, lapis, tero",8,"NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN",0.062,0.0,,0.0
plautus.asinaria,32.0,"quis, iste, sum, aut, ubi, iste, sum, terra, locus",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
plautus.asinaria,33.0,"ubi, fleo, nequam, homo, qui, polenta, pinsitant",7,"NaN, NaN, -1.0, 0.0, NaN, NaN, NaN",-0.143,-0.143,nequam,0.143
plautus.asinaria,34.0,"apud, fustitudinus, ferricrepinus, insula",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.asinaria,35.0,"ubi, uiuus, homo, mortuus, incurso, bos",6,"NaN, 0.0, 0.0, NaN, NaN, NaN",0.0,0.0,uiuus,0.167
plautus.asinaria,36.0,"modo, pol, percipio, libo, quis, iste, sum, locus",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.asinaria,37.0,"ubi, fio, polenta, tu, fortasse, dico, ah",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
plautus.asinaria,38.0,"neque, hercules, ego, iste, dico, neque, dico, uolo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.asinaria,39.0,"tu, obsecro, hercules, ut, qui, despuo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.167
plautus.asinaria,40.0,"fio, gero, mos, tu, ago, ago, usque, excreo",8,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.062,0.0,tu,0.125
plautus.asinaria,41.0,"etiam, ago, quaeso, hercules, usque, ex, penitus, fauces",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.asinaria,42.0,"etiam, amplus, nam, quo, usque, usque, ad, mors, uolo",9,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.111,-0.111,,0.0
plautus.asinaria,43.0,"caueo, sum, malus, res, uxoris, dico, non, tuus",8,"NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, 0.0",-0.125,-0.125,,0.0
plautus.asinaria,45.0,"donum, tu, ob, iste, dico, ut, expers, sum, metus",9,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0",-0.111,-0.111,tu,0.111
plautus.asinaria,46.0,"deus, tu, do, quicumque, opto, reddo, opera, ego",8,"0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN",-0.062,-0.062,tu,0.125
plautus.asinaria,47.0,"cur, hic, ego, ex, tu, quaero, aut, cur, minito, tu",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, tu, tu",0.3
plautus.asinaria,48.0,"propterea, qui, ego, non, scio, facio",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.asinaria,49.0,"aut, cur, postremo, filius, suscenseo",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.asinaria,50.0,"pater, ut, facio, ceterus, quis, iste, nosco, sum",8,"0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.asinaria,51.0,"demiror, quis, sum, et, quo, euado, sum, in, metus",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0",-0.111,-0.111,,0.0
plautus.asinaria,52.0,"equidem, scio, iam, filius, qui, amo, meus",7,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.asinaria,53.0,"iste, meretrix, e, proximus, philaenium",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,meretrix,0.2
