Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.aulularia,1.0,"ne, quis, miro, qui, sum, paucus, eloquor",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.aulularia,2.0,"ego, lar, sum, familiaris, ex, hic, familia",7,"NaN, NaN, NaN, 1.0, NaN, NaN, 0.5",0.214,0.0,hic,0.143
plautus.aulularia,3.0,"unde, exeo, ego, aspicio, hic, domus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.167
plautus.aulularia,4.0,"iam, multus, annus, sum, cum, possideo, et, colo",8,"NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.aulularia,5.0,"pater, auus, iam, hic, qui, nunc, hic, habeo",8,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,"hic, hic",0.25
plautus.aulularia,6.0,"sed, ego, auus, hic, obsecro, concredo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
plautus.aulularia,7.0,"thesaurus, aurum, clam, omnis, in, medium, focus",7,"NaN, 0.5, NaN, NaN, NaN, NaN, 0.0",0.071,0.0,,0.0
plautus.aulularia,8.0,"defodio, ueneror, ego, ut, is, seruaris, sui",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.aulularia,9.0,"is, quoniam, morior, ita, auidus, ingenium, sum",7,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.071,0.0,,0.0
plautus.aulularia,10.0,"numquam, indico, is, filius, uolo, suus",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.aulularia,11.0,"inops, opto, potis, is, relinquo",5,"-1.0, NaN, 0.0, NaN, NaN",-0.2,-0.2,,0.0
plautus.aulularia,12.0,"quam, is, thesaurus, commonstro, filius",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.aulularia,13.0,"ager, relinquo, is, non, magnus, modus",6,"0.0, NaN, NaN, NaN, 0.0, 0.5",0.083,0.0,,0.0
plautus.aulularia,14.0,"quo, cum, labor, magnus, et, mitto, uiuo",7,"NaN, NaN, -0.5, 0.0, NaN, NaN, NaN",-0.071,-0.071,,0.0
plautus.aulularia,15.0,"ubi, is, obeo, mors, qui, ego, is, aurum, credo",9,"NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN",-0.056,-0.111,,0.0
plautus.aulularia,16.0,"coepio, obseruaris, ecqui, magnus, filius",5,"NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
plautus.aulularia,17.0,"ego, honor, habeo, quam, is, habeo, pater",7,"NaN, 1.0, NaN, NaN, NaN, NaN, 0.0",0.143,0.0,,0.0
