Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.bacchides,1.0,"qui, ingenium, in, animus, utibilis, sum, modicus, et, sine, uernilitas",10,"NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN",0.1,0.0,,0.0
plautus.bacchides,2.0,"uinclum, uirga, mola, saeuitudo, malus, fio, malus",7,"NaN, NaN, NaN, NaN, -1.0, NaN, -1.0",-0.286,-0.286,uinclum,0.143
plautus.bacchides,3.0,"conuerro, scopa, ago, strenuus",4,"NaN, NaN, NaN, 1.0",0.25,0.0,,0.0
plautus.bacchides,4.0,"ecquis, euoco",2,"NaN, NaN",nan,nan,,0.0
plautus.bacchides,5.0,"cum, nassiterna, et, cum, aqua, iste, impurus",7,"NaN, NaN, NaN, NaN, 0.0, NaN, -1.0",-0.143,-0.143,impurus,0.143
plautus.bacchides,6.0,"sicut, lac, lac, similis, sum",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.bacchides,7.0,"ille, ego, cognomen, sum",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.bacchides,8.0,"latro, suus, qui, aurum, uita, uendito",6,"NaN, NaN, NaN, 0.5, 0.0, NaN",0.083,0.0,"latro, uendito",0.333
plautus.bacchides,9.0,"scio, spiritus, is, magnus, sum, multus",6,"NaN, 0.0, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
plautus.bacchides,10.0,"quam, follis, taurinus, habeo, cum, liquesco",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.bacchides,11.0,"petra, ferrum, ubi, fio, cuiatis, tu, uideo, sum",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.125
plautus.bacchides,12.0,"praenestinum, opino, sum, ita, sum, gloriosus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,opino,0.167
plautus.bacchides,13.0,"neque, is, haud, subditiuus, gloria, oppidum, arbitror",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.bacchides,14.0,"ne, ab, quoquam, accipio, alius, merces, annuo",7,"NaN, NaN, NaN, NaN, NaN, 1.0, NaN",0.143,0.0,,0.0
plautus.bacchides,15.0,"nisi, ab, sui, neque, cum, quisquam, limaris, caput",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.bacchides,16.0,"limaces, uir",2,"NaN, 0.5",0.25,0.0,,0.0
plautus.bacchides,17.0,"cor, meus, spes, meus",4,"NaN, 0.0, 0.5, 0.0",0.125,0.0,,0.0
plautus.bacchides,18.0,"mel, meus, suauitudo, cibus, gaudium",5,"NaN, 0.0, 0.5, NaN, 1.0",0.3,0.0,,0.0
plautus.bacchides,19.0,"sine, tu, amo",3,"NaN, NaN, NaN",nan,nan,tu,0.333
plautus.bacchides,20.0,"cupido, -ne, cum, tu, saeuus, sum, annus, amor",8,"-0.5, NaN, NaN, NaN, -1.0, NaN, 0.0, 1.0",-0.062,-0.188,"tu, saeuus",0.25
plautus.bacchides,21.0,"ulixem, audio, sum, aerumnosus",4,"NaN, NaN, NaN, -1.0",-0.25,-0.25,,0.0
plautus.bacchides,22.0,"qui, annus, uiginti, erro, ab, patria, asum",7,"NaN, 0.0, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.bacchides,23.0,"uerus, hic, adulescens, multus, ulixem, anteeo",6,"0.5, NaN, NaN, 0.0, NaN, NaN",0.083,0.0,"hic, adulescens",0.333
plautus.bacchides,24.0,"qui, ilico, erro, intra, murus, ciuicus",6,"NaN, NaN, 0.0, NaN, NaN, 0.5",0.083,0.0,,0.0
plautus.bacchides,25.0,"quisquis, sum, nomen, sui",4,"NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.bacchides,26.0,"qui, sodalis, atque, ego, exerceo, habeo",6,"NaN, 1.0, NaN, NaN, NaN, NaN",0.167,0.0,,0.0
plautus.bacchides,27.0,"nam, credo, quiuis, excantaris, cor, possum",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.bacchides,28.0,"sin, lenocinium, fors, collibet, sum, tu",6,"NaN, -1.0, 0.0, NaN, NaN, NaN",-0.167,-0.167,tu,0.167
plautus.bacchides,29.0,"uideo, merces, quis, tu, sum, aequus, do",7,"NaN, 1.0, NaN, NaN, NaN, 0.5, NaN",0.214,0.0,tu,0.143
plautus.bacchides,30.0,"ne, istac, aetas, ego, sector, gratia",6,"NaN, NaN, 0.0, NaN, NaN, 1.0",0.167,0.0,,0.0
plautus.bacchides,31.0,arabus,1,NaN,nan,nan,,0.0
plautus.bacchides,35.0,"quis, si, hic, potio, sum, ut, tu, taceo, ego, loquor, lepidus, licet",12,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, tu",0.167
plautus.bacchides,36.0,"ubi, ego, fugio, memoria, ibi, tu, facio, ut, subuenio, soror",10,"NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.1,0.0,tu,0.1
plautus.bacchides,37.0,"pol, magis, metuo, ne, desum, ego, in, moneo, oratio",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5",-0.056,-0.056,,0.0
plautus.bacchides,38.0,"pol, ego, metuo, lusciniola, ne, desum, cantio",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.bacchides,39.0,"sequor, hic, quis, ago, duo, germana, meretrix, cognomino",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, meretrix",0.25
plautus.bacchides,40.0,"quis, in, consilium, consulo, bene, pol, haud, meretricius, sum",9,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN",0.056,0.0,meretricius,0.111
plautus.bacchides,41.0,"miser, nihil, sum, quam, mulier, quis, sum, dico, dignus",9,"-1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0",0.0,-0.111,"miser, mulier",0.222
plautus.bacchides,42.0,"hic, ita, ego, oro, sui, qui, caueat, aliquis, ut, homo, reperio",11,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,hic,0.091
plautus.bacchides,43.0,"ut, iste, militemut, ubi, emereo, sui, sum, sui, reueho, domus",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.bacchides,44.0,"is, amo, tu, hic, cauea, quis, iste, cauea, ut, reueho, domus",11,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,"tu, hic",0.182
plautus.bacchides,45.0,"ubi, is, dedo, opera, ne, hic, ille, habeo, pro, ancilla, sui",11,"NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",-0.045,-0.045,"hic, ancilla",0.182
plautus.bacchides,46.0,"nam, si, hic, habeo, aurum, qui, ille, renumero, facio, libet",10,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.05,0.0,hic,0.1
plautus.bacchides,47.0,"ubi, nunc, is, homo, sum, iam, hic, credo, adsum, sed, hic, idem, apud, nos, rectus",15,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0",0.067,0.0,"hic, hic",0.133
plautus.bacchides,48.0,"possum, ago, atque, is, dum, uenio, sedeo, ibi, opperibere",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.bacchides,49.0,"idem, bibo, idem, do, tu, ubi, bibo, sauium",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.125
plautus.bacchides,50.0,"uiscus, merus, uester, sum, blanditia, quis, iam, quia, enim, intellego",10,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.05,0.0,blanditia,0.1
plautus.bacchides,51.0,"duo, unus, expeto, palumbis, pereo, harundo, ala, uerbero",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,uerbero,0.125
plautus.bacchides,52.0,"non, ego, iste, facinus, ego, mulier, conducibilis, sum, arbitror",9,"NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN",-0.111,-0.111,"facinus, mulier",0.222
plautus.bacchides,53.0,"qui, amo, quia, bacchis, bacchas, metuo, et, bacchanal, tuus",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.bacchides,54.0,"quis, sum, quis, metuo, ne, tu, lego, malitia, apud, ego, suadeo",11,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN",-0.091,-0.091,tu,0.091
plautus.bacchides,55.0,"magis, illicio, tuus, quam, lectus, metuo, malus, tu, sum, bestia",10,"NaN, NaN, 0.0, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN",-0.1,-0.1,"tu, bestia",0.2
